ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034765	regulation of ion transmembrane transport	52/888	444/17381	2.00717033888152e-08	7.08765285703998e-05	6.15787678289289e-05	SCN3B/CXCL10/PIK3CG/RYR2/GPER1/SNTA1/KCNA3/TCAF1/TRPM5/KCNC2/DRD2/F2RL3/KCNG2/WNK3/CRHBP/NETO1/SCN4A/S100A1/P2RX7/THBS1/KCNA1/CLCN4/KCND3/SCN2B/CXCL11/ANO1/ATP1B2/GRIN2A/KCNJ16/CACNA1E/KCNH1/HPCA/KCNG3/CLCNKA/GRIN2D/KCND2/HSPA2/KCNJ15/KCNQ4/SHANK1/CXCL9/NOS1AP/PPARGC1A/TRDN/CLCNKB/KCNE5/KCNF1/KCNK13/DRD4/XCL1/JPH1/KCNB1	52
GO:0019233	sensory perception of pain	20/888	94/17381	4.41485994234796e-08	7.08765285703998e-05	6.15787678289289e-05	SCN3B/NPFF/CNR1/P2RY1/SPX/ADORA1/CHRNB2/P2RX7/KCNA1/POMK/NOV/CXCL12/ANO1/ADRA2C/GRIN2A/NTRK1/PENK/GRIN2D/KCND2/PHF24	20
GO:0051480	regulation of cytosolic calcium ion concentration	41/888	318/17381	4.62843811289945e-08	7.08765285703998e-05	6.15787678289289e-05	CXCL10/NPFF/PIK3CG/RYR2/ATP2B2/GPER1/XCR1/P2RY1/DRD2/F2RL3/GTF2I/BOK/CD36/PTPRC/ESR1/CHRNA9/GLP1R/P2RX7/CCR5/OXTR/P2RY10/CXCL11/FAM155A/GRIN2A/ATP2B3/MCHR1/CXCL13/FAM155B/TRPC4/GRIN2D/CXCL9/SLC8A3/PTH1R/TRDN/CD38/AVPR1A/LPAR4/CCR4/XCL1/JPH1/CCR8	41
GO:0034762	regulation of transmembrane transport	52/888	459/17381	6.01540662596221e-08	7.08765285703998e-05	6.15787678289289e-05	SCN3B/CXCL10/PIK3CG/RYR2/GPER1/SNTA1/KCNA3/TCAF1/TRPM5/KCNC2/DRD2/F2RL3/KCNG2/WNK3/CRHBP/NETO1/SCN4A/S100A1/P2RX7/THBS1/KCNA1/CLCN4/KCND3/SCN2B/CXCL11/ANO1/ATP1B2/GRIN2A/KCNJ16/CACNA1E/KCNH1/HPCA/KCNG3/CLCNKA/GRIN2D/KCND2/HSPA2/KCNJ15/KCNQ4/SHANK1/CXCL9/NOS1AP/PPARGC1A/TRDN/CLCNKB/KCNE5/KCNF1/KCNK13/DRD4/XCL1/JPH1/KCNB1	52
GO:0030073	insulin secretion	30/888	203/17381	1.53512039846617e-07	0.000144700448759421	0.000125718281053334	NPFF/SFRP1/GPER1/VGF/CNR1/KCNC2/DRD2/NNAT/KCNG2/REST/GLP1R/RAPGEF3/IFNG/NOV/ANO1/ADRA2C/C1QTNF12/CACNA1E/SYBU/STXBP5L/SYT9/RIMS2/SLC30A8/FAM3D/GPLD1/RBP4/FAM3B/CD38/ILDR2/KCNB1	30
GO:0007204	positive regulation of cytosolic calcium ion concentration	36/888	285/17381	5.04806047059368e-07	0.000396525149965134	0.00034450798650192	CXCL10/NPFF/PIK3CG/RYR2/GPER1/XCR1/P2RY1/DRD2/F2RL3/CD36/PTPRC/ESR1/CHRNA9/GLP1R/P2RX7/CCR5/OXTR/P2RY10/CXCL11/FAM155A/GRIN2A/MCHR1/CXCL13/FAM155B/GRIN2D/CXCL9/SLC8A3/PTH1R/TRDN/CD38/AVPR1A/LPAR4/CCR4/XCL1/JPH1/CCR8	36
GO:0050796	regulation of insulin secretion	26/888	172/17381	6.5596538374149e-07	0.000441652121939092	0.000383715089135999	NPFF/SFRP1/GPER1/CNR1/KCNC2/DRD2/NNAT/KCNG2/REST/GLP1R/RAPGEF3/IFNG/NOV/ANO1/ADRA2C/C1QTNF12/CACNA1E/SYBU/STXBP5L/SYT9/SLC30A8/FAM3D/GPLD1/RBP4/CD38/KCNB1	26
GO:0042391	regulation of membrane potential	44/888	403/17381	1.7194636665058e-06	0.00101297903253023	0.000880093902987837	SCN3B/NPFF/RYR2/GPER1/SNTA1/TSPO/CNR1/BOK/ADORA1/CHRNA9/CHRNB2/NETO1/SCN4A/P2RX7/S1PR2/KCNA1/MYOC/KCND3/IFNG/SCN2B/NLGN4X/ATP1B2/GRIN2A/GRIA4/CACNA1E/KCNH1/GRIK4/RIMS2/PYCR1/GABRA1/GRIN2D/KCND2/KCNMB2/PTN/SHANK1/NOS1AP/SLC8A3/CBLN1/TRDN/KCNE5/KCNK13/CLDN19/DRD4/KCNB1	44
GO:0043270	positive regulation of ion transport	31/888	241/17381	2.10413524297277e-06	0.00110186548890341	0.000957320011130303	SCN3B/CXCL10/RYR2/GPER1/LGALS3/TSPO/TCAF1/P2RY1/KCNC2/DRD2/F2RL3/WNK3/ADORA1/CHRNB2/S100A1/P2RX7/KCNA1/CYP4A11/CXCL12/CXCL11/ATP1B2/CCL4/HSPA2/PLA2G10/CXCL9/NOS1AP/TRDN/KCNE5/AVPR1A/DRD4/XCL1	31
GO:0030072	peptide hormone secretion	31/888	243/17381	2.50859127016909e-06	0.00118229906563069	0.0010272021095745	NPFF/SFRP1/GPER1/VGF/CNR1/KCNC2/DRD2/NNAT/KCNG2/REST/CRHBP/GLP1R/RAPGEF3/IFNG/NOV/ANO1/ADRA2C/C1QTNF12/CACNA1E/SYBU/STXBP5L/SYT9/RIMS2/SLC30A8/FAM3D/GPLD1/RBP4/FAM3B/CD38/ILDR2/KCNB1	31
