ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1902495	transmembrane transporter complex	44/945	325/18511	3.33106506971972e-09	1.25072116915506e-06	1.09518202049908e-06	KCNT1/GABRR2/SCN3B/ATP12A/RYR2/KCNA3/KCNC2/KCNG2/ABCG5/CHRNA9/CHRNB2/SCN4A/KCNA1/KCND3/SCN2B/ANO1/ATP4B/ATP1B2/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/CLCNKA/TRPC4/GRIN2D/KCND2/HSPA2/KCNMB2/KCNQ4/SHANK1/NOS1AP/BEST3/SCNN1B/TRDN/CLCNKB/KCNE5/KCNF1/KCNN1/KCNB1	44
GO:1990351	transporter complex	44/945	332/18511	6.45235863111156e-09	1.25072116915506e-06	1.09518202049908e-06	KCNT1/GABRR2/SCN3B/ATP12A/RYR2/KCNA3/KCNC2/KCNG2/ABCG5/CHRNA9/CHRNB2/SCN4A/KCNA1/KCND3/SCN2B/ANO1/ATP4B/ATP1B2/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/CLCNKA/TRPC4/GRIN2D/KCND2/HSPA2/KCNMB2/KCNQ4/SHANK1/NOS1AP/BEST3/SCNN1B/TRDN/CLCNKB/KCNE5/KCNF1/KCNN1/KCNB1	44
GO:0034702	ion channel complex	40/945	288/18511	8.30124669793183e-09	1.25072116915506e-06	1.09518202049908e-06	KCNT1/GABRR2/SCN3B/RYR2/KCNA3/KCNC2/KCNG2/CHRNA9/CHRNB2/SCN4A/KCNA1/KCND3/SCN2B/ANO1/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/CLCNKA/TRPC4/GRIN2D/KCND2/HSPA2/KCNMB2/KCNQ4/SHANK1/NOS1AP/BEST3/SCNN1B/TRDN/CLCNKB/KCNE5/KCNF1/KCNN1/KCNB1	40
GO:0016324	apical plasma membrane	39/945	292/18511	3.77898921628213e-08	4.2702578143988e-06	3.73921038242653e-06	DPEP1/STK26/CA4/P2RY1/SLC14A2/KCNC2/AMN/LZTS1/SLC22A4/SLC7A9/CD36/ABCG5/ADGRG2/OXTR/KCNA1/DDR2/PRKG2/CYP4A11/IL6R/RHCG/TF/CLDN1/ANO1/ATP1B2/ATP6V0D2/DSG1/MAL2/EPCAM/LRP2/SLC2A5/CRB1/MUC13/CFAP126/FN1/SCNN1B/PTH1R/CD300LG/SLC44A4/RAPGEF6	39
GO:0034703	cation channel complex	31/945	212/18511	1.2182457642549e-07	1.10129417088643e-05	9.64337699704935e-06	KCNT1/SCN3B/RYR2/KCNA3/KCNC2/KCNG2/SCN4A/KCNA1/KCND3/SCN2B/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/TRPC4/GRIN2D/KCND2/HSPA2/KCNMB2/KCNQ4/SHANK1/NOS1AP/SCNN1B/TRDN/KCNE5/KCNF1/KCNN1/KCNB1	31
GO:0005578	proteinaceous extracellular matrix	43/945	365/18511	2.90010127454342e-07	2.18474296015604e-05	1.91304926180408e-05	HAPLN1/CD151/SFRP1/WNT10B/FBN1/SFTPA1/ADAMTS14/WNT5B/SFTPA2/HAPLN2/ADAMTS1/MYOC/NOV/WNT9A/SPOCK1/MMP23B/ECM2/SERPINF1/ANGPTL4/CCDC80/CPZ/WNT16/KAZALD1/NTN3/COCH/P3H2/COL9A2/MMP7/MMP10/DMP1/WNT5A/POSTN/WNT2B/PTN/GPLD1/ABI3BP/WISP1/FN1/WNT9B/ADAMTS12/LRFN2/HMCN1/MMP3	43
GO:0034705	potassium channel complex	18/945	98/18511	2.02801522483731e-06	0.000130951840232352	0.000114666725494561	KCNT1/KCNA3/KCNC2/KCNG2/KCNA1/KCND3/KCNJ16/KCNH1/KCNG3/GRIK4/KCND2/KCNMB2/KCNQ4/NOS1AP/KCNE5/KCNF1/KCNN1/KCNB1	18
GO:0097060	synaptic membrane	35/945	295/18511	3.1092616139445e-06	0.000175673281187864	0.000153826627216202	GABRR2/CLSTN2/GPER1/ANKS1B/CNR1/P2RY1/KCNC2/PALM/LZTS1/ADORA1/CHRNA9/CHRNB2/CABP1/NETO1/GSG1L/KCNA1/GRM4/NLGN4X/GABRR1/CNKSR2/GRIN2A/GRIA4/KCNH1/GRIK4/RIMS2/GABRA1/GRIN2D/KCND2/SHANK1/CBLN1/PCDH8/LRFN2/STRN/NEURL1/KCNB1	35
GO:0045177	apical part of cell	40/945	363/18511	4.03475759901046e-06	0.000192618966636827	0.000168664954484041	DPEP1/STK26/CA4/P2RY1/SLC14A2/KCNC2/AMN/LZTS1/SLC22A4/SLC7A9/CD36/ABCG5/ADGRG2/OXTR/KCNA1/DDR2/PRKG2/CYP4A11/IL6R/RHCG/TF/CLDN1/ANO1/ATP1B2/ATP6V0D2/DSG1/MAL2/EPCAM/LRP2/FAT4/SLC2A5/CRB1/MUC13/CFAP126/FN1/SCNN1B/PTH1R/CD300LG/SLC44A4/RAPGEF6	40
GO:0045211	postsynaptic membrane	29/945	225/18511	4.26148156276166e-06	0.000192618966636827	0.000168664954484041	GABRR2/CLSTN2/ANKS1B/P2RY1/KCNC2/LZTS1/ADORA1/CHRNA9/CHRNB2/CABP1/NETO1/GSG1L/NLGN4X/GABRR1/CNKSR2/GRIN2A/GRIA4/KCNH1/GRIK4/GABRA1/GRIN2D/KCND2/SHANK1/CBLN1/PCDH8/LRFN2/STRN/NEURL1/KCNB1	29
