ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003341	cilium movement	23/1189	68/17381	5.33000598070844e-11	2.69431802324811e-07	2.31378364888859e-07	RFX3/DNAI2/ARMC4/TEKT3/DNAH9/CFAP221/CFAP61/DNAAF1/RSPH4A/ROPN1L/DNAH7/PIH1D3/DNAH3/TEKT1/RSPH9/HYDIN/DNAH5/DNAI1/CFAP206/DNAH11/CCDC65/TEKT4/CCDC39	23
GO:0035082	axoneme assembly	20/1189	58/17381	6.48953994320626e-10	1.64023122064538e-06	1.40857172240961e-06	DNAI2/ARMC4/RSPH1/CFAP74/ZMYND10/DNAAF1/RSPH4A/DNAH7/RP1L1/PIH1D3/RP1/CFAP157/DNAH3/RSPH9/HYDIN/DNAH5/DNAI1/CFAP206/NEURL1/CCDC39	20
GO:0007389	pattern specification process	63/1189	422/17381	3.441805378669e-09	4.88720577323868e-06	4.19695696992791e-06	AR/DSCAML1/HOXC9/FOXB1/LRP2/PAX2/HOXC10/IHH/CDX2/RFX3/RELN/HOXD4/FOXD1/DNAI2/DYNC2H1/ARMC4/GREM2/HOXC11/HOXD11/DLX1/TBX20/GBX2/NKD1/TCF15/DNAAF1/FGFR2/VAX2/HOXC8/COBL/HOXD13/ZBTB16/PKD1L1/HOXA7/ERBB4/FOXN4/GATA4/DLX2/HOXA3/WNT6/DKK1/BARX1/DLL3/NKX2-5/BMPR1B/FGF8/CXXC4/HOXC13/HOXD8/HEY2/HOXC6/SIX2/ASCL1/LMX1B/DNAH5/LHX1/DNAI1/BMP7/DNAH11/LHX2/CITED1/SFRP2/MDFI/CCDC39	63
GO:0097529	myeloid leukocyte migration	36/1189	179/17381	3.86722514202863e-09	4.88720577323868e-06	4.19695696992791e-06	PF4/CCL26/CALCA/AZU1/S100A14/PGF/TNFRSF11A/C5AR2/CX3CR1/IL6/CCL18/CCL11/LBP/CCL7/SCG2/PF4V1/SLIT2/CCL25/P2RY12/PPBP/S100A7/CCL5/TREM1/PLCB1/CD177/RPS19/AIF1/S100A12/ITGA9/SAA1/S100A9/CCL4/CCL8/S100A8/IFNG/CCL3	36
GO:0019835	cytolysis	16/1189	43/17381	9.46278991565498e-09	9.56688060472719e-06	8.21569381308656e-06	PF4/C7/PAX2/CSF2/C6/LBP/ROMO1/GZMA/F2/C8G/GZMM/GZMH/PGLYRP4/PRF1/ALB/GZMB	16
GO:0001578	microtubule bundle formation	22/1189	83/17381	2.38368588034e-08	2.00825535418645e-05	1.72461764395126e-05	TPPP3/DNAI2/ARMC4/RSPH1/CFAP74/ZMYND10/DNAAF1/RSPH4A/DNAH7/RP1L1/PIH1D3/RP1/CFAP157/DNAH3/RSPH9/CAPN6/HYDIN/DNAH5/DNAI1/CFAP206/NEURL1/CCDC39	22
GO:0070268	cornification	26/1189	113/17381	3.2071012860015e-08	2.31598528581966e-05	1.98888506819101e-05	DSG1/KRT31/KRT16/KRT14/KRT8/SPRR3/KLK14/KRT27/SPRR2A/SPRR1B/KRT19/KRT17/CDSN/KRT78/KRT18/SPRR2F/SPRR2D/SPRR1A/PKP1/PKP2/KRT7/CSTA/PI3/KRT34/KRT9/KLK5	26
GO:0003002	regionalization	51/1189	332/17381	4.23838688096794e-08	2.67813071041161e-05	2.29988256540944e-05	AR/DSCAML1/HOXC9/FOXB1/LRP2/PAX2/HOXC10/CDX2/RELN/HOXD4/FOXD1/DYNC2H1/GREM2/HOXC11/HOXD11/DLX1/TBX20/GBX2/NKD1/TCF15/DNAAF1/FGFR2/VAX2/HOXC8/COBL/HOXD13/ZBTB16/PKD1L1/HOXA7/FOXN4/GATA4/DLX2/HOXA3/DKK1/BARX1/DLL3/NKX2-5/BMPR1B/FGF8/CXXC4/HOXC13/HOXD8/HEY2/HOXC6/SIX2/ASCL1/LMX1B/LHX1/LHX2/SFRP2/MDFI	51
GO:0071621	granulocyte chemotaxis	25/1189	110/17381	7.60854109503551e-08	4.27346391504494e-05	3.6698974825645e-05	PF4/CCL26/S100A14/C5AR2/CCL18/CCL11/LBP/CCL7/SCG2/PF4V1/SLIT2/CCL25/PPBP/S100A7/CCL5/TREM1/S100A12/ITGA9/SAA1/S100A9/CCL4/CCL8/S100A8/IFNG/CCL3	25
GO:0030593	neutrophil chemotaxis	22/1189	90/17381	1.15725454433819e-07	5.35025589200927e-05	4.59460779814591e-05	PF4/CCL26/C5AR2/CCL18/CCL11/LBP/CCL7/PF4V1/SLIT2/CCL25/PPBP/CCL5/TREM1/S100A12/ITGA9/SAA1/S100A9/CCL4/CCL8/S100A8/IFNG/CCL3	22
