ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	37/555	335/17381	4.93771004239382e-11	1.13078352569836e-07	9.51331648448552e-08	COL9A3/COL12A1/FBN1/COL10A1/COL4A4/SULF1/COL14A1/ABI3BP/TCF15/COL3A1/ECM2/COL8A1/ITGA10/ITGA2/NDNF/ITGA8/ADAM19/ITGA1/TGFB2/KAZALD1/KDR/THSD4/VTN/ITGA4/VCAN/SMOC2/COL4A3/FOXF1/SPOCK2/TTR/LUM/PDGFRA/SCUBE1/HTRA1/COL5A3/FBN2/LAMA2	37
GO:0043062	extracellular structure organization	37/555	336/17381	5.38596582852279e-11	1.13078352569836e-07	9.51331648448552e-08	COL9A3/COL12A1/FBN1/COL10A1/COL4A4/SULF1/COL14A1/ABI3BP/TCF15/COL3A1/ECM2/COL8A1/ITGA10/ITGA2/NDNF/ITGA8/ADAM19/ITGA1/TGFB2/KAZALD1/KDR/THSD4/VTN/ITGA4/VCAN/SMOC2/COL4A3/FOXF1/SPOCK2/TTR/LUM/PDGFRA/SCUBE1/HTRA1/COL5A3/FBN2/LAMA2	37
GO:0001655	urogenital system development	35/555	316/17381	1.54235169362074e-10	2.15877825383783e-07	1.81618676624253e-07	TEK/PCSK5/FBN1/EPCAM/PODXL/COL4A4/ESR1/SULF1/RGN/PLCE1/IRX2/BASP1/ITGA8/CA2/PROM1/TGFB2/SMAD9/EPHA4/ANGPT1/EPHB3/GPC3/NOG/FAT4/PTPRO/EYA1/COL4A3/FOXF1/WNT6/PDGFD/SIX1/PDGFRA/ID4/LGR5/AR/SLIT2	35
GO:0072001	renal system development	31/555	280/17381	1.77814843441353e-09	1.8666113190256e-06	1.57038582786626e-06	TEK/PCSK5/FBN1/EPCAM/PODXL/COL4A4/SULF1/RGN/PLCE1/IRX2/BASP1/ITGA8/CA2/PROM1/TGFB2/SMAD9/EPHA4/ANGPT1/GPC3/NOG/FAT4/PTPRO/EYA1/COL4A3/FOXF1/WNT6/PDGFD/SIX1/PDGFRA/LGR5/SLIT2	31
GO:0001822	kidney development	29/555	264/17381	7.15755806287191e-09	6.01091726119983e-06	5.05700312821013e-06	TEK/PCSK5/FBN1/EPCAM/PODXL/COL4A4/SULF1/RGN/PLCE1/IRX2/BASP1/ITGA8/CA2/PROM1/TGFB2/SMAD9/EPHA4/ANGPT1/GPC3/NOG/FAT4/PTPRO/EYA1/COL4A3/WNT6/PDGFD/SIX1/PDGFRA/SLIT2	29
GO:0031589	cell-substrate adhesion	31/555	316/17381	3.16414023820475e-08	2.21437081003696e-05	1.86295695428336e-05	TEK/VWC2/ABI3BP/COL3A1/ECM2/COL8A1/ITGA10/ITGA2/PTN/NDNF/ITGA8/ITGA1/KDR/ANGPT1/ARHGAP6/EPHB3/VTN/ITGA4/SMOC2/L1CAM/TTYH1/LYPD3/PTPRO/FREM1/PTPRK/SEMA3E/FOXF1/SPOCK2/APOA1/COL5A3/MSLN	31
GO:0006939	smooth muscle contraction	17/555	106/17381	4.0989608098271e-08	2.45879092006629e-05	2.06858834252327e-05	DOCK4/SULF1/CHRNA3/PLCE1/ITGA2/OXT/CHRM3/EDNRA/GUCY1A3/F2R/KIT/ATP1A2/TACR1/SPX/KCNMA1/SLC8A1/TNNI3	17
GO:0061564	axon development	39/555	473/17381	6.47561414387296e-08	2.94703457406566e-05	2.47934922614767e-05	CDH11/RPL24/RELN/KLF4/PLXNA4/GAP43/UNC5D/NPTX1/PRKCA/EGR2/SEMA5A/GFRA1/OGN/EPHA4/ANOS1/EPHB3/NTRK3/BMPR1B/NOG/CDKL5/L1CAM/GFRA2/PTPRO/COBL/CXCL12/NTN1/ISLR2/PLPPR4/TUBB3/TSPAN2/OMG/CNTF/APOA1/TUBB2B/SLITRK2/LGI1/SLIT1/LAMA2/SLIT2	39
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	16/555	97/17381	6.83227000618705e-08	2.94703457406566e-05	2.47934922614767e-05	TEK/RELN/KLF4/NOP53/TGFB2/F2R/PIK3AP1/KDR/KIT/ANGPT1/PIP5K1B/HGF/PDGFD/PDGFRA/RASGRP1/PTPN13	16
GO:0032835	glomerulus development	13/555	63/17381	7.55715005921977e-08	2.94703457406566e-05	2.47934922614767e-05	TEK/PODXL/COL4A4/SULF1/PLCE1/BASP1/PROM1/ANGPT1/NOG/PTPRO/COL4A3/PDGFD/PDGFRA	13
GO:0072006	nephron development	19/555	138/17381	8.35913093590922e-08	2.94703457406566e-05	2.47934922614767e-05	TEK/PODXL/COL4A4/SULF1/PLCE1/IRX2/BASP1/PROM1/ANGPT1/GPC3/NOG/FAT4/PTPRO/EYA1/COL4A3/WNT6/PDGFD/SIX1/PDGFRA	19
GO:0007411	axon guidance	25/555	229/17381	8.88146201821858e-08	2.94703457406566e-05	2.47934922614767e-05	RPL24/RELN/PLXNA4/GAP43/UNC5D/PRKCA/EGR2/SEMA5A/GFRA1/EPHA4/ANOS1/EPHB3/BMPR1B/NOG/L1CAM/GFRA2/PTPRO/CXCL12/NTN1/TUBB3/TUBB2B/LGI1/SLIT1/LAMA2/SLIT2	25
GO:0006940	regulation of smooth muscle contraction	13/555	64/17381	9.21024420872963e-08	2.94703457406566e-05	2.47934922614767e-05	DOCK4/CHRNA3/PLCE1/ITGA2/OXT/CHRM3/GUCY1A3/F2R/KIT/ATP1A2/TACR1/SPX/TNNI3	13
GO:0014065	phosphatidylinositol 3-kinase signaling	18/555	126/17381	1.03178288860756e-07	2.94703457406566e-05	2.47934922614767e-05	TEK/RELN/KLF4/NOP53/TGFB2/PIK3CG/F2R/PIK3AP1/KDR/KIT/ANGPT1/PIP5K1B/HGF/PDGFD/PDGFRA/PREX2/RASGRP1/PTPN13	18
GO:0097485	neuron projection guidance	25/555	231/17381	1.0527630057391e-07	2.94703457406566e-05	2.47934922614767e-05	RPL24/RELN/PLXNA4/GAP43/UNC5D/PRKCA/EGR2/SEMA5A/GFRA1/EPHA4/ANOS1/EPHB3/BMPR1B/NOG/L1CAM/GFRA2/PTPRO/CXCL12/NTN1/TUBB3/TUBB2B/LGI1/SLIT1/LAMA2/SLIT2	25
GO:0051272	positive regulation of cellular component movement	38/555	473/17381	1.86840729038955e-07	4.90340138271608e-05	4.12524662272851e-05	TEK/RELN/RPS19/EPCAM/CAMK1D/PODXL/DOCK4/THBS4/PRKCA/JCAD/SEMA5A/ITGA2/SEMA6D/TGFB2/F2R/KDR/KIT/ANGPT1/CD40/VTN/NTRK3/ITGA4/TACR1/CXCL12/NTN1/XCL1/PTPRC/ANXA3/ROR2/FOXF1/SPOCK2/HGF/PDGFD/PDGFRA/TMSB15B/TUBB2B/EGF/SLC8A1	38
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	25/555	239/17381	2.03611580906083e-07	5.02920604838025e-05	4.2310864738131e-05	CDH11/PCDH10/KLF4/EPCAM/PCDHB6/UNC5D/CDHR5/TENM4/TGFB2/NECTIN3/CLDN14/AMIGO2/PCDHGB3/FAT4/CDH23/SELE/CD84/PCDHGB6/CDHR1/CLDN1/APOA1/TENM1/PCDH7/PTPRD/PCDHB5	25
GO:0051962	positive regulation of nervous system development	38/555	476/17381	2.19404847372038e-07	5.11822752286214e-05	4.3059805133366e-05	RELN/BMP5/VWC2/CAMK1D/TENM4/SEMA5A/OXT/PTN/NDNF/NKX2-2/LRRN3/EPHA4/ZEB1/NEURL1/SYT1/KIT/PCP4/EPHB3/NTRK3/AMIGO2/TRIM67/CDKL5/L1CAM/COBL/CXCL12/NTN1/ISLR2/OLIG2/HGF/CPNE5/CNTF/LRP2/TUBB2B/EGF/PTPRD/SLITRK2/DCT/SLIT2	38
GO:0040017	positive regulation of locomotion	38/555	490/17381	4.54559697451204e-07	0.000100457693136716	8.45153653543624e-05	TEK/RELN/EPCAM/CAMK1D/PODXL/DOCK4/THBS4/PRKCA/JCAD/SEMA5A/ITGA2/SEMA6D/TGFB2/F2R/KDR/KIT/ANGPT1/CD40/VTN/NTRK3/ITGA4/TACR1/CXCL12/NTN1/XCL1/PTPRC/ANXA3/ROR2/FOXF1/SPOCK2/HGF/PDGFD/PDGFRA/TMSB15B/TUBB2B/EGF/SLC8A1/SLIT2	38
GO:0007409	axonogenesis	35/555	433/17381	4.97561504829699e-07	0.000104463037938995	8.78850742214984e-05	CDH11/RPL24/RELN/PLXNA4/GAP43/UNC5D/NPTX1/PRKCA/EGR2/SEMA5A/GFRA1/OGN/EPHA4/ANOS1/EPHB3/NTRK3/BMPR1B/NOG/CDKL5/L1CAM/GFRA2/PTPRO/COBL/CXCL12/NTN1/ISLR2/PLPPR4/TUBB3/OMG/TUBB2B/SLITRK2/LGI1/SLIT1/LAMA2/SLIT2	35
GO:0010001	glial cell differentiation	21/555	187/17381	5.96963904443138e-07	0.000118907286451896	0.000100037064798025	RELN/DUSP15/DNER/GAP43/EGR2/TENM4/NKX2-2/EPHA4/MXRA8/VTN/NTRK3/NOG/TSPAN2/ROR2/GSTP1/OLIG2/ADGRG6/CNTF/ID4/OLIG1/LAMA2	21
GO:0050673	epithelial cell proliferation	31/555	361/17381	6.22996023325008e-07	0.000118907286451896	0.000100037064798025	TEK/BMP5/FOXP2/ESR1/THBS4/SULF1/RGN/COL8A1/PRKCA/TGFA/JCAD/SEMA5A/PTN/PGR/ANG/IGFBP5/TGFB2/KDR/KIT/GPC3/NOG/TACR1/EYA1/CXCL12/PTPRK/SIX1/LGR5/APOA1/HTRA1/DLL4/AR	31
