ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	47/591	365/18511	3.21704864208686e-16	1.29968765140309e-13	1.12766020822624e-13	COL9A3/COL12A1/RELN/FBN1/VWC2/COL15A1/COL10A1/COL4A4/THBS4/COL14A1/ABI3BP/COL3A1/ECM2/COL8A1/PTN/OGN/NDNF/P3H2/LRRN3/ANG/ANOS1/KAZALD1/THSD4/MAMDC2/VTN/SPON1/VCAN/GPC3/SMOC2/PODN/TFF3/FREM1/NTN1/COL4A3/SPOCK2/OMG/WNT6/ADAMTSL3/LUM/COL5A3/FBN2/PODNL1/HMCN1/SBSPON/LAMA2/SPARCL1/ADAMTSL1	47
GO:0044420	extracellular matrix component	23/591	120/18511	3.84048728207683e-12	7.7577843097952e-10	6.73095928911361e-10	COL12A1/FBN1/VWC2/COL15A1/COL4A4/THBS4/COL14A1/COL3A1/COL8A1/PTN/P3H2/ANG/THSD4/VTN/SMOC2/FREM1/NTN1/COL4A3/LUM/COL5A3/FBN2/HMCN1/LAMA2	23
GO:0005788	endoplasmic reticulum lumen	32/591	299/18511	2.32453457239222e-09	3.13037322415486e-07	2.71603513195302e-07	COL9A3/COL12A1/FBN1/COL15A1/COL10A1/SLC27A2/COL4A4/COL14A1/COL3A1/COL8A1/SDC2/RCN3/P3H2/CHRDL1/IGFBP5/MXRA8/VTN/SPON1/VCAN/GPC3/CP/COL4A3/WNT6/PDGFD/APOA1/C4A/COL5A3/MSLN/SPARCL1/F5/ADAMTSL1/COL20A1	32
GO:0005581	collagen trimer	16/591	88/18511	1.63881622553483e-08	1.65520438779018e-06	1.43612053448184e-06	COL9A3/COL12A1/COL15A1/COL10A1/COL4A4/COL14A1/COL3A1/COL8A1/C1QTNF7/COLEC12/COL4A3/C1QL3/LUM/COL5A3/C1QL4/COL20A1	16
GO:0005604	basement membrane	16/591	93/18511	3.71872308507641e-08	3.00472825274174e-06	2.6070206049062e-06	FBN1/VWC2/COL15A1/COL4A4/THBS4/COL8A1/PTN/P3H2/ANG/VTN/SMOC2/FREM1/NTN1/COL4A3/HMCN1/LAMA2	16
GO:0045177	apical part of cell	30/591	363/18511	2.1248341555471e-06	0.000143072166473505	0.000124135048034594	ABCB1/TEK/EPCAM/PODXL/RHCG/NHS/CDHR5/UPK2/HOMER2/ITGA8/ABCC2/CA2/PROM1/ANK2/MYO5B/MTCL1/UPK1A/ATP6V0A4/FAT4/ATP1B2/F2RL2/PTPRO/ATP1B1/SCNN1A/CLDN1/SLC26A4/SLC9A3/SLC6A20/KCNMA1/LRP2	30
GO:0022625	cytosolic large ribosomal subunit	11/591	61/18511	3.14154463040111e-06	0.00018131200438315	0.000157313437883244	RPL24/RPL29/RPL15/RPL14/RPL13AP3/RPL32/RPL35A/RPL18/RPL39L/RPL9/RPL39	11
GO:0016324	apical plasma membrane	25/591	292/18511	8.1108561111152e-06	0.000409598233611318	0.000355383563815969	ABCB1/TEK/EPCAM/PODXL/RHCG/NHS/CDHR5/UPK2/ABCC2/PROM1/ANK2/MTCL1/UPK1A/ATP6V0A4/ATP1B2/F2RL2/PTPRO/ATP1B1/SCNN1A/CLDN1/SLC26A4/SLC9A3/SLC6A20/KCNMA1/LRP2	25
GO:0022626	cytosolic ribosome	14/591	113/18511	1.46908143300502e-05	0.000659454332148919	0.000572168558117744	RPL24/RPL29/RPL15/RPL14/RPS19/RPSA/RPL13AP3/RPL32/RPS18/RPL35A/RPL18/RPL39L/RPL9/RPL39	14
GO:0030425	dendrite	34/591	495/18511	2.5126630819886e-05	0.00100273871237337	0.000870015610266625	RELN/DNER/PLXDC1/CHRNA3/PSD2/CHRM3/HOMER2/GRIP1/ITGA8/PSD/UHMK1/EPHA4/NEURL1/EPHB3/BMPR1B/NLGN4X/ATP1A2/CDKL5/L1CAM/TACR1/PTPRO/COBL/TRIM9/TUBB3/ANXA3/ROR2/PTPRK/C4A/LRP2/GRIK2/ADCY2/SLC8A1/SYT11/LAMA2	34
