ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005518	collagen binding	12/546	65/17354	7.34463123446291e-07	0.000299795704711936	0.000259238207725851	COL14A1/ABI3BP/ECM2/ITGA10/ITGA2/ITGA1/VTN/PODN/LUM/ADGRG6/COL5A3/SPARCL1	12
GO:0005201	extracellular matrix structural constituent	13/546	78/17354	8.70234266217522e-07	0.000299795704711936	0.000259238207725851	COL9A3/COL12A1/FBN1/COL15A1/COL4A4/COL14A1/COL3A1/ANOS1/VCAN/COL4A3/LUM/COL5A3/FBN2	13
GO:0005001	transmembrane receptor protein tyrosine phosphatase activity	6/546	16/17354	5.77461474410368e-06	0.000994677389671858	0.000860113669779653	PTPRR/PTPRB/PTPRO/PTPRC/PTPRK/PTPRD	6
GO:0019198	transmembrane receptor protein phosphatase activity	6/546	16/17354	5.77461474410368e-06	0.000994677389671858	0.000860113669779653	PTPRR/PTPRB/PTPRO/PTPRC/PTPRK/PTPRD	6
GO:0005539	glycosaminoglycan binding	19/546	213/17354	4.56253718644071e-05	0.00463945808900136	0.00401181464880417	RPL29/FBN1/THBS4/ABI3BP/ECM2/SEMA5A/RSPO3/PTN/NDNF/ANG/ANOS1/VTN/VCAN/SMOC2/RSPO4/SPOCK2/TENM1/COL5A3/SLIT2	19
GO:0008201	heparin binding	16/546	160/17354	4.60257771150221e-05	0.00463945808900136	0.00401181464880417	RPL29/FBN1/THBS4/ABI3BP/ECM2/RSPO3/PTN/NDNF/ANG/ANOS1/VTN/SMOC2/RSPO4/TENM1/COL5A3/SLIT2	16
GO:1901681	sulfur compound binding	20/546	232/17354	4.71352781175755e-05	0.00463945808900136	0.00401181464880417	RPL29/FBN1/THBS4/ABI3BP/ECM2/SEMA5A/ITGA2/RSPO3/PTN/NDNF/ANG/ANOS1/VTN/GPC3/SMOC2/RSPO4/GSTP1/TENM1/COL5A3/SLIT2	20
GO:0005085	guanyl-nucleotide exchange factor activity	24/546	320/17354	8.12013692749286e-05	0.00699346792880322	0.00604736513284337	TEK/DOCK4/RASGEF1B/PSD2/TIAM2/PLCE1/GFRA1/PSD/DENND1C/GRIN2A/SH2D3A/KIT/ANGPT1/CSF2RB/RGL3/GFRA2/PLEKHG4/HGF/PDGFRA/DOCK11/PREX2/RASGRP1/EGF/PLEKHG6	24
GO:0005391	sodium:potassium-exchanging ATPase activity	4/546	10/17354	0.000174977202527013	0.0133954769490125	0.0115832861555894	ATP4A/ATP1A2/ATP1B2/ATP1B1	4
GO:0008556	potassium-transporting ATPase activity	4/546	11/17354	0.000268135142978844	0.0184745113512424	0.0159752095711606	ATP4A/ATP1A2/ATP1B2/ATP1B1	4
GO:0005088	Ras guanyl-nucleotide exchange factor activity	19/546	248/17354	0.000335586186228872	0.0210198983919721	0.0181762470244538	TEK/RASGEF1B/TIAM2/GFRA1/DENND1C/GRIN2A/KIT/ANGPT1/CSF2RB/RGL3/GFRA2/PLEKHG4/HGF/PDGFRA/DOCK11/PREX2/RASGRP1/EGF/PLEKHG6	19
GO:0015081	sodium ion transmembrane transporter activity	14/546	157/17354	0.000447071514171543	0.0256693561053494	0.0221967085106222	HCN2/ASIC3/ATP4A/ATP1A2/SLC6A13/ATP1B2/ATP1B1/SCNN1A/SLC9A7/SLC9A3/SLC6A20/GRIK2/SLC5A5/SLC8A1	14
GO:0003735	structural constituent of ribosome	14/546	159/17354	0.000508042524127749	0.0269262537787707	0.0232835683122515	RPL24/RPL29/RPL15/RPL14/RPS19/RPSA/RPL13AP3/RPL32/RPS18/RPL35A/RPL18/RPL39L/RPL9/RPL39	14
GO:0008083	growth factor activity	14/546	162/17354	0.000612695046127456	0.0301533490558441	0.0260740899329429	BMP5/FGF12/THBS4/IGF2/TGFA/PTN/OGN/TGFB2/CLEC11A/CXCL12/HGF/PDGFD/CNTF/EGF	14
GO:0004714	transmembrane receptor protein tyrosine kinase activity	8/546	62/17354	0.000691787833345617	0.0317761211450087	0.0274773272753417	TEK/EPHA4/KDR/KIT/EPHB3/NTRK3/ROR2/PDGFRA	8
