ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04974	Protein digestion and absorption	13/204	81/5894	3.28654279031532e-06	0.000435021910231377	0.000361514052823859	1299/1303/1306/1286/7373/1281/477/482/481/6550/50509/6546/6519	13
hsa04512	ECM-receptor interaction	13/204	85/5894	5.72397250304443e-06	0.000435021910231377	0.000361514052823859	5649/1286/7060/1281/8515/6383/3673/8516/3672/7448/3676/50509/3908	13
hsa04510	Focal adhesion	19/204	200/5894	5.38554491662313e-05	0.00257628867115852	0.00214096011453616	5649/1286/7060/1281/5578/8515/3673/8516/3672/5294/3791/7448/3676/3082/80310/5156/50509/1950/3908	19
hsa03010	Ribosome	12/204	92/5894	6.77970702936452e-05	0.00257628867115852	0.00214096011453616	6152/6159/6138/9045/6223/3921/6161/6222/6165/6141/6133/6170	12
hsa04970	Salivary secretion	11/204	89/5894	0.000222902254977374	0.00534965474871824	0.00444569646707887	5578/2983/1131/23236/2982/477/482/952/481/3778/108	11
hsa04514	Cell adhesion molecules (CAMs)	14/204	136/5894	0.00023126151184158	0.00534965474871824	0.00444569646707887	6383/8516/25945/958/23562/3676/57502/1462/3897/6401/5788/3112/9076/9379	14
hsa04540	Gap junction	11/204	90/5894	0.000246365679217287	0.00534965474871824	0.00444569646707887	5578/2983/23236/2982/51807/10381/80310/5156/347733/1950/108	11
hsa04972	Pancreatic secretion	11/204	101/5894	0.000674794835587762	0.0116724723337523	0.00970011551281352	5578/1131/23236/760/477/482/952/5319/481/3778/108	11
hsa04976	Bile secretion	9/204	71/5894	0.000691133230287963	0.0116724723337523	0.00970011551281352	5243/10998/1244/760/477/482/481/6550/108	9
hsa04971	Gastric acid secretion	9/204	74/5894	0.000937797402209338	0.0127910399063127	0.0106296730523374	5578/1131/23236/760/495/477/482/481/108	9
hsa04964	Proximal tubule bicarbonate reclamation	5/204	23/5894	0.000955961847508529	0.0127910399063127	0.0106296730523374	760/477/482/481/6550	5
hsa05414	Dilated cardiomyopathy	10/204	90/5894	0.00100981893997205	0.0127910399063127	0.0106296730523374	8515/3673/8516/3672/7042/3676/108/6546/3908/7137	10
hsa04020	Calcium signaling pathway	15/204	177/5894	0.00112393142185832	0.0131413520094204	0.0109207911435626	5578/51196/1131/1909/552/23236/2903/773/2149/5137/952/6869/5156/108/6546	15
hsa04360	Axon guidance	12/204	130/5894	0.00169886249202779	0.0184447927705875	0.0153280826348372	137970/4773/9037/80031/2043/2049/3897/6387/9423/9723/6585/9353	12
hsa05410	Hypertrophic cardiomyopathy (HCM)	9/204	83/5894	0.00213271359503294	0.0216114977630004	0.0179596934318563	8515/3673/8516/3672/7042/3676/6546/3908/7137	9
hsa04960	Aldosterone-regulated sodium reabsorption	6/204	42/5894	0.00295754437985252	0.028096671608599	0.0233490345777831	5578/5294/477/482/481/6337	6
hsa04060	Cytokine-cytokine receptor interaction	18/204	265/5894	0.00449848484237159	0.0402217468259107	0.0334252743705629	2323/3953/7042/3791/3815/958/658/1439/6387/6375/1489/8743/3082/1270/5156/10663/944/1950	18
