IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04060	Cytokine-cytokine receptor interaction	55/602	243/6242	7.17036405216212e-10	2.06506484702269e-07	1.83410364702673e-07	1233/2920/653/658/651/4283/5618/5197/970/151449/6351/3594/26525/1437/3579/9235/7850/51330/3627/3458/23529/56300/3600/7042/10850/6357/1436/3595/3601/8784/6352/58985/29949/6364/1440/1896/3589/6373/133396/388372/6355/6374/6354/246778/4804/5473/6349/356/10344/9966/2690/6348/8771/53833/3572	55
hsa04080	Neuroactive ligand-receptor interaction	42/602	187/6242	1.02546860625169e-07	1.47667479300243e-05	1.311520375364e-05	55879/2562/3061/2642/5618/1269/1816/4889/4986/3001/3972/1268/2901/4923/5733/719/9568/552/8001/5540/3351/2913/2357/6865/56923/11255/1139/155/1129/9127/2917/5731/2147/10800/7434/3352/3355/2561/5644/2915/2690/2740	42
hsa04020	Calcium signaling pathway	34/602	162/6242	8.57470348991773e-06	0.00062026270971226	0.00055089122244181	952/5582/1816/5260/2066/9630/108/4923/5733/51196/5333/552/5136/6865/2774/8877/1139/155/1129/6262/3708/9127/5731/10800/3706/5137/4638/775/2064/5350/2915/5153/8912/4843	34
hsa04514	Cell adhesion molecules (CAMs)	30/602	135/6242	8.90545878433665e-06	0.00062026270971226	0.00055089122244181	3117/4684/1365/9071/149461/6402/29126/925/6401/3119/54413/3680/25945/57689/22871/3897/941/23562/6614/80380/1001/3134/942/9074/9378/1013/9080/8516/57502/1493	30
hsa00140	Steroid hormone biosynthesis	15/602	45/6242	1.07684498213934e-05	0.00062026270971226	0.00055089122244181	6783/54576/54575/3283/54490/7364/1545/3292/6716/412/7366/1544/1583/1543/6820	15
hsa00830	Retinol metabolism	16/602	53/6242	2.27506273235683e-05	0.00109203011153128	0.000969895164846859	54576/124/54575/125/54490/7364/127/126/195814/8854/7366/1544/1548/1543/130/145226	16
hsa05332	Graft-versus-host disease	12/602	34/6242	4.34043042461852e-05	0.00178577708898591	0.00158605201982301	3117/3804/3824/3119/3458/3002/941/5551/3134/942/356/3821	12
hsa05323	Rheumatoid arthritis	20/602	84/6242	0.000101782045427624	0.00366415363539445	0.00325434697880428	3117/1437/4314/3119/3458/50617/3600/245973/7042/6352/941/6364/3589/6374/942/6349/1514/4312/6348/1493	20
hsa05204	Chemical carcinogenesis	17/602	67/6242	0.000145653880579196	0.00429833464646493	0.00381759985047872	2939/2938/54576/124/54575/125/54490/7364/127/1545/126/7366/1544/1139/1548/1543/130	17
hsa00980	Metabolism of xenobiotics by cytochrome P450	16/602	61/6242	0.000149247730780032	0.00429833464646493	0.00381759985047872	2939/2938/54576/124/54575/125/54490/7364/127/1545/126/7366/1544/1548/1543/130	16
hsa05146	Amoebiasis	20/602	90/6242	0.000277781009912266	0.00679296289288102	0.0060332236219667	6318/4583/5582/1285/6317/284217/929/9630/1437/5295/1992/3918/7850/3458/7042/2774/3909/5275/5272/4843	20
hsa00982	Drug metabolism - cytochrome P450	15/602	58/6242	0.000283040120536709	0.00679296289288102	0.0060332236219667	2939/2938/54576/124/54575/125/54490/7364/127/126/7366/1544/1548/130/2330	15
hsa04610	Complement and coagulation cascades	16/602	66/6242	0.000398497604368922	0.00882825461986535	0.00784088403738041	3053/5055/629/713/719/5054/730/714/2147/5345/11326/5265/2152/712/5624/5329	16
hsa04742	Taste transduction	13/602	48/6242	0.000439716631249078	0.0090455992714096	0.00803392040552826	5726/9568/29850/6340/3351/10021/5136/5137/775/3352/3355/6338/5153	13
hsa04640	Hematopoietic cell lineage	19/602	87/6242	0.000495158838120515	0.00950704969191389	0.00844376123952878	3117/952/931/2209/924/929/290/1437/925/3675/7850/3119/1436/909/100133941/960/1440/3589/945	19
hsa04380	Osteoclast differentiation	24/602	125/6242	0.000723684382912975	0.0130263188924335	0.0115694279636745	10990/2209/10288/27035/126014/140885/5295/2214/3458/2212/5602/6688/7305/7042/8061/1436/4773/11006/353514/4688/11026/79168/11025/54209	24
hsa05032	Morphine addiction	16/602	74/6242	0.00151081632080121	0.0255950059053381	0.0227324065606621	55879/2562/5582/2786/108/9568/5136/8622/27115/111/5137/10846/2561/5139/5153/2793	16
hsa05320	Autoimmune thyroid disease	9/602	31/6242	0.00196131945655485	0.0313811113048776	0.0278713817510426	3117/3119/3002/941/5551/3134/942/356/1493	9
hsa00350	Tyrosine metabolism	9/602	32/6242	0.00250008565889896	0.036001233488145	0.0319747797427603	124/7054/125/127/126/5409/8639/7306/130	9
hsa05330	Allograft rejection	9/602	32/6242	0.00250008565889896	0.036001233488145	0.0319747797427603	3117/3119/3458/3002/941/5551/3134/942/356	9
hsa04978	Mineral absorption	11/602	45/6242	0.00294293473126693	0.0403602477430894	0.0358462726665597	486/6523/4501/4489/4494/4496/4495/4502/4493/4499/477	11
