IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	132/2410	370/14990	1.07989501697817e-20	5.88752742718526e-18	5.23203348286302e-18	CCL19/GHRL/MIF/LTB/PCSK9/CCL5/CXCL14/CX3CL1/CMTM5/LY6E/MAPT/NRTN/BMP5/OGN/CCL26/CXCL10/GDF9/CCL13/PTHLH/LEFTY2/IL17C/WFIKKN2/STC1/FGF10/WNT3A/CXCL3/SAA1/EDN2/IL36RN/TGFA/FLRT3/CXCL1/CCL8/CCL25/UCN/IL32/PGF/LTA/MIA/LHB/CCL7/QRFP/KITLG/INHBE/POMC/CGA/C1QTNF4/UTS2/IL1A/EPHA7/ADM/WNT10A/GDF5/SAA4/NTF4/CCL20/CMTM7/IFNL1/TNFSF9/NPFF/BMP7/CXCL5/CXCL6/BMP2/FAM3D/EFNA5/RABEP1/FGF11/EDN1/OXT/IL17B/SCT/LEFTY1/NRG4/NMB/PYY2/WISP3/CCL17/STC2/IFNE/IL27/LYNX1/CGB7/IFNG/ARTN/LYPD6/ANGPTL8/UCN2/RETN/XCL2/INSL3/SEMA3E/TNF/NPPC/SLURP1/CD70/WNT10B/NGF/IL12A/DKK1/SAA2/CSF3/NRG2/WNT7A/FGF9/CXCL8/CCL18/LYPD1/LIF/FGF17/CD320/CXCL9/CXCL11/SEMA3C/CORT/BMP6/FGF16/IL34/GNRH1/PNOC/WNT5A/GDF1/NDP/CHGB/C1QTNF12/VGF/CRLF1/IL23A/XCL1/FBN1/GAL/EDN3	132
GO:0048018	receptor ligand activity	126/2410	346/14990	1.13221681292024e-20	5.88752742718526e-18	5.23203348286302e-18	CCL19/GHRL/MIF/LTB/CCL5/CXCL14/CX3CL1/CMTM5/MAPT/NRTN/BMP5/OGN/CCL26/CXCL10/GDF9/CCL13/PTHLH/LEFTY2/IL17C/STC1/FGF10/WNT3A/CXCL3/SAA1/EDN2/IL36RN/TGFA/FLRT3/CXCL1/CCL8/CCL25/UCN/IL32/PGF/LTA/MIA/LHB/CCL7/QRFP/KITLG/INHBE/POMC/CGA/C1QTNF4/UTS2/IL1A/EPHA7/ADM/WNT10A/GDF5/SAA4/NTF4/CCL20/CMTM7/IFNL1/TNFSF9/NPFF/BMP7/CXCL5/CXCL6/BMP2/FAM3D/EFNA5/RABEP1/FGF11/EDN1/OXT/IL17B/SCT/LEFTY1/NRG4/NMB/PYY2/WISP3/CCL17/STC2/IFNE/IL27/CGB7/IFNG/ARTN/ANGPTL8/UCN2/RETN/XCL2/INSL3/SEMA3E/TNF/NPPC/SLURP1/CD70/WNT10B/NGF/IL12A/DKK1/SAA2/CSF3/NRG2/WNT7A/FGF9/CXCL8/CCL18/LIF/FGF17/CD320/CXCL9/CXCL11/SEMA3C/CORT/BMP6/FGF16/IL34/GNRH1/PNOC/WNT5A/GDF1/NDP/CHGB/C1QTNF12/VGF/CRLF1/IL23A/XCL1/FBN1/GAL/EDN3	126
GO:0022803	passive transmembrane transporter activity	121/2410	397/14990	2.98181983841554e-13	1.03369754398405e-10	9.18609760746962e-11	RYR3/RYR2/TRPM6/SLC26A5/GABRR1/SLC26A10/CACNA1B/SLC24A2/GABRE/ANO3/FXYD7/P2RX2/KCNK7/KCNS1/CNGA1/AQP5/TMEM63C/BEST3/SLC4A11/SCN8A/KCNJ10/SLC26A7/GJB7/CFTR/PRF1/KCNK17/KCNMB1/GRIK1/GRIK3/SCNN1A/TRPV4/KCNT1/KCNA7/TRPV3/CACNA1A/KCNIP3/IL1RAPL1/PIEZO2/CLIC3/FXYD5/KCNE4/CACNA1D/FXYD2/SCN7A/KCNQ4/CHRNA6/CACNA2D3/KCNK5/BSND/SLC26A3/PANX2/KCNC2/TRPM8/CLCA4/KCNS2/P2RX5/GLRA3/CLCA2/BCL2A1/FXYD6/CACNA2D2/KCNH1/KCNA2/GRIK4/ITPR1/CACNA2D1/ASIC4/GRIA2/CALHM6/GABRA2/KCNJ16/SLC5A8/KCNB2/REST/RYR1/KCNK12/CHRNA2/TRPV5/KCNC1/KCNJ13/KCNJ3/GABRA5/CHRNA7/HTR3A/SLC26A9/CALHM3/AQP2/KCNE5/KCND3/CNGA3/NCALD/SCN1A/GRIA1/TTYH1/TMEM150C/KCNN1/KCNH3/KCNK9/JPH2/ABCC8/CLCN4/TRPA1/SLC24A5/SLC40A1/GABRP/AQP4/GJB1/NCS1/KCNMA1/KCNN4/CHRNA5/GJA1/CNGB1/KCNH8/GRIN2D/BEST4/SCNN1B/KCNJ9/CHRNB4/GJB3/KCNG1	121
GO:0046873	metal ion transmembrane transporter activity	119/2410	407/14990	1.02352463362643e-11	1.77410936495247e-09	1.57658706723509e-09	RYR3/RYR2/SLC39A4/SLC5A4/CLDN16/NIPAL4/TRPM6/ATP2B2/CACNA1B/SLC5A7/SLC24A2/SLC6A17/SLC6A15/KCNK7/KCNS1/CNGA1/SLC4A11/SCN8A/KCNJ10/SLC6A11/SLC4A4/KCNK17/KCNMB1/SLC6A4/GRIK1/GRIK3/SCNN1A/SLC5A12/TRPV4/KCNT1/KCNA7/TRPV3/CACNA1A/KCNIP3/IL1RAPL1/KCNE4/SLC39A12/CACNA1D/SLC30A3/FXYD2/SCN7A/KCNQ4/CACNA2D3/KCNK5/SLC9A4/SLC30A8/SLC4A8/SLC1A1/SLC13A2/KCNC2/TRPM8/ATP7A/SLC9A2/SLC6A16/KCNS2/SLC13A5/ATP1A2/SLC6A7/ATP2A1/SLC4A10/CACNA2D2/KCNH1/KCNA2/GRIK4/ITPR1/CACNA2D1/ATP12A/SLC6A14/ASIC4/KCNJ16/SLC34A2/KCNB2/REST/RYR1/SLC25A37/KCNK12/SLC5A6/TRPV5/KCNC1/KCNJ13/SLC4A7/KCNJ3/CHRNA7/ATP13A4/KCNE5/KCND3/ATP2B3/SLC39A2/TFR2/CNGA3/SCN1A/SLC1A6/TF/TTYH1/SLC30A1/KCNN1/KCNH3/KCNK9/ATP7B/JPH2/ABCC8/TRPA1/SLC24A5/SLC40A1/SLC38A1/SLC28A1/NCS1/KCNMA1/SLC10A4/KCNN4/SLC39A6/CNGB1/KCNH8/GRIN2D/SLC6A2/SCNN1B/KCNJ9/KCNG1/ATP1A4	119
GO:0005125	cytokine activity	63/2410	169/14990	1.66621850260648e-11	2.42376799320943e-09	2.15391528141485e-09	CCL19/MIF/LTB/CCL5/CXCL14/CX3CL1/CMTM5/BMP5/CCL26/CXCL10/GDF9/CCL13/LEFTY2/IL17C/CXCL3/IL36RN/CXCL1/CCL8/CCL25/IL32/LTA/CCL7/KITLG/INHBE/C1QTNF4/IL1A/GDF5/CCL20/CMTM7/IFNL1/TNFSF9/BMP7/CXCL5/CXCL6/BMP2/FAM3D/EDN1/IL17B/LEFTY1/CCL17/IFNE/IL27/IFNG/XCL2/TNF/SLURP1/CD70/IL12A/CSF3/WNT7A/CXCL8/CCL18/LIF/CXCL9/CXCL11/BMP6/IL34/WNT5A/GDF1/NDP/CRLF1/IL23A/XCL1	63
GO:0004930	G-protein coupled receptor activity	98/2410	352/14990	1.15896620231429e-08	8.60946321719187e-07	7.65091974159358e-07	NLRP6/S1PR4/SPHK1/PROKR1/PTGFR/GPR37L1/GRM4/GPR12/GPR84/CXCR5/CCKBR/NPY2R/CCR7/GPRC5A/GPR19/MAS1L/GPR3/ADORA2B/GPR141/PTH2R/ELOVL4/GALR2/SMO/TAS2R3/ADGRV1/SFRP1/P2RY11/CELSR1/GRIK3/OR7C1/HPGD/CCKAR/CYSLTR1/GPR152/GABBR2/OR13A1/P2RY4/OXGR1/C5AR2/OR7A5/SFRP5/HRH3/GPR55/GPR160/ADGRF2/OR2B6/CRHR1/GRPR/ADORA1/SSTR2/GPR87/HCAR1/TAS1R1/GNRHR/CXCR3/PTGER3/ADGRF1/GPR18/MRGPRX3/OR2C1/NTSR1/ADGRB1/GPR25/HTR6/GPR161/GPR156/CX3CR1/ADGRG3/NMUR1/TACR1/FZD9/FPR2/AGTR1/S1PR5/TSHR/OPRK1/SORCS1/GPR83/GPR26/PTGER1/VIPR2/ADGRG2/HTR1F/FFAR3/QRFPR/GPR158/FZD7/ADRA2B/NPR3/CHRM1/CHRM3/ADCYAP1R1/F2RL2/GRM6/GLP1R/GAL/NPY4R/NPY1R	98
GO:0030414	peptidase inhibitor activity	47/2410	136/14990	9.31909278078574e-08	6.05741030751073e-06	5.38300227732229e-06	CST9/WFDC3/SERPINF2/PTTG1/C4A/SPOCK2/SERPINI1/WFIKKN2/A2ML1/ITIH1/PZP/SERPINA6/COL4A3/SPINK8/SPINK1/MT3/VIL1/CD27/PI3/PTTG3P/SLPI/SPINK5/SERPINB5/ANOS1/CST5/RENBP/SERPINA11/ITIH2/CSTA/BIRC5/SERPINB2/HMSD/TFAP2B/NGF/SERPINB7/CSTB/PTTG2/GAPDH/CST6/WFDC6/NLRP7/CST4/SPINK2/PCSK1N/SERPINE2/UMODL1/WFDC1	47
GO:0022804	active transmembrane transporter activity	89/2410	325/14990	1.23243277752105e-07	7.53958875659936e-06	6.7001608585974e-06	SLC7A5/ABCA12/SLC5A4/ABCC12/SLC26A5/ATP2B2/ATP6V1C2/SLC26A10/SLC5A7/SLC24A2/SLC16A3/SLC7A10/SLC6A17/SLC6A15/ABCA9/SLC4A11/SLC6A11/SLC26A7/SLC7A8/SLC16A8/ATP5F1D/CFTR/SLC4A4/SLC6A4/TAP1/SLC38A3/ABCC13/ABCC6/SLC5A12/SLCO1A2/TAP2/ABCA8/SLC15A1/FXYD2/SLC9A4/SLC4A8/ABCA13/SLC1A1/SLC26A3/SLC13A2/SLC16A1/SLC2A10/ATP7A/ATP6V1E2/SLC9A2/SLCO4A1/SLC22A1/SLC2A6/SLC6A16/SLC13A5/ABCC11/ATP1A2/SLC16A11/ABCC2/SLC6A7/ATP2A1/SLC4A10/SLC22A10/ATP12A/SLC6A14/SLC2A12/SLC18A2/SLC34A2/SLC5A8/SLC5A6/SLCO4C1/SLC4A7/SLC38A4/SLC16A12/SLCO5A1/ATP13A4/SLC29A4/SLC26A9/ATP2B3/SLC22A16/SLC1A6/SLC16A10/ATP7B/ABCC8/CLCN4/SLC24A5/SLC38A1/ABCG2/SLC28A1/SLC16A6/SLC10A4/SLC22A20P/SLC6A2/ATP1A4	89
GO:0008514	organic anion transmembrane transporter activity	58/2410	197/14990	1.6027162328531e-06	5.95294600774008e-05	5.29016861821436e-05	SLC7A5/SERINC5/SLC52A1/SLC26A5/SLC26A10/SLC16A3/SLC7A10/SLC6A17/SLC6A15/SLC25A19/SLC4A11/SLC6A11/SLC26A7/SLC7A8/SLC16A8/OCA2/CFTR/SLC4A4/SLC38A3/SLC5A12/SLCO1A2/SLC4A8/SLC1A1/SLC26A3/SLC13A2/SLC16A1/SLCO4A1/SLC22A1/SLC7A2/SLC6A16/SLC13A5/ABCC11/SLC16A11/ABCC2/SLC6A7/SLC4A10/SLC22A10/SLC6A14/ATP8B1/SLC38A11/SLC5A8/SLCO4C1/SLC4A7/SLC38A4/SLC16A12/SLCO5A1/SLC26A9/SLC27A6/SLC22A16/SLC1A6/SLC16A10/SLC35A3/SLC38A1/FOLR1/SLC16A6/SLC10A4/SLC22A20P/SLC44A4	58
GO:0004252	serine-type endopeptidase activity	45/2410	145/14990	5.04122697269228e-06	0.00016912503392258	0.000150295323668041	KLK12/F12/TMPRSS7/PCSK9/C4A/TPSG1/TMPRSS5/HABP2/CTRL/PRSS27/HGFAC/GZMA/PRSS50/FCN2/PRSS12/KLK5/PRSS45/PRSS3/CTSC/GZMM/CTSV/PRSS21/KLK7/GZMB/KLK1/FCN3/MMP1/PCSK1/PRSS1/GZMH/MMP12/COLEC11/PRSS53/KLK10/KLK6/KLK8/CORIN/RHBDF2/RHBDL2/PCSK6/FCN1/MMP7/ACR/C1QA/MST1L	45
GO:0005201	extracellular matrix structural constituent	25/2410	67/14990	2.07412138408704e-05	0.000567654273539612	0.000504453898955242	COL4A4/FBN3/NCAN/HAPLN1/COL2A1/COL4A6/CHI3L1/COL11A2/COL4A3/TINAGL1/COL12A1/ANOS1/MUC6/ACAN/COL19A1/HAPLN3/MATN1/COL27A1/COL9A1/PRELP/COL9A3/HAPLN4/COL4A5/BCAN/FBN1	25
GO:0099094	ligand-gated cation channel activity	31/2410	93/14990	3.10057507561376e-05	0.000749906529915886	0.000666414912212701	RYR3/RYR2/P2RX2/CNGA1/KCNJ10/GRIK1/GRIK3/SCNN1A/CHRNA6/P2RX5/GRIK4/ITPR1/GRIA2/KCNJ16/RYR1/CHRNA2/KCNJ13/KCNJ3/CHRNA7/HTR3A/CNGA3/GRIA1/JPH2/ABCC8/TRPA1/CHRNA5/CNGB1/GRIN2D/SCNN1B/KCNJ9/CHRNB4	31
GO:0017171	serine hydrolase activity	49/2410	175/14990	4.31333296899282e-05	0.000975188323424463	0.00086661472466263	KLK12/F12/TMPRSS7/PCSK9/C4A/TPSG1/TMPRSS5/DPP10/HABP2/CTRL/PRSS27/HGFAC/GZMA/PRSS50/FCN2/PRSS12/KLK5/DPP8/PRSS45/PRSS3/CTSC/GZMM/DPP6/CTSV/PRSS21/KLK7/GZMB/KLK1/FCN3/MMP1/PCSK1/PRSS1/GZMH/MMP12/COLEC11/PRSS53/KLK10/KLK6/KLK8/CORIN/RHBDF2/RHBDL2/PCSK6/FCN1/MMP7/ACR/ACHE/C1QA/MST1L	49
