IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015711	organic anion transport	59/761	412/14683	9.30745098175115e-13	4.11017035354131e-09	3.7288587827942e-09	LRP2/ABCB11/SLC22A1/SLC10A1/CA9/SLC6A20/SLC25A18/SLC6A12/SLC6A17/ACSL1/SLC35D1/SLC2A2/PPARA/SLC51A/APOA5/SLC22A10/ABAT/ABCB4/ABCA1/SLC16A1/XK/AGXT/THRSP/SLC13A5/CA4/ABCG8/PLIN2/SLC27A5/SLC25A29/AVPR1A/SLC25A20/ADORA1/SLC2A9/MFSD2A/SLC3A1/SLC22A3/APBA1/APOC2/FABP1/CYP4F2/APOC1/PITPNM1/APOC3/APOA1/SLC6A13/MAP2K6/APOA4/ATP1A2/CPT1B/SLCO2A1/PROCA1/PLA2G10/CA5A/AQP9/SLC13A2/ARG1/SLC16A12/MTTP/SLC38A4	59
GO:0002526	acute inflammatory response	31/761	143/14683	7.31643714558902e-12	1.61546932174606e-08	1.46559788295325e-08	SAA1/UGT1A1/C2/CFHR2/C8A/DNASE1L3/CD19/HPR/CPN2/CFHR5/FN1/CFP/CREB3L3/C4BPB/HP/C9/EDNRB/IL1RN/IL1A/ADORA1/CFHR4/MBL2/F2/CFH/SAA4/SIGIRR/F3/C6/AHSG/A2M/SERPINC1	31
GO:0010876	lipid localization	50/761	339/14683	1.81930878951158e-11	2.67802253816105e-08	2.42957517644951e-08	APOF/ABCB11/SLC10A1/ITGB3/TTPA/ACSL1/APOH/ENPP1/ABCA6/PPARA/SLC51A/APOA5/LPA/ABCB4/ABCA1/THRSP/ABCG5/ANGPTL3/LRP1/ABCG8/PLIN2/SLC27A5/SLC25A20/ABCA8/APOL1/CFHR4/SPNS2/APOC4/MFSD2A/CHKA/ABCG2/APOC2/FABP1/CYP4F2/APOC1/ABCA9/PITPNM1/HILPDA/APOC3/APOA1/MAP2K6/APOA4/APOLD1/CPT1B/SLCO2A1/PROCA1/DGAT2/PLA2G10/AQP9/MTTP	50
GO:0006959	humoral immune response	32/761	171/14683	1.97988922422138e-10	1.74863816283233e-07	1.58641229208139e-07	LEAP2/POU2AF1/C2/CFHR2/C8A/CD19/LTF/REG1A/CPN2/SPINK5/CFHR5/HRG/CFP/C4BPB/C9/POU2F2/MASP2/FCN2/CFHR4/MBL2/SPNS2/F2/RPS19/RPL39/CFH/CTSG/CCR6/GNLY/CXCL13/C6/A2M/HPX	32
GO:0016042	lipid catabolic process	43/761	287/14683	2.94581559129991e-10	2.16812027519673e-07	1.96697791938376e-07	ACOX2/PCK1/SRD5A2/CES2/GBA3/HRASLS2/ENPP7/PPARA/APOA5/NEU4/ANGPTL3/ABHD6/SULT1E1/PAFAH1B3/PCK2/PNPLA1/ADORA1/CYP1A2/SULT2A1/CYP26B1/APOC2/FABP1/CYP4F2/CYP4F12/HAO2/APOC1/FGF21/ETFDH/EHHADH/APOC3/APOA1/APOA4/CES5A/CPT1B/CYP24A1/FABP4/ADTRP/PLA2G10/CPS1/CYP7A1/CYP3A4/HAO1/HSD17B6	43
GO:0072376	protein activation cascade	21/761	82/14683	7.05266179394556e-10	3.51371711379818e-07	3.18774011611267e-07	C2/CFHR2/C8A/CD19/APOH/CPN2/CFHR5/CFP/C4BPB/C9/MASP2/FCN2/CFHR4/MBL2/F2/F9/CFH/F3/C6/A2M/SERPINC1	21
GO:0006721	terpenoid metabolic process	22/761	91/14683	9.17240803262364e-10	3.51371711379818e-07	3.18774011611267e-07	LRP2/UGT1A1/UGT1A9/GPC3/HMGCS1/CYP2E1/GPC2/LRP1/ALDH1A1/CYP1A2/CYP26B1/SDC2/ADH4/APOC2/APOC3/APOA1/APOA4/CYP2C9/DGAT2/UGT1A3/HMGCS2/CYP3A4	22
GO:0042737	drug catabolic process	26/761	125/14683	9.40624669137714e-10	3.51371711379818e-07	3.18774011611267e-07	DPYD/PCK1/SULT1B1/DUOX2/CYP2A7/DAO/MAOA/CYP2E1/AASS/HP/SULT1E1/PCK2/DPYS/SULT1C4/SMOX/CYP1A2/SULT2A1/CYP3A5/NR1I2/APOA4/CYP2C9/CYP3A4/TAT/CYP2A6/PIPOX/HAO1	26
GO:0002920	regulation of humoral immune response	18/761	61/14683	9.54814433097332e-10	3.51371711379818e-07	3.18774011611267e-07	C2/CFHR2/C8A/CD19/CPN2/SPINK5/CFHR5/CFP/C4BPB/C9/CFHR4/SPNS2/F2/CFH/CXCL13/C6/A2M/HPX	18
GO:0071466	cellular response to xenobiotic stimulus	30/761	165/14683	1.50405868140959e-09	5.10917164392672e-07	4.63518003355862e-07	CDO1/PCK1/SULT1B1/UGT1A1/SRD5A2/UGT1A9/RYR2/CES2/CYP2A7/ACSL1/CYP2E1/CYP3A7/ABCB4/AIP/CMBL/PCK2/EPHX1/CYP1A2/ACSM2B/CYP26B1/CYP3A5/NR1I2/PDE2A/GLYAT/CYP2C9/UGT1A3/ARG1/FMO3/CYP3A4/CYP2A6	30
GO:1901615	organic hydroxy compound metabolic process	56/761	462/14683	2.40812520884095e-09	7.08952061482774e-07	6.43180669813939e-07	LRP2/MOGAT2/ACOX2/APOF/ABCB11/LEPR/DIO2/NUDT11/PCK1/SULT1B1/SRD5A2/DUOX2/DUOXA2/TTPA/DAO/HMGCS1/MAOA/CITED1/APOA5/ABAT/ABCA1/ANGPTL3/DDC/SULT1E1/BMP5/ALDH1A1/PCK2/CYP8B1/SLC27A5/CYP27A1/SULT1C4/APOL1/SULT2A1/CYP26B1/SLC24A5/FDX1L/DIO1/SULT2B1/CHKA/ADH4/ACER2/CYP4F2/CYP4F12/APOC1/ELOVL6/GFI1/APOA1/APOA4/CYP24A1/DGAT2/MOGAT3/HMGCS2/CYP7A1/CYP3A4/ADH1C/HAO1	56
GO:0006956	complement activation	17/761	61/14683	7.36728457869659e-09	1.73753738819335e-06	1.57634136619563e-06	C2/CFHR2/C8A/CD19/CPN2/CFHR5/CFP/C4BPB/C9/MASP2/FCN2/CFHR4/MBL2/F2/CFH/C6/A2M	17
GO:2000257	regulation of protein activation cascade	15/761	48/14683	1.00359282901695e-08	2.1104123490185e-06	1.91462371290151e-06	C2/CFHR2/C8A/CD19/CPN2/CFHR5/CFP/C4BPB/C9/CFHR4/F2/CFH/C6/A2M/SERPINC1	15
GO:0043062	extracellular structure organization	46/761	368/14683	2.62057539091873e-08	5.26020951195323e-06	4.77220571188358e-06	LAMA1/ECM2/DPP4/ITGB3/KDR/GPM6B/SPINK5/ADAMTS2/APOA5/TPSAB1/DPT/LPA/FN1/ITGA1/VCAN/ABCA1/ITGAL/FBN1/LRP1/SCX/COL14A1/COL5A3/JAM2/ITGB6/APOC4/COL6A1/CTSG/ITGAD/TNXB/APOC2/COL9A3/COL11A2/APOC1/COL6A2/WT1/TNC/APOC3/APOA1/DDR2/APOA4/ADAM19/PLG/A2M/MTTP/ITGA8/ITGA9	46
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	20/761	91/14683	3.05725399835336e-08	5.86992767683846e-06	5.32535868088462e-06	RPS24/RPL35/RPL35A/RPL26/RPS17/RPS15/RPL21/RPS21/RPL37A/RPS27/RPL18A/RPL7A/RPLP2/RPL13/RPLP1/RPS19/RPL39/RPL12/RPS29/RPL34	20
GO:0030449	regulation of complement activation	14/761	47/14683	6.19573917438715e-08	1.0523224690036e-05	9.54695680069535e-06	C2/CFHR2/C8A/CD19/CPN2/CFHR5/CFP/C4BPB/C9/CFHR4/F2/CFH/C6/A2M	14
GO:0072599	establishment of protein localization to endoplasmic reticulum	21/761	105/14683	7.93150931950266e-08	1.25091232696156e-05	1.13486182218147e-05	RYR2/RPS24/RPL35/RPL35A/RPL26/RPS17/RPS15/RPL21/RPS21/RPL37A/RPS27/RPL18A/RPL7A/RPLP2/RPL13/RPLP1/RPS19/RPL39/RPL12/RPS29/RPL34	21
GO:0009410	response to xenobiotic stimulus	34/761	251/14683	2.66048887601933e-07	3.73229422461255e-05	3.38603923981583e-05	CDO1/PCK1/SULT1B1/UGT1A1/SRD5A2/UGT1A9/RYR2/CES2/CYP2A7/ACSL1/CYP2E1/CYP3A7/ABAT/ABCB4/FOSB/AIP/CMBL/PCK2/EPHX1/CYP1A2/ACSM2B/CYP26B1/CYP3A5/NR1I2/PDE2A/TIAM1/GLYAT/CYP2C9/UGT1A3/CPS1/ARG1/FMO3/CYP3A4/CYP2A6	34
