IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034364	high-density lipoprotein particle	14/794	27/15382	9.12853410357669e-12	4.12609741481666e-09	3.7859394071676e-09	SAA1/APOF/HPR/APOH/APOA5/ABCA1/APOL1/APOC4/APOC2/APOC1/SAA4/APOC3/APOA1/APOA4	14
GO:0072562	blood microparticle	25/794	108/15382	1.66337183884759e-10	3.75922035579555e-08	3.44930791845237e-08	CD5L/C8A/PZP/HPR/CPN2/APOA5/HRG/FN1/CFHR3/A1BG/HP/C9/FCN2/APOL1/F2/CFH/APOA1/APOA4/HSPA6/AHSG/PLG/A2M/SERPINC1/HPX/TF	25
GO:0034358	plasma lipoprotein particle	15/794	39/15382	3.39640046605705e-10	3.83793252664447e-08	3.52153100954337e-08	SAA1/APOF/HPR/APOH/APOA5/LPA/ABCA1/APOL1/APOC4/APOC2/APOC1/SAA4/APOC3/APOA1/APOA4	15
GO:1990777	lipoprotein particle	15/794	39/15382	3.39640046605705e-10	3.83793252664447e-08	3.52153100954337e-08	SAA1/APOF/HPR/APOH/APOA5/LPA/ABCA1/APOL1/APOC4/APOC2/APOC1/SAA4/APOC3/APOA1/APOA4	15
GO:0031012	extracellular matrix	54/794	425/15382	7.67672221759367e-10	5.85869671843681e-08	5.37570215897555e-08	LAMA1/ECM2/COL17A1/SPP2/GPC3/TPSB2/APOH/ADAMTS2/TFF3/TPSAB1/DPT/FN1/SNORC/CFP/RELN/VCAN/OGN/A1BG/FBN1/GPC2/COL14A1/HAPLN4/L1CAM/POMZP3/HMCN1/COL5A3/ADAMTSL1/SDC2/CPZ/LRFN4/COL6A1/CTSG/MMRN2/FGFBP3/ADAMTS15/TNXB/COL9A3/COL11A2/COL15A1/PODN/ADAMTS1/COL6A2/SPON1/TNC/APOC3/APOA1/CCBE1/ALPL/APOA4/F3/CPA3/AHSG/FREM1/PRG4	54
GO:0032994	protein-lipid complex	15/794	41/15382	7.77703104217275e-10	5.85869671843681e-08	5.37570215897555e-08	SAA1/APOF/HPR/APOH/APOA5/LPA/ABCA1/APOL1/APOC4/APOC2/APOC1/SAA4/APOC3/APOA1/APOA4	15
GO:0043235	receptor complex	43/794	328/15382	1.69147604005439e-08	1.02204549758803e-06	9.37787438401685e-07	ADRB2/LRP2/LEPR/CD79B/PTPRB/EPHA7/ITGB3/KDR/GRIN2D/TEK/GFRA2/GRIN3A/ITGA1/ITGAL/ABCG5/LRP1/AIP/PLXNC1/FCRL5/ABHD6/MERTK/ABCG8/EPHA3/ITGB6/CD200R1/EPHB3/CD3G/HJV/ITGAD/KCTD16/ABCG2/GRIN3B/CD79A/DDR2/CHRNA4/LMTK2/GPR20/MTTP/TF/CALCRL/CNTFR/ITGA8/ITGA9	43
GO:0005788	endoplasmic reticulum lumen	39/794	282/15382	1.8089300842266e-08	1.02204549758803e-06	9.37787438401685e-07	COL17A1/MZB1/SPP2/CES2/GPC3/EVA1A/APOA5/SERPIND1/FN1/CFP/VGF/VCAN/FBN1/IL27/COL14A1/COL5A3/ADAMTSL1/APOL1/SDC2/F2/SRL/COL6A1/F9/COL9A3/SERPINA10/COL11A2/COL15A1/NOTUM/COL6A2/SPON1/TNC/APOA1/FSTL1/APOA4/AHSG/SERPINC1/MTTP/TF/SCG3	39
GO:0034361	very-low-density lipoprotein particle	9/794	20/15382	2.49736150533972e-07	1.12880740041356e-05	1.03574782431984e-05	APOH/APOA5/APOL1/APOC4/APOC2/APOC1/APOC3/APOA1/APOA4	9
GO:0034385	triglyceride-rich plasma lipoprotein particle	9/794	20/15382	2.49736150533972e-07	1.12880740041356e-05	1.03574782431984e-05	APOH/APOA5/APOL1/APOC4/APOC2/APOC1/APOC3/APOA1/APOA4	9
GO:0042627	chylomicron	7/794	13/15382	1.24181110398445e-06	5.10271471819066e-05	4.68204377961602e-05	APOH/APOA5/APOC2/APOC1/APOC3/APOA1/APOA4	7
GO:0022626	cytosolic ribosome	20/794	116/15382	1.82701233199296e-06	6.8817464505068e-05	6.31441104215109e-05	RPS24/RPL35/RPL35A/RPL26/RPS17/RPS15/RPL21/RPS21/RPL37A/RPS27/RPL18A/RPL7A/RPLP2/RPL13/RPLP1/RPS19/RPL39/RPL12/RPS29/RPL34	20
GO:0022625	cytosolic large ribosomal subunit	13/794	64/15382	1.90438508499075e-05	0.000632719429329932	0.000580557650572876	RPL35/RPL35A/RPL26/RPL21/RPL37A/RPL18A/RPL7A/RPLP2/RPL13/RPLP1/RPL39/RPL12/RPL34	13
GO:0005578	proteinaceous extracellular matrix	36/794	331/15382	1.95975044482722e-05	0.000632719429329932	0.000580557650572876	LAMA1/ECM2/COL17A1/GPC3/ADAMTS2/TFF3/DPT/FN1/SNORC/RELN/VCAN/OGN/FBN1/GPC2/COL14A1/HAPLN4/HMCN1/COL5A3/ADAMTSL1/CPZ/LRFN4/COL6A1/MMRN2/ADAMTS15/TNXB/COL9A3/COL11A2/COL15A1/PODN/ADAMTS1/COL6A2/SPON1/TNC/CCBE1/ALPL/FREM1	36
GO:0071682	endocytic vesicle lumen	6/794	17/15382	0.000140618383469787	0.00416760445645346	0.00382402458277285	SAA1/LTF/HP/APOA1/GNLY/HPX	6
GO:0045177	apical part of cell	34/794	337/15382	0.000147525821467379	0.00416760445645346	0.00382402458277285	ADRB2/LRP2/ABCB11/DPP4/SLC6A20/DUOX2/PDZD3/RIPOR2/ENPEP/PODXL/TEK/AGER/SLC2A2/FN1/ABCB4/IGFBP2/UPK1B/ABCG5/SVBP/FAT4/CA4/ABCG8/SLC2A9/ABCG2/FABP1/CYP4F2/CYP4F12/DDR2/RAPGEF6/ADGRF5/MYO1A/TF/CNTFR/ITGA8	34
GO:0009897	external side of plasma membrane	24/794	217/15382	0.000359098080978271	0.00954778427071637	0.00876065906535224	LRP2/CD79B/BTNL8/ENPEP/CD19/STAB2/GFRA2/ITGA1/CDH5/ABCA1/CA4/CD40LG/ITGB6/CD200R1/IL2RG/F2/BTNL9/CD79A/CD27/CHRNA4/CCR6/F3/PLG/TF	24
GO:0098802	plasma membrane receptor complex	19/794	157/15382	0.000473122839192787	0.0118806401841744	0.0109011929030385	CD79B/ITGB3/GRIN2D/GRIN3A/ITGA1/ITGAL/ABHD6/ITGB6/CD3G/HJV/ITGAD/GRIN3B/CD79A/CHRNA4/TF/CALCRL/CNTFR/ITGA8/ITGA9	19
GO:0005581	collagen trimer	12/794	79/15382	0.000695225492163122	0.0165390485504069	0.0151755592195164	COL17A1/COL14A1/FCN2/COL5A3/MBL2/COL6A1/TNXB/COL9A3/COL11A2/COL15A1/COL6A2/CCBE1	12
GO:0016324	apical plasma membrane	27/794	274/15382	0.000981202849145329	0.0211604389132219	0.0194159593195376	ADRB2/LRP2/DPP4/SLC6A20/DUOX2/RIPOR2/ENPEP/PODXL/TEK/AGER/SLC2A2/FN1/ABCB4/IGFBP2/UPK1B/ABCG5/CA4/ABCG8/SLC2A9/ABCG2/CYP4F2/CYP4F12/DDR2/RAPGEF6/MYO1A/TF/CNTFR	27
GO:0044445	cytosolic part	24/794	233/15382	0.000998495162986907	0.0211604389132219	0.0194159593195376	ENO3/RPS24/NLRP1/RPL35/RPL35A/RPL26/RPS17/RPS15/RPL21/RPS21/RPL37A/RPS27/RPL18A/RPL7A/RPLP2/ADCY2/RPL13/RPLP1/RPS19/RPL39/RPL12/RPS29/BCAS4/RPL34	24
GO:0008305	integrin complex	7/794	32/15382	0.0010299328674577	0.0211604389132219	0.0194159593195376	ITGB3/ITGA1/ITGAL/ITGB6/ITGAD/ITGA8/ITGA9	7
GO:0005782	peroxisomal matrix	8/794	43/15382	0.00141123467758815	0.0265782530945769	0.0243871255688479	ACOX2/DAO/AGXT/FABP1/HAO2/EHHADH/PIPOX/HAO1	8
GO:0031907	microbody lumen	8/794	43/15382	0.00141123467758815	0.0265782530945769	0.0243871255688479	ACOX2/DAO/AGXT/FABP1/HAO2/EHHADH/PIPOX/HAO1	8
GO:0016323	basolateral plasma membrane	21/794	200/15382	0.00158511180535022	0.0282338159412631	0.0259062027965945	LEPR/SLC22A1/SLC10A1/CA9/CD1D/SLC29A2/TEK/ENPP1/SLC51A/CDH16/LRP1/SLC27A5/ADORA1/SLC2A9/MPZ/SLC8A2/NDRG4/MYO1A/AQP9/TF/ITGA9	21
GO:0044391	ribosomal subunit	20/794	187/15382	0.00162406905856823	0.0282338159412631	0.0259062027965945	RPS24/RPL35/RPL35A/RPL26/RPS17/RPS15/RPL21/RPS21/RPL37A/RPS27/RPL18A/RPL7A/RPLP2/RPL13/RPLP1/RPS19/RPL39/RPL12/RPS29/RPL34	20
GO:0098636	protein complex involved in cell adhesion	7/794	35/15382	0.00179843455560321	0.0301071266345427	0.0276250766045874	ITGB3/ITGA1/ITGAL/ITGB6/ITGAD/ITGA8/ITGA9	7
GO:0044420	extracellular matrix component	14/794	113/15382	0.00202047230272255	0.0326161957439498	0.0299272965140107	LAMA1/COL17A1/FN1/FBN1/COL14A1/HMCN1/COL5A3/MMRN2/TNXB/COL11A2/COL15A1/ADAMTS1/TNC/FREM1	14
GO:0042383	sarcolemma	14/794	118/15382	0.00303430931765209	0.0472933728130602	0.0433944780818485	RYR2/SYNC/CACNA2D1/PGM5/ADRA1A/DYSF/TRIM72/KCNB1/CCDC78/COL6A1/COL6A2/ATP1A2/KCND3/MLIP	14
