IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	72/840	189/6210	6.9004235933179e-18	1.99422241846887e-15	1.69241968130849e-15	59340/2556/59350/7253/1136/10316/2908/1816/2357/1903/4987/3274/2903/719/7434/5745/187/5737/4889/2897/6865/9934/2890/4923/155/2892/185/2916/2847/2894/2893/9340/9002/2358/5739/1141/3356/2898/140/27334/2743/2899/10800/5023/6753/3357/1143/1269/154/2846/10203/1132/552/2149/5724/728/3351/8973/6869/148/3952/5733/1268/1901/3363/57105/2359/286530/1511/1129/5027/2901	72
hsa04514	Cell adhesion molecules (CAMs)	53/840	134/6210	3.09703767741357e-14	4.4752194438626e-12	3.79794620440716e-12	9074/79679/9073/57689/940/8516/5788/8174/920/1462/3897/1272/80380/5010/83700/3676/947/3111/23705/201633/3689/6900/57502/9378/57863/6614/23114/6403/58494/4684/3117/7412/22829/933/3684/5797/6693/1003/84628/6383/6401/57555/4685/22871/1000/942/64101/6402/10666/22854/8506/3683/257194	53
hsa04512	ECM-receptor interaction	37/840	80/6210	9.00237870732767e-13	8.67229148805899e-11	7.35983943441175e-11	1280/8516/10319/1293/7057/1277/22801/7058/3676/7060/8515/948/5649/3908/1284/3679/3371/63923/2335/3690/2811/3678/131873/9899/1291/1311/1282/7448/3381/7148/9900/1278/3339/3910/1292/7450/6696	37
hsa04610	Complement and coagulation cascades	31/840	68/6210	1.04077192070873e-10	7.5195771271206e-09	6.38157519802986e-09	5055/3687/7056/719/5054/5648/2162/3689/710/720/1191/9002/5104/730/716/11326/1378/3075/5327/2/2149/3684/728/715/7448/1380/3053/2153/7450/729/718	31
hsa04020	Calcium signaling pathway	52/840	162/6210	5.65200100907787e-10	3.26685658324701e-08	2.77245523182135e-08	777/4842/1816/7125/3274/2903/5737/816/6865/5260/5153/2774/3708/5350/4923/5159/155/8913/185/4638/3356/10800/5023/3357/773/6546/774/6261/154/6547/491/552/2149/5137/5724/493/5136/814/6869/148/5733/8911/3363/108/57105/8912/5579/1129/5336/5027/815/5156	52
hsa04974	Protein digestion and absorption	31/840	77/6210	4.50003084047872e-09	2.16751485483058e-07	1.83948629093253e-07	340024/1280/1293/1277/1289/50509/1303/255631/1301/1284/1294/1300/1305/7373/482/6546/6547/2006/1359/131873/1291/1282/80781/1290/1306/1278/477/81578/1281/1292/169044	31
hsa04151	PI3K-Akt signaling pathway	79/840	311/6210	6.35329868563914e-09	2.62300474307102e-07	2.2260429981262e-07	26281/930/2246/7097/1280/8516/3559/1441/10319/1293/5294/284/7057/2250/4914/1277/627/3575/3791/3569/22801/7058/3676/5293/7060/7010/3082/5159/8115/23533/8515/2260/5649/9180/3908/1284/3479/2247/2324/3679/2252/5008/4804/1435/3371/63923/2335/2277/2846/3690/7424/2149/3678/4803/54331/131873/1291/1311/1282/146850/1950/56034/7448/59345/2255/3381/7148/1436/5521/1129/1278/2254/2322/5156/3910/10000/1292/7450/6696	79
hsa05150	Staphylococcus aureus infection	23/840	49/6210	1.39235256778641e-08	5.0298736511284e-07	4.26865984597675e-07	2212/2204/2357/719/3111/2213/5648/3689/720/2358/6403/716/3117/3075/3684/5724/728/3586/715/2359/2214/3683/718	23
hsa04510	Focal adhesion	54/840	192/6210	4.90810578915129e-08	1.57604730340525e-06	1.33753058347632e-06	1280/8516/10319/1293/2316/7057/1277/10398/857/3791/22801/7058/3676/5293/7060/3082/5159/8515/5649/3908/2318/1284/3479/2324/399694/3679/4638/5063/3371/63923/2335/2277/3690/7424/3678/131873/1291/1311/1282/1950/56034/7448/5579/3381/7148/5602/1278/4660/5156/3910/10000/1292/7450/6696	54
hsa05144	Malaria	21/840	46/6210	1.09379050250288e-07	3.16105455223332e-06	2.68266512719127e-06	7097/7057/2995/3569/7058/2532/7060/3689/3082/948/6403/6347/7412/1378/7043/3586/1311/6383/6401/7042/3683	21
