IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043062	extracellular structure organization	132/2025	377/15235	1.19914145196562e-27	3.2242442510576e-24	2.44463634274831e-24	COL11A1/CARMIL2/APOC2/NOX1/NOXO1/COL8A2/LAMC3/APOB/AGT/GFAP/COMP/SPP1/ITGA2B/LOXL4/ALB/FGFR4/MMP8/COL9A1/MMP9/MMP10/LPA/MMP1/MMP7/VIT/IHH/ADAM19/FAP/ADAMTS9/GREM1/COL8A1/CYP1B1/ECM2/ITGA9/ADAM12/ANTXR1/THBS4/AGTR1/ITGA4/MFAP4/SPARC/SFRP2/LUM/GPM6B/FBLN2/ITGB3/ABI3BP/MMP16/DDR2/COL19A1/MMP2/ITGAX/VWF/ITGA7/ITGA8/NID2/JAM3/POSTN/TIMP2/LAMA4/CCDC80/EFEMP2/CD34/JAM2/TNR/ADAMTS4/CYR61/DPT/A2M/THBS1/MYH11/MADCAM1/COL3A1/LOXL1/FN1/HPSE2/CMA1/THBS2/ITGA11/COL1A2/FBN1/LPL/SMOC2/SPOCK2/CTSK/BGN/GPIHBP1/COL5A2/COL12A1/MFAP5/ITGA10/COL1A1/HYAL1/COL10A1/CTGF/DCN/SULF1/COL6A1/ELANE/ITGA1/ADAMTS5/CRISPLD2/COL6A3/ITGAD/VCAM1/ITGAL/FBLN1/MMP13/TPSAB1/MTTP/MMP11/FMOD/RECK/VCAN/COL5A1/FGF2/LOXL3/TNXB/COL14A1/LAMA2/FOXF1/HAS1/FOXF2/PECAM1/ITGB2/SCUBE1/COL6A2/TEX14/ELN/ADAMTS2/NDNF/CTSG/FBLN5	132
GO:0030198	extracellular matrix organization	121/2025	329/15235	1.21623698644195e-27	3.2242442510576e-24	2.44463634274831e-24	COL11A1/CARMIL2/NOX1/NOXO1/COL8A2/LAMC3/AGT/GFAP/COMP/SPP1/ITGA2B/LOXL4/FGFR4/MMP8/COL9A1/MMP9/MMP10/MMP1/MMP7/VIT/IHH/ADAM19/FAP/ADAMTS9/GREM1/COL8A1/CYP1B1/ECM2/ITGA9/ADAM12/ANTXR1/THBS4/ITGA4/MFAP4/SPARC/SFRP2/LUM/GPM6B/FBLN2/ITGB3/ABI3BP/MMP16/DDR2/COL19A1/MMP2/ITGAX/VWF/ITGA7/ITGA8/NID2/JAM3/POSTN/TIMP2/LAMA4/CCDC80/EFEMP2/JAM2/TNR/ADAMTS4/CYR61/DPT/A2M/THBS1/MYH11/MADCAM1/COL3A1/LOXL1/FN1/HPSE2/CMA1/THBS2/ITGA11/COL1A2/FBN1/SMOC2/SPOCK2/CTSK/BGN/COL5A2/COL12A1/MFAP5/ITGA10/COL1A1/COL10A1/CTGF/DCN/SULF1/COL6A1/ELANE/ITGA1/ADAMTS5/CRISPLD2/COL6A3/ITGAD/VCAM1/ITGAL/FBLN1/MMP13/TPSAB1/MMP11/FMOD/RECK/VCAN/COL5A1/FGF2/LOXL3/TNXB/COL14A1/LAMA2/FOXF1/HAS1/FOXF2/PECAM1/ITGB2/SCUBE1/COL6A2/ELN/ADAMTS2/NDNF/CTSG/FBLN5	121
GO:0006936	muscle contraction	108/2025	315/15235	5.59150420864234e-22	9.88205177140723e-19	7.49261563958074e-19	KCNE1/NMUR1/DTNA/LMOD3/TRIM72/MYOM1/KCNJ5/CHRNA1/ACTN2/SMPX/MYOM2/SCN4B/AGT/MYL3/CHGA/SCN5A/HTR1D/MYH13/PROK2/JSRP1/ACE2/MYBPHL/TNNT2/KCNE2/CHRM1/EDN3/HTR2A/PRKG1/FLNA/ADRA1A/RGS2/EHD3/TACR1/CACNA1H/ACTC1/ANXA6/CASQ1/CACNB2/KCNJ8/SCN1B/SLC8A3/PDE5A/GHRL/P2RX2/HTR2B/SCN7A/ACTG2/KIT/PPP1R12B/SCN2B/EDNRA/HSPB6/MYBPC2/CACNA1G/ATP1A2/DES/KCNMA1/MYLK/ACTA1/MYOT/DCANP1/SCN4A/MYH11/CACNA1C/GNAO1/DMD/KCNA5/SORBS1/GJA5/SSPN/FXYD1/TIFAB/F2R/KCNB2/MYL9/CALD1/KCNN2/CNN1/TRIM63/MYOCD/HCN4/CASQ2/TACR2/JUP/SGCA/RCSD1/CTGF/SULF1/RYR2/SYNM/TMOD1/ANK2/ITGA1/GUCY1A1/TPM2/CKMT2/PKP2/PTGER3/CHRM2/LMOD1/SLC8A1/PIK3CG/HRC/ADORA1/ACTA2/PLN/CTNNA3/KCNA1	108
GO:0044057	regulation of system process	136/2025	455/15235	4.39306379353962e-21	5.82300605833677e-18	4.41502911250732e-18	KCNE1/NPPC/IL1B/DBH/KCNJ5/HRH2/BVES/NLGN1/WNK3/KCND2/SCN4B/AGT/SCN11A/MYL3/CHGA/CACNB4/FOXN4/SCN5A/UTS2R/PROK2/GALR1/ACE2/OR51E2/SPTBN4/TNNT2/TENM4/KCNE2/GLP1R/ABCC8/GPR35/CACNA2D3/CHRM1/KCNJ4/EDN3/HTR2A/KCNIP1/PRKG1/AVPR1A/FLNA/CORIN/ADRA1A/S100B/RGS2/EHD3/TACR1/CACNA1H/AGTR1/ANXA6/CASQ1/CACNB2/SCN1B/SLC8A3/CAMK2B/PDE5A/KCNK3/GHRL/LMCD1/FBXO32/KIT/AQP1/PPP1R12B/SCN2B/HSPB6/CRHBP/ADORA2A/CACNA1G/ATP1A2/DES/ATP1A4/TNR/IGF1/DCANP1/IL10/CACNA1C/GNAO1/HAND2/DMD/KCNA5/POPDC2/FXYD6/CACNG6/GJA5/ABCC9/FXYD1/TIFAB/F2R/KCNB2/MYL9/KCNN2/ATP2B3/CNN1/TRIM63/MYOCD/HCN4/AIF1/AKAP6/TSHZ3/CASQ2/TACR2/JUP/TRPC3/SGCA/C1QTNF3/CTGF/FXYD7/FGFR1/SCT/AVPR2/RYR2/ITPR1/ABCB4/ANK2/IGFBP5/GUCY1A1/PKP2/TMEM100/HSPB7/PTGER3/CHRM2/SLC8A1/PIK3CG/HRC/NR4A3/HGF/GRIN2A/NPR1/ADORA1/RYR3/FGF10/SOX10/NLGN3/PLN/CTNNA3/ATP1B2/KCNA1/CELF2	136
GO:0003013	circulatory system process	138/2025	466/15235	5.67153597781944e-21	6.01409675087973e-18	4.55991492616683e-18	KCNE1/NPPC/ANGPT1/HSD11B2/DBH/KCNJ5/ANPEP/NOX1/HRH2/BVES/KCND2/SCN4B/OLR1/AGT/MYL3/CNR1/CHGA/CACNB4/FOXN4/SCN5A/UTS2R/HTR1B/HTR1D/FFAR3/ACE2/CPS1/OR51E2/CRP/SPTBN4/TNNT2/KCNE2/GLP1R/LPA/SLC6A4/SGCG/CACNA2D3/NPY6R/TRHDE/CHRM1/KCNJ4/EDN3/HTR2A/SGCD/KCNIP1/PRKG1/AVPR1A/AR/FLNA/C3AR1/CORIN/ADRA1A/RGS2/EHD3/TACR1/CACNA1H/ACTC1/AGTR1/TEK/ADRB3/SLIT2/CASQ1/CACNB2/KCNJ8/SCN1B/SLC8A3/PDE5A/KCNK3/SERPING1/GHRL/P2RX2/HTR2B/NPY1R/PDE2A/SCN2B/EDNRA/ADORA2A/POSTN/CACNA1G/CPA3/ATP1A2/KEL/CD34/DES/MEOX2/ATP1A4/FLI1/KCNMB1/CACNA1C/GNAO1/CMA1/DMD/KCNA5/POPDC2/FXYD6/CACNG6/GJA5/ABCC9/COL1A2/FXYD1/F2R/KCNN2/ATP2B3/GUCY1B1/HCN4/ADCYAP1/CASQ2/TACR2/JUP/CTGF/FXYD7/AVPR2/RYR2/ITPR1/ANK2/ITGA1/GUCY1A1/ADAMTS16/CXCR2/PKP2/HSPB7/CHRM2/SLC8A1/PIK3CG/HRC/HEG1/NPR1/ADORA1/RYR3/ELN/PDE3A/CYSLTR1/CTSG/PLN/PTGDR/CTNNA3/ATP1B2/CELF2/CXCL12	138
GO:0003012	muscle system process	121/2025	387/15235	1.21750868981738e-20	1.07587184556863e-17	8.15730822177646e-18	KCNE1/IL1B/NMUR1/DTNA/LMOD3/TRIM72/MYOM1/KCNJ5/CHRNA1/ACTN2/SMPX/MYOM2/SCN4B/AGT/MYL3/CHGA/SCN5A/HTR1D/MYH13/PROK2/JSRP1/ACE2/MYBPHL/TNNT2/KCNE2/ABCC8/CHRM1/EDN3/HTR2A/PRKG1/FLNA/ADRA1A/RGS2/EHD3/TACR1/CACNA1H/ACTC1/ANXA6/CASQ1/CACNB2/KCNJ8/SCN1B/SLC8A3/CAMK2B/PDE5A/GHRL/P2RX2/HTR2B/LMCD1/SCN7A/ACTG2/KIT/PPP1R12B/SCN2B/EDNRA/HSPB6/MYBPC2/CACNA1G/ATP1A2/DES/KCNMA1/IGF1/MYLK/ACTA1/MYOT/DCANP1/SCN4A/MYH11/CACNA1C/MYOC/GNAO1/HAND2/DMD/KCNA5/SORBS1/GJA5/MEF2C/SSPN/FXYD1/TIFAB/F2R/KCNB2/MYL9/CALD1/KCNN2/CNN1/TRIM63/MYOCD/HCN4/AIF1/AKAP6/CASQ2/TACR2/JUP/TRPC3/SGCA/RCSD1/CTGF/SULF1/RYR2/SYNM/TMOD1/ANK2/ITGA1/IGFBP5/GUCY1A1/TPM2/CKMT2/PKP2/PTGER3/CHRM2/LMOD1/SLC8A1/PIK3CG/HRC/NR4A3/ADORA1/ACTA2/PLN/CTNNA3/KCNA1	121
GO:0008015	blood circulation	136/2025	462/15235	1.99652408618742e-20	1.51222438642367e-17	1.14657526092477e-17	KCNE1/NPPC/ANGPT1/HSD11B2/DBH/KCNJ5/ANPEP/NOX1/HRH2/BVES/KCND2/SCN4B/OLR1/AGT/MYL3/CNR1/CHGA/CACNB4/FOXN4/SCN5A/UTS2R/HTR1B/HTR1D/FFAR3/ACE2/CPS1/OR51E2/CRP/SPTBN4/TNNT2/KCNE2/GLP1R/LPA/SLC6A4/SGCG/CACNA2D3/NPY6R/TRHDE/CHRM1/KCNJ4/EDN3/HTR2A/SGCD/KCNIP1/PRKG1/AVPR1A/AR/FLNA/C3AR1/CORIN/ADRA1A/RGS2/EHD3/TACR1/CACNA1H/ACTC1/AGTR1/TEK/ADRB3/SLIT2/CASQ1/CACNB2/KCNJ8/SCN1B/SLC8A3/PDE5A/KCNK3/SERPING1/GHRL/P2RX2/HTR2B/NPY1R/PDE2A/SCN2B/EDNRA/ADORA2A/POSTN/CACNA1G/CPA3/ATP1A2/KEL/CD34/DES/MEOX2/ATP1A4/FLI1/KCNMB1/CACNA1C/GNAO1/CMA1/DMD/KCNA5/POPDC2/FXYD6/CACNG6/GJA5/ABCC9/COL1A2/FXYD1/F2R/KCNN2/ATP2B3/GUCY1B1/HCN4/ADCYAP1/CASQ2/TACR2/JUP/CTGF/FXYD7/AVPR2/RYR2/ITPR1/ANK2/ITGA1/GUCY1A1/ADAMTS16/CXCR2/PKP2/HSPB7/CHRM2/SLC8A1/PIK3CG/HRC/NPR1/ADORA1/RYR3/ELN/PDE3A/CTSG/PLN/PTGDR/CTNNA3/ATP1B2/CELF2/CXCL12	136
GO:0002250	adaptive immune response	108/2025	334/15235	9.16966125380858e-20	6.07719299596163e-17	4.60775478003881e-17	LILRA6/LILRB2/KLRK1/CD3G/CD40LG/C1S/SLAMF7/THEMIS/IL1B/LILRB3/FCRL4/CD3D/CD1A/IL6/CXCL13/TBX21/CD55/NCR3/SLA2/CD8A/TNFRSF11A/CD8B/CLEC4D/CLU/CD1B/AIRE/CRP/ALOX15/C3/CLEC4M/GCNT3/CR2/IL27/KDM5D/TNFSF18/TNFRSF17/CCR2/GAPT/RFTN1/KLHL6/NLRP3/IL33/LILRB4/WAS/PTPRC/CR1/TNFSF4/POU2F2/GPR183/CLC/SERPING1/TRAT1/LILRA1/TLR8/LAIR1/CD79A/C1R/EOMES/EBI3/FCGR2B/JAM3/ITK/SLAMF1/CD4/C7/LAX1/CD84/SIT1/IL10/ZAP70/CD3E/CD6/HAVCR2/TLR4/MEF2C/SLAMF6/IL12B/TNFRSF13C/BTK/P2RX7/SPN/SIGLEC10/C4A/BTLA/SAMSN1/CD28/IRF4/BMX/FCER2/AICDA/FCGR1B/SASH3/CLEC10A/LY9/TNFRSF13B/PIK3CG/CD1E/LILRB1/LOXL3/CD48/CD1C/PRKCB/CCL19/SH2D1A/FOXP3/LTA/CD79B/CD27	108
GO:0050900	leukocyte migration	117/2025	390/15235	2.02401403022193e-18	1.19236915424852e-15	9.04059600165796e-16	PPBP/KLRK1/CCL21/ANGPT1/IL1B/PDGFD/DBH/CXCR4/IL6/CXCL13/TBX21/SCG2/CXCL9/CXCR3/CD177/TNFRSF11A/APOB/OLR1/CXCR1/AIRE/CHGA/L1CAM/ITGA2B/ANGPT4/CEACAM3/MMP9/MMP1/CCL7/CCL24/S100A7/TNFSF18/EDN3/CCL16/CCR2/S1PR1/CNR2/RIPOR2/CCL14/GREM1/IL33/C3AR1/ITGA9/CXCR5/CD2/THBS4/TACR1/TEK/ITGA4/SLIT2/GPR183/IL1A/ITGB3/GYPC/CCR5/KIT/STAP1/ITGAX/DOCK8/CX3CR1/CYP7B1/VPREB3/P2RY12/JAM3/THY1/SELL/CD34/JAM2/CH25H/CD84/CCL22/IL10/VEGFD/RARRES2/THBS1/S100A12/MADCAM1/CCR7/CCL17/ZAP70/FN1/CCR1/NLRP12/CCL11/GCSAML/SELP/COL1A2/FPR3/JAML/IL16/AIF1/SPN/COL1A1/TNFSF11/APOD/ELANE/CMKLR1/ITGA1/CXCR2/CSF3R/NCKAP1L/FPR1/VCAM1/IL1R1/ITGAL/PIK3CG/PREX1/CD48/CCL19/ADORA1/PECAM1/ITGB2/SELE/C5AR1/WNT5A/VAV1/ATP1B2/CXCL12	117
GO:0051480	regulation of cytosolic calcium ion concentration	95/2025	287/15235	2.70156392075558e-18	1.43236919078461e-15	1.08602869614374e-15	CCL21/CXCR4/CXCL13/RXFP3/GPR20/CD55/PDE6B/CXCL9/CXCR3/AGT/UTS2R/PROK2/JSRP1/GALR1/TRPV6/XCR1/GLP1R/GPR35/FAM155B/CCR2/S1PR1/HTR2A/P2RY8/AVPR1A/TRPC4/C3AR1/ADRA1A/PTPRC/TACR1/AGTR1/ADCY5/CASQ1/JPH2/SLC8A3/KCNK3/GHRL/P2RX2/HTR2B/CCR5/PTGIR/CCKBR/EDNRA/CCR3/JPH4/THY1/ATP1A2/CD4/PTGFR/CD52/GRIA1/CCR4/PKD2/CACNA1C/CCR7/TRPC6/DMD/KCNA5/CCR1/FPR3/BCL2/CD19/F2R/ATP2B3/P2RX7/ADCYAP1/AKAP6/CASQ2/PTGER1/F2RL2/TRPC3/P2RY10/CCR8/PDGFRA/RYR2/ITPR1/ANK2/CXCR2/FPR1/PTGER3/PTH1R/SLC8A1/PIK3CG/HRC/FGF2/GRIN2A/CCL19/RYR3/CYSLTR1/C5AR1/PLN/PTGDR/S1PR3/RIC3/LPAR4/GPR65	95
