IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010469	regulation of signaling receptor activity	57/713	416/14805	7.26508619563076e-13	3.23732240877307e-09	2.88156260896176e-09	CCL2/UCN2/VSTM1/CXCL13/IGF2/PMCH/WNT4/NGF/FAM3D/XCL1/XCL2/WNT10B/IL6/TNFSF11/VIP/WNT2/LYPD6B/CACNG3/CCK/MSTN/CXCL2/HAMP/INSL3/NPY/NTF3/SFRP2/BMP3/NPPB/CXCL1/EREG/AREG/NRTN/CCL28/CXCL5/CCL7/CACNG2/EDN2/PF4V1/CXCL6/SST/CCL20/CCL26/CCL18/NPPC/OGN/P2RY1/NPPA/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/PHLDA2/TSLP/CARTPT/TIMP1	57
GO:0044057	regulation of system process	53/713	462/14805	3.60131565500462e-09	8.0237312793503e-06	7.1419775726618e-06	EGFR/TH/GJA5/MYH6/NPR1/TNR/TRDN/MYL4/S100A1/NOS1/NPY2R/CTNNA3/RNF207/CACNG3/CCK/MSTN/CHRM1/RYR2/CHRNA3/CRHR1/HAMP/TNNT1/ADRA1A/FAM19A4/TNNT2/NPPB/ATP2B3/CACNA1B/MYBPH/KCNE5/CHGA/PKP2/KCNK15/CACNG2/EDN2/ASIC2/OPRK1/NPPC/GSTO1/RYR1/MYL9/NPPA/MDM2/WNK3/APOA1/WNK4/MYH7/DMD/FXYD7/IL6ST/GSX2/CARTPT/CD38	53
GO:0008015	blood circulation	52/713	460/14805	8.42063307598909e-09	1.25074469955358e-05	1.11329633088866e-05	EGFR/NOS2/TH/GJA5/MYH6/NPR1/TAC4/COL4A3/XCL2/BDKRB1/TRDN/MYL4/S100A1/NOS1/CTNNA3/RNF207/CACNG3/CHRM1/RYR2/TRHDE/TNNT1/ADRA1A/NPY/TNNT2/NPPB/ATP2B3/CACNA1B/KCNE5/CPA3/CHGA/PKP2/KCNK15/POSTN/CACNG2/EDN2/ASIC2/NPPC/GSTO1/PDE3A/P2RY1/RYR1/NPPA/MDM2/AR/CYP4F12/MYH7/DMD/CPS1/FXYD7/CARTPT/CD38/DRD5	52
GO:0003013	circulatory system process	52/713	464/14805	1.13002525139681e-08	1.25884813005605e-05	1.12050924927978e-05	EGFR/NOS2/TH/GJA5/MYH6/NPR1/TAC4/COL4A3/XCL2/BDKRB1/TRDN/MYL4/S100A1/NOS1/CTNNA3/RNF207/CACNG3/CHRM1/RYR2/TRHDE/TNNT1/ADRA1A/NPY/TNNT2/NPPB/ATP2B3/CACNA1B/KCNE5/CPA3/CHGA/PKP2/KCNK15/POSTN/CACNG2/EDN2/ASIC2/NPPC/GSTO1/PDE3A/P2RY1/RYR1/NPPA/MDM2/AR/CYP4F12/MYH7/DMD/CPS1/FXYD7/CARTPT/CD38/DRD5	52
GO:1903522	regulation of blood circulation	34/713	259/14805	1.01200596177611e-07	9.01899713134871e-05	8.02787045046819e-05	EGFR/TH/GJA5/MYH6/NPR1/TRDN/MYL4/S100A1/NOS1/CTNNA3/RNF207/CACNG3/CHRM1/RYR2/ADRA1A/TNNT2/ATP2B3/CACNA1B/KCNE5/CHGA/PKP2/KCNK15/CACNG2/EDN2/ASIC2/NPPC/GSTO1/RYR1/NPPA/MDM2/MYH7/DMD/FXYD7/CD38	34
GO:0008016	regulation of heart contraction	30/713	218/14805	2.02873857347516e-07	0.000150667651390088	0.000134110297278147	TH/GJA5/MYH6/NPR1/TRDN/MYL4/S100A1/NOS1/CTNNA3/RNF207/CACNG3/RYR2/ADRA1A/TNNT2/ATP2B3/CACNA1B/KCNE5/CHGA/PKP2/KCNK15/CACNG2/EDN2/NPPC/GSTO1/RYR1/NPPA/MDM2/MYH7/DMD/FXYD7	30
GO:0009617	response to bacterium	46/713	428/14805	2.78349645708216e-07	0.00017718943161083	0.000157717513538129	CCL2/NOS2/FMO1/CXCL13/TH/GSDMC/APOB/DCN/SNCA/CDK4/BPI/BDKRB1/KLK7/IL6/NOS1/MRC1/CXCL2/GJB6/GJB2/HAMP/SELP/ANKRD1/CXCL1/HP/CHGA/TNIP3/S100A12/CXCL5/PF4V1/CXCL6/LBP/CCL20/OPRK1/CD1D/IL27RA/TNFRSF6B/PTGIR/STAR/SIGIRR/TNFRSF4/JCHAIN/LY96/TNFRSF18/CPS1/RPL39/COCH	46
GO:0060047	heart contraction	31/713	248/14805	1.08945123766741e-06	0.000565020379297625	0.000502928467635229	TH/GJA5/MYH6/NPR1/TRDN/MYL4/S100A1/NOS1/CTNNA3/RNF207/CACNG3/RYR2/TNNT1/ADRA1A/TNNT2/ATP2B3/CACNA1B/KCNE5/CHGA/PKP2/KCNK15/CACNG2/EDN2/NPPC/GSTO1/RYR1/NPPA/MDM2/MYH7/DMD/FXYD7	31
GO:0032496	response to lipopolysaccharide	35/713	300/14805	1.15785095072691e-06	0.000565020379297625	0.000502928467635229	CCL2/NOS2/FMO1/CXCL13/TH/APOB/DCN/SNCA/CDK4/BDKRB1/IL6/NOS1/MRC1/CXCL2/GJB6/GJB2/HAMP/SELP/ANKRD1/CXCL1/TNIP3/CXCL5/PF4V1/CXCL6/LBP/CCL20/OPRK1/TNFRSF6B/PTGIR/STAR/SIGIRR/TNFRSF4/LY96/TNFRSF18/CPS1	35
GO:0030593	neutrophil chemotaxis	16/713	81/14805	1.26799905587438e-06	0.000565020379297625	0.000502928467635229	CCL2/XCL1/XCL2/CXCL2/CXCL1/S100A12/CXCL5/CCL7/EDN2/PF4V1/CXCL6/LBP/CCL20/CCL26/CCL18/CCL14	16
