IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	58/697	368/14841	2.78415581692428e-16	2.16607322556709e-13	1.90201802650932e-13	CCL2/UCN2/VSTM1/CXCL13/IGF2/SEMA3D/SEMA3F/PMCH/WNT4/NGF/FAM3D/XCL1/XCL2/WFIKKN2/WNT10B/IL6/TNFSF11/VIP/WNT2/LYPD6B/CCK/MSTN/CXCL2/HAMP/INSL3/NPY/NTF3/SFRP2/BMP3/NPPB/CXCL1/EREG/AREG/NRTN/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/SST/CCL20/CCL26/CCL18/NPPC/OGN/NPPA/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/APOA1/DKK2/TSLP/CARTPT/TIMP1	58
GO:0048018	receptor ligand activity	55/697	344/14841	9.0165225832595e-16	3.50742728488795e-13	3.07985429291338e-13	CCL2/UCN2/VSTM1/CXCL13/IGF2/SEMA3D/SEMA3F/PMCH/WNT4/NGF/FAM3D/XCL1/XCL2/WNT10B/IL6/TNFSF11/VIP/WNT2/CCK/MSTN/CXCL2/HAMP/INSL3/NPY/NTF3/SFRP2/BMP3/NPPB/CXCL1/EREG/AREG/NRTN/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/SST/CCL20/CCL26/CCL18/NPPC/OGN/NPPA/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/APOA1/TSLP/CARTPT/TIMP1	55
GO:0005125	cytokine activity	30/697	163/14841	1.04976929369762e-10	2.72240170165582e-08	2.39052726880616e-08	CCL2/VSTM1/CXCL13/FAM3D/XCL1/XCL2/IL6/TNFSF11/WNT2/MSTN/CXCL2/BMP3/CXCL1/AREG/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/TSLP/TIMP1	30
GO:0008009	chemokine activity	15/697	42/14841	3.10348667625678e-10	6.03628158531944e-08	5.30042856023856e-08	CCL2/CXCL13/XCL1/XCL2/CXCL2/CXCL1/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/CCL14	15
GO:0061135	endopeptidase regulator activity	20/697	118/14841	5.54258675220994e-07	6.16018927602762e-05	5.40923128148008e-05	SERPINI1/SNCA/NGF/COL6A3/COL4A3/MT3/WFIKKN2/COL28A1/A2ML1/SERPINB2/ITIH2/SFRP2/HMSD/SPINK2/CST7/SERPIND1/ANOS1/CRB2/TIMP1/CST6	20
GO:0005539	glycosaminoglycan binding	25/697	181/14841	1.24014880782819e-06	8.04029810408608e-05	7.06014540596924e-05	CXCL13/APOB/DCN/LYVE1/ADAMTS15/COL13A1/LIPG/HAPLN1/MSTN/SFRP1/HAPLN2/SELP/VIT/POSTN/CCL7/PF4V1/CXCL6/RSPO3/SERPIND1/NDNF/PTCH1/ANOS1/MMP7/JCHAIN/PCOLCE	25
GO:0015276	ligand-gated ion channel activity	20/697	128/14841	2.08749518786465e-06	0.000108271417077246	9.50725878543267e-05	TRPA1/CHRND/GRIN1/CLCA2/GRID2/RYR2/CHRNA3/SLC17A7/HTR3A/GABRA5/GABRG3/GABRB2/ASIC2/SCNN1B/CHRNA2/MCOLN3/RYR1/GABRR1/CNGB1/GRIK1	20
GO:0022834	ligand-gated channel activity	20/697	128/14841	2.08749518786465e-06	0.000108271417077246	9.50725878543267e-05	TRPA1/CHRND/GRIN1/CLCA2/GRID2/RYR2/CHRNA3/SLC17A7/HTR3A/GABRA5/GABRG3/GABRB2/ASIC2/SCNN1B/CHRNA2/MCOLN3/RYR1/GABRR1/CNGB1/GRIK1	20
GO:0015267	channel activity	40/697	408/14841	8.72588115336217e-06	0.000377151974295321	0.000331175255469711	TRPA1/GJA5/KCNG3/CALHM1/STEAP1/CACNA1I/SLC26A7/CHRND/GRIN1/CLCA2/CACNG3/GRID2/LRRC8E/GJB2/RYR2/CHRNA3/SLC17A7/HTR3A/SLC24A4/CACNA1B/KCNK9/KCNE5/GABRA5/GABRG3/GJB1/KCNK15/KCNT1/GABRB2/CACNG2/ASIC2/SCNN1B/CHRNA2/MCOLN3/RYR1/KCNN3/REST/GABRR1/FXYD7/CNGB1/GRIK1	40
GO:0022803	passive transmembrane transporter activity	40/697	408/14841	8.72588115336217e-06	0.000377151974295321	0.000331175255469711	TRPA1/GJA5/KCNG3/CALHM1/STEAP1/CACNA1I/SLC26A7/CHRND/GRIN1/CLCA2/CACNG3/GRID2/LRRC8E/GJB2/RYR2/CHRNA3/SLC17A7/HTR3A/SLC24A4/CACNA1B/KCNK9/KCNE5/GABRA5/GABRG3/GJB1/KCNK15/KCNT1/GABRB2/CACNG2/ASIC2/SCNN1B/CHRNA2/MCOLN3/RYR1/KCNN3/REST/GABRR1/FXYD7/CNGB1/GRIK1	40
