IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	58/697	368/14841	2.78415581692428e-16	2.16607322556709e-13	1.90201802650932e-13	CCL2/UCN2/VSTM1/CXCL13/IGF2/SEMA3D/SEMA3F/PMCH/WNT4/NGF/FAM3D/XCL1/XCL2/WFIKKN2/WNT10B/IL6/TNFSF11/VIP/WNT2/LYPD6B/CCK/MSTN/CXCL2/HAMP/INSL3/NPY/NTF3/SFRP2/BMP3/NPPB/CXCL1/EREG/AREG/NRTN/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/SST/CCL20/CCL26/CCL18/NPPC/OGN/NPPA/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/APOA1/DKK2/TSLP/CARTPT/TIMP1	58
GO:0048018	receptor ligand activity	55/697	344/14841	9.0165225832595e-16	3.50742728488795e-13	3.07985429291338e-13	CCL2/UCN2/VSTM1/CXCL13/IGF2/SEMA3D/SEMA3F/PMCH/WNT4/NGF/FAM3D/XCL1/XCL2/WNT10B/IL6/TNFSF11/VIP/WNT2/CCK/MSTN/CXCL2/HAMP/INSL3/NPY/NTF3/SFRP2/BMP3/NPPB/CXCL1/EREG/AREG/NRTN/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/SST/CCL20/CCL26/CCL18/NPPC/OGN/NPPA/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/APOA1/TSLP/CARTPT/TIMP1	55
GO:0005125	cytokine activity	30/697	163/14841	1.04976929369762e-10	2.72240170165582e-08	2.39052726880616e-08	CCL2/VSTM1/CXCL13/FAM3D/XCL1/XCL2/IL6/TNFSF11/WNT2/MSTN/CXCL2/BMP3/CXCL1/AREG/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/TSLP/TIMP1	30
GO:0008009	chemokine activity	15/697	42/14841	3.10348667625678e-10	6.03628158531944e-08	5.30042856023856e-08	CCL2/CXCL13/XCL1/XCL2/CXCL2/CXCL1/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/CCL14	15
GO:0042379	chemokine receptor binding	15/697	51/14841	6.75549317391651e-09	1.05115473786141e-06	9.23013698920382e-07	CCL2/CXCL13/XCL1/XCL2/CXCL2/CXCL1/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/CCL14	15
GO:0001664	G-protein coupled receptor binding	31/697	227/14841	8.67411751583417e-08	1.12474390455316e-05	9.87631976802873e-06	CCL2/UCN2/CXCL13/WNT4/XCL1/XCL2/WNT10B/WNT2/CXCL2/SFRP1/NPY/CXCL1/RTP5/ROR2/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/CCL20/CCL26/CTHRC1/CCL18/RSPO3/P2RY1/PTCH1/NPPA/GNG3/CCL14/NPW	31
GO:0061135	endopeptidase regulator activity	20/697	118/14841	5.54258675220994e-07	6.16018927602762e-05	5.40923128148008e-05	SERPINI1/SNCA/NGF/COL6A3/COL4A3/MT3/WFIKKN2/COL28A1/A2ML1/SERPINB2/ITIH2/SFRP2/HMSD/SPINK2/CST7/SERPIND1/ANOS1/CRB2/TIMP1/CST6	20
GO:0030414	peptidase inhibitor activity	20/697	119/14841	6.37427285138135e-07	6.19898034796836e-05	5.44329352703486e-05	SERPINI1/SNCA/NGF/COL6A3/COL4A3/MT3/WFIKKN2/PI16/COL28A1/A2ML1/SERPINB2/ITIH2/HMSD/SPINK2/CST7/SERPIND1/ANOS1/CRB2/TIMP1/CST6	20
GO:0061134	peptidase regulator activity	23/697	155/14841	9.29003619109686e-07	7.55160284511033e-05	6.63102455212637e-05	SERPINI1/SNCA/NGF/COL6A3/COL4A3/MT3/WFIKKN2/MAL/PI16/COL28A1/A2ML1/SERPINB2/ITIH2/SFRP2/HMSD/SPINK2/CST7/SERPIND1/ANOS1/CRB2/PCOLCE/TIMP1/CST6	23
GO:0004866	endopeptidase inhibitor activity	19/697	112/14841	1.04571609681538e-06	7.55160284511033e-05	6.63102455212637e-05	SERPINI1/SNCA/NGF/COL6A3/COL4A3/MT3/WFIKKN2/COL28A1/A2ML1/SERPINB2/ITIH2/HMSD/SPINK2/CST7/SERPIND1/ANOS1/CRB2/TIMP1/CST6	19
