IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006936	muscle contraction	140/2218	324/14999	9.78573346719102e-36	5.38606770034194e-32	4.40564021465011e-32	HTR2B/EDN3/PPP1R12B/KCND3/TNNI1/MYL4/LMOD2/KCNJ2/SGCA/PRKG1/CHRNA1/CAV3/HCN4/ITGA1/CTNNA3/ANK2/CSRP3/DES/CASQ1/SLC8A1/PIK3CG/CACNA2D1/SCN4A/UCN/MYBPH/CKMT2/TNNC2/AGT/KCNN2/CHRM1/KCNB2/ADRA2B/RCSD1/KCNA1/SNTB1/TIFAB/MYH11/SSTR2/SCN5A/PROK2/DRD1/LMOD3/HSPB6/CACNA1S/KCNE3/CACNA1D/MYH4/CACNG1/F2R/MYOM1/ACTC1/MYH6/SULF1/HTR2A/DMD/NOS1/TRIM72/ADORA1/TNNC1/MYL3/FXYD1/RYR1/CTGF/MYLK2/ACTG2/GJA5/MYLPF/ADRA2A/GUCY1A1/HRC/SORBS1/CACNB2/SMPX/ACTN2/MYBPC1/CNN1/MYL1/EDNRB/CACNA1G/SSPN/KLHL41/MYH13/SCN1B/ANKRD2/TNNI2/DYSF/MYBPC2/STAC3/ACTA2/ADRA1A/SLC8A3/MB/NDUFS6/PTGER3/TMOD4/DTNA/LMOD1/PDE5A/MYBPHL/TNNI3/MYL2/TCAP/NEB/GALR2/MYOCD/TRIM63/ACTA1/CHRND/TNNT3/KCNA5/UTRN/ATP2A1/CACNA1C/TMOD1/MYOT/PDE4B/ANXA6/RYR2/SYNM/CASQ2/PLCE1/TTN/KCNJ5/PLN/MYH3/MYOM3/KCNJ8/ATP1A2/MYH2/MYOM2/TRDN/TACR1/SCN7A/MYH7/PGAM2/ACTN3/CALCRL/KIT/CHRNG/MYH8	140
GO:0003012	muscle system process	158/2218	397/14999	4.99918828117027e-35	1.37577661497806e-31	1.1253435936087e-31	MYOG/HTR2B/EDN3/PPP1R12B/KCND3/TNNI1/MYL4/LMOD2/KCNJ2/IL6ST/SGCA/PRKG1/CHRNA1/CAV3/CAMK2B/HCN4/ITGA1/CTNNA3/ANK2/CSRP3/SLN/DES/CASQ1/SLC8A1/PIK3CG/CACNA2D1/SCN4A/UCN/MYBPH/CKMT2/TNNC2/AGT/KCNN2/MEF2C/CHRM1/KCNB2/ADRA2B/RCSD1/KCNA1/SNTB1/TIFAB/MYH11/SSTR2/SCN5A/PROK2/DRD1/LMOD3/HSPB6/CACNA1S/TRPC3/KCNE3/NR4A3/CACNA1D/MYH4/CACNG1/F2R/HAND2/MYOM1/ACTC1/MYH6/SULF1/HTR2A/DMD/NOS1/TRIM72/ADORA1/TNNC1/MYL3/FXYD1/RYR1/IGF1/CTGF/MYLK2/ACTG2/GJA5/MYLPF/ADRA2A/GUCY1A1/IGFBP5/HRC/SORBS1/AKAP6/CACNB2/SMPX/ACTN2/MYBPC1/CNN1/MYL1/MYOC/EDNRB/CACNA1G/SSPN/KLHL41/MYH13/SCN1B/ANKRD2/TNNI2/DYSF/MYBPC2/STAC3/ACTA2/ADRA1A/SLC8A3/MB/NDUFS6/PTGER3/TMOD4/DTNA/LMOD1/MIR17HG/PDE5A/MYBPHL/TNNI3/MYL2/TCAP/NEB/GALR2/MYOCD/TRIM63/ACTA1/CHRND/TNNT3/KCNA5/MYOD1/UTRN/ATP2A1/CACNA1C/TMOD1/MYOT/PDE4B/ANXA6/RYR2/MLIP/SYNM/CASQ2/PLCE1/TTN/KCNJ5/PLN/MYH3/LMCD1/MYOM3/KCNJ8/ATP1A2/MYH2/MYOM2/TRDN/SORBS2/TACR1/SCN7A/MYH7/KLF15/PGAM2/ACTN3/CALCRL/KIT/CHRNG/MYH8	158
GO:0006941	striated muscle contraction	75/2218	163/14999	1.15701001506388e-21	2.12272770763719e-18	1.73632695944849e-18	KCND3/TNNI1/MYL4/KCNJ2/CHRNA1/CAV3/HCN4/CTNNA3/ANK2/CSRP3/CASQ1/SLC8A1/PIK3CG/CACNA2D1/UCN/MYBPH/TNNC2/KCNN2/RCSD1/SCN5A/LMOD3/KCNE3/CACNA1D/MYOM1/ACTC1/MYH6/DMD/NOS1/ADORA1/TNNC1/MYL3/CTGF/MYLK2/GJA5/HRC/CACNB2/SMPX/MYBPC1/MYL1/CACNA1G/KLHL41/SCN1B/TNNI2/MYBPC2/STAC3/ADRA1A/SLC8A3/MB/DTNA/PDE5A/MYBPHL/TNNI3/MYL2/TCAP/CHRND/TNNT3/KCNA5/ATP2A1/CACNA1C/PDE4B/RYR2/SYNM/CASQ2/TTN/KCNJ5/PLN/MYH3/MYOM3/KCNJ8/ATP1A2/MYOM2/MYH7/PGAM2/ACTN3/MYH8	75
GO:0044057	regulation of system process	143/2218	452/14999	2.8076604663728e-20	3.86334080172898e-17	3.16009574070434e-17	MYOG/CORIN/EDN3/PPP1R12B/KCND3/TNNI1/MYL4/KLK8/KCNJ2/IL6ST/SGCA/PRKG1/CAV3/CAMK2B/HCN4/CTNNA3/ANK2/CSRP3/SLN/DES/CRHR1/CASQ1/SLC8A1/HRH2/PIK3CG/CACNA2D1/UCN/MYBPH/TNNC2/AGT/KCNN2/CHRM1/KCNB2/TNR/ADRA2B/KCNA1/TIFAB/SSTR2/SCN5A/PROK2/HSPB6/CACNA1S/TRPC3/KCNE3/NR4A3/CACNA1D/CACNG1/ABCB4/F2R/HAND2/AGTR1/MYH6/HTR2A/DMD/NOS1/ADORA1/TNNC1/CACNB4/MYL3/WNK3/FXYD1/KCNJ11/RYR1/IGF1/CTGF/ACE/MYLK2/AQP1/GJA5/ADRA2A/GUCY1A1/IGFBP5/HRC/ABCC9/AKAP6/CACNB2/S100A1/CNN1/EDNRB/C1QTNF3/CACNA1G/UTS2R/KCND2/SCN1B/FGF10/APOA1/TNNI2/GRIN2A/NPPC/ADRA1A/SLC8A3/TMEM100/PTGER3/MIR17HG/HSPB7/CACNA2D2/INHA/PTPRO/PDE5A/TNNI3/SMTNL1/MYL2/MYOCD/TRIM63/NLGN1/TNNT3/KCNA5/UTRN/ATP2A1/AVPR1A/CACNA1C/TH/PDE4B/HGF/ANXA6/RYR2/MLIP/CASQ2/PLCE1/KCNJ5/PLN/LMCD1/GLP1R/POPDC2/SOX10/ATP1A2/KCNK15/GAL/TRDN/TACR1/FGFR1/MYH7/ATP1A4/ATP2B2/ACTN3/CALCRL/KIT/GRM1/NCMAP/CELF2/CACNB1/CACNG6/NPFF	143
GO:0003013	circulatory system process	142/2218	465/14999	1.33156789290379e-18	1.4657899365085e-15	1.19897176377885e-15	HTR2B/CORIN/EDN3/HEG1/KCND3/TNNI1/MYL4/KCNJ2/ELN/PRKG1/CAV3/ADCYAP1/POSTN/FLI1/HCN4/ITGA1/CTNNA3/ANK2/CSRP3/DES/CASQ1/SLC8A1/NPY1R/HRH2/PIK3CG/CACNA2D1/UCN/ANPEP/AGT/LNPEP/KCNN2/CHRM1/ADRA2B/NOS2/SGCG/SCN5A/AR/CNR1/DRD1/CACNA1S/PCSK5/KCNE3/CACNA1D/CACNG1/CD34/F2R/CMA1/AGTR1/SLC6A4/ACTC1/MYH6/HTR2A/KEL/DMD/F5/NOS1/COL4A3/ADORA1/TNNC1/CACNB4/TEK/MYL3/FXYD1/KCNJ11/RYR1/CTGF/ACE/MYLK2/GJA5/CTSG/ANGPT1/ADRA2A/LPA/GUCY1A1/HOXB2/HRC/ABCC9/COL1A2/NR2F2/CACNB2/S100A1/MEOX2/MYL1/EDNRB/GUCY1B1/CACNA1G/SLC2A5/SLIT2/UTS2R/KCND2/SCN1B/PDE3A/TNNI2/NPPC/ADRA1A/SLC8A3/EPO/CYSLTR1/HSPB7/CACNA2D2/PTPRO/PDE5A/TNNI3/SMTNL1/MYL2/TCAP/ENPEP/TNNT3/KCNA5/ATP2A1/AVPR1A/CACNA1C/SGCD/TH/CXCL10/PDE2A/PDE4B/NPY6R/CXCL12/RYR2/ADAMTS16/CASQ2/TTN/KCNJ5/PLN/GLP1R/POPDC2/HTR1B/KCNJ8/ATP1A2/CPA3/MYLK3/KCNK15/TRDN/TACR1/MYH7/ATP1A4/ATP2B2/CELF2/CACNB1/CACNG6/NPFF	142
GO:0008015	blood circulation	140/2218	461/14999	4.02456054344015e-18	3.69186353851577e-15	3.01983253408659e-15	HTR2B/CORIN/EDN3/KCND3/TNNI1/MYL4/KCNJ2/ELN/PRKG1/CAV3/ADCYAP1/POSTN/FLI1/HCN4/ITGA1/CTNNA3/ANK2/CSRP3/DES/CASQ1/SLC8A1/NPY1R/HRH2/PIK3CG/CACNA2D1/UCN/ANPEP/AGT/LNPEP/KCNN2/CHRM1/ADRA2B/NOS2/SGCG/SCN5A/AR/CNR1/DRD1/CACNA1S/PCSK5/KCNE3/CACNA1D/CACNG1/CD34/F2R/CMA1/AGTR1/SLC6A4/ACTC1/MYH6/HTR2A/KEL/DMD/F5/NOS1/COL4A3/ADORA1/TNNC1/CACNB4/TEK/MYL3/FXYD1/KCNJ11/RYR1/CTGF/ACE/MYLK2/GJA5/CTSG/ANGPT1/ADRA2A/LPA/GUCY1A1/HOXB2/HRC/ABCC9/COL1A2/NR2F2/CACNB2/S100A1/MEOX2/MYL1/EDNRB/GUCY1B1/CACNA1G/SLC2A5/SLIT2/UTS2R/KCND2/SCN1B/PDE3A/TNNI2/NPPC/ADRA1A/SLC8A3/EPO/HSPB7/CACNA2D2/PTPRO/PDE5A/TNNI3/SMTNL1/MYL2/TCAP/ENPEP/TNNT3/KCNA5/ATP2A1/AVPR1A/CACNA1C/SGCD/TH/CXCL10/PDE2A/PDE4B/NPY6R/CXCL12/RYR2/ADAMTS16/CASQ2/TTN/KCNJ5/PLN/GLP1R/POPDC2/HTR1B/KCNJ8/ATP1A2/CPA3/MYLK3/KCNK15/TRDN/TACR1/MYH7/ATP1A4/ATP2B2/CELF2/CACNB1/CACNG6/NPFF	140
GO:0030198	extracellular matrix organization	109/2218	325/14999	9.14576931550232e-18	7.19118775893211e-15	5.88217373870728e-15	COL4A1/THBS4/TNXB/LOXL4/ELN/MMP11/GREM1/POSTN/ITGB2/ITGA1/ITGA4/CCDC80/HSPG2/ITGA8/EGFL6/NID2/LOXL1/LRP1/COL8A1/CTSK/AGT/SPOCK2/COL6A3/TNR/FMOD/VCAM1/SCUBE3/COL8A2/MYH11/A2M/COL1A1/ADAM12/FBLN2/SCUBE1/ITGAM/CYP1B1/LAMA4/CMA1/TIMP2/RECK/ITGAL/SULF1/COL4A3/NDNF/FN1/LOXL3/ADAMTS4/MMP16/COL14A1/CTGF/HAPLN2/CTSG/LUM/COL4A4/COL1A2/KDR/COL5A2/JAM2/CREB3L1/ABI3BP/COMP/HPSE2/CRISPLD2/PXDN/BGN/CTSS/ADAMTS9/COL6A2/ITGA9/DPT/COL6A1/JAM3/COL10A1/TCF15/COL11A1/ADAMTS2/CAPNS2/VCAN/COL12A1/FBLN1/ITGB3/NID1/MFAP4/MMP8/ECM2/THBS1/MMP2/LAMA2/ADAMTS5/FBLN5/SFRP2/COL3A1/THBS2/DDR2/FOXF1/FGF2/COL19A1/FBN1/SPARC/ANTXR1/ADAMTS3/ITGA7/VWF/ELANE/DCN/ITGA11/COL5A1/LCP1/SMOC2	109
GO:0030239	myofibril assembly	40/2218	66/14999	1.42735917456656e-17	9.8202311210179e-15	8.032651565291e-15	LDB3/LMOD2/CAV3/CSRP3/CASQ1/MYBPH/MEF2C/MYH11/LMOD3/MYOZ3/MYOM1/MYOZ2/ACTC1/MYH6/MYOZ1/PDGFRB/MYLK2/ANKRD1/ACTN2/MYBPC1/KLHL41/PROX1/MYPN/OBSCN/MYBPC2/TMOD4/LMOD1/MYBPHL/MYL2/TCAP/ACTA1/TNNT3/PDGFRA/TMOD1/CASQ2/TTN/MYH3/MYOM3/MYOM2/MYLK3	40
GO:0043062	extracellular structure organization	119/2218	372/14999	1.80357230502369e-17	1.10298466298338e-14	9.0220804077033e-15	COL4A1/THBS4/TNXB/LOXL4/ELN/MMP11/GREM1/LPL/POSTN/ITGB2/ITGA1/ITGA4/CCDC80/HSPG2/ITGA8/EGFL6/NID2/LOXL1/LRP1/COL8A1/CTSK/AGT/SPOCK2/GPIHBP1/COL6A3/PLA2G2A/TNR/FMOD/VCAM1/SCUBE3/COL8A2/LCAT/MYH11/A2M/COL1A1/ADAM12/FBLN2/SCUBE1/ITGAM/CYP1B1/LAMA4/CD34/CMA1/AGTR1/TIMP2/RECK/ITGAL/SULF1/COL4A3/NDNF/FN1/LOXL3/ADAMTS4/MMP16/COL14A1/CTGF/HAPLN2/MTTP/CTSG/LPA/LUM/COL4A4/COL1A2/KDR/COL5A2/JAM2/CREB3L1/ABI3BP/COMP/HPSE2/CRISPLD2/APOA1/PXDN/BGN/CTSS/ADAMTS9/COL6A2/ITGA9/DPT/COL6A1/JAM3/COL10A1/TCF15/COL11A1/ADAMTS2/CAPNS2/VCAN/COL12A1/SOAT2/FBLN1/ITGB3/NID1/MFAP4/MMP8/ECM2/THBS1/MMP2/LAMA2/ADAMTS5/FBLN5/SFRP2/COL3A1/THBS2/DDR2/FOXF1/FGF2/COL19A1/FBN1/SPARC/ANTXR1/ADAMTS3/ITGA7/VWF/ELANE/DCN/ITGA11/COL5A1/LCP1/SMOC2	119
GO:0070252	actin-mediated cell contraction	51/2218	103/14999	7.68394491505238e-17	4.22924328124483e-14	3.45939288438727e-14	KCND3/TNNI1/MYL4/KCNJ2/CAV3/CTNNA3/ANK2/DES/CACNA2D1/TNNC2/KCNN2/SCN5A/KCNE3/CACNA1D/MYH4/ACTC1/MYH6/DMD/TNNC1/MYL3/MYLK2/GJA5/CACNB2/ACTN2/MYBPC1/MYL1/CACNA1G/SCN1B/TNNI2/MYBPC2/TNNI3/MYL2/TCAP/NEB/ACTA1/TNNT3/KCNA5/CACNA1C/TMOD1/PDE4B/RYR2/TTN/KCNJ5/PLN/MYH3/KCNJ8/ATP1A2/MYH2/MYH7/ACTN3/MYH8	51
