IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0004930	G-protein coupled receptor activity	114/2175	337/15054	1.201782887963e-19	1.18856327619541e-16	9.81666864272937e-17	GPR50/ADGRA1/GRM7/GPR26/HTR2B/CCR2/SUCNR1/GPR174/ADGRG2/GPR15/ADGRD1/GPR63/APLNR/CCKAR/TSHR/CXCR4/OXGR1/P2RY13/GPR179/CRHR1/NPY1R/HRH2/P2RY10/HTR1F/OR13A1/CHRM1/GPR88/FRZB/CX3CR1/PTGER2/ADRA2B/ACKR1/GPR141/SSTR2/VIPR2/GRIK3/S1PR1/CNR1/FZD1/DRD1/CRHR2/GPRC5B/F2R/AGTR1/HPGD/HTR2A/GPR21/XCR1/ADGRA2/ADORA1/OR7A5/FPR2/PDGFRB/FPR3/GP1BA/C5AR1/ADRA2A/ADGRF5/MRGPRX3/CYSLTR2/EDNRB/PTGFR/F2RL2/ADGRL4/UTS2R/SSTR3/CCR8/SORCS1/GPR82/FPR1/ADCYAP1R1/ADGRD2/ADRA1A/SFRP4/P2RY14/GRM8/PTGER3/CYSLTR1/P2RY12/GPR173/CCR6/P2RY8/CCR4/CCR1/MTNR1A/CNR2/GALR2/CALCR/PDGFRL/HRH4/ADGRB3/LPAR4/AVPR1A/NPY6R/GPR34/SSTR1/GPR183/ADGRE3/SFRP2/GPR20/GLP1R/RORB/FZD4/HTR1B/GAL/GPR78/TACR1/FFAR4/S1PR3/CHRM4/GPRC5D/CXCR5/CALCRL/GRM1	114
GO:0005539	glycosaminoglycan binding	74/2175	193/15054	1.64177486821151e-16	8.11857672330592e-14	6.70535419859017e-14	SPOCK3/SHH/PGF/ADAMTS8/LYVE1/RSPO1/THBS4/TNXB/CHRD/LPL/POSTN/CCDC80/LTBP2/SPOCK2/EPYC/PRELP/SOD3/LXN/CXCL11/TGFBR3/CEMIP/FSTL1/WISP1/NDNF/FN1/CTGF/HAPLN2/CTSG/CEL/LPA/WISP2/SELL/ABI3BP/COMP/FGF7/SLIT2/CRISPLD2/FGF10/RSPO3/PCOLCE/BGN/LTF/FGFBP1/PGLYRP4/STAB2/JCHAIN/SUSD5/COL25A1/VCAN/DPYSL3/CXCL10/ECM2/SEMA5A/ADA2/SELP/THBS1/RSPO2/PLA2G2D/SERPINC1/FGF9/ADAMTS5/GREM2/THBS2/FGF2/FBN1/ANOS1/ADAMTS3/TNFAIP6/FGFR1/ELANE/DCN/SAA1/COL5A1/SMOC2	74
GO:0048018	receptor ligand activity	111/2175	362/15054	1.20431468881744e-15	3.97022409080151e-13	3.27911648604328e-13	DEFB4A/IL17C/TFF1/SHH/IFNK/OGN/PGF/FNDC5/EDN3/GDF3/IL37/THBS4/GREM1/ADCYAP1/LEFTY2/VEGFD/SEMA3E/PENK/CGB2/EPHA7/UCN/WNT9B/AGT/FGF14/GAST/SCG2/TG/CXCL11/CHGB/IL36G/FGF18/IFNL1/TNFSF8/TNFSF4/CCL21/IL1F10/WNT1/BMP3/IL24/GDF10/IL1A/WNT2/SCGB3A1/IGF1/CTGF/CCL19/TNFSF15/EGF/TDGF1/C1QTNF12/UCN2/FGF7/AREG/FGF10/GDF5/APOA1/IFNE/BMP8A/C1QTNF9/NPPC/IL20/PYY2/CXCL5/EPO/THPO/C10orf99/CD70/SLURP1/IGF2/INHA/CD40LG/CCL11/WNT8B/CCL24/KL/TNFSF14/MAPT/DEFB103A/CXCL10/HGF/ADA2/LHB/SEMA3G/IL16/CXCL12/FGF9/PDGFD/BMP5/GREM2/NRG3/CSF3/BMP8B/GDF6/SFRP2/CXCL14/IL17D/TGFB3/CSF2/SEMA3D/FGF2/GAL/FBN1/IL18/DKK1/INS-IGF2/CCL18/SAA1/GRP/CCL14/NMB/NPFF	111
GO:0015267	channel activity	115/2175	390/15054	8.16292134088951e-15	1.61462584122795e-12	1.33356357063795e-12	SLC26A5/GABRA4/KCND3/KCNJ2/TMEM150C/KCNA7/CHRNA1/HCN4/CLIC5/CYBB/BEST4/KCNT2/KCNQ3/GRIA2/SLC14A1/AQP5/GRIA1/CACNA2D1/KCNN3/SCN4A/LRRC55/KCNN2/KCNB2/CHRNA7/GABRB2/KCNA3/TRPM3/GJD3/KCNS2/KCNA1/JPH1/SCN5A/GRIK3/CNGA3/JPH2/CACNA1S/SLC24A2/TRPC3/KCNE3/AQP9/CACNA1D/CACNG1/DENND5B/CACNB4/KCNA6/TRPM8/FXYD1/ASIC4/KCNJ11/RYR1/BEST3/KCNH8/KCNJ6/AQP1/GJA5/ANO5/GRIA3/CFTR/KCNH1/REST/ABCC9/P2RX7/CACNB2/KCNK2/CACNA1E/CACNA1G/GLRB/KCNE4/KCND2/SCN1B/AQP7/SLC24A4/GABRP/GRIN2A/CLCN4/AQP4/GJB1/TRPV6/FAM155A/BCL2/CACNA2D2/GRID1/TMEM38A/SLC40A1/PIEZO2/SCNN1D/KCNB1/CHRND/KCNC1/CALHM3/GLRA3/KCNA5/KCNK7/CACNA1C/CHRNA6/PDE2A/KCNT1/ANXA6/RYR2/KCNJ5/NALCN/KCNQ4/KCNA2/KCNJ8/KCNK15/SCN7A/SCN3A/CLIC6/CLIC3/HTR3E/CHRNG/CACNB1/CHRFAM7A/CACNG6/LRRC26	115
GO:0022803	passive transmembrane transporter activity	115/2175	390/15054	8.16292134088951e-15	1.61462584122795e-12	1.33356357063795e-12	SLC26A5/GABRA4/KCND3/KCNJ2/TMEM150C/KCNA7/CHRNA1/HCN4/CLIC5/CYBB/BEST4/KCNT2/KCNQ3/GRIA2/SLC14A1/AQP5/GRIA1/CACNA2D1/KCNN3/SCN4A/LRRC55/KCNN2/KCNB2/CHRNA7/GABRB2/KCNA3/TRPM3/GJD3/KCNS2/KCNA1/JPH1/SCN5A/GRIK3/CNGA3/JPH2/CACNA1S/SLC24A2/TRPC3/KCNE3/AQP9/CACNA1D/CACNG1/DENND5B/CACNB4/KCNA6/TRPM8/FXYD1/ASIC4/KCNJ11/RYR1/BEST3/KCNH8/KCNJ6/AQP1/GJA5/ANO5/GRIA3/CFTR/KCNH1/REST/ABCC9/P2RX7/CACNB2/KCNK2/CACNA1E/CACNA1G/GLRB/KCNE4/KCND2/SCN1B/AQP7/SLC24A4/GABRP/GRIN2A/CLCN4/AQP4/GJB1/TRPV6/FAM155A/BCL2/CACNA2D2/GRID1/TMEM38A/SLC40A1/PIEZO2/SCNN1D/KCNB1/CHRND/KCNC1/CALHM3/GLRA3/KCNA5/KCNK7/CACNA1C/CHRNA6/PDE2A/KCNT1/ANXA6/RYR2/KCNJ5/NALCN/KCNQ4/KCNA2/KCNJ8/KCNK15/SCN7A/SCN3A/CLIC6/CLIC3/HTR3E/CHRNG/CACNB1/CHRFAM7A/CACNG6/LRRC26	115
GO:0030545	receptor regulator activity	114/2175	387/15054	1.15865377277319e-14	1.90984763545448e-12	1.57739531170526e-12	DEFB4A/IL17C/TFF1/SHH/IFNK/OGN/PGF/FNDC5/EDN3/GDF3/IL37/THBS4/GREM1/ADCYAP1/LEFTY2/VEGFD/SEMA3E/PENK/CGB2/EPHA7/UCN/WNT9B/AGT/FGF14/GAST/SCG2/TG/CXCL11/CHGB/IL36G/FGF18/IFNL1/TNFSF8/TNFSF4/CCL21/IL1F10/WNT1/BMP3/IL24/GDF10/IL1A/WNT2/SCGB3A1/IGF1/CTGF/CCL19/DKK2/TNFSF15/EGF/TDGF1/C1QTNF12/UCN2/FGF7/AREG/FGF10/GDF5/APOA1/IFNE/BMP8A/PXDN/C1QTNF9/NPPC/IL20/PYY2/CXCL5/EPO/THPO/C10orf99/CD70/SLURP1/IGF2/INHA/CD40LG/CCL11/WNT8B/CCL24/KL/TNFSF14/MAPT/DEFB103A/CXCL10/HGF/LYNX1/ADA2/LHB/SEMA3G/IL16/CXCL12/FGF9/PDGFD/BMP5/GREM2/NRG3/CSF3/BMP8B/GDF6/SFRP2/CXCL14/IL17D/TGFB3/CSF2/SEMA3D/FGF2/GAL/FBN1/IL18/DKK1/INS-IGF2/CCL18/SAA1/GRP/CCL14/NMB/NPFF	114
GO:0008201	heparin binding	57/2175	142/15054	4.88282026493732e-14	6.03638655252877e-12	4.98561648104127e-12	PGF/ADAMTS8/RSPO1/THBS4/TNXB/CHRD/LPL/POSTN/CCDC80/LTBP2/PRELP/SOD3/LXN/CXCL11/TGFBR3/FSTL1/WISP1/NDNF/FN1/CTGF/CTSG/CEL/LPA/WISP2/SELL/ABI3BP/COMP/FGF7/SLIT2/CRISPLD2/FGF10/RSPO3/PCOLCE/LTF/FGFBP1/COL25A1/CXCL10/ECM2/ADA2/SELP/THBS1/RSPO2/PLA2G2D/SERPINC1/FGF9/ADAMTS5/GREM2/THBS2/FGF2/FBN1/ANOS1/ADAMTS3/FGFR1/ELANE/SAA1/COL5A1/SMOC2	57
GO:0008307	structural constituent of muscle	28/2175	46/15054	5.02084454912613e-13	3.5662976965176e-11	2.94550264754154e-11	CSRP3/MYBPH/MYH11/JPH1/MYOM1/DMD/NEXN/MYL3/MYLPF/ACTN2/MYBPC1/MYL1/OBSCN/ANKRD2/MYBPC2/MYBPHL/MYL2/TCAP/NEB/MYOT/SYNM/TTN/MYOM3/MYOM2/SORBS2/ACTN3/PDLIM3/MYH8	28
GO:1901681	sulfur compound binding	73/2175	216/15054	5.0483486098328e-13	3.5662976965176e-11	2.94550264754154e-11	PGF/ADAMTS8/RSPO1/THBS4/TNXB/GPC4/CHRD/LPL/POSTN/CCDC80/LTBP2/GPC3/LRP1/PRELP/SOD3/LXN/CXCL11/TGFBR3/ACACB/CD34/GPC5/FSTL1/ACADL/WISP1/GPC6/NDNF/FN1/CTGF/CTSG/CEL/LPA/WISP2/SELL/ABI3BP/COMP/FGF7/HPSE2/SLIT2/CRISPLD2/FGF10/RSPO3/PCOLCE/LTF/FGFBP1/COL25A1/ENPP1/SOAT2/GSTP1/DPYSL3/CXCL10/ECM2/SEMA5A/ADA2/SELP/THBS1/RSPO2/PLA2G2D/RYR2/SERPINC1/FGF9/ADAMTS5/GREM2/THBS2/FGF2/FBN1/ANOS1/ADAMTS3/FGFR1/ELANE/HS3ST5/SAA1/COL5A1/SMOC2	73
GO:0005201	extracellular matrix structural constituent	34/2175	67/15054	2.27512913059317e-12	1.50006847343777e-10	1.23894751251951e-10	MGP/COL4A1/ELN/TECTA/COL8A2/PRELP/COL1A1/FBLN2/LAMA4/CD4/COL4A3/COL14A1/CHI3L1/HAPLN2/LUM/COL4A4/COL1A2/COL5A2/COL24A1/COMP/STATH/PXDN/ENAM/BGN/EMILIN1/COL11A1/VCAN/COL12A1/FBLN1/COL3A1/COL19A1/FBN1/ANOS1/COL5A1	34
