IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010817	regulation of hormone levels	65/1047	449/14703	2.87826123317187e-08	0.000143251061574964	0.000130006515279373	UQCC2/VGF/ITPR2/RBP1/PTPRN/CNR1/RDH11/PCK2/ACE/CYP1A1/TNF/CPZ/PCSK2/SYT7/RDH10/ITPR3/ACHE/SELENOM/KISS1/CPLX1/ADH4/MYRIP/CFTR/MME/HSD11B1/SLC5A7/SOX8/EGR1/ITPR1/TFAP2B/BMP5/SLC2A1/KCNB1/NR0B2/DGAT2/OSM/PLB1/CRABP1/IL1RN/HSD17B6/ADORA1/LHB/CYP27C1/IL1B/SULT1A1/ABCB4/CGA/P2RY1/NKX6-1/STC2/CCKAR/SCG5/CRABP2/SLC16A2/EGFR/LIF/GIPR/DPP4/IL6/CYP26A1/CYP26C1/CYP1B1/SSTR5/CORIN/OXCT1	65
GO:0010469	regulation of signaling receptor activity	60/1047	409/14703	6.13372515324568e-08	0.000152637750438519	0.000138525340171459	VGF/CCL2/C1QTNF9/WNT5A/CSF1/CCL20/CXCL2/WNT10B/CCL11/BMP3/TNF/NRTN/HAMP/IL32/GDF10/KCNK3/CMTM8/CCL17/CCL8/TNFSF12/IL23A/MDK/CRLF1/EBI3/CSPG5/ERRFI1/SST/WNT7B/CSF3/BMP5/CNIH3/UTS2B/TGFA/OSM/BMP7/PHLDA2/CXCL10/CORT/IL1RN/CHGB/NDP/ADORA1/UCN2/CMTM7/LHB/NRG3/CCL3/IL1A/IL1B/GREM1/CGA/CCL4/P2RY1/EDN2/STC2/TYMP/FGF10/LIF/IGF1/IL6	60
GO:0097530	granulocyte migration	24/1047	112/14703	8.91605195791017e-07	0.00128562085792833	0.0011667563637724	ITGA1/CCL2/CSF1/CCL20/CXCL2/CCL11/PIK3CD/S100A8/CCL17/ITGA9/CCL8/IL23A/CXADR/FCER1G/CCL3/IL1A/S100A9/IL1B/CCL4/EDN2/CSF3R/MCOLN2/CD300A/S100A14	24
GO:0001523	retinoid metabolic process	18/1047	70/14703	1.27958933285639e-06	0.00128562085792833	0.0011667563637724	APOB/LRP2/RBP1/GPC6/RDH11/CYP1A1/RDH10/ADH4/DGAT2/PLB1/CRABP1/APOE/CYP27C1/GPC2/CRABP2/CYP26A1/CYP26C1/CYP1B1	18
GO:0016101	diterpenoid metabolic process	19/1047	77/14703	1.29156204332763e-06	0.00128562085792833	0.0011667563637724	APOB/LRP2/RBP1/GPC6/RDH11/CYP1A1/RDH10/ADH4/DGAT2/PLB1/CRABP1/APOE/CYP27C1/GPC2/CRABP2/EGFR/CYP26A1/CYP26C1/CYP1B1	19
GO:1990266	neutrophil migration	21/1047	93/14703	1.7363340662191e-06	0.00144028910792875	0.00130712446985021	ITGA1/CCL2/CCL20/CXCL2/CCL11/PIK3CD/S100A8/CCL17/ITGA9/CCL8/IL23A/CXADR/FCER1G/CCL3/IL1A/S100A9/IL1B/CCL4/EDN2/CSF3R/MCOLN2	21
GO:0072507	divalent inorganic cation homeostasis	56/1047	413/14703	2.22483727458884e-06	0.00145738935891334	0.00132264368497132	MT1E/ITPR2/MT2A/CCL11/DDIT3/RYR3/GSTM2/MCUB/ITPR3/GNA15/KISS1/S100A8/GRM5/KCNK3/CASQ2/MT1F/CCL8/ITPR1/GPR157/RASA3/SLC24A2/CALB2/SCGN/PKHD1/TFAP2B/PDGFRA/NOS1/SLC39A14/CXCL10/P2RX2/XCR1/SLC30A2/SLC11A1/APOE/FPR1/CCL3/S100A9/PTGER1/PLCG2/GPR20/P2RY1/ATP2C2/AVPR1A/EDN2/STC2/CYSLTR1/PTH1R/JSRP1/ADRA1A/EGFR/S100A14/SLC30A3/ATP13A5/GIPR/TRPC6/LPAR4	56
GO:0009617	response to bacterium	58/1047	434/14703	2.3425989293363e-06	0.00145738935891334	0.00132264368497132	APOB/NR1I3/VGF/CCL2/PYCARD/CNR1/WNT5A/CCL20/PCK2/DEFB132/CYP1A1/CXCL2/TNF/BCL3/HAMP/STAB2/S100A8/IRF5/DCN/ICAM1/CHIT1/BAIAP2/IL23A/RAB29/ZFP36/ZC3H12A/ISG15/CSF3/NOS1/CXCL10/MAOB/IL12RB2/SLC11A1/FCER1G/TIMP4/TNFRSF6B/HIST1H2BC/CFP/GSDMB/CCL3/S100A9/TREM2/PTGER1/PLCG2/IL1B/ABCB4/COCH/IRAK2/STAP1/THBD/IL22RA1/TNFRSF1B/S100A14/FGF10/SPINK5/IL6/CEBPB/RPS6KA3	58
GO:0030593	neutrophil chemotaxis	19/1047	83/14703	4.31977708784219e-06	0.00208440278997996	0.00189168541010839	ITGA1/CCL2/CCL20/CXCL2/CCL11/PIK3CD/S100A8/CCL17/ITGA9/CCL8/IL23A/CXADR/FCER1G/CCL3/S100A9/IL1B/CCL4/EDN2/CSF3R	19
GO:0042445	hormone metabolic process	32/1047	191/14703	4.76163723638537e-06	0.00208440278997996	0.00189168541010839	RBP1/RDH11/ACE/CYP1A1/TNF/CPZ/PCSK2/RDH10/ACHE/SELENOM/ADH4/MME/HSD11B1/SLC5A7/EGR1/BMP5/DGAT2/PLB1/CRABP1/HSD17B6/LHB/CYP27C1/IL1B/SULT1A1/CGA/STC2/SCG5/CRABP2/CYP26A1/CYP26C1/CYP1B1/CORIN	32
