IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048018	receptor ligand activity	57/1045	344/14749	1.29012044052759e-09	1.17529972132063e-06	1.03752843848745e-06	VGF/CCL2/C1QTNF9/WNT5A/CSF1/CCL20/CXCL2/WNT10B/CCL11/BMP3/TNF/NRTN/HAMP/IL32/GDF10/KCNK3/CMTM8/CCL17/CCL8/TNFSF12/IL23A/MDK/CRLF1/EBI3/CSPG5/SST/WNT7B/CSF3/BMP5/UTS2B/FLRT3/TGFA/OSM/BMP7/CXCL10/CORT/IL1RN/CHGB/NDP/UCN2/CMTM7/LHB/NRG3/CCL3/IL1A/IL1B/GREM1/CGA/CCL4/EDN2/SEMA3D/STC2/TYMP/FGF10/LIF/IGF1/IL6	57
GO:0030545	receptor regulator activity	57/1045	366/14749	1.32077781194086e-08	6.01614293339061e-06	5.31091709643588e-06	VGF/CCL2/C1QTNF9/WNT5A/CSF1/CCL20/CXCL2/WNT10B/CCL11/BMP3/TNF/NRTN/HAMP/IL32/GDF10/KCNK3/CMTM8/CCL17/CCL8/TNFSF12/IL23A/MDK/CRLF1/EBI3/CSPG5/SST/WNT7B/CSF3/BMP5/UTS2B/FLRT3/TGFA/OSM/BMP7/CXCL10/CORT/IL1RN/CHGB/NDP/UCN2/CMTM7/LHB/NRG3/CCL3/IL1A/IL1B/GREM1/CGA/CCL4/EDN2/SEMA3D/STC2/TYMP/FGF10/LIF/IGF1/IL6	57
GO:0005125	cytokine activity	32/1045	166/14749	1.72421161810808e-07	5.2358559469882e-05	4.62209710959499e-05	CCL2/WNT5A/CSF1/CCL20/CXCL2/CCL11/BMP3/TNF/IL32/GDF10/CMTM8/CCL17/CCL8/TNFSF12/IL23A/CRLF1/EBI3/CSF3/BMP5/OSM/BMP7/CXCL10/IL1RN/NDP/CMTM7/CCL3/IL1A/IL1B/GREM1/CCL4/LIF/IL6	32
GO:0015276	ligand-gated ion channel activity	22/1045	115/14749	1.60725911325347e-05	0.00292842610434783	0.00258514939479085	ITPR2/HTR3B/P2RX6/GRID2/KCNJ16/RYR3/ITPR3/KCNJ6/GLRA3/CFTR/ITPR1/RASA3/GABRG1/GRIN3B/KCNJ10/P2RX2/ASIC3/GRIA4/MCOLN2/GRIK1/NCALD/SCNN1D	22
GO:0022834	ligand-gated channel activity	22/1045	115/14749	1.60725911325347e-05	0.00292842610434783	0.00258514939479085	ITPR2/HTR3B/P2RX6/GRID2/KCNJ16/RYR3/ITPR3/KCNJ6/GLRA3/CFTR/ITPR1/RASA3/GABRG1/GRIN3B/KCNJ10/P2RX2/ASIC3/GRIA4/MCOLN2/GRIK1/NCALD/SCNN1D	22
GO:0005539	glycosaminoglycan binding	29/1045	185/14749	4.29996438610454e-05	0.0044025917392729	0.00388651001075105	APOB/RTN4RL1/PCOLCE/ADAMTSL5/EGFLAM/CRISPLD2/WISP2/SEMA5A/HABP2/STAB2/THBS2/DCN/CLEC3B/CCL8/MDK/PODXL2/LAMC2/BMP7/RSPO4/CYR61/CXCL10/APOE/MMP7/TREM2/SOD3/LIPG/ADAMTS3/FGF10/F11	29
GO:0046873	metal ion transmembrane transporter activity	50/1045	398/14749	5.31597246234927e-05	0.0044025917392729	0.00388651001075105	SLC39A2/NCS1/ITPR2/KCNK15/SLC12A5/SLC1A3/KCNJ16/RYR3/MCUB/KCNK13/SLC12A1/ITPR3/TMEM37/KCNJ6/TRPM6/KCNH7/KCNK3/CACNA2D3/SLC5A7/SLC12A2/ITPR1/RASA3/SLC24A2/SLC9A5/SLC1A7/KCNB1/GRIN3B/SLC39A14/KCNC4/SCN1B/NIPAL1/KCNJ10/KCNAB2/SLC9A7/ASIC3/SLC30A2/SLC11A1/KCND3/SLC6A19/ATP2C2/MCOLN2/SLC30A3/CACNB1/GRIK1/ATP13A5/SCNN1D/ATP1A3/TRPC6/HCN3/SLC20A1	50
GO:1901681	sulfur compound binding	31/1045	215/14749	0.000119840717873264	0.00727832626550292	0.00642514445299466	APOB/RTN4RL1/CBS/GPC6/PCOLCE/ADAMTSL5/CRISPLD2/WISP2/SEMA5A/GSTM2/THBS2/CLEC3B/CCL8/MDK/GSTM4/LAMC2/BMP7/RSPO4/CYR61/FST/CXCL10/ACADL/APOE/MMP7/SOD3/LIPG/GPC2/ADAMTS3/FGF10/F11/ATP1A3	31
GO:0008201	heparin binding	22/1045	141/14749	0.000371130748057859	0.0187833395267061	0.0165815141237546	APOB/RTN4RL1/PCOLCE/ADAMTSL5/CRISPLD2/WISP2/THBS2/CLEC3B/CCL8/MDK/LAMC2/BMP7/RSPO4/CYR61/CXCL10/APOE/MMP7/SOD3/LIPG/ADAMTS3/FGF10/F11	22
GO:0099094	ligand-gated cation channel activity	16/1045	90/14749	0.000530528713004614	0.0254374556603791	0.022455619763741	ITPR2/HTR3B/P2RX6/KCNJ16/RYR3/ITPR3/KCNJ6/ITPR1/RASA3/KCNJ10/P2RX2/ASIC3/GRIA4/MCOLN2/GRIK1/SCNN1D	16
