IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048018	receptor ligand activity	103/1852	345/14915	2.73934568795201e-18	2.52916827252269e-15	2.28007353385318e-15	EPO/GPHA2/CXCL6/BMP5/PENK/CALCB/F2/GRP/CCL7/AMH/NBL1/LEP/NRG1/CORT/CCL13/METRNL/CXCL1/WNT2/FGF17/MIA/IL11/IFNG/SAA1/CSPG5/GDF7/FGF9/GDF5/CRLF1/CCL20/WNT7B/VGF/LGALS3/INSL3/FGF7/CCL11/IL17B/CCL5/ANGPTL8/C1QTNF4/UCN2/NRG4/WNT1/PNOC/PGF/WNT4/SEMA3D/PYY2/CSF3/IL34/IGF2/KL/C1QTNF12/EREG/CCL17/GNRH1/NPFF/APOA1/FAM3B/CLEC11A/XCL2/FLRT3/INHA/MAPT/CCL25/UCN/CXCL2/MDK/IFNE/NPPA/TNFSF14/AGRP/CCL19/LTB/CXCL13/FGF18/PSPN/TDGF1/MIF/RETN/IL27/XCL1/LEFTY1/NENF/HAMP/GREM1/SAA2/WNT10B/CXCL3/ARTN/IL6/BMP7/SCGB3A1/POMC/PMCH/LIF/MSTN/TIMP1/CGB7/INHBE/CCL26/WNT10A/SAA4/NMB	103
GO:0030545	receptor regulator activity	107/1852	368/14915	5.00825400499543e-18	2.52916827252269e-15	2.28007353385318e-15	EPO/GPHA2/CXCL6/BMP5/PENK/CALCB/F2/GRP/CCL7/AMH/NBL1/LEP/LYPD6B/NRG1/CORT/CCL13/METRNL/CXCL1/WNT2/FGF17/MIA/IL11/IFNG/SAA1/CSPG5/GDF7/FGF9/GDF5/CRLF1/CCL20/WNT7B/VGF/LGALS3/DKKL1/INSL3/FGF7/CCL11/IL17B/CCL5/ANGPTL8/C1QTNF4/UCN2/NRG4/WNT1/PNOC/PGF/WNT4/SEMA3D/PYY2/CSF3/IL34/IGF2/KL/C1QTNF12/EREG/CCL17/GNRH1/NPFF/APOA1/FAM3B/CLEC11A/XCL2/FLRT3/INHA/MAPT/CCL25/UCN/CXCL2/MDK/IFNE/NPPA/TNFSF14/AGRP/CCL19/LTB/CXCL13/FGF18/PSPN/TDGF1/LYPD1/MIF/RETN/IL27/XCL1/LEFTY1/NENF/HAMP/GREM1/LYPD6/SAA2/WNT10B/CXCL3/ARTN/IL6/BMP7/SCGB3A1/POMC/PMCH/LIF/MSTN/TIMP1/CGB7/INHBE/CCL26/WNT10A/SAA4/NMB	107
GO:0005179	hormone activity	32/1852	69/14915	3.58875807588555e-12	1.20821521888147e-09	1.08921955636526e-09	EPO/GPHA2/PENK/CALCB/GRP/AMH/LEP/CORT/METRNL/VGF/INSL3/ANGPTL8/UCN2/PNOC/PYY2/IGF2/KL/C1QTNF12/GNRH1/NPFF/INHA/CCL25/UCN/NPPA/AGRP/RETN/HAMP/POMC/PMCH/CGB7/INHBE/NMB	32
GO:0022803	passive transmembrane transporter activity	89/1852	390/14915	5.44323720250055e-09	1.37441739363139e-06	1.23905267899026e-06	KCNIP1/AQP2/SCNN1B/PANX2/KCNB1/TMEM150C/CNGB1/KCNN4/SCN3A/FXYD2/FXYD1/TRPM3/CLCN5/CACNG4/HCN2/BCL2A1/SCNN1D/TTYH1/GRIN1/NOX1/KCND3/SCN2A/CACNG5/SCNN1G/GJB2/KCNH3/KCNK12/KCNJ1/GABRQ/CACNB3/KCNJ11/HTR3A/CLIC3/KCNS1/REST/P2RX1/CHRNA6/KCNN3/TRPV6/KCNV1/SLC26A10/CACNA2D1/ASIC4/SCNN1A/GRIN3B/SLC5A8/FKBP1B/GABRB1/GJB7/CHRNA10/CLCA2/FXYD7/GRIA2/KCNK17/GRIN2D/GABRB3/CACNA1I/AQP8/KCNJ3/CLCNKB/KCNG3/ASIC1/GRIA1/FXYD3/GRIK1/KCNH8/FXYD5/KCNJ13/KCNK15/CATSPER1/TRPM8/CACNA1B/GJB3/GABRP/KCNAB3/CLIC5/AQP6/SLC24A5/KCNK10/NMUR2/ASIC3/P2RX6/CLCNKA/AQP5/SLC26A7/CACNB1/SCN1A/CHRNA7/KCNJ15	89
GO:0015077	monovalent inorganic cation transmembrane transporter activity	75/1852	344/14915	5.94064303618187e-07	4.61542266657207e-05	4.16085524396544e-05	ATP6V0A4/KCNIP1/SLC6A19/SLC6A18/SCNN1B/KCNB1/CNGB1/KCNN4/ATP1A3/SLC9A5/SCN3A/SLC2A9/SLC6A7/SLC9A4/FXYD2/SLC4A5/HCN2/ATP1A4/SCNN1D/SLC1A6/KCND3/SCN2A/SCNN1G/KCNH3/SLC4A3/KCNK12/KCNJ1/SLC10A6/COX5B/COX6C/KCNJ11/SLC5A5/KCNS1/REST/KCNN3/KCNV1/COX4I2/MFSD3/SLC6A16/ATP5F1EP2/SLC12A3/ATP5F1E/ASIC4/SCNN1A/KCNK17/SLC13A1/SLC5A1/SLC9A2/CACNA1I/SLC9A7/KCNJ3/TCIRG1/ATP6V1C2/SLC9C2/KCNG3/ASIC1/ATP2A1/GRIK1/KCNH8/SLC6A15/COX7A1/KCNJ13/KCNK15/ATP5ME/COX6B1/SLC10A2/ATP6V1B1/KCNAB3/SLC24A5/KCNK10/ASIC3/ATP5F1D/SCN1A/SLC2A6/KCNJ15	75
GO:0004252	serine-type endopeptidase activity	38/1852	142/14915	2.68851165011314e-06	0.000193956911901019	0.0001748543291239	TMPRSS2/F2/KLK6/PLG/KLK10/TMPRSS4/MST1L/PRSS22/RHBDL1/TMPRSS3/ADAM8/KLK14/PRSS50/CTSK/MMP12/HTRA3/TPSG1/MMP10/TMPRSS6/TMPRSS13/PRSS3/GZMH/KLK4/KLK1/HTRA4/PRSS12/GZMB/TMPRSS5/CTRL/GZMM/MMP9/TLL1/PRSS53/PRSS45/HGFAC/MMP3/GZMA/TMPRSS11D	38
GO:0017171	serine hydrolase activity	42/1852	171/14915	8.83771210863429e-06	0.000469794169985296	0.000423524707699095	TMPRSS2/F2/KLK6/PLG/KLK10/TMPRSS4/MST1L/PRSS22/RHBDL1/TMPRSS3/ADAM8/KLK14/PRSS50/CTSK/MMP12/HTRA3/TPSG1/MMP10/TMPRSS6/DPP8/TMPRSS13/PRSS3/GZMH/KLK4/KLK1/DPP7/HTRA4/PRSS12/GZMB/TMPRSS5/ACHE/PLA2G6/CTRL/GZMM/MMP9/TLL1/PRSS53/PRSS45/HGFAC/MMP3/GZMA/TMPRSS11D	42
GO:0005501	retinoid binding	13/1852	29/14915	1.57217291966811e-05	0.000721770294938543	0.000650684007422449	LCN12/ADH4/CRABP2/STRA6/CYP26A1/ALDH1A2/SERPINA5/CYP26C1/UGT1A7/OPN4/CRABP1/RBP1/PTGDS	13
GO:0030414	peptidase inhibitor activity	33/1852	127/14915	2.31328780150544e-05	0.000970092948225431	0.000874549661505991	UMODL1/WFDC2/WFDC10B/BIRC5/SSPO/ITIH4/SERPINA7/PTTG1/SERPINA3/CST2/PCSK1N/CST7/SERPINA5/PI3/COL7A1/WFDC3/TNFSF14/CD27/BIRC7/SERPINB2/PRDX5/GPC3/AHSG/NLRP7/MT3/LEF1/PI15/CST6/SPOCK3/SPINK1/VIL1/TIMP1/SLPI	33
GO:0099094	ligand-gated cation channel activity	26/1852	90/14915	2.32376821739778e-05	0.000970092948225431	0.000874549661505991	SCNN1B/CNGB1/HCN2/SCNN1D/GRIN1/SCNN1G/KCNJ1/KCNJ11/HTR3A/P2RX1/CHRNA6/SCNN1A/FKBP1B/CHRNA10/GRIA2/GRIN2D/KCNJ3/ASIC1/GRIA1/GRIK1/KCNJ13/CATSPER1/ASIC3/P2RX6/CHRNA7/KCNJ15	26
