ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048018	receptor ligand activity	121/2093	336/14734	4.33808500731229e-24	4.3077184122611e-21	3.82664761697652e-21	LEFTY2/SEMA3E/APOA1/SFRP2/CXCL2/EFNA5/SAA2/CCL21/CCL11/TNFSF18/SEMA3A/GREM1/GPHA2/OXT/SEMA3D/RETN/EPO/NTF4/PF4/IFNG/EDN3/IL24/C10orf99/CGB7/ANGPTL8/ANGPTL3/GREM2/WNT7A/GDF10/FGF17/CCL14/IL1RN/IL27/FGF18/CCL26/CCL23/QRFP/CCL13/WNT10A/CCL4/KCNK3/CNTF/TIMP1/STC1/GHRL/CDC42EP2/ARTN/KL/WNT9A/UCN/CCL4L1/IL6/NENF/CCL3/NPPA/LTB/MIA/FAM3B/XCL2/XCL1/CORT/NRG4/IL34/NTF3/CCL19/BMP8B/IGF2/CXCL14/OSM/IL17B/CCL3L1/PNOC/DKK1/CCL5/IL11/CLEC11A/PYY2/FAM3D/PGF/CRLF1/UCN2/EFEMP1/SST/DAND5/IL1A/CCL8/CMTM2/AGRP/CCL20/SEMA4A/NPFF/WNT3A/BMP3/NGF/POMC/LTA/CCL17/MIF/LHB/GMFG/CALCB/INSL5/ADM/HAMP/C1QTNF4/PTHLH/SAA4/GDF7/CCL2/CXCL13/SCT/VIP/CXCL3/FGF1/GDF3/SAA1/INHA/INSL3/TNFSF14/PSPN/GDF15	121
GO:0030545	receptor regulator activity	125/2093	359/14734	2.37950990500032e-23	1.18142666783266e-20	1.04948910546856e-20	LEFTY2/SEMA3E/APOA1/SFRP2/CXCL2/EFNA5/SAA2/CCL21/CCL11/TNFSF18/SEMA3A/GREM1/GPHA2/OXT/SEMA3D/RETN/EPO/NTF4/PF4/IFNG/EDN3/IL24/C10orf99/CGB7/ANGPTL8/ANGPTL3/GREM2/WNT7A/GDF10/PCSK9/FGF17/CCL14/IL1RN/IL27/FGF18/CLEC12B/CCL26/CCL23/QRFP/CCL13/WNT10A/CCL4/KCNK3/CNTF/TIMP1/STC1/LYPD6B/GHRL/CDC42EP2/ARTN/KL/WNT9A/UCN/CCL4L1/IL6/NENF/CCL3/NPPA/LTB/MIA/FAM3B/XCL2/XCL1/CORT/NRG4/IL34/NTF3/CCL19/BMP8B/IGF2/CXCL14/OSM/IL17B/CCL3L1/PNOC/DKK1/CCL5/IL11/CLEC11A/PYY2/FAM3D/PGF/CRLF1/UCN2/EFEMP1/SST/DAND5/IL1A/CCL8/CMTM2/AGRP/CCL20/SEMA4A/NPFF/WNT3A/BMP3/NGF/POMC/LTA/CCL17/MIF/LHB/GMFG/CALCB/INSL5/ADM/HAMP/C1QTNF4/PTHLH/SAA4/GDF7/CCL2/DKK2/CXCL13/SCT/VIP/CXCL3/FGF1/GDF3/SAA1/INHA/INSL3/TNFSF14/PSPN/GDF15	125
GO:0001664	G-protein coupled receptor binding	73/2093	227/14734	3.38599334772638e-12	1.12076379809743e-09	9.95600851015688e-10	CXCL2/NECAB2/CCL21/BDKRB2/CCL11/GPHA2/OXT/RTP5/PF4/EDN3/KISS1/C10orf99/WNT7A/MRAP2/GNAO1/FZD1/CCL14/CCL26/CCL23/QRFP/DEFB1/CCL13/WNT10A/CCL4/NPW/CNRIP1/GNAL/PPP1R1B/GHRL/GRIK3/WNT9A/UCN/CCL4L1/CCL3/NPPA/S1PR2/XCL2/XCL1/CORT/ROR2/CCL19/CXCL14/CCL3L1/PNOC/CCL5/ADRB1/PYY2/NPB/WNT6/ATP1A3/UCN2/CCL8/CCL20/REEP2/NPFF/WNT3A/ADORA2A/POMC/TAC1/CTHRC1/CCL17/INSL5/ADM/GNA11/EDNRB/CCL2/CXCL13/SCT/CXCL3/SAA1/WNT2B/WNT16/GNA15	73
GO:0004252	serine-type endopeptidase activity	47/2093	134/14734	9.94336718772131e-10	1.23422045217591e-07	1.09638706622506e-07	FCN2/MMP9/PRTN3/LTF/PLG/PCSK2/KLK13/KLK4/PCSK9/MMP12/PRSS50/GZMB/KLK1/GZMM/ADAM8/PRSS22/C1QB/MMP1/TMPRSS13/FCN3/PRSS45/CFD/KLK6/FAP/TPSG1/HTRA3/TMPRSS4/MMP19/TMPRSS3/GZMA/PLAT/MMP2/RHBDL3/GZMK/MASP2/MST1L/CTSK/PCSK6/C1QA/TLL1/TMPRSS5/CTRL/PCSK1/PRSS36/GZMH/C1R/PRSS3	47
GO:0004930	G-protein coupled receptor activity	88/2093	334/14734	2.78859237078335e-09	3.0767469157643e-07	2.73314667452216e-07	GPRC5A/SFRP2/CHRM3/BDKRB2/PTGER3/FFAR2/ELOVL4/PTGFR/GPR88/OR2W3/HTR1D/ADGRL3/KISS1R/SORCS2/TSHR/CNR2/GPR61/ADGRF2/UTS2R/DRD1/GPR15/APLNR/RAMP3/FZD1/RORB/GPR4/ADRA1A/GPR3/GP1BA/NPR3/GCGR/GPR18/F2RL3/S1PR4/TBXA2R/NLRP6/GRIK3/LPAR2/P2RY11/GPR83/S1PR2/ADGRG3/FFAR4/SCTR/MTNR1A/FSHR/PDGFRL/RAMP2/OR51E2/AVPR1B/CXCR3/BDKRB1/S1PR5/DRD5/PTGER1/GPR143/NPY6R/MRGPRF/ACKR1/FZD9/DRD4/GPR152/ADRB1/SSTR1/RAMP1/SORCS1/P2RY4/SUCNR1/CYSLTR2/GPR1/P2RY6/GPR87/ADORA2A/FZD10/PDGFRB/PTGIR/FZD2/MCHR1/ADGRF4/GPR68/OR51E1/OR13A1/MLNR/EDNRB/GPR19/CXCR5/AVPR2/GPBAR1	88
GO:0022803	passive transmembrane transporter activity	95/2093	371/14734	3.23329565501597e-09	3.21066258543086e-07	2.85210711463514e-07	CHRNB4/KCNV1/FAM155A/CLCNKB/TRPM8/ZACN/GABRB2/GRIA2/GRIA4/KCNN1/SCN7A/GJB3/PKD2L1/LOXHD1/KCNK12/ASIC2/GRIK1/KCNJ13/KCNA2/PANX2/GRIK5/SCNN1B/TRPM2/TRPC5/GPR89B/KCNC4/SLC17A7/REST/KCND3/GABRR2/KCNIP1/SLC14A1/SLC24A5/KCNJ10/SLC5A8/P2RX7/KCNQ1/GABRD/CACNA1I/TRPC3/TMEM63C/KCNK3/KCNB1/PKDREJ/CHRNA10/CLIC4/TMEM150C/SCNN1D/KCNE5/KCNJ1/GRIK3/CACNA1A/CALHM6/HCN4/CLCNKA/KCNN4/KCNA5/ANO2/GABRP/SCN9A/JPH3/AQP5/TRPM3/GABRE/SCNN1G/KCNK4/GJC1/CALHM5/CLCN3/NOX1/CACNB1/FXYD7/SLC26A10/FXYD2/CATSPER1/CACNA2D1/HTR3A/KCNH7/AQP9/KCNB2/KCNA6/CLCN1/BCL2A1/KCNK10/TRPV6/CACNA1F/FXYD1/KCNQ3/KCNMB1/TRPC6/KCNE4/FXYD5/AQP2/FXYD3/P2RX6	95
GO:0017171	serine hydrolase activity	51/2093	164/14734	2.1414435780527e-08	1.41763564867089e-06	1.25931910063731e-06	FCN2/MMP9/PRTN3/LTF/PLG/PCSK2/KLK13/KLK4/PCSK9/DPP10/MMP12/PRSS50/RELN/GZMB/KLK1/GZMM/ADAM8/PRSS22/C1QB/MMP1/TMPRSS13/FCN3/PRSS45/CFD/KLK6/FAP/TPSG1/HTRA3/TMPRSS4/MMP19/TMPRSS3/DPP8/GZMA/PLAT/MMP2/RHBDL3/GZMK/MASP2/MST1L/CTSK/PCSK6/C1QA/TLL1/TMPRSS5/CTRL/DPP6/PCSK1/PRSS36/GZMH/C1R/PRSS3	51
GO:0061135	endopeptidase regulator activity	42/2093	125/14734	3.19573411130709e-08	1.98335248282996e-06	1.76185867452325e-06	SFRP2/VIL1/SLPI/LTF/SERPIND1/BIRC7/SPINK13/HRG/AHSG/SERPINA5/LEF1/CST5/CST1/CPAMD8/TIMP1/CST2/BIRC5/CST7/PSME2/CARD16/ITIH3/SERPINA4/CD109/ITIH4/CRB2/SERPINA3/SERPINE1/PTTG1/KNG1/TIMP4/COL7A1/BIRC3/WFDC3/COL6A3/CSTA/PI3/NGF/SPINK1/BST2/DPEP1/TNFSF14/CD27	42
GO:0005523	tropomyosin binding	9/2093	13/14734	9.6334137918162e-06	0.000308579996621726	0.000274118871223836	LMOD1/TNNT2/NEBL/S100A6/TMOD4/PYCARD/TMOD1/TNNT3/TNNT1	9
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	77/2093	349/14734	4.00436648114027e-05	0.00120495027750675	0.00107038568140209	IKZF3/EBF3/CDX1/PITX1/HOXD13/FOXJ1/KLF14/MEOX1/MEOX2/EHF/TFAP2A/NKX2-8/PAX5/FOXA1/WT1/SOX17/AR/RORB/LEF1/REST/GATA3/POU2F3/GRHL2/VENTX/CREBRF/SOX11/FOSL1/DDIT3/JUND/TFEC/LHX2/RORA/SOX18/MEF2B/CSRNP3/SPI1/FOXH1/ZGLP1/ETV2/HOXD3/HOXD10/TOX2/DLX5/HNF4G/SIX1/CREB3L1/ETV4/ZNF467/ELF5/MYBL2/SATB2/ESR1/FOXF2/SIX2/FOXD1/HNF4A/MESP1/HEYL/IER2/KLF7/BATF/HOXD8/TCF15/CEBPE/STAG1/RREB1/GLI2/ALX1/CEBPB/ATF2/CEBPA/REL/NFIC/HOXB5/SPIB/NFATC2/TFEB	77
