IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006935	chemotaxis	113/1245	492/13808	2.32979341713374e-21	6.82411790454473e-18	5.33827591469335e-18	EGR3/TRPM4/PTK2/PLXNA4/VEGFA/CYP7B1/C5AR1/TRPV4/VANGL2/LAMB2/LHX2/F3/EPHA2/ACKR3/PLXNB1/CXCL13/PLCG1/FPR2/PDGFRB/FPR1/DOK6/UNC5A/FCER1G/APP/UNC5C/PTPRM/S100A12/STYK1/PDGFD/CMTM2/ENAH/CMTM8/SEMA3F/THBS1/JAML/CCL22/F2RL1/PROK2/CCR1/SEMA3A/NTRK1/FFAR2/KIF5A/LBP/NRXN1/NFIB/RELN/CXCL16/LPAR1/APBB2/S100A8/ROBO1/PDGFRA/PDGFA/F7/NCAM1/ISL2/CXCL6/NTRK3/L1CAM/SLIT2/GFRA1/SLIT3/GPR32/SEMA5B/CRMP1/BMP4/PLA2G7/DEFB1/PARVA/PF4V1/CXCL11/CXCL12/CDH13/RARRES2/SERPINE1/PTAFR/NRP1/DEFA1B/JAM3/NRP2/ITGB2/CXCR1/HOXB9/KIRREL1/NRXN3/EPHB1/PRKCD/TYMP/EFNB3/NBL1/MST1/FZD3/CXCR2/ZSWIM5/FLRT3/CX3CR1/GLI3/FEZ1/BMPR2/ELANE/ISPD/CXCL14/SCN1B/GFRA3/ITGA9/AIF1/PTCH1/IL10/CCL23/HGF/CXCL10/FGFR1	113
GO:0042330	taxis	113/1245	493/13808	2.76896648591793e-21	6.82411790454473e-18	5.33827591469335e-18	EGR3/TRPM4/PTK2/PLXNA4/VEGFA/CYP7B1/C5AR1/TRPV4/VANGL2/LAMB2/LHX2/F3/EPHA2/ACKR3/PLXNB1/CXCL13/PLCG1/FPR2/PDGFRB/FPR1/DOK6/UNC5A/FCER1G/APP/UNC5C/PTPRM/S100A12/STYK1/PDGFD/CMTM2/ENAH/CMTM8/SEMA3F/THBS1/JAML/CCL22/F2RL1/PROK2/CCR1/SEMA3A/NTRK1/FFAR2/KIF5A/LBP/NRXN1/NFIB/RELN/CXCL16/LPAR1/APBB2/S100A8/ROBO1/PDGFRA/PDGFA/F7/NCAM1/ISL2/CXCL6/NTRK3/L1CAM/SLIT2/GFRA1/SLIT3/GPR32/SEMA5B/CRMP1/BMP4/PLA2G7/DEFB1/PARVA/PF4V1/CXCL11/CXCL12/CDH13/RARRES2/SERPINE1/PTAFR/NRP1/DEFA1B/JAM3/NRP2/ITGB2/CXCR1/HOXB9/KIRREL1/NRXN3/EPHB1/PRKCD/TYMP/EFNB3/NBL1/MST1/FZD3/CXCR2/ZSWIM5/FLRT3/CX3CR1/GLI3/FEZ1/BMPR2/ELANE/ISPD/CXCL14/SCN1B/GFRA3/ITGA9/AIF1/PTCH1/IL10/CCL23/HGF/CXCL10/FGFR1	113
GO:0030198	extracellular matrix organization	75/1245	278/13808	1.16393338870015e-18	1.91234255763435e-15	1.49596070273988e-15	ITGA7/SULF1/PTK2/MELTF/LAMB2/TPSAB1/COL4A2/APP/ITGA11/ITGA8/ANTXR1/CRISPLD2/VWF/LAMC1/FOXC1/COL16A1/THBS1/VCAN/COL6A3/JAM2/PXDN/COL5A3/MATN3/APBB2/PDGFA/COL1A2/COL3A1/ADAMTS9/SPP1/TGFBI/LAMA4/FMOD/CYP1B1/COL8A1/MATN4/ITGAE/TLL2/SERPINE1/LOXL1/AGRN/MMP7/COL9A3/HSPG2/MMP2/JAM3/ITGB2/COL2A1/CTSL/ADAMTS4/FBLN1/COL6A2/COL6A1/ITGAM/ICAM4/SPARC/SERPINH1/LOXL4/SCUBE1/MMP14/ELANE/DDR2/MFAP4/ITGAX/ICAM5/ITGB4/RGCC/FSCN1/MMP8/ITGA9/ADAMTS5/EFEMP2/COL9A2/LAMC3/DDR1/COL27A1	75
GO:0043062	extracellular structure organization	81/1245	321/13808	3.82749368955716e-18	4.7164290989568e-15	3.68950246969681e-15	ITGA7/SULF1/PTK2/MPO/MELTF/LAMB2/TPSAB1/COL4A2/CD36/APP/ITGA11/ITGA8/ANTXR1/CRISPLD2/VWF/LAMC1/PRKACG/APOC2/FOXC1/COL16A1/THBS1/LIPC/VCAN/COL6A3/JAM2/PXDN/COL5A3/MATN3/APBB2/PDGFA/COL1A2/COL3A1/ADAMTS9/SPP1/TGFBI/LAMA4/PLA2G7/FMOD/CYP1B1/COL8A1/MATN4/ITGAE/TLL2/SERPINE1/LOXL1/AGRN/MMP7/COL9A3/HSPG2/MMP2/JAM3/ITGB2/COL2A1/CTSL/ADAMTS4/FBLN1/COL6A2/COL6A1/ITGAM/ICAM4/SPARC/SERPINH1/LOXL4/SCUBE1/MMP14/ELANE/DDR2/MFAP4/ITGAX/ICAM5/ITGB4/RGCC/FSCN1/MMP8/ITGA9/ADAMTS5/EFEMP2/COL9A2/LAMC3/DDR1/COL27A1	81
GO:0048514	blood vessel morphogenesis	102/1245	481/13808	8.82799550239254e-17	8.70263796625857e-14	6.80777842637135e-14	EPAS1/EGR3/APOD/PPP1R16B/SULF1/HOXA7/PTK2/EPN2/VEGFA/C5AR1/CAV1/ADGRB2/SMO/COL4A2/F3/PTGIS/EPHA2/ACKR3/CXCL13/TAL1/PLCG1/HOXB3/PDGFRB/HEY2/LRP2/PTPRM/SPRED1/FOXC1/THBS1/KRT1/DAB2IP/PROK2/TBX1/TBXA2R/ROBO4/ENPEP/ROBO1/PDGFRA/PRRX1/PDGFA/SLIT2/COL3A1/ESM1/ADAMTS9/CHI3L1/TGFBI/CDH5/NFATC4/BMP4/CYP1B1/COL8A1/HMGA2/PARVA/JCAD/CDH2/THY1/CDH13/ANPEP/SERPINE1/NRP1/FGFR2/APLN/HSPG2/HOXA1/MMP2/JAM3/NRP2/ITGB2/PDE3B/MCAM/ADM2/TWIST1/HMOX1/EPHB1/FZD8/TYMP/THSD7A/DLL1/CXCR2/CX3CR1/ECM1/SPARC/LOXL4/BMPR2/HOXA5/MMP14/LRG1/HOXA3/KLF5/GJA1/FLT4/RGCC/WNT11/SERPINF1/AKT3/HIF3A/IL10/NOTCH3/HGF/LEP/CXCL10/FGFR1	102
GO:0001525	angiogenesis	92/1245	413/13808	1.19885522204411e-16	9.84859564909238e-14	7.70422224271506e-14	EPAS1/EGR3/APOD/PPP1R16B/SULF1/HOXA7/PTK2/EPN2/VEGFA/C5AR1/CAV1/ADGRB2/COL4A2/F3/PTGIS/EPHA2/ACKR3/CXCL13/TAL1/PLCG1/HOXB3/PDGFRB/PTPRM/SPRED1/FOXC1/THBS1/KRT1/DAB2IP/PROK2/TBX1/TBXA2R/ROBO4/ENPEP/ROBO1/PDGFRA/PDGFA/SLIT2/ESM1/ADAMTS9/CHI3L1/TGFBI/CDH5/NFATC4/BMP4/CYP1B1/COL8A1/HMGA2/PARVA/JCAD/THY1/CDH13/ANPEP/SERPINE1/NRP1/FGFR2/APLN/HSPG2/MMP2/JAM3/NRP2/ITGB2/PDE3B/MCAM/ADM2/TWIST1/HMOX1/EPHB1/FZD8/TYMP/THSD7A/DLL1/CXCR2/CX3CR1/ECM1/SPARC/LOXL4/HOXA5/MMP14/LRG1/HOXA3/KLF5/FLT4/RGCC/SERPINF1/AKT3/HIF3A/IL10/NOTCH3/HGF/LEP/CXCL10/FGFR1	92
GO:0001501	skeletal system development	88/1245	395/13808	5.67011198889657e-16	3.9925688561816e-13	3.12325116019972e-13	SULF1/PBX1/HOXA7/IGF2/PTH1R/TRPV4/RYR1/AEBP1/HOXA6/PLXNB1/TAL1/HOXB3/HHIP/HOXA9/MGP/SNORC/FGFR3/HOXB4/TEAD4/MPIG6B/IGFBP4/PCSK5/SNAI1/TP63/FOXC1/PKDCC/SFRP4/FAM20C/VCAN/TBX1/PRELP/IRX5/HOXB2/MATN3/PLS3/NFIB/CYTL1/WNT1/PDGFRA/PRRX1/BMP5/COL1A2/COL3A1/NPR3/KIAA1217/CHI3L1/CDH11/TGFBI/BMP4/HMGA2/SNAI2/HOXA11/FGFR2/HOXB7/SATB2/HOXA1/MMP2/COL2A1/ADAMTS4/ROR2/DCHS1/HOXB9/TWIST1/PHEX/SHOX2/FREM1/SPARC/SERPINH1/HOXB8/GLI3/BMPR2/HOXA5/MMP14/HOXB5/HOXA3/LRP6/GNA11/WNT11/HOXA10/VDR/DLL3/HOXB6/ADAMTS7/RFLNA/COL9A2/LEP/COL27A1/FGFR1	88
GO:0003002	regionalization	58/1245	223/13808	5.95088869721706e-14	3.66649129857286e-11	2.86817174972448e-11	COBL/PBX1/HOXA7/PGAP1/ARC/VANGL2/LHX2/SMO/HOXA6/HOXB3/HHIP/HOXA9/HEY2/HOXB4/LRP2/NKX3-1/PCSK5/SNAI1/TP63/FOXC1/SEMA3F/SEMA3A/TBX1/HOXB2/RELN/WNT1/BMP4/AR/LRP4/NRP1/HOXA11/FGFR2/HOXB7/LMX1B/GPC3/ROR2/HOXB9/NBL1/DLL1/PCSK6/HOXB8/GLI3/BMPR2/HOXA5/CDON/HOXB5/HOXA3/LRP6/SOSTDC1/LFNG/HOXA10/MAFB/PTCH1/PBX3/DLL3/GPR161/HOXB6/FGFR1	58
GO:0048667	cell morphogenesis involved in neuron differentiation	93/1245	479/13808	5.73543598031796e-13	3.1411071052208e-10	2.45718151998885e-10	COBL/PTK2/PLXNA4/POU4F1/VEGFA/ARC/METRN/VANGL2/LAMB2/LHX2/PLXNB1/PLCG1/TSKU/DOK6/TNIK/SHANK1/UNC5A/APP/UNC5C/PTPRM/ENAH/PREX2/PTPRS/CAMK2B/NTNG1/OBSL1/NEFL/SEMA3F/ZNF365/NPTX1/SEMA3A/PRELP/NTRK1/KIF5A/NRXN1/NFIB/SHANK2/RELN/APBB2/ROBO1/NCAM1/ISL2/NTRK3/NGEF/L1CAM/SLIT2/KNDC1/GFRA1/SLIT3/SEMA5B/SPP1/CRMP1/CDH11/NFATC4/FMOD/CUX2/CDH2/CXCL12/THY1/MYO7A/LRP4/FGF13/MAP1A/NRP1/FGFR2/LRRN1/NTNG2/NRP2/KIRREL1/NRXN3/EPHB1/AUTS2/EFNB3/SDC2/RTN4R/FZD3/ZSWIM5/FLRT3/SHOX2/GLI3/FEZ1/BMPR2/NLGN1/PARD3/ISPD/LRRN2/SCN1B/GFRA3/PTCH1/UCHL1/BRSK2/WHRN/STXBP1	93
GO:0050900	leukocyte migration	77/1245	367/13808	1.09485027057348e-12	5.23020635964455e-10	4.09141298979786e-10	APOD/TRPM4/HOXA7/VEGFA/CYP7B1/C5AR1/CAV1/TRPV4/CXCL13/PLCG1/FPR2/FPR1/FCER1G/APP/S100A12/TREM1/PDGFD/P2RY12/THBS1/JAML/NLRP12/CCL22/F2RL1/CCR1/JAM2/FFAR2/LBP/CXCL16/S100A8/SDC3/F7/BMP5/CXCL6/L1CAM/SLIT2/COL1A2/GPR32/ADORA1/PLA2G7/PF4V1/CD177/CXCL11/CXCL12/THY1/RARRES2/SERPINE1/PTAFR/DEFA1B/ESAM/JAM3/TNFRSF18/ITGB2/ROR2/CXCR1/HCK/HMOX1/SDC2/NBL1/CEACAM6/MST1/CXCR2/ITGAM/CX3CR1/ECM1/MMP14/ELANE/ITGAX/CD2/CXCL14/ITGA9/AIF1/IL10/SLC16A3/CEACAM8/CCL23/LEP/CXCL10	77
