IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031012	extracellular matrix	106/1301	363/14453	3.97815563292444e-29	1.93338363760128e-26	1.42794849560761e-26	PRSS36/TINAGL1/LTBP3/VEGFA/LAMB2/AEBP1/TPSAB1/COL4A2/GPC5/F3/PODN/MGP/SNORC/ADAMTS1/CRISPLD2/VWF/LAMC1/SERPINA1/EDIL3/FBLN7/MAMDC2/COL16A1/THBS1/KRT1/ENTPD2/VCAN/TFF3/COL6A3/PRELP/CPZ/PXDN/DST/COL5A3/MATN3/RELN/COL28A1/WNT1/SDC3/ORM1/NCAM1/GLDN/L1CAM/SLIT2/COL1A2/COL3A1/SLIT3/ADAMTS9/CHI3L1/TGFBI/LAMA4/BMP4/FMOD/COL8A1/CDH2/SLPI/CLEC14A/CDH13/CPA3/RARRES2/SERPINE1/LOXL1/AGRN/MMP7/FGFR2/DEFA1B/COL9A3/LRRN1/HSPG2/CRIP2/CD248/MMP2/GPC3/COL2A1/SSC5D/GPC4/ADAMTS4/FBLN1/TPSB2/TGFB1I1/EMILIN1/COL6A2/SDC2/COL6A1/PCSK6/FLRT3/ECM1/FREM1/SPARC/CDON/MMP14/MFAP4/SPOCK1/LRRN2/WNT11/SERPINF1/CTSD/MMP8/TIMP3/ADAMTS5/EFEMP2/ADAMTS7/COL9A2/LAMC3/LGALS3BP/MXRA7/COL27A1	106
GO:0005578	proteinaceous extracellular matrix	75/1301	284/14453	4.19906052322998e-18	1.02037170714488e-15	7.53620862327064e-16	PRSS36/VEGFA/LAMB2/COL4A2/GPC5/PODN/MGP/SNORC/ADAMTS1/CRISPLD2/VWF/LAMC1/SERPINA1/FBLN7/MAMDC2/COL16A1/ENTPD2/VCAN/TFF3/COL6A3/PRELP/CPZ/PXDN/DST/COL5A3/MATN3/RELN/COL28A1/WNT1/GLDN/SLIT2/COL1A2/COL3A1/SLIT3/ADAMTS9/CHI3L1/TGFBI/LAMA4/BMP4/FMOD/COL8A1/LOXL1/AGRN/MMP7/COL9A3/LRRN1/HSPG2/CD248/MMP2/GPC3/COL2A1/GPC4/ADAMTS4/FBLN1/EMILIN1/COL6A2/COL6A1/FLRT3/ECM1/FREM1/SPARC/MFAP4/SPOCK1/LRRN2/WNT11/SERPINF1/MMP8/TIMP3/ADAMTS5/EFEMP2/ADAMTS7/COL9A2/LAMC3/LGALS3BP/COL27A1	75
GO:0043235	receptor complex	69/1301	306/14453	4.61034384026782e-13	7.46875702123387e-11	5.51623596326782e-11	ITGA7/PLXNA4/SHISA9/PTH1R/DLG3/EPHA2/PLXNB1/PDGFRB/TRPC1/FGFR3/SHANK1/GABRD/LRP2/CD36/APP/ITGA11/ITGA8/IFNLR1/TLR4/LTK/LIFR/CNIH3/INSRR/NTRK1/SHANK2/ABCG2/PDGFRA/NTRK3/GFRA1/GABRR1/GHR/ITGAE/AXL/LRP4/GABRE/ADRA2A/NRP1/FGFR2/IL12RB1/NRP2/ITGB2/OSMR/ROR2/GRIK3/EPHB1/EMILIN1/CACNG4/CHRNA6/ITGAM/LOXL4/DDR2/IGF1R/LRP6/ITGAX/NLGN1/FLT4/ITGB4/IRS1/GFRA3/PTPRN2/CD3D/TRPV3/MST1R/ITGA9/VDR/NOTCH3/GPR63/DDR1/FGFR1	69
GO:0097060	synaptic membrane	56/1301	233/14453	5.1405007790778e-12	6.24570844657953e-10	4.61292306754087e-10	TANC1/HOMER2/SHISA9/ARC/CLSTN2/DLG3/MPDZ/SNCAIP/SHANK1/GABRD/SLC8A1/IGSF9B/ITGA8/PTPRS/KCNA2/CNIH3/DMD/CPZ/KCNC3/NRXN1/PDLIM4/TMEM108/IL31RA/SHANK2/CADPS2/TENM2/LIN7A/GLRB/GABRR1/ADORA1/CDH2/DNM1/PRRT2/LRP4/GABRE/GRASP/DAGLA/GRID2IP/GSG1L/BAALC/GRIK3/GPHN/PDE2A/CNKSR2/CACNG4/PALM/DLGAP2/CHRNA6/FLRT3/SYNPO/ADGRL1/NLGN1/NETO1/GRID1/STXBP1/PSD3	56
GO:0031225	anchored component of membrane	35/1301	111/14453	1.70500461102009e-11	1.65726448191152e-09	1.22401383654284e-09	FCGR3B/ULBP2/ART3/MELTF/GPC5/RTN4RL1/CA4/NTNG1/RAB27B/FOLR2/VNN3/MSLN/NCAM1/MDGA1/GFRA1/VNN1/ULBP1/CD177/RGMA/THY1/CDH13/VNN2/GPC3/NTNG2/GPC4/SYN1/RTN4R/CEACAM6/XPNPEP2/CD2/GFRA3/LYNX1/CPM/RTN4RL2/CEACAM8	35
GO:0009897	external side of plasma membrane	48/1301	204/14453	3.73253486654838e-10	3.02335324190418e-08	2.23297261314561e-08	ADGRE1/CD163L1/FCRL6/F3/CD9/CD226/LRP2/FCER1G/CD36/SLC2A4/ANTXR1/TLR4/RTN4RL1/CA4/P2RY12/THBS1/FCN1/CCR1/MS4A2/FOLR2/IL31RA/ENPEP/BTNL9/LAG3/NCAM1/GFRA1/TLR8/CDH5/IL2RA/CXCL12/THY1/CLEC14A/ITGAE/CD163/CDH13/ANPEP/FCGR3A/ITGB2/GPC4/MCAM/RTN4R/ITGAM/SCUBE1/NLGN1/CD2/GFRA3/RTN4RL2/CXCL10	48
GO:0030424	axon	79/1301	445/14453	2.71775367800537e-09	1.65103535938826e-07	1.21941316342083e-07	AZIN2/COBL/TANC1/NAV1/TRPV4/DLG3/KCNIP3/LRP2/APP/IGSF9/PTPRS/NEFL/DAB2IP/PACSIN1/KCNA2/SEMA3A/INSRR/NTRK1/DST/KCNC3/NFIB/KCNA6/TMEM108/IL31RA/SHANK2/TENM2/AP3B2/APBB2/ROBO1/ADAM22/GLDN/TENM3/NTRK3/PCDHGB1/NGEF/L1CAM/ADORA1/ADGRL3/THY1/CRHBP/DPYSL3/DNM1/PRRT2/TUBB4A/SLC18A2/FGF13/NRP1/DAGLA/LAMP5/NTNG2/RASGRF1/ROR2/GRIK3/EPHB1/SYN1/KCNJ11/AUTS2/RTN4R/PALM/FZD3/FLRT3/ADGRL1/FEZ1/IGF1R/SPOCK1/PARD3/TNFRSF21/SERPINF1/SCN1B/FSCN1/C1QL1/EPB41L3/PTPRN2/PRSS12/PTCH1/UCHL1/RTN4RL2/WHRN/STXBP1	79
GO:0098797	plasma membrane protein complex	78/1301	445/14453	6.19107698294138e-09	3.34318157078835e-07	2.46918976746551e-07	ITGA7/KCNA5/KCNJ2/SHISA9/RYR1/DLG3/LILRA4/GJB2/KCNIP3/SHANK1/FCER1G/ITGA11/ITGA8/SGIP1/IFNLR1/NCF1/NCF2/GNAI1/RGS9/CACNA2D2/NCF1B/KCNQ4/KCNA2/CNIH3/DMD/MS4A2/SCN9A/KCNC3/KCNA6/SHANK2/SGCD/NCF1C/LIN7A/GLRB/CATSPERB/CDH11/CDH5/KRT8/CDH2/ITGAE/CACNA2D4/CDH13/SGCE/LRP4/KCNG2/IL12RB1/HSPG2/ITGB2/PGM5/OSMR/CACNB4/GRIK3/MPP7/KCNJ11/EMILIN1/FZD8/CACNA1C/CACNG4/CHRNA6/ITGAM/STAC3/SCN3A/IGF1R/LRP6/ITGAX/GJA1/NLGN1/KCNE1/GNA11/ITGB4/SCN1B/IRS1/GNAO1/CD3D/ITGA9/GNG11/GNA14/CACNA1H	78
GO:0005581	collagen trimer	23/1301	68/14453	1.11503728065096e-08	5.41908118396369e-07	4.0023969758103e-07	COLEC12/C1QB/COL4A2/COL16A1/FCN1/COL6A3/COL5A3/COL28A1/GLDN/EDA/COL1A2/COL3A1/COL8A1/COL9A3/C1QC/COL2A1/EMILIN1/COL6A2/COL6A1/C1QA/C1QL1/COL9A2/COL27A1	23
GO:0005788	endoplasmic reticulum lumen	51/1301	248/14453	1.48708697392802e-08	6.57022063026381e-07	4.85259959913355e-07	MELTF/LAMB2/COL4A2/PRSS23/CES1/APP/PDGFD/LAMC1/SERPINA1/IGFBP4/COL16A1/THBS1/LIPC/FAM20C/VCAN/FSTL1/COL6A3/COL5A3/IGFBP5/MATN3/UGGT2/COL28A1/WFS1/WNT1/IGFBP3/PDGFA/CHGB/MSLN/F7/COL1A2/COL3A1/SPP1/GPX8/BMP4/COL8A1/CDH2/FKBP10/COL9A3/GPC3/COL2A1/COL6A2/COLGALT2/SDC2/COL6A1/SERPINH1/CERCAM/PTPRN2/ADAMTS5/ADAMTS7/COL9A2/COL27A1	51
