IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa03010	Ribosome	65/1310	128/6106	1.38415441605895e-13	4.3324033222645e-11	3.93391255090438e-11	6136/6132/6165/6160/6229/200916/6223/6183/6159/6202/6188/51264/6158/3921/6150/6152/6194/6235/6193/6169/6210/6168/6206/6137/6156/6157/6171/11224/6139/6209/9349/6147/6224/25873/6218/9045/6203/6181/6144/6208/6130/6155/23521/6205/6204/6175/6232/6161/7311/6141/51373/6187/6234/6133/6176/6170/6201/6124/6167/6142/6227/6154/6233/6217/6164	65
hsa00982	Drug metabolism - cytochrome P450	39/1310	65/6106	1.43115040293069e-11	2.23975038058653e-09	2.03374004626992e-09	2946/2939/1571/54576/10941/54575/218/54657/2950/222/221/1557/54490/2330/54658/4129/130/131/126/125/54659/4128/316/119391/1558/7365/1544/7364/2944/2328/54579/7366/2329/1555/54600/1576/1559/1548/127	39
hsa00980	Metabolism of xenobiotics by cytochrome P450	38/1310	68/6106	4.89212541553733e-10	5.10411751687728e-08	4.63464513050905e-08	2946/2939/1571/54576/10941/54575/218/27294/54657/874/2950/222/221/3290/54490/54658/130/131/126/125/54659/1553/119391/1543/7365/6822/1544/7364/2944/22977/54579/7366/1555/54600/1576/1559/1548/127	38
hsa05204	Chemical carcinogenesis	38/1310	74/6106	1.18438159584212e-08	9.2677859874646e-07	8.4153429178256e-07	2946/2939/1571/54576/10941/54575/218/54657/64816/2950/222/221/3290/1557/54490/54658/130/131/126/125/10/54659/1553/119391/1558/1543/7365/6822/1544/7364/2944/54579/7366/54600/1576/1559/1548/127	38
hsa00830	Retinol metabolism	32/1310	59/6106	3.10057695121291e-08	1.94096117145928e-06	1.76243321437365e-06	53630/54576/10941/54575/1592/8630/54657/56603/54490/284541/54658/130/131/126/125/8608/54659/316/1558/1543/7365/1544/7364/1579/54579/7366/1555/54600/1576/1559/1548/127	32
hsa04976	Bile secretion	32/1310	64/6106	3.77006972311442e-07	1.96671970555802e-05	1.78582250042262e-05	6550/361/1080/6554/1581/570/9429/5243/6579/478/486/343/1244/8647/8671/107/6580/28234/6344/10599/6513/477/338821/5244/6822/57552/3781/64241/57835/1576/10998/366	32
hsa00140	Steroid hormone biosynthesis	28/1310	54/6106	7.80458397359929e-07	3.48976397676654e-05	3.16877845544633e-05	1571/54576/10941/54575/1581/8630/54657/1588/9420/3283/3290/54490/54658/3292/54659/6716/1543/1589/7365/1544/7364/6715/3284/54579/7366/54600/1576/6718	28
hsa03320	PPAR signaling pathway	32/1310	66/6106	9.15521596506603e-07	3.58197824633208e-05	3.25251093495767e-05	1581/11001/51/5465/23305/6258/8309/3158/116519/284541/4312/1582/2167/51703/5346/5106/6342/5105/2171/5360/5170/34/1579/79966/1962/2168/2180/1376/10998/1375/2170/33	32
hsa04060	Cytokine-cytokine receptor interaction	78/1310	228/6106	4.02877180979885e-06	0.00014011173071856	0.000127224372941016	2056/6360/3598/3458/2662/9966/6363/9173/2829/6372/5197/284340/2826/3589/3561/608/658/3976/163702/7292/4049/130399/151449/943/6361/6352/643/3570/56477/4050/10803/3459/3576/6364/10220/3953/6846/85480/132014/2833/355/10344/7293/939/655/23495/8784/9518/3592/53342/3624/6349/3595/53832/3623/268/3597/1441/2690/50615/3559/6374/970/3572/6375/7040/3606/246778/3577/27242/10913/6357/3626/652/1235/2921/8744/2919	78
hsa00053	Ascorbate and aldarate metabolism	16/1310	25/6106	5.17611664912378e-06	0.000160195255610119	0.0001454606323011	54576/10941/54575/219/55586/54657/54490/54658/54659/223/7365/7364/54579/7366/54600/217	16
hsa04080	Neuroactive ligand-receptor interaction	59/1310	161/6106	5.62986521313516e-06	0.000160195255610119	0.0001454606323011	4923/153/8484/134/2831/1137/2900/2903/2911/1081/2642/1135/5646/5026/8811/799/1138/154/3001/2563/4157/148/147/9127/5021/2696/5031/3953/9170/2925/5024/2550/2902/2906/6344/84634/6752/2859/2690/6751/7434/5025/2901/1143/1812/706/1134/1131/1815/552/3357/136/6865/5340/150/7433/3360/8698/1141	59
hsa00983	Drug metabolism - other enzymes	33/1310	74/6106	6.35975977166855e-06	0.000165883734044355	0.000150625889328992	2946/2939/1571/54576/10941/54575/3615/1066/54657/3614/2950/4830/7498/54490/51733/54658/7378/4831/10/151531/54659/3704/119391/1807/7365/8824/7364/2944/54579/7366/54600/1576/1548	33
hsa00071	Fatty acid degradation	22/1310	43/6106	1.58596483789296e-05	0.000381851534046535	0.000346729154842995	219/51/23305/284541/51703/130/131/126/125/10449/36/223/34/1579/1962/2180/1376/1375/217/127/33/3033	22
hsa00120	Primary bile acid biosynthesis	12/1310	17/6106	1.89906423489219e-05	0.000424576503943753	0.000385524318361572	1581/570/8309/9420/1582/6342/9023/23600/51302/10998/6718/3295	12
hsa00340	Histidine metabolism	14/1310	23/6106	4.66204236105458e-05	0.000972812839340055	0.000883334342094552	131669/218/219/57571/222/26/221/4129/4128/223/84735/138199/217/443	14
hsa00410	beta-Alanine metabolism	16/1310	29/6106	7.10503383156116e-05	0.00138992224329915	0.00126207837797468	2571/218/219/57571/222/221/18/51733/4329/54498/223/84735/1807/34/1962/217	16
hsa00350	Tyrosine metabolism	17/1310	32/6106	7.9937019211734e-05	0.00147178158901604	0.00133640837072249	3242/7306/218/222/4282/221/4129/130/131/126/125/4128/316/259307/6898/1621/127	17
hsa04974	Protein digestion and absorption	31/1310	76/6106	9.93938331440076e-05	0.00172834832078191	0.00156937631280012	6550/3769/4224/340024/1300/5646/1301/6505/1803/1506/4225/478/6543/486/59272/1361/4311/1302/1305/3783/1298/6519/1280/477/1294/169044/1299/6510/50509/9056/3784	31
hsa00010	Glycolysis / Gluconeogenesis	26/1310	60/6106	0.00010923837425603	0.00179955848116513	0.0016340366232204	218/219/226/5214/84532/222/221/5315/229/130/131/126/125/5224/55276/5106/5105/223/2645/2026/2538/80201/217/3099/5313/127	26
hsa00360	Phenylalanine metabolism	11/1310	17/6106	0.000144887349203492	0.00226748701503465	0.0020589254886812	3242/218/10249/222/4282/221/4129/4128/259307/5053/6898	11
hsa00380	Tryptophan metabolism	17/1310	36/6106	0.000502780574158046	0.00749382474816517	0.00680454912394348	219/51166/169355/26/847/55753/4129/4128/316/6999/223/1543/259307/1544/1962/217/3033	17
hsa00590	Arachidonic acid metabolism	21/1310	50/6106	0.000815879833865356	0.0116077449090844	0.0105400744087869	1571/4051/874/240/1557/284541/5319/9536/2053/26279/2678/2882/493869/1558/113612/1573/1579/5730/1555/8529/1559	21
hsa04930	Type II diabetes mellitus	18/1310	41/6106	0.0010220213440146	0.0139083774207204	0.0126290966994939	6833/777/3651/773/5315/3667/8651/2645/5581/3767/5602/8660/80201/5295/6514/3099/5313/8913	18
hsa00650	Butanoate metabolism	12/1310	25/6106	0.0028396535199556	0.0370338146560877	0.0336274758942111	2571/54988/6296/64064/79944/3158/18/348158/123876/7915/1962/3033	12
hsa00280	Valine, leucine and isoleucine degradation	19/1310	48/6106	0.0032404148322134	0.0401721625062474	0.0364771611793738	219/64064/594/3158/18/11112/64902/4329/316/10449/36/223/259307/34/1962/4594/217/1629/3033	19
hsa04911	Insulin secretion	25/1310	69/6106	0.0033369847449279	0.0401721625062474	0.0364771611793738	27445/6833/3651/3778/478/486/3710/6616/5332/11069/3783/107/6804/6513/27345/2645/477/2767/3767/1131/27094/3781/6514/778/90993	25
hsa00040	Pentose and glucuronate interconversions	14/1310	32/6106	0.00379559207628919	0.0440007525880932	0.0399536008030441	54576/10941/54575/27294/54657/54490/6652/54658/54659/7365/7364/54579/7366/54600	14
hsa02010	ABC transporters	17/1310	42/6106	0.00399777177802273	0.044689377375754	0.0405788864686517	6833/1080/340273/9429/5243/10351/85320/23460/10060/64137/1244/8647/21/5244/10350/64241/368	17
