IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003013	circulatory system process	81/1227	464/14968	4.4004719440697e-11	2.21871795419994e-07	1.96538973249344e-07	AR/CALCA/TH/FGG/ACTC1/FXYD1/CHRM1/ADRA1D/PCSK5/SGCG/HEG1/PDE3A/TEK/P2RX2/KCNJ5/CASQ2/ADRA1A/SLC8A3/ANGPT1/SCN4B/DES/ATP1B2/PIK3CG/SLIT2/FGF12/MYLK3/SLC6A4/HTR2A/CACNA1C/KCND3/FXYD2/SCN2B/HTR1D/AGTR2/ADRA2A/NTS/TNNI3/KCNJ8/CACNB4/NPR3/CACNA2D2/DRD5/GLP1R/FGA/ADRB3/ATP1A2/CYSLTR1/UCN/CTSG/KCNK3/CORIN/ABCC9/AZU1/CMA1/NMU/KCNH6/PRKG1/FGB/ELN/KCNE1/HCN4/ATP1A3/MEOX2/KLK1/NTSR1/SGCD/SLC8A2/CTNNA3/EPO/KCNA5/ATP2A1/NPR1/CYP4A11/CAV3/CASR/TNNT1/EDNRB/EDN3/HSPB7/SPX/CXCL10	81
GO:0044057	regulation of system process	76/1227	452/14968	1.05985517989008e-09	1.78126327233526e-06	1.57788264149951e-06	KCNA1/CALCA/MAG/TH/FGG/APOA5/CRHR1/KLK8/FXYD1/SPHK1/CHRM1/ADRA1D/MYBPH/SGCA/KCNJ5/NMUR2/MYOCD/CASQ2/ADRA1A/SLC8A3/SCN4B/TNNC2/DES/ATP1B2/PIK3CG/FGF12/HTR2A/IGF1/CACNA1C/KCND3/FXYD2/SCN2B/AGTR2/ADRA2A/TNNI3/TMEM100/CACNB4/CACNA2D2/GLP1R/FGA/SCN11A/NPNT/ATP1A2/UCN/NR4A3/KCNK3/CORIN/ABCC9/TNR/NMU/KCNH6/PRKG1/FGB/GAL/KCNE1/HCN4/ATP1A3/KISS1/GRIN2A/FGF10/BMP6/NTSR1/INHA/IL6ST/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/CAV3/CASR/TNNT1/EDNRB/EDN3/HSPB7/SPX	76
GO:0019730	antimicrobial humoral response	24/1227	73/14968	1.59799473456074e-09	2.01427236291382e-06	1.78428727861612e-06	EPPIN/DEFA1B/KLK5/CLU/HIST1H2BF/GNLY/PRSS3/HIST1H2BG/PLA2G1B/BPI/PRTN3/PLA2G2A/FGA/ITLN1/DMBT1/CTSG/AZU1/IL36RN/PGC/SFTPD/FGB/BPIFB1/LTF/PI3	24
GO:0010469	regulation of signaling receptor activity	71/1227	430/14968	8.32140390628481e-09	8.3913036990976e-06	7.43320353144557e-06	CGB3/FAM3D/SCGB3A1/ANGPTL3/IL36G/CALCA/SHISA6/CRLF1/FGF19/CCL16/CBLC/AREG/VEGFD/PENK/WNT9B/CMTM5/CCL26/TNFSF15/CGB2/UCN2/FGF8/FGF12/IL23A/IGF1/IL33/ADRA2A/NTS/FGF1/FGF14/PTN/OGN/UCN/VGF/KCNK3/DAND5/PYY2/IL36RN/INHBE/DKK1/CCL14/GDF1/GAL/C1QTNF12/LEFTY2/FGF7/ARTN/EREG/AGER/IL37/FGF10/LHB/BMP6/GDF10/INHA/AMH/CXCL11/KL/NRG3/EPO/IFNL1/NEURL1/CAV3/PHLDA2/RASGRF1/EDN3/IFNG/ZP3/SPX/CCL8/CXCL10/ARC	71
GO:0070268	cornification	23/1227	74/14968	1.1836968877142e-08	9.94699951309165e-06	8.81127349924798e-06	SPRR3/KRT32/KRT27/PKP1/KRT14/KLK5/KLK8/DSG3/KLK14/KRT17/KRT20/KRT6B/KRT16/SPRR2A/KLK13/SPRR1B/KRT6A/LIPN/SPRR2D/CDSN/KRT78/KRT6C/PI3	23
GO:0006813	potassium ion transport	41/1227	207/14968	8.99605486173198e-08	5.08097323257315e-05	4.50083914607985e-05	KCNA1/FXYD1/LRRC55/NALCN/ADRA1D/KCNE4/KCNJ5/CASQ2/ATP1B2/HTR2A/KCND3/FXYD2/ADRA2A/SLC24A3/KCNS2/KCNJ8/KCNQ2/FHL1/KCNN1/KCNF1/ATP1A2/KCNK12/KCNRG/CNGA4/KCNK17/KCNK3/ABCC9/DPP6/KCNH6/KCNG3/HCN2/GAL/KCNE1/HCN4/ATP1A3/KCNA4/KCNJ1/KCNA5/CAV3/KCNH7/SLC9C2	41
GO:0006936	muscle contraction	54/1227	315/14968	1.48830790973536e-07	6.40450527500423e-05	5.67325327915885e-05	KCNA1/CLCN1/CALCA/ACTC1/FXYD1/SPHK1/CHRM1/ADRA1D/MYOM3/LMOD1/MYBPH/P2RX2/SGCA/KCNJ5/NMUR2/MYOCD/CASQ2/ADRA1A/SLC8A3/SCN4B/TNNC2/DES/PIK3CG/FGF12/HTR2A/CACNA1C/KCND3/SCN2B/HTR1D/ADRA2A/TNNI3/KCNJ8/SCN7A/MYLK/MYH11/NPNT/ATP1A2/UCN/CHRNB2/NMU/PRKG1/PGAM2/KCNE1/HCN4/ATP1A3/MYH2/CTNNA3/KCNA5/ATP2A1/CAV3/TNNT1/EDNRB/EDN3/SPX	54
GO:0006959	humoral immune response	36/1227	177/14968	2.74775454384364e-07	9.89584172147117e-05	8.76595678911923e-05	C8A/C9/EPPIN/DEFA1B/KLK5/CLU/HIST1H2BF/GNLY/PRSS3/HIST1H2BG/C6/PLA2G1B/C8B/BPI/CR2/PRTN3/PLA2G2A/FGA/VTN/CR1/ITLN1/DMBT1/CTSG/AZU1/IL36RN/PGC/SFTPD/FGB/BPIFB1/A2M/C7/LTF/IFNG/ZP3/PI3/FCER2	36
GO:0035637	multicellular organismal signaling	36/1227	177/14968	2.74775454384364e-07	9.89584172147117e-05	8.76595678911923e-05	KCNA1/CLCN1/FXYD1/KCNJ5/CASQ2/SLC8A3/SCN4B/ATP1B2/FGF12/S1PR1/CACNA1C/KCND3/FXYD2/SCN2B/TNNI3/CACNB4/CACNA2D2/DRD5/SCN7A/SCN11A/ATP1A2/KCNK3/CORIN/ABCC9/TNR/KCNH6/KCNE1/HCN4/ATP1A3/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/GPR88/NFASC	36
GO:0042391	regulation of membrane potential	60/1227	382/14968	7.00449988794565e-07	0.000196203824639011	0.00017380171359388	KCNA1/POPDC3/CLCN1/RIMS2/GABRA2/GRIA2/GABRR1/PIEZO2/FXYD1/NALCN/CATSPER1/GRID1/P2RX2/KCNJ5/SEZ6/CASQ2/ADRA1A/SLC8A3/SCN4B/ATP1B2/FGF12/CACNA1C/KCND3/SCN2B/CNR2/GRIA1/KCNJ8/CACNB4/FGF14/PTN/FHL1/SCN7A/SCN11A/ATP1A2/KCNK12/CNGA4/KCNK17/KCNK3/CHRNB2/CHRNA2/KCNH6/PRKN/HCN2/IFI6/KCNE1/HCN4/ATP1A3/SLC26A9/ABCB5/GRIN2A/NTSR1/GABRB2/MYOC/GRIK4/CTNNA3/KCNA5/CAV3/KCNH7/GPR88/HTR3C	60
GO:0034762	regulation of transmembrane transport	69/1227	472/14968	1.56131136452465e-06	0.000383345863423174	0.00033957629564386	KCNA1/CLCN1/SHISA6/CLCA3P/CRHR1/FGF19/FXYD1/LRRC55/CBARP/NALCN/NGFR/ADRA1D/CALCR/CATSPER1/PLA2G1B/KCNE4/KCNJ5/CASQ2/GEM/SCN4B/PM20D1/ATP1B2/PIK3CG/FGF12/IGF1/CACNA1C/KCND3/FXYD2/SCN2B/ADRA2A/KCNS2/KCNJ8/CACNB4/FGF14/KCNQ2/CACNA2D2/FHL1/SCN7A/SCN11A/KCNF1/ATP1A2/KCNK12/TERT/KCNRG/NR4A3/ITLN1/TMC2/KCNK17/DPP6/KCNH6/KCNG3/HCN2/GAL/C1QTNF12/KCNE1/HCN4/KCNA4/NTSR1/GPC3/CXCL11/KCNJ1/EPO/KCNA5/CAV3/RASGRF1/KCNH7/CLIC5/CXCL10/ARC	69
GO:0098813	nuclear chromosome segregation	49/1227	296/14968	1.59664084329366e-06	0.000383345863423174	0.00033957629564386	MAEL/TEX15/SPC24/SGO1/TTK/CENPU/MSH4/NDC80/MAD2L1/CDCA5/KIF23/BIRC5/CDCA8/GEM/CCNB1/MEIOC/MAJIN/DLGAP5/SYCE1/SPC25/EME1/CENPA/TRIP13/CDC20/CDC6/ANKLE1/NCAPG/NCAPH/NUSAP1/NUF2/AURKB/CENPM/DSCC1/KIF2C/PLK1/NEK2/MEIOB/KIF18B/STAG3/CENPK/CDT1/PTTG1/ESPL1/SPAG5/UBE2C/SKA1/BUB1B/KIFC1/SYCE2	49
GO:0035082	axoneme assembly	17/1227	59/14968	3.07615012738975e-06	0.000646247872595796	0.000572460745198013	CCDC65/CFAP206/CFAP74/DNAAF1/RSPH4A/DNAH7/DNAH3/PIH1D3/ZMYND10/ARMC4/CCDC39/CFAP157/NEURL1/DNAI1/DRC1/HYDIN/DNAI2	17
GO:0055078	sodium ion homeostasis	14/1227	42/14968	3.40514738359324e-06	0.000686750124323085	0.0006083385409931	TFAP2B/ATP1B2/AGTR2/SCN7A/SCNN1G/ATP1A2/CORIN/SCNN1B/ATP1A3/C7/NPR1/CYP4A11/EDNRB/SPX	14
GO:0045132	meiotic chromosome segregation	20/1227	80/14968	4.83981104539123e-06	0.000871511688959378	0.000772004446074999	MAEL/TEX15/SGO1/TTK/MSH4/MEIOC/MAJIN/SYCE1/EME1/TRIP13/ANKLE1/NCAPH/NUF2/PLK1/MEIOB/STAG3/PTTG1/ESPL1/BUB1B/SYCE2	20
GO:0000280	nuclear division	58/1227	388/14968	5.29542146928233e-06	0.000894350069981128	0.000792235192160573	MAEL/TEX15/SGO1/RAD51/TTK/MSH4/NDC80/MAD2L1/CDCA5/KIF23/MYBL2/PDE3A/BIRC5/CDCA8/TEX19/MND1/CKS2/CCNB1/MEIOC/MAJIN/DLGAP5/FGF8/SYCE1/IGF1/EME1/TRIP13/CDC20/CDC6/ANKLE1/RANBP3L/AURKA/NCAPG/NCAPH/PKMYT1/UBE2S/NUSAP1/NUF2/AURKB/DSCC1/KIF2C/CDC25C/PLK1/NEK2/MEIOB/KIF18B/STAG3/EREG/CDT1/TPX2/PTTG1/ESPL1/ANLN/SPAG5/UBE2C/BUB1B/KIFC1/SYCE2/EDN3	58
GO:0072378	blood coagulation, fibrin clot formation	10/1227	23/14968	5.60360257738936e-06	0.000911398845006359	0.000807337376429984	F7/FGG/FBLN1/F12/F13A1/FGA/F11/FGB/A2M/VWF	10
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	39/1227	226/14968	6.65105254444162e-06	0.00101131899866938	0.000895848871866674	CLDN2/MAG/PCDHB1/CLDN6/PCDH17/DSG3/PCDHGA9/CDH16/PTPRT/PCDHGA12/CDH23/SELP/ROBO2/PCDH18/PCDHA1/PCDHGB7/LGALS7B/CDH6/PCDH15/PCDHGB6/CADM3/PCDH20/CDH5/FAT4/CDH8/CDH20/FAT3/PCDH11X/CDHR3/CLDN18/CDHR4/CLDN16/TENM2/SDK2/SDK1/PTPRD/CDH22/RET/CD177	39
GO:0002526	acute inflammatory response	27/1227	134/14968	9.92374768929996e-06	0.00142108944972668	0.00125883265520998	C8A/C9/LBP/CLU/F12/ORM2/C6/C8B/CR2/VNN1/PIK3CG/MYLK3/HP/VTN/CR1/DNASE1L3/KLK1/TFR2/ORM1/A2M/IL6ST/C7/CREB3L3/EPO/EDNRB/HPR/ZP3	27
