IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003013	circulatory system process	81/1227	464/14968	4.4004719440697e-11	2.21871795419994e-07	1.96538973249344e-07	AR/CALCA/TH/FGG/ACTC1/FXYD1/CHRM1/ADRA1D/PCSK5/SGCG/HEG1/PDE3A/TEK/P2RX2/KCNJ5/CASQ2/ADRA1A/SLC8A3/ANGPT1/SCN4B/DES/ATP1B2/PIK3CG/SLIT2/FGF12/MYLK3/SLC6A4/HTR2A/CACNA1C/KCND3/FXYD2/SCN2B/HTR1D/AGTR2/ADRA2A/NTS/TNNI3/KCNJ8/CACNB4/NPR3/CACNA2D2/DRD5/GLP1R/FGA/ADRB3/ATP1A2/CYSLTR1/UCN/CTSG/KCNK3/CORIN/ABCC9/AZU1/CMA1/NMU/KCNH6/PRKG1/FGB/ELN/KCNE1/HCN4/ATP1A3/MEOX2/KLK1/NTSR1/SGCD/SLC8A2/CTNNA3/EPO/KCNA5/ATP2A1/NPR1/CYP4A11/CAV3/CASR/TNNT1/EDNRB/EDN3/HSPB7/SPX/CXCL10	81
GO:0008015	blood circulation	79/1227	460/14968	1.74188466181538e-10	4.39129123243657e-07	3.88990348425403e-07	AR/CALCA/TH/FGG/ACTC1/FXYD1/CHRM1/ADRA1D/PCSK5/SGCG/PDE3A/TEK/P2RX2/KCNJ5/CASQ2/ADRA1A/SLC8A3/ANGPT1/SCN4B/DES/ATP1B2/PIK3CG/SLIT2/FGF12/MYLK3/SLC6A4/HTR2A/CACNA1C/KCND3/FXYD2/SCN2B/HTR1D/AGTR2/ADRA2A/NTS/TNNI3/KCNJ8/CACNB4/NPR3/CACNA2D2/DRD5/GLP1R/FGA/ADRB3/ATP1A2/UCN/CTSG/KCNK3/CORIN/ABCC9/AZU1/CMA1/NMU/KCNH6/PRKG1/FGB/ELN/KCNE1/HCN4/ATP1A3/MEOX2/KLK1/NTSR1/SGCD/SLC8A2/CTNNA3/EPO/KCNA5/ATP2A1/NPR1/CYP4A11/CAV3/CASR/TNNT1/EDNRB/EDN3/HSPB7/SPX/CXCL10	79
GO:0044057	regulation of system process	76/1227	452/14968	1.05985517989008e-09	1.78126327233526e-06	1.57788264149951e-06	KCNA1/CALCA/MAG/TH/FGG/APOA5/CRHR1/KLK8/FXYD1/SPHK1/CHRM1/ADRA1D/MYBPH/SGCA/KCNJ5/NMUR2/MYOCD/CASQ2/ADRA1A/SLC8A3/SCN4B/TNNC2/DES/ATP1B2/PIK3CG/FGF12/HTR2A/IGF1/CACNA1C/KCND3/FXYD2/SCN2B/AGTR2/ADRA2A/TNNI3/TMEM100/CACNB4/CACNA2D2/GLP1R/FGA/SCN11A/NPNT/ATP1A2/UCN/NR4A3/KCNK3/CORIN/ABCC9/TNR/NMU/KCNH6/PRKG1/FGB/GAL/KCNE1/HCN4/ATP1A3/KISS1/GRIN2A/FGF10/BMP6/NTSR1/INHA/IL6ST/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/CAV3/CASR/TNNT1/EDNRB/EDN3/HSPB7/SPX	76
GO:0019730	antimicrobial humoral response	24/1227	73/14968	1.59799473456074e-09	2.01427236291382e-06	1.78428727861612e-06	EPPIN/DEFA1B/KLK5/CLU/HIST1H2BF/GNLY/PRSS3/HIST1H2BG/PLA2G1B/BPI/PRTN3/PLA2G2A/FGA/ITLN1/DMBT1/CTSG/AZU1/IL36RN/PGC/SFTPD/FGB/BPIFB1/LTF/PI3	24
GO:0010469	regulation of signaling receptor activity	71/1227	430/14968	8.32140390628481e-09	8.3913036990976e-06	7.43320353144557e-06	CGB3/FAM3D/SCGB3A1/ANGPTL3/IL36G/CALCA/SHISA6/CRLF1/FGF19/CCL16/CBLC/AREG/VEGFD/PENK/WNT9B/CMTM5/CCL26/TNFSF15/CGB2/UCN2/FGF8/FGF12/IL23A/IGF1/IL33/ADRA2A/NTS/FGF1/FGF14/PTN/OGN/UCN/VGF/KCNK3/DAND5/PYY2/IL36RN/INHBE/DKK1/CCL14/GDF1/GAL/C1QTNF12/LEFTY2/FGF7/ARTN/EREG/AGER/IL37/FGF10/LHB/BMP6/GDF10/INHA/AMH/CXCL11/KL/NRG3/EPO/IFNL1/NEURL1/CAV3/PHLDA2/RASGRF1/EDN3/IFNG/ZP3/SPX/CCL8/CXCL10/ARC	71
GO:0070268	cornification	23/1227	74/14968	1.1836968877142e-08	9.94699951309165e-06	8.81127349924798e-06	SPRR3/KRT32/KRT27/PKP1/KRT14/KLK5/KLK8/DSG3/KLK14/KRT17/KRT20/KRT6B/KRT16/SPRR2A/KLK13/SPRR1B/KRT6A/LIPN/SPRR2D/CDSN/KRT78/KRT6C/PI3	23
GO:1903522	regulation of blood circulation	47/1227	253/14968	8.23460434974156e-08	5.08097323257315e-05	4.50083914607985e-05	CALCA/TH/FGG/FXYD1/CHRM1/ADRA1D/KCNJ5/CASQ2/ADRA1A/SLC8A3/SCN4B/DES/ATP1B2/PIK3CG/HTR2A/CACNA1C/KCND3/FXYD2/SCN2B/AGTR2/ADRA2A/TNNI3/CACNB4/CACNA2D2/GLP1R/FGA/ATP1A2/UCN/KCNK3/CORIN/ABCC9/NMU/KCNH6/FGB/KCNE1/HCN4/ATP1A3/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/CAV3/CASR/EDN3/HSPB7/SPX	47
GO:0006813	potassium ion transport	41/1227	207/14968	8.99605486173198e-08	5.08097323257315e-05	4.50083914607985e-05	KCNA1/FXYD1/LRRC55/NALCN/ADRA1D/KCNE4/KCNJ5/CASQ2/ATP1B2/HTR2A/KCND3/FXYD2/ADRA2A/SLC24A3/KCNS2/KCNJ8/KCNQ2/FHL1/KCNN1/KCNF1/ATP1A2/KCNK12/KCNRG/CNGA4/KCNK17/KCNK3/ABCC9/DPP6/KCNH6/KCNG3/HCN2/GAL/KCNE1/HCN4/ATP1A3/KCNA4/KCNJ1/KCNA5/CAV3/KCNH7/SLC9C2	41
GO:0060047	heart contraction	45/1227	238/14968	9.06956745203459e-08	5.08097323257315e-05	4.50083914607985e-05	CALCA/TH/ACTC1/FXYD1/SGCG/KCNJ5/CASQ2/ADRA1A/SLC8A3/SCN4B/DES/ATP1B2/PIK3CG/FGF12/CACNA1C/KCND3/FXYD2/SCN2B/AGTR2/TNNI3/KCNJ8/CACNB4/CACNA2D2/GLP1R/ATP1A2/UCN/KCNK3/CORIN/ABCC9/NMU/KCNH6/KCNE1/HCN4/ATP1A3/SGCD/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/CAV3/TNNT1/EDN3/HSPB7/SPX	45
GO:0003015	heart process	45/1227	241/14968	1.32719218999653e-07	6.40450527500423e-05	5.67325327915885e-05	CALCA/TH/ACTC1/FXYD1/SGCG/KCNJ5/CASQ2/ADRA1A/SLC8A3/SCN4B/DES/ATP1B2/PIK3CG/FGF12/CACNA1C/KCND3/FXYD2/SCN2B/AGTR2/TNNI3/KCNJ8/CACNB4/CACNA2D2/GLP1R/ATP1A2/UCN/KCNK3/CORIN/ABCC9/NMU/KCNH6/KCNE1/HCN4/ATP1A3/SGCD/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/CAV3/TNNT1/EDN3/HSPB7/SPX	45
