IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031012	extracellular matrix	147/1220	449/15928	8.61689010415504e-56	3.98100322811963e-53	3.28348865021487e-53	LINGO4/FBN2/ADAMTS19/S100A7/AMTN/ADAMTS16/COL9A1/CMA1/COL21A1/CTSG/THBS1/COL3A1/NID2/EDIL3/PI3/ADAMTS9/CTGF/MMP10/LOXL2/WNT2/COL5A3/DCN/DMBT1/COL10A1/CPA3/FBLN5/SPON1/MMRN1/FN1/THBS2/SLIT2/COL1A1/TNXB/COL4A4/COMP/VWF/NTN3/LRRC55/GDF10/ABI3BP/COL5A2/SFTPA2/OGN/PCOLCE/FBN1/FBLN2/HMCN1/COL5A1/COL16A1/ANOS1/PXDN/MYOC/MATN3/LAMA4/LRRN3/MMRN2/SSC5D/CILP2/COL14A1/COL1A2/CDH2/SPOCK2/LRFN5/ADAMTS7/COL6A3/COL6A5/FMOD/MFAP4/COL6A1/TNN/FBN3/TIMP3/ADAMTS8/VCAN/COL19A1/CD248/MMP2/CYR61/ADAMTS18/LOX/ADAMTSL2/PODN/COL15A1/LAMB4/CPZ/COL9A2/CCDC80/ELN/COL12A1/BGN/TGFB3/COL8A1/CRISPLD2/EMILIN1/ADAMTS10/TNR/DPT/COL6A2/COL4A3/TIMP2/ASPN/HSPG2/FGFBP1/MAMDC2/ADAMTSL3/ADAMTS2/LEFTY2/SPARC/CILP/LPL/TPSB2/APOA1/COL6A6/ADAMTS4/SFTPD/ECM2/MGP/SLITRK2/SFRP2/LRRC15/MMP16/WNT9B/PRELP/WNT6/SFTPA1/VWA2/ADAMTS12/LAMA2/NCAM1/PRG4/COL8A2/KERA/SFRP1/GP5/SOD3/EPYC/POSTN/SLIT3/LTBP2/CRTAC1/OMD/WISP2/COL11A1/HPSE2/IHH/AEBP1/NDNF	147
GO:0005578	proteinaceous extracellular matrix	123/1220	355/15928	1.22131321312497e-49	2.82123352231869e-47	2.32692306921706e-47	LINGO4/FBN2/ADAMTS19/AMTN/ADAMTS16/COL9A1/COL21A1/COL3A1/NID2/PI3/ADAMTS9/CTGF/MMP10/LOXL2/WNT2/COL5A3/DCN/COL10A1/FBLN5/SPON1/FN1/THBS2/SLIT2/COL1A1/TNXB/COL4A4/COMP/VWF/NTN3/LRRC55/ABI3BP/COL5A2/SFTPA2/OGN/FBN1/FBLN2/HMCN1/COL5A1/COL16A1/ANOS1/PXDN/MYOC/MATN3/LAMA4/LRRN3/MMRN2/CILP2/COL14A1/COL1A2/SPOCK2/LRFN5/ADAMTS7/COL6A3/COL6A5/FMOD/MFAP4/COL6A1/TNN/FBN3/TIMP3/ADAMTS8/VCAN/COL19A1/CD248/MMP2/CYR61/ADAMTS18/LOX/ADAMTSL2/PODN/COL15A1/LAMB4/CPZ/COL9A2/CCDC80/ELN/COL12A1/BGN/COL8A1/CRISPLD2/EMILIN1/ADAMTS10/TNR/DPT/COL6A2/COL4A3/TIMP2/ASPN/HSPG2/MAMDC2/ADAMTSL3/ADAMTS2/SPARC/CILP/COL6A6/ADAMTS4/SFTPD/ECM2/MGP/SLITRK2/MMP16/WNT9B/PRELP/WNT6/SFTPA1/VWA2/ADAMTS12/LAMA2/COL8A2/KERA/SFRP1/GP5/EPYC/POSTN/SLIT3/LTBP2/CRTAC1/OMD/WISP2/COL11A1/HPSE2/IHH/NDNF	123
GO:0005581	collagen trimer	40/1220	81/15928	1.24732680255899e-23	1.92088327594084e-21	1.58432386851352e-21	C1QL2/MARCO/COL9A1/COL21A1/COL3A1/COL5A3/DCN/COL10A1/FCN3/C1QTNF7/COL1A1/TNXB/COL4A4/COL5A2/SFTPA2/COL5A1/COL16A1/COL14A1/COL1A2/COL6A3/COL6A5/COL6A1/COLEC12/COL19A1/LOX/COL15A1/COL9A2/COL12A1/COL8A1/EMILIN1/COL6A2/COL4A3/C1QTNF3/FCN1/COL6A6/SFTPD/C1QTNF1/SFTPA1/COL8A2/COL11A1	40
GO:0043235	receptor complex	66/1220	347/15928	3.66651459794024e-12	3.38785948849678e-10	2.79427007253551e-10	IFNL1/KCTD8/MTNR1A/GRIN2A/PTPRB/TRIL/PDGFRA/CD36/ITGA8/CSF1R/SHANK1/GRIK3/SORBS1/TIE1/CHRNA4/PTH1R/DDR2/KCTD16/NTRK3/PLXNA4/ROR1/OLR1/GRIK4/RET/GRIA1/ADRA2A/CR2/CD4/P2RX2/GABBR2/ITGAM/ITGA9/IL6ST/GFRA1/GFRA2/INSRR/TEK/TLR7/PIGR/TF/PDGFRB/PLXNC1/AXL/ROS1/EMILIN1/ITGA11/GABRP/FLT3/CSF2RB/ERBB4/FLT4/NR3C2/ITGA1/TSHR/CHRNA6/TGFBR2/ADRB3/GRM7/LRP2/GRIK1/ADCYAP1R1/KDR/GABRB2/NPR1/DLG2/LRP1	66
GO:0009897	external side of plasma membrane	49/1220	222/15928	9.62716399619046e-12	7.41291627706665e-10	6.11409362565078e-10	SLC22A11/FGG/FGA/FGB/CCR7/THBS1/FCER2/CD36/MS4A2/CXCL12/SCNN1G/ANTXR1/CHRNA4/CXCR5/STAB2/AQP4/GPIHBP1/SELP/CA4/VCAM1/CD4/S1PR1/THY1/ITGAM/ASTN1/IL6ST/CCR4/GFRA1/MS4A1/GFRA2/SCUBE1/IL7R/P2RX7/TF/BTNL9/CDH5/ACE/CD163/BTN1A1/ITGA1/FCN1/CD40LG/TGFBR2/LRP2/CD28/NCAM1/CCR2/KCNJ5/CD19	49
GO:0005788	endoplasmic reticulum lumen	55/1220	282/15928	8.75949370619547e-11	5.78126584608901e-09	4.76832589720716e-09	PENK/FGG/AMTN/FGA/BPIFB2/C4A/P4HA3/COL9A1/COL21A1/THBS1/COL3A1/MXRA8/COL5A3/COL10A1/SPON1/C3/F5/FN1/COL1A1/COL4A4/CASQ2/COL5A2/FBN1/COL5A1/COL16A1/MATN3/CD4/COL14A1/COL1A2/CDH2/ADAMTS7/COL6A3/COL6A1/LIPC/VCAN/COL19A1/CYR61/TF/COL15A1/CHGB/FSTL1/COL9A2/COL12A1/COL8A1/FLT3/PDGFD/COL6A2/COL4A3/APOA1/WNT6/CHRDL1/COL8A2/ARSH/IGFBP1/COL11A1	55
GO:0098644	complex of collagen trimers	11/1220	20/15928	4.48465496943479e-08	2.58988824484859e-06	2.13611197228341e-06	COL3A1/COL5A3/COL1A1/TNXB/COL4A4/COL5A2/COL5A1/COL1A2/COL8A1/COL4A3/COL11A1	11
GO:1902495	transmembrane transporter complex	48/1220	285/15928	1.73629348017393e-07	8.91297319822615e-06	7.35132444237381e-06	KCNB2/GRIN2A/KCNA1/CNGA3/KCNA5/CACNA1D/SHANK1/SCNN1G/GRIK3/KCNH2/CHRNA4/KCNA2/LRRC55/CASQ2/ABCC9/CACNA1H/GRIK4/KCNA3/GRIA1/KCND2/CACNA1G/KCNS2/KCNC1/DPP6/HCN4/CFTR/ATP1A2/KCNJ1/FXYD2/RYR3/ATP1B2/SCN9A/GABRP/SCN7A/CACNA1C/CHRNA6/KCNIP1/CLIC5/LRRC52/GRIK1/SCN2B/CACNA2D2/PLN/GABRB2/FXYD1/DLG2/CNTN2/KCNJ5	48
GO:1990351	transporter complex	48/1220	293/15928	4.05645082483454e-07	1.6705831242837e-05	1.37787899519412e-05	KCNB2/GRIN2A/KCNA1/CNGA3/KCNA5/CACNA1D/SHANK1/SCNN1G/GRIK3/KCNH2/CHRNA4/KCNA2/LRRC55/CASQ2/ABCC9/CACNA1H/GRIK4/KCNA3/GRIA1/KCND2/CACNA1G/KCNS2/KCNC1/DPP6/HCN4/CFTR/ATP1A2/KCNJ1/FXYD2/RYR3/ATP1B2/SCN9A/GABRP/SCN7A/CACNA1C/CHRNA6/KCNIP1/CLIC5/LRRC52/GRIK1/SCN2B/CACNA2D2/PLN/GABRB2/FXYD1/DLG2/CNTN2/KCNJ5	48
GO:0031093	platelet alpha granule lumen	18/1220	65/15928	1.12981065423264e-06	3.26232826409674e-05	2.69073326863299e-05	FGG/FGA/FGB/THBS1/HGF/VEGFD/F5/MMRN1/FN1/ISLR/VWF/IGF1/TGFB3/LEFTY2/SPARC/A2M/F13A1/HRG	18
GO:0042383	sarcolemma	26/1220	122/15928	1.43091210425076e-06	3.88871407155205e-05	3.20736954637012e-05	SNTG2/ADRA1A/DES/CACNA1D/PGM5/AQP1/ABCC9/ALOX12/VCAM1/CDH2/COL6A3/SGCA/COL6A1/ANK2/ATP1A2/SLC8A3/SGCD/RYR3/BGN/TGFB3/COL6A2/SLC27A6/CACNA1C/LAMA2/FXYD1/KCNJ5	26
GO:0098552	side of membrane	61/1220	434/15928	2.66346906625032e-06	6.4764353084613e-05	5.3416941938095e-05	SLC22A11/GNAT1/GNG13/FGG/FGA/FGB/CCR7/TGM3/THBS1/FCER2/CD36/MS4A2/NPTX2/CXCL12/SCNN1G/ANTXR1/CHRNA4/CXCR5/PGM5/STAB2/AQP4/LRRK2/GPIHBP1/SELP/CA4/VCAM1/CD4/S1PR1/THY1/SHROOM4/ITGAM/ASTN1/IL6ST/CCR4/GFRA1/MS4A1/GFRA2/SCUBE1/IL7R/P2RX7/TF/BLK/BTNL9/CDH5/ACE/CNR2/CD163/BTN1A1/ITGA1/FCN1/CD40LG/TGFBR2/KCNIP1/GEM/LRP2/CD28/NCAM1/NTSR1/CCR2/KCNJ5/CD19	61
GO:0097060	synaptic membrane	44/1220	289/15928	8.76018642186309e-06	0.000183963914859125	0.000151731458598777	PCDH8/KCTD8/NRXN1/LRRC7/LRRTM1/GSG1L/GRIN2A/KCNA1/CHRM4/ITGA8/SHANK1/GRIK3/CHRM2/CHRNA4/GRM3/KCTD16/KCNA2/GRIK4/LRRC4B/GRIA1/KCND2/SH2D5/CDH2/GABBR2/IQSEC3/CNR1/RIMS4/ANK2/FAIM2/CPZ/GRID1/SYNE1/GABRP/NETO1/LRRC4/FOSL1/CHRNA6/LRRC4C/GRM7/GRIK1/ANKS1B/LRRTM4/GABRB2/DLG2	44
GO:0099634	postsynaptic specialization membrane	10/1220	27/15928	1.68745412193535e-05	0.000324834918472555	0.000267920347430087	GSG1L/GRIN2A/GRIK3/GRIK4/GRIA1/CDH2/GRID1/NETO1/GRIK1/DLG2	10
