IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	62/524	211/6379	3.86400745107177e-20	1.04328201178938e-17	9.07024906935795e-18	2837/7434/2642/4543/2903/1910/6753/64106/5540/148/1511/3355/1132/2846/2899/1129/5732/1137/1812/6752/5745/2913/10800/1241/3352/8811/3274/2900/146/2890/5739/150/887/22953/1901/9568/5618/185/1268/5737/5733/186/1909/5027/3952/2894/1269/2568/3356/7253/8973/155/2917/56923/5646/2897/4886/6751/4923/117/2561/3351	62
hsa04974	Protein digestion and absorption	32/524	78/6379	1.62288077205773e-15	2.19088904227794e-13	1.90474953773092e-13	6550/1358/1297/81578/1281/50509/7512/1300/1359/1277/1286/1290/1289/7373/1278/1293/256076/1291/477/1361/1306/6547/486/1298/2006/482/1303/1292/1285/131873/5646/1301	32
hsa04512	ECM-receptor interaction	29/524	80/6379	1.54031110768943e-12	1.38627999692049e-10	1.20522588426225e-10	1297/7057/948/8516/2335/7058/1277/7148/1286/1311/7450/3910/1278/1293/256076/3680/1291/63923/22798/1298/22801/7143/1292/1285/3339/3672/131873/3908/2814	29
hsa05144	Malaria	16/524	46/6379	3.32653305960262e-07	2.24540981523177e-05	1.95214966392469e-05	7057/948/3082/6401/7058/1311/6403/3040/7412/2532/3039/7043/959/3043/1378/4035	16
hsa04151	PI3K-Akt signaling pathway	52/524	316/6379	6.35715449770134e-07	2.77916305620141e-05	2.41619244262345e-05	51764/26281/2252/1297/7057/5156/2846/8516/1436/3082/2277/1129/2335/7058/1277/7148/1286/1311/7450/51378/90993/3910/1278/1293/256076/5618/3680/1291/63923/5294/3479/7010/3575/8115/22798/5159/1298/22801/7143/2322/80310/1292/1285/8817/2066/2324/3672/131873/3908/2069/3791/930	52
hsa04024	cAMP signaling pathway	36/524	185/6379	6.79761376186009e-07	2.77916305620141e-05	2.41619244262345e-05	7434/114/2903/1261/3355/776/1129/5732/1812/6752/492/3352/2890/90993/9568/108/64399/10021/1080/477/5733/1909/486/482/1262/775/7253/56670/4886/6751/117/5350/5139/5348/4881/3351	36
hsa04020	Calcium signaling pathway	34/524	170/6379	7.20523755311476e-07	2.77916305620141e-05	2.41619244262345e-05	114/2903/1910/148/5156/5153/776/1129/1812/492/10800/8912/3274/146/8913/887/22953/108/185/5136/5737/5733/1909/5027/6547/5159/6263/2066/775/3356/155/5137/4923/5350	34
hsa04514	Cell adhesion molecules (CAMs)	29/524	136/6379	1.22226887771113e-06	4.12515746227506e-05	3.58639420696818e-05	22854/9378/6614/8516/57863/6401/94030/6403/58494/6693/7412/9075/920/1000/3684/3680/3111/1462/49861/1003/4685/64101/51208/959/57689/940/4684/933/6900	29
hsa04510	Focal adhesion	36/524	194/6379	2.22002618837699e-06	6.66007856513096e-05	5.79024374278442e-05	1297/7057/5156/8516/3082/2277/2335/7058/1277/7148/5063/1286/1311/7450/3910/1278/1293/256076/3680/1291/63923/3479/22798/4660/5159/1298/22801/7143/80310/1292/1285/2324/3672/131873/3908/3791	36
hsa04742	Taste transduction	15/524	54/6379	1.82209153140842e-05	0.000491964713480272	0.000427712012109554	51764/114/5153/3355/6340/3352/170572/22953/9568/5136/10021/6335/775/5137/3351	15
hsa05414	Dilated cardiomyopathy (DCM)	19/524	81/6379	2.08843057416959e-05	0.000512614777296172	0.000445665089033319	114/1674/8516/70/776/4634/108/6442/3680/3479/6444/7043/22801/775/3672/4624/3908/9254/5350	19
hsa04924	Renin secretion	16/524	62/6379	2.65202712908266e-05	0.000596706104043598	0.000518773727881958	5153/776/2977/5732/358/185/5136/1909/116/1636/775/155/5137/117/5139/4881	16
hsa04610	Complement and coagulation cascades	17/524	72/6379	5.17724207586374e-05	0.00107527335421785	0.000934838042848271	2266/2243/2244/720/718/2153/7450/722/729/1380/2160/3684/1361/730/2/1378/2162	17
hsa04640	Hematopoietic cell lineage	19/524	87/6379	6.04110972923005e-05	0.00116507116206579	0.00101290787189346	2208/948/1436/913/3568/1380/920/3684/3111/931/3575/3552/2322/3672/910/1378/2814/933/930	19
hsa04060	Cytokine-cytokine receptor interaction	39/524	252/6379	7.09795141045444e-05	0.0012776312538818	0.00111076713300445	653/338376/282618/1236/651/1436/6387/64109/60401/643/27177/4050/84639/2662/23495/3568/11009/920/5618/3572/1233/6368/6363/3575/3552/151449/3952/6358/7043/1237/26525/1439/944/959/7048/56300/729230/1524/55504	39
hsa04976	Bile secretion	15/524	62/6379	0.000105720269652272	0.00170048493715287	0.00147839431183271	6550/114/361/358/5244/108/8431/1080/477/486/482/28234/5243/8671/3781	15
hsa05410	Hypertrophic cardiomyopathy (HCM)	17/524	76/6379	0.000107067570117032	0.00170048493715287	0.00147839431183271	1674/8516/70/776/4634/6442/3680/3479/6444/7043/1636/22801/775/3672/4624/3908/9254	17
hsa04022	cGMP-PKG signaling pathway	27/524	155/6379	0.000129991949575692	0.00194987924363539	0.00169521665236137	114/4773/1910/148/776/2977/10335/492/146/90993/150/5592/108/185/5294/477/1909/6547/486/482/775/155/8471/4208/5350/5139/4881	27
hsa04970	Salivary secretion	16/524	80/6379	0.000652248700292505	0.00926879731994613	0.00805825264073289	114/148/2977/1755/492/146/5592/108/477/1470/486/6263/482/155/276/1473	16
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	14/524	67/6379	0.00089001556827834	0.0120152101717576	0.0104459721961089	1496/29119/1674/8516/776/1000/6442/3680/6444/22801/775/3672/3908/9254	14
hsa04614	Renin-angiotensin system	7/524	21/6379	0.0010167639313815	0.0130726791177621	0.0113653311628107	3817/1215/1511/1359/185/186/1636	7
hsa04964	Proximal tubule bicarbonate reclamation	7/524	22/6379	0.00138714563128956	0.0170240600203719	0.0148006447740465	6550/358/762/477/486/482/8671	7
hsa04972	Pancreatic secretion	15/524	80/6379	0.00189462555023402	0.0213145374401328	0.0185307674430784	114/1358/5322/1359/492/108/1080/477/1361/486/482/5319/5646/8671/279	15
hsa05032	Morphine addiction	15/524	80/6379	0.00189462555023402	0.0213145374401328	0.0185307674430784	51764/114/5153/10846/1812/27115/9568/108/5136/8622/2568/5137/2561/5139/3762	15
hsa04270	Vascular smooth muscle contraction	19/524	114/6379	0.00215954603556579	0.0233230971841106	0.0202770006707862	114/148/5322/776/2977/10335/800/146/5739/5592/108/185/1909/4660/775/59/5319/72/4881	19
hsa04927	Cortisol synthesis and secretion	12/524	59/6379	0.00259894646143136	0.0269890594071718	0.0234641725060402	3284/114/776/1586/3777/8912/90993/8913/108/185/8622/775	12
hsa04925	Aldosterone synthesis and secretion	16/524	91/6379	0.00270916119723914	0.0270916119723914	0.0235533312664455	3284/114/776/492/3777/8912/90993/8913/57172/108/185/477/482/775/4881/3762	16
