IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	94/1349	343/15476	1.17951686391102e-24	6.20425870417197e-22	5.38852967302508e-22	MMP12/CHAD/SPON1/COL24A1/FREM2/COL6A3/HMCN1/PTN/ELN/VWA2/CILP/LAMB1/SMOC1/SLIT3/MMP1/TIMP4/ASPN/SPARCL1/ADAMTS9/RELN/WNT6/OTOA/FREM1/ECM2/NID2/COL14A1/COL22A1/WNT9A/MFAP4/EMILIN3/MMP24/SERPINA1/CHI3L1/LRRC70/LRRC55/COL4A4/ADAMTS18/SOST/COL21A1/CHL1/LAMA1/MUC4/COL5A3/MMP2/IMPG2/LAMA2/ADAMTSL3/VCAN/ADAMTS14/COL10A1/FGF1/COL27A1/NTN3/COCH/SLIT2/SPON2/SPOCK3/WNT3/COL8A2/COL6A6/COL16A1/COL3A1/COL26A1/LRFN5/COL9A1/VTN/ENTPD2/COL4A1/LINGO2/NTN1/THSD4/POSTN/ADAMTS4/MMP16/ADAMTS6/GPC4/ADAMTS8/COL4A2/ADAMTS12/MMP8/LTBP1/OLFML2A/COL15A1/TNN/OMD/ADAMTSL1/THBS4/PI3/LTBP4/ADAMTS19/TNC/COL9A2/MYOC/COL9A3	94
GO:0031012	extracellular matrix	107/1349	433/15476	5.86687359434327e-24	1.54298775531228e-21	1.3401174420763e-21	TGFB2/MMP12/CHAD/SPON1/COL24A1/FREM2/COL6A3/HMCN1/PTN/ELN/VWA2/CILP/LAMB1/SMOC1/SLIT3/MMP1/TIMP4/ASPN/SPARCL1/ADAMTS9/RELN/WNT6/OTOA/LPL/FREM1/ECM2/NID2/TGFB3/COL14A1/COL22A1/WNT9A/MFAP4/A1BG/EMILIN3/MMP24/SERPINA1/CHI3L1/LRRC70/LRRC55/COL4A4/ADAMTS18/SOST/COL21A1/CHL1/SSC5D/LAMA1/MUC4/COL5A3/MMP2/IMPG2/LAMA2/ADAMTSL3/LEFTY2/VCAN/ADAMTS14/SLPI/COL10A1/FGF1/COL27A1/NTN3/COCH/SLIT2/SPON2/SPOCK3/S100A9/WNT3/COL8A2/COL6A6/COL16A1/COL3A1/COL26A1/LRFN5/COL9A1/VTN/ENTPD2/TGM2/COL4A1/LINGO2/NTN1/THSD4/POSTN/ADAMTS4/MMP16/CSPG4/ADAMTS6/GPC4/ADAMTS8/COL4A2/ADAMTS12/MMP8/AZGP1/LTBP1/OLFML2A/COL15A1/TNN/OMD/NCAM1/GDF10/ADAMTSL1/THBS4/PI3/LTBP4/ADAMTS19/TNC/COL9A2/MYOC/COL9A3	107
GO:0043235	receptor complex	81/1349	345/15476	5.78920180870352e-17	1.01504005045935e-14	8.81583714027132e-15	ITGA8/IRS1/VIPR1/CHRNA3/CD8B/PKD2L1/GPR84/EPHB1/EPHA7/NOTCH3/LRP4/CD8A/ACVR1C/ITGA7/SHISA6/IL6R/GRIA1/ADCYAP1R1/ALK/GABRG1/KLRC2/CD40/CEACAM1/ADGRV1/ITGB8/ERBB4/CSF2RB/DLG4/CHRNA6/GRIA4/IL12RB1/CD3D/ADRB3/NTRK3/CD247/PLXDC1/ITGAD/IMPG2/PDGFRB/ROR1/MUSK/ITGAL/ITGA9/GFRA3/CHRNA4/GPR20/CALCR/PTH1R/TSHR/INSRR/KLRD1/CR1L/CD200R1/EPHA10/CD3E/EPHA5/IL6ST/CALCRL/SKAP1/FLT3/GPR63/GRIA2/TEK/KLRC1/EGF/SHANK1/SHANK2/GFRA2/LRP6/NTRK2/TYRO3/ITGA10/GRM7/EPHA3/CD14/GRIA3/GRIK3/GABRQ/GRIK4/SORBS1/RAMP1	81
GO:0005581	collagen trimer	33/1349	81/15476	6.41244514733458e-15	8.43236536874498e-13	7.32368735248213e-13	COL24A1/COL6A3/C1QA/COL25A1/C1QB/C1QC/C1QL1/C1QTNF7/COL14A1/COL22A1/FCN3/MARCO/COL4A4/COLEC10/COL21A1/COL5A3/COL10A1/COL27A1/COL8A2/C1QL4/COL6A6/COL16A1/COL3A1/COL26A1/COL9A1/COL4A1/COL4A2/COL15A1/C1QTNF9/ADIPOQ/COL9A2/COL9A3/C1QTNF3	33
GO:0097060	synaptic membrane	60/1349	289/15476	1.56243353058164e-10	1.64368007417188e-08	1.42757084688933e-08	ITGA8/GRM3/CHRNA3/LRRTM3/DNM3/EPHA7/ATP2B2/UNC13C/LRP4/SYNDIG1/SYNE1/SHISA6/P2RY1/SH2D5/GRIA1/SNCAIP/NLGN4X/GABRG1/SYT1/DLG4/CHRNA6/GRIA4/FAIM2/LRRC4B/CHRM1/DNM1P46/CAMK2N1/ANK2/GSG1L/ANKS1B/NEURL1/DLGAP1/MUSK/KCNA1/CHRNA4/GRM5/ARC/GRIA2/NRXN1/PRKCG/CLSTN2/SHANK1/SHANK2/DGKI/IGSF9B/HOMER1/SHC4/NTRK2/GRM7/HIP1/LRRTM2/PRRT2/GRIA3/GRIK3/GABRQ/GRIK4/NLGN3/CNTNAP4/GRM4/PSD3	60
GO:0045211	postsynaptic membrane	47/1349	218/15476	4.28277756243615e-09	3.75456832973569e-07	3.26092186332858e-07	GRM3/CHRNA3/LRRTM3/DNM3/EPHA7/ATP2B2/SYNDIG1/SYNE1/SHISA6/P2RY1/SH2D5/GRIA1/NLGN4X/GABRG1/DLG4/CHRNA6/GRIA4/FAIM2/CHRM1/DNM1P46/CAMK2N1/ANK2/GSG1L/ANKS1B/NEURL1/DLGAP1/MUSK/CHRNA4/GRM5/ARC/GRIA2/CLSTN2/SHANK1/SHANK2/IGSF9B/HOMER1/SHC4/NTRK2/GRM7/HIP1/LRRTM2/GRIA3/GRIK3/GABRQ/GRIK4/NLGN3/PSD3	47
GO:0034702	ion channel complex	52/1349	258/15476	7.62064051446752e-09	5.34937323975723e-07	4.64604359826824e-07	CHRNA3/PKD2L1/KCNIP2/CACNA2D2/KCNB2/CASQ2/SHISA6/SCN4A/GRIA1/GABRG1/ANO1/CATSPERZ/KCNG3/SCN11A/DLG4/CHRNA6/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/TTYH1/SCN2A/CACNA1H/SCNN1G/ANO2/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/NOS1AP/CNTNAP2/GRIA2/SCN5A/RYR2/SHANK1/SHANK2/SCN9A/ABCC9/SCN2B/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GABRQ/GRIK4/CACNA1D	52
GO:0034703	cation channel complex	43/1349	194/15476	8.13592888176004e-09	5.34937323975723e-07	4.64604359826824e-07	PKD2L1/KCNIP2/CACNA2D2/KCNB2/CASQ2/SHISA6/SCN4A/GRIA1/CATSPERZ/KCNG3/SCN11A/DLG4/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/SCN2A/CACNA1H/SCNN1G/KCNA1/KCNS1/CACNA2D1/KCNMB2/KCNJ6/NOS1AP/CNTNAP2/GRIA2/SCN5A/RYR2/SHANK1/SCN9A/ABCC9/SCN2B/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GRIK4/CACNA1D	43
GO:1902495	transmembrane transporter complex	54/1349	277/15476	1.32680597574218e-08	7.75444381378209e-07	6.73489816926442e-07	CHRNA3/PKD2L1/KCNIP2/CACNA2D2/KCNB2/CASQ2/SHISA6/SCN4A/GRIA1/GABRG1/ANO1/CATSPERZ/KCNG3/SCN11A/DLG4/CHRNA6/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/TTYH1/SCN2A/CACNA1H/SCNN1G/ANO2/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/NOS1AP/CNTNAP2/GRIA2/SCN5A/RYR2/SHANK1/SHANK2/SCN9A/ABCC9/SCN2B/ATP1B2/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GABRQ/GRIK4/CACNA1D/ATP1A2	54
GO:0098802	plasma membrane receptor complex	38/1349	166/15476	2.38039846477742e-08	1.25208959247292e-06	1.08746624601411e-06	ITGA8/IRS1/CHRNA3/CD8B/CD8A/ACVR1C/ITGA7/SHISA6/IL6R/GRIA1/CD40/CEACAM1/ITGB8/CSF2RB/DLG4/CHRNA6/GRIA4/IL12RB1/CD3D/CD247/ITGAD/ITGAL/ITGA9/CHRNA4/CALCR/CD3E/IL6ST/CALCRL/SKAP1/GRIA2/SHANK1/SHANK2/ITGA10/GRIA3/GRIK3/GRIK4/SORBS1/RAMP1	38
