IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04060	Cytokine-cytokine receptor interaction	55/588	243/6218	3.37727757577913e-10	9.2875133333926e-08	8.03436560132719e-08	7042/53342/7850/3601/3458/356/130399/10663/4283/3570/7292/4804/10344/6354/3590/3627/7043/958/1234/3626/6373/1439/8771/6846/3594/2833/9966/3561/8784/9235/653/651/8743/6351/6358/9518/939/6357/3560/3598/3572/269/4803/970/10563/5473/53833/151449/2662/10913/8995/3952/6355/246778/6352	55
hsa04974	Protein digestion and absorption	25/588	75/6218	8.40065428597536e-09	1.15508996432161e-06	9.99235720331806e-07	255631/1293/2006/643834/7373/169044/5646/1286/81578/50509/6547/1300/85301/131873/1281/1297/1282/1284/1803/1306/482/6510/1298/1299/477	25
hsa04514	Cell adhesion molecules (CAMs)	34/588	133/6218	3.95003896575141e-08	3.62086905193879e-06	3.13231160091165e-06	8516/926/58494/925/4099/9071/3134/3106/3107/57502/23562/914/958/3696/94030/933/5133/6614/1462/3683/3680/1493/4897/201633/26047/9378/257194/9369/4684/9379/80380/1272/10686/54413	34
hsa04080	Neuroactive ligand-receptor interaction	43/588	200/6218	1.52794649849818e-07	1.0504632177175e-05	9.08726075422604e-06	2913/7433/1136/6344/5028/2890/117/5031/2565/5646/8973/2893/1128/155/2798/53637/6865/9340/887/6755/1137/799/5745/1812/4923/7253/2915/10203/2891/59350/3357/3356/2846/2917/3952/1909/3001/2892/2899/55879/2900/146/2914	43
hsa04512	ECM-receptor interaction	23/588	78/6218	4.22350781793975e-07	2.32292929986686e-05	2.0095005617987e-05	8516/1101/1293/3912/3679/5649/3696/1286/284217/3908/9899/3680/131873/1297/7448/1282/1284/63923/8515/7060/3371/1298/1299	23
hsa04650	Natural killer cell mediated cytotoxicity	26/588	107/6218	4.48079971682816e-06	0.000205369987021291	0.000177659778246169	7305/5551/22914/3458/356/4773/3002/3106/3107/3805/3822/53358/919/3683/4068/8743/3824/3823/154064/3821/3932/5582/80329/399694/10870/2207	26
hsa04151	PI3K-Akt signaling pathway	50/588	311/6218	0.00010182351835712	0.00400020964974399	0.0034604684434149	8516/3667/1101/1293/2793/51378/3912/356/3679/3570/898/5649/4804/26281/3696/2066/3082/1128/1286/4602/3561/284217/3908/10110/5159/2246/3680/5563/131873/1297/3560/7448/2247/930/1282/4803/5228/1284/2322/7010/1950/3164/63923/4915/2846/8515/7060/3371/1298/1299	50
hsa04713	Circadian entrainment	20/588	87/6218	0.000130229893199826	0.00447665257874403	0.00387262577146852	5592/2793/2890/117/2893/5593/3765/8912/51655/3763/2977/9722/2891/6262/5582/2983/8913/111/2892/776	20
hsa04510	Focal adhesion	34/588	194/6218	0.000263109475547028	0.00803945619727029	0.00695470660510272	8516/1101/1293/3912/3679/5649/53358/3696/3082/1286/284217/3908/5159/3680/131873/1297/7448/85366/1282/5228/1284/57144/91807/1950/5582/5063/63923/399694/8515/7060/3371/340156/1298/1299	34
hsa04724	Glutamatergic synapse	21/588	103/6218	0.000521969457776324	0.0143541600888489	0.0124173786797315	2913/2793/2890/1742/10991/2893/9229/2915/2891/5582/50944/22941/9456/2917/111/283748/2892/2899/2900/776/2914	21
hsa04020	Calcium signaling pathway	28/588	165/6218	0.00150413200447314	0.0376033001118284	0.032529553398175	491/952/5137/51196/2066/1128/155/6865/6547/8912/5159/887/1812/4923/2915/85366/3357/6262/7125/91807/5582/3356/492/8913/1909/340156/776/146	28
hsa05410	Hypertrophic cardiomyopathy (HCM)	16/588	76/6218	0.00165144727081368	0.0378456666228134	0.0327392178249027	8516/7042/6444/9254/3679/53632/7043/3696/3908/3680/5563/781/6262/1674/8515/776	16
hsa05320	Autoimmune thyroid disease	9/588	32/6218	0.00218023147557862	0.0449718910227695	0.0389039133823766	5551/356/3002/3134/3106/3107/958/1493/7253	9
hsa05165	Human papillomavirus infection	46/588	320/6218	0.0022894780884319	0.0449718910227695	0.0389039133823766	8516/1101/9636/1293/4854/3912/356/3679/3134/3106/898/3107/8638/5649/7475/7015/7483/3696/1286/11211/525/284217/3908/534/5159/245972/127124/3680/7473/50617/131873/1297/7448/1282/1284/23493/8326/1950/63923/55534/8515/7060/3371/1298/84441/1299	46
