IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031012	extracellular matrix	50/626	442/15830	1.96147133417553e-11	8.04203247011967e-09	7.26776746978723e-09	TPSAB1/USH2A/EMILIN3/COL5A3/CPA6/CRISP3/POSTN/PRG4/COL6A6/TPSB2/VWC2/SLITRK5/MMP11/ZG16/PRTN3/AZGP1/IMPG2/COCH/SLITRK3/DMBT1/CD248/S100A7/PI3/COL6A5/HPSE2/IBSP/HAPLN1/MMP13/IHH/MATN1/SMOC1/PCOLCE/SOST/SPOCK1/MMP10/GDF10/CPXM2/ABI3BP/LTBP4/WNT2B/COL21A1/MYOC/S100A9/MMP12/COL4A3/TGFB2/WNT3A/COL4A4/WNT16/MMP1	50
GO:0000786	nucleosome	18/626	86/15830	5.42483647378323e-09	1.11209147712556e-06	1.00502233619563e-06	HIST1H3C/HIST1H4F/HIST1H4K/HIST1H2BM/HIST1H2BI/HIST1H2BB/HIST1H2BO/HIST1H1C/HIST1H3B/HIST2H2AB/HIST1H2BH/HIST1H1B/HIST1H2AL/HIST2H2AA3/HIST1H4D/HIST1H3I/HIST1H3F/HIST1H2BL	18
GO:0044815	DNA packaging complex	18/626	93/15830	1.99921736384295e-08	2.73226373058536e-06	2.46920881429023e-06	HIST1H3C/HIST1H4F/HIST1H4K/HIST1H2BM/HIST1H2BI/HIST1H2BB/HIST1H2BO/HIST1H1C/HIST1H3B/HIST2H2AB/HIST1H2BH/HIST1H1B/HIST1H2AL/HIST2H2AA3/HIST1H4D/HIST1H3I/HIST1H3F/HIST1H2BL	18
GO:0005578	proteinaceous extracellular matrix	37/626	353/15830	6.60067660099953e-08	6.76569351602452e-06	6.11431095671536e-06	USH2A/EMILIN3/COL5A3/CPA6/CRISP3/POSTN/COL6A6/VWC2/SLITRK5/MMP11/ZG16/IMPG2/COCH/SLITRK3/CD248/PI3/COL6A5/HPSE2/HAPLN1/MMP13/IHH/MATN1/SMOC1/SOST/SPOCK1/MMP10/ABI3BP/LTBP4/WNT2B/COL21A1/MYOC/MMP12/COL4A3/WNT3A/COL4A4/WNT16/MMP1	37
GO:0098794	postsynapse	37/626	419/15830	4.39701359342403e-06	0.00036055511466077	0.000325841849449528	ADGRB1/PRKCG/KCNA4/GAP43/ADGRB3/CHRM2/HTR3A/GRIN2A/ATP1A3/KCNB1/GLRA2/NETO1/GRM5/GRIN2B/LRRC7/NTSR1/SAMD14/NSG1/PALMD/IGF2BP1/SHANK1/ATP1A2/SPOCK1/HTR3B/CHRM1/GABBR1/NLGN3/ANK2/P2RX6/CHRNA1/CAMK2N1/CHRNA3/ANK1/CHRNA4/GPM6A/CALB1/ANKS1B	37
GO:0045211	postsynaptic membrane	23/626	220/15830	2.13187138612968e-05	0.00145677878052195	0.00131652408406605	ADGRB1/CHRM2/HTR3A/GRIN2A/KCNB1/GLRA2/NETO1/GRM5/GRIN2B/LRRC7/NSG1/SHANK1/HTR3B/CHRM1/GABBR1/NLGN3/ANK2/CHRNA1/CAMK2N1/CHRNA3/ANK1/CHRNA4/ANKS1B	23
GO:0032993	protein-DNA complex	19/626	178/15830	8.24355722183651e-05	0.00461099469449107	0.00416706067384046	HIST1H3C/HIST1H4F/HIST1H4K/HIST1H2BM/HIST1H2BI/HIST1H2BB/HIST1H2BO/HIST1H1C/HIST1H3B/HIST2H2AB/HIST1H2BH/HIST1H1B/HIST1H2AL/HIST2H2AA3/HOXA11/HIST1H4D/HIST1H3I/HIST1H3F/HIST1H2BL	19
GO:0097060	synaptic membrane	26/626	290/15830	8.99706281851917e-05	0.00461099469449107	0.00416706067384046	ADGRB1/PRKCG/CHRM2/HTR3A/GRIN2A/KCNB1/GLRA2/NETO1/GRM5/GRIN2B/LRRC7/KCNA1/NSG1/SHANK1/GRM8/HTR3B/CHRM1/GABBR1/NLGN3/ANK2/CHRNA1/CAMK2N1/CHRNA3/ANK1/CHRNA4/ANKS1B	26
GO:0044297	cell body	37/626	487/15830	0.000115097624133485	0.00524333621052543	0.00473852206958909	NTRK1/KLHL1/ADAM21/ASTN1/GNAO1/CYP17A1/TRPM5/TMEM100/ACTC1/GJB2/PITX3/PCSK2/BRINP2/CHRM2/NGB/HTR3A/SLC6A3/ATP1A3/KCNB1/CPLX2/PVALB/STAR/KCNA1/NTSR1/SEZ6L/S100B/S100A5/TH/CPNE6/TGFB2/CAMK2N1/CHRNA3/GFAP/RIC3/CHRNA4/GPM6A/CALB1	37
GO:0043025	neuronal cell body	33/626	428/15830	0.000203604170572381	0.00773406125893455	0.00698944688869054	NTRK1/KLHL1/ADAM21/ASTN1/CYP17A1/TRPM5/TMEM100/PITX3/PCSK2/BRINP2/CHRM2/NGB/HTR3A/SLC6A3/ATP1A3/KCNB1/CPLX2/PVALB/STAR/KCNA1/NTSR1/SEZ6L/S100B/S100A5/TH/CPNE6/TGFB2/CAMK2N1/CHRNA3/RIC3/CHRNA4/GPM6A/CALB1	33
