IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048018	receptor ligand activity	40/588	361/15139	2.29933237100007e-09	8.6521817054146e-07	7.48168183525272e-07	CCL13/VSTM1/FGF17/LTB/FGF5/SAA4/CXCL9/CRLF1/TG/GREM1/AGT/SCGB3A1/IFNG/PF4V1/CCL11/SAA2/GDF3/SAA1/FGF20/C10orf99/CCL19/CGB2/CALCB/NTS/PYY/FAM3D/GRP/TNFSF9/POMC/CXCL1/GDF10/CLEC11A/OXT/CXCL13/IL17C/TGFB2/WNT3A/INS-IGF2/CD70/IGF2	40
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	41/588	377/15139	2.51151863727565e-09	8.6521817054146e-07	7.48168183525272e-07	HOXC11/PITX2/RBPJL/NKX2-8/HOXA7/CDX1/PITX3/HOXA1/ELF5/HOXA5/MYOCD/FOXL2/POU4F1/DLX2/MEOX2/BARX1/FOXI1/ZIC1/GATA4/SOX2/HLF/MAFA/HOXC10/HOXD13/GBX2/LHX2/HOXC13/ONECUT2/HOXD10/SIX2/KLF14/GATA2/GATA5/SIX3/AR/HOXA10/FOXD1/FOXD2/DLX5/PGR/ARID3A	41
GO:0030545	receptor regulator activity	41/588	387/15139	5.42094712361069e-09	1.24501085605592e-06	1.07658107788198e-06	CCL13/VSTM1/FGF17/LTB/FGF5/SAA4/CXCL9/CRLF1/TG/GREM1/AGT/SCGB3A1/IFNG/PF4V1/CCL11/SAA2/GDF3/SAA1/FGF20/C10orf99/CCL19/CGB2/CALCB/NTS/LYNX1/PYY/FAM3D/GRP/TNFSF9/POMC/CXCL1/GDF10/CLEC11A/OXT/CXCL13/IL17C/TGFB2/WNT3A/INS-IGF2/CD70/IGF2	41
GO:0030594	neurotransmitter receptor activity	15/588	80/15139	3.69996805266891e-07	5.62676628550562e-05	4.86555605774376e-05	HTR6/HRH3/HTR1E/CHRM2/HTR3A/GRIN2A/GLRA2/GRM5/GRIN2B/HTR3B/CHRM1/GABBR1/CHRNA1/CHRNA3/CHRNA4	15
GO:0019825	oxygen binding	10/588	34/15139	4.08328467743514e-07	5.62676628550562e-05	4.86555605774376e-05	CYP17A1/CYP19A1/CYP3A5/HBQ1/CYP4A11/TDO2/NOX4/CYP1B1/TH/CYP1A2	10
GO:0050786	RAGE receptor binding	6/588	11/15139	1.30902553654453e-06	0.000150319765779863	0.000129983939242843	S100A4/S100A7/S100B/S100A9/S100P/S100A8	6
GO:0005125	cytokine activity	21/588	173/15139	3.66360365206156e-06	0.000342310694917757	0.000296001609232985	CCL13/VSTM1/LTB/CXCL9/CRLF1/GREM1/SCGB3A1/IFNG/PF4V1/CCL11/GDF3/C10orf99/CCL19/FAM3D/TNFSF9/CXCL1/GDF10/CXCL13/IL17C/TGFB2/CD70	21
GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	26/588	247/15139	3.97457991196235e-06	0.000342310694917757	0.000296001609232985	HOXC11/PITX2/NKX2-8/HOXA7/PITX3/HOXA5/MYOCD/FOXL2/POU4F1/MEOX2/FOXI1/ZIC1/SOX2/HLF/MAFA/HOXD13/LHX2/HOXC13/ONECUT2/SIX2/GATA2/AR/HOXA10/FOXD1/DLX5/PGR	26
GO:0000982	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	33/588	377/15139	1.18286383325149e-05	0.000905547979011417	0.000783042022947768	HOXC11/EN1/PITX2/RBPJL/NKX2-8/HOXA7/CUX2/PITX3/HOXA5/NKX6-1/MYOCD/FOXL2/POU4F1/MEOX2/FOXI1/ZIC1/SOX2/HLF/MAFA/ZFPM2/HOXD13/LHX2/HOXC13/ONECUT2/SIX2/PRRX1/GATA2/HAND1/AR/HOXA10/FOXD1/DLX5/PGR	33
GO:0001664	G-protein coupled receptor binding	24/588	233/15139	1.34248395070404e-05	0.000924971442035085	0.000799837806419461	GNAO1/CCL13/CXCL9/AGT/PF4V1/CCL11/PROK2/ATP1A3/SAA1/C10orf99/CCL19/NECAB2/PYY/SHANK1/POMC/NPFFR2/CXCL1/OXT/WNT2B/CXCL13/MYOC/RSPO1/WNT3A/WNT16	24
