IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015267	channel activity	111/2067	409/15172	1.98045483137721e-13	1.00409059950825e-10	8.81823572286907e-11	CACNG1/SCNN1A/GJD2/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/AQP5/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/AQP12A/CATSPER1/CHRNA3/AQP6/AQP8/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/AQP12B/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/AQP7P3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GJC2/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/GJA1/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/PANX2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	111
GO:0022803	passive transmembrane transporter activity	111/2067	409/15172	1.98045483137721e-13	1.00409059950825e-10	8.81823572286907e-11	CACNG1/SCNN1A/GJD2/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/AQP5/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/AQP12A/CATSPER1/CHRNA3/AQP6/AQP8/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/AQP12B/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/AQP7P3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GJC2/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/GJA1/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/PANX2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	111
GO:0004930	G-protein coupled receptor activity	101/2067	362/15172	3.92095383296729e-13	1.32528239554294e-10	1.16390419041766e-10	CNR1/ADRB3/MRGPRE/SFRP2/OR2B6/MC2R/GLP1R/SUCNR1/FFAR4/GPR20/OXGR1/GPR87/MC4R/SSTR5/SORCS3/NPY/FFAR1/GPR78/ADGRG4/NPFFR2/GPR150/NTSR1/OPRK1/S1PR1/XCR1/ADGRL2/GRIK3/FPR2/CCR5/GIPR/LPAR2/GLP2R/HTR1F/GPR176/NMUR1/ADGRE3/CCR1/GPR34/PTAFR/GPR141/CYSLTR1/CCR2/HRH2/ADGRB1/ADRB1/ADGRA2/SSTR1/CXCR6/EDNRA/FPR1/GHSR/ADORA3/ADGRE2/HRH4/F2R/P2RY13/VIPR2/GPR63/GABBR2/FFAR2/LPAR4/CELSR3/P2RY1/AVPR1A/RORB/ADGRF5/ADORA2B/SFRP4/P2RY12/CX3CR1/PTGER3/P2RY14/GRPR/ADCYAP1R1/FPR3/CALCRL/GPRC5D/DRD2/GPR19/ADGRD1/HTR2A/GPR88/RXFP4/F2RL2/C3AR1/EDNRB/CCR4/GPR37L1/ADRA1D/MTNR1A/CMKLR1/PDGFRB/CCR8/GPR174/LPAR3/DRD4/PTGFR/CXCR2/NPR3/AGTR2/GPR82	101
GO:0005201	extracellular matrix structural constituent	32/2067	67/15172	1.6413420603442e-11	2.77386808198169e-09	2.4360971632477e-09	COL11A1/FBN3/MUC4/MUC6/FBN2/PXDN/COL2A1/ANOS1/FBN1/ELN/FBLN1/LUM/COL4A4/MATN3/COL5A1/IMPG2/COL4A1/COL4A6/COL12A1/COL8A2/VCAN/BCAN/COL3A1/COL5A2/COL24A1/COL9A3/COL14A1/COL9A2/PRELP/COL1A2/COL19A1/COL11A2	32
GO:0004252	serine-type endopeptidase activity	49/2067	160/15172	1.80813373958573e-08	1.83344761193993e-06	1.61019067756792e-06	PRSS1/PRSS50/KLK2/MMP3/HGFAC/PRSS3P2/F11/CELA2B/KLK9/CTRL/CELA2A/TPSD1/PRSS21/CTRC/PRSS45/CELA3A/KLK11/CMA1/CTRB1/CELA3B/KLK1/PRTN3/CTRB2/FAP/KLK3/C1S/MST1/F12/MASP1/PCSK5/F7/PRSS3/FCN1/PCSK4/CORIN/TPSG1/RHBDL1/RHBDD2/F2/KLK12/TLL1/CTSV/MMP2/PRSS27/LPA/PROC/PRSS41/TMPRSS11D/TMPRSS5	49
GO:0008201	heparin binding	46/2067	147/15172	2.34737193034335e-08	2.16385012488014e-06	1.90036043356026e-06	KNG1/AOC1/F11/NDNF/CCL15/TGFBR3/FGF10/CEL/ADAMTS15/CRISPLD2/THBS4/TNXB/ANOS1/FBN1/CCDC80/ABI3BP/POSTN/REG4/ADAMTS8/FN1/COL5A1/IMPG2/ECM2/LTBP2/ADAMTSL5/RSPO1/RSPO2/F2/TMEM184A/SERPINC1/FGF7/CTGF/GPNMB/WISP1/GREM2/FSTL1/ADAMTS3/NRP1/RSPO3/THBS2/PRELP/FGFBP3/SMOC2/LPA/SLIT2/THBS1	46
GO:0005539	glycosaminoglycan binding	56/2067	200/15172	5.98747365546743e-08	5.05941523886998e-06	4.44333571274162e-06	KNG1/AOC1/F11/NDNF/CCL15/EPYC/TGFBR3/FGF10/CEL/ADAMTS15/SUSD5/CRISPLD2/THBS4/TNXB/ANOS1/FBN1/CCDC80/ADGRE2/ABI3BP/POSTN/REG4/ADAMTS8/FN1/COL5A1/IMPG2/NLRP3/ECM2/LTBP2/ADAMTSL5/JCHAIN/RSPO1/RSPO2/F2/VCAN/BCAN/DCN/TMEM184A/SERPINC1/FGF7/CTGF/GPNMB/WISP1/GREM2/FSTL1/ADAMTS3/NRP1/RSPO3/THBS2/PRELP/FGFBP3/PODXL2/SMOC2/LPA/LYVE1/SLIT2/THBS1	56
GO:0030545	receptor regulator activity	93/2067	406/15172	1.90025172494494e-07	1.37632517792441e-05	1.20873154834844e-05	ANGPT4/C1QTNF12/GDNF/LYNX1/SFRP2/TNFSF9/TNFSF8/TG/FGF5/IAPP/CGB3/CCK/CCL13/TFF1/VSTM1/CD70/GHRL/EDN3/CGB7/MAPT/IL17C/INS-IGF2/CCL17/CCL15/HCRT/CALCA/GUCA2A/SLURP1/NPY/VGF/CCL26/EFEMP1/UCN/SEMA3C/FGF10/IL33/CSPG5/INHBA/THBS4/PXDN/SEMA3D/TNFSF13B/FBN1/PDGFD/PDGFC/IGF1/VIP/GDF9/NPFF/OGN/LHB/GDF15/CXCL12/HGF/WNT4/FLRT2/ADM/LY6E/BMP3/EGF/FAM3D/IL36G/TGFB3/GREM1/NTF4/NMB/GDF10/DGKQ/GDF6/WFIKKN1/F2/ZP3/FGF3/GAST/CGB1/FGF7/CTGF/GPNMB/AMH/ARTN/GREM2/FGF17/FASLG/MIF/TNFSF18/CXCL9/GPHA2/PENK/PSPN/TNFSF15/WNT3A/AGTR2/CSF1	93
GO:0017171	serine hydrolase activity	52/2067	191/15172	4.60922705904532e-07	2.7492683752188e-05	2.4144929361934e-05	PRSS1/PRSS50/KLK2/MMP3/HGFAC/PRSS3P2/F11/CELA2B/KLK9/CTRL/CELA2A/TPSD1/RBP3/PRSS21/CTRC/PRSS45/CELA3A/KLK11/CMA1/CTRB1/CELA3B/KLK1/PRTN3/CTRB2/FAP/KLK3/C1S/MST1/F12/MASP1/PCSK5/F7/PRSS3/FCN1/PCSK4/CORIN/TPSG1/RHBDL1/RHBDD2/F2/KLK12/CPE/NAALAD2/TLL1/CTSV/MMP2/PRSS27/LPA/PROC/PRSS41/TMPRSS11D/TMPRSS5	52
GO:0048018	receptor ligand activity	86/2067	381/15172	1.04950498226882e-06	5.91221140011434e-05	5.19228780701415e-05	C1QTNF12/GDNF/SFRP2/TNFSF9/TNFSF8/TG/FGF5/IAPP/CGB3/CCK/CCL13/TFF1/VSTM1/CD70/GHRL/EDN3/CGB7/MAPT/IL17C/INS-IGF2/CCL17/CCL15/HCRT/CALCA/GUCA2A/SLURP1/NPY/VGF/CCL26/EFEMP1/UCN/SEMA3C/FGF10/IL33/CSPG5/INHBA/THBS4/SEMA3D/TNFSF13B/FBN1/PDGFD/PDGFC/IGF1/VIP/GDF9/NPFF/OGN/LHB/GDF15/CXCL12/HGF/WNT4/FLRT2/ADM/BMP3/EGF/FAM3D/IL36G/TGFB3/GREM1/NTF4/NMB/GDF10/GDF6/F2/ZP3/FGF3/GAST/CGB1/FGF7/CTGF/GPNMB/AMH/ARTN/GREM2/FGF17/FASLG/MIF/TNFSF18/CXCL9/GPHA2/PENK/PSPN/TNFSF15/WNT3A/CSF1	86
