IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015267	channel activity	111/2067	409/15172	1.98045483137721e-13	1.00409059950825e-10	8.81823572286907e-11	CACNG1/SCNN1A/GJD2/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/AQP5/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/AQP12A/CATSPER1/CHRNA3/AQP6/AQP8/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/AQP12B/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/AQP7P3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GJC2/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/GJA1/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/PANX2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	111
GO:0022803	passive transmembrane transporter activity	111/2067	409/15172	1.98045483137721e-13	1.00409059950825e-10	8.81823572286907e-11	CACNG1/SCNN1A/GJD2/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/AQP5/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/AQP12A/CATSPER1/CHRNA3/AQP6/AQP8/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/AQP12B/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/AQP7P3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GJC2/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/GJA1/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/PANX2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	111
GO:0004930	G-protein coupled receptor activity	101/2067	362/15172	3.92095383296729e-13	1.32528239554294e-10	1.16390419041766e-10	CNR1/ADRB3/MRGPRE/SFRP2/OR2B6/MC2R/GLP1R/SUCNR1/FFAR4/GPR20/OXGR1/GPR87/MC4R/SSTR5/SORCS3/NPY/FFAR1/GPR78/ADGRG4/NPFFR2/GPR150/NTSR1/OPRK1/S1PR1/XCR1/ADGRL2/GRIK3/FPR2/CCR5/GIPR/LPAR2/GLP2R/HTR1F/GPR176/NMUR1/ADGRE3/CCR1/GPR34/PTAFR/GPR141/CYSLTR1/CCR2/HRH2/ADGRB1/ADRB1/ADGRA2/SSTR1/CXCR6/EDNRA/FPR1/GHSR/ADORA3/ADGRE2/HRH4/F2R/P2RY13/VIPR2/GPR63/GABBR2/FFAR2/LPAR4/CELSR3/P2RY1/AVPR1A/RORB/ADGRF5/ADORA2B/SFRP4/P2RY12/CX3CR1/PTGER3/P2RY14/GRPR/ADCYAP1R1/FPR3/CALCRL/GPRC5D/DRD2/GPR19/ADGRD1/HTR2A/GPR88/RXFP4/F2RL2/C3AR1/EDNRB/CCR4/GPR37L1/ADRA1D/MTNR1A/CMKLR1/PDGFRB/CCR8/GPR174/LPAR3/DRD4/PTGFR/CXCR2/NPR3/AGTR2/GPR82	101
GO:0022838	substrate-specific channel activity	104/2067	387/15172	2.24757302924097e-12	5.69759762912586e-10	5.00380732299437e-10	CACNG1/SCNN1A/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/AQP5/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/AQP12A/CATSPER1/CHRNA3/AQP6/AQP8/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/AQP12B/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	104
GO:0005216	ion channel activity	100/2067	374/15172	8.29084047101869e-12	1.68138244752259e-09	1.47664232389091e-09	CACNG1/SCNN1A/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/AQP6/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	100
GO:0005201	extracellular matrix structural constituent	32/2067	67/15172	1.6413420603442e-11	2.77386808198169e-09	2.4360971632477e-09	COL11A1/FBN3/MUC4/MUC6/FBN2/PXDN/COL2A1/ANOS1/FBN1/ELN/FBLN1/LUM/COL4A4/MATN3/COL5A1/IMPG2/COL4A1/COL4A6/COL12A1/COL8A2/VCAN/BCAN/COL3A1/COL5A2/COL24A1/COL9A3/COL14A1/COL9A2/PRELP/COL1A2/COL19A1/COL11A2	32
GO:0022836	gated channel activity	80/2067	297/15172	7.06046807595687e-10	1.02275923271718e-07	8.98218946204437e-08	CACNG1/SCNN1A/SCNN1B/KCNA1/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/CLCA2/KCNK10/ANO3/KCNH6/GABRG1/KCNJ15/KCNB1/TRPM3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/REST/GRIK3/SCN2B/KCNJ5/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/PIEZO2/KCNK2/CLIC4/CATSPER3/ANO4/KCNAB1/KCNA3/KCNK7/KCNS2/ITPR2/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/PKD2/ANO2/CACNA2D1/KCNE4/KCNIP1/SCN4B	80
GO:0022839	ion gated channel activity	78/2067	294/15172	2.44751498591473e-09	3.10222524464692e-07	2.72447062905771e-07	CACNG1/SCNN1A/SCNN1B/KCNA1/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/CLCA2/KCNK10/ANO3/KCNH6/GABRG1/KCNJ15/KCNB1/TRPM3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/REST/GRIK3/SCN2B/KCNJ5/CHRNA6/ANO7/RYR2/ASIC3/GLRA1/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/KCNK2/CLIC4/CATSPER3/ANO4/KCNAB1/KCNA3/KCNK7/KCNS2/ITPR2/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/PKD2/ANO2/CACNA2D1/KCNE4/KCNIP1/SCN4B	78
GO:0005261	cation channel activity	74/2067	277/15172	4.5305140197065e-09	5.10437912886932e-07	4.48282439844643e-07	CACNG1/SCNN1A/SCNN1B/KCNA1/GRIK2/KCNK12/KCND3/CACNG4/P2RX1/JPH3/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/CHRNA1/KCNH3/KCNK10/CALHM3/KCNH6/KCNJ15/KCNB1/FXYD4/TRPM3/CACNG6/KCNJ16/KCNA7/P2RX7/SLC24A2/REST/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/RYR2/ASIC3/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/LRRC26/RYR3/PIEZO2/KCNK2/CATSPER3/SLC4A11/KCNAB1/KCNA3/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/CACNA2D1/KCNE4/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	74
GO:0004252	serine-type endopeptidase activity	49/2067	160/15172	1.80813373958573e-08	1.83344761193993e-06	1.61019067756792e-06	PRSS1/PRSS50/KLK2/MMP3/HGFAC/PRSS3P2/F11/CELA2B/KLK9/CTRL/CELA2A/TPSD1/PRSS21/CTRC/PRSS45/CELA3A/KLK11/CMA1/CTRB1/CELA3B/KLK1/PRTN3/CTRB2/FAP/KLK3/C1S/MST1/F12/MASP1/PCSK5/F7/PRSS3/FCN1/PCSK4/CORIN/TPSG1/RHBDL1/RHBDD2/F2/KLK12/TLL1/CTSV/MMP2/PRSS27/LPA/PROC/PRSS41/TMPRSS11D/TMPRSS5	49
