IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	70/1155	306/14586	2.28381183483795e-16	1.13368419481356e-12	9.55354550699581e-13	THBS2/NOX1/COL6A3/TLL1/COL4A3/COL1A2/THBS4/COL14A1/COL5A1/MADCAM1/FLRT2/MMP14/COL3A1/LUM/FOXC2/DPP4/CTGF/HAS2/TNR/COL2A1/SCUBE1/FERMT1/SPP1/MPZL3/ADAMTS4/COL11A1/COL27A1/ELANE/FBN2/ACAN/ITGA9/HSPG2/GREM1/LAMC2/TNFRSF11B/FBN1/TNC/ITGB3/NID2/ADAM19/DDR2/ITGA1/MFAP5/ITGA4/ITGA2/VCAN/ANTXR1/LAMB3/FN1/COL5A2/CARMIL2/POSTN/PHLDB2/SCUBE3/ITGA8/COL12A1/ADAMTS2/THBS1/PXDN/SULF2/ADAM10/COL8A1/KDR/DCN/NPNT/ITGA11/CYP1B1/CCDC80/LAMA2/LOX	70
GO:0003013	circulatory system process	83/1155	461/14586	7.43541276843747e-13	1.18874473235613e-09	1.00175401127768e-09	NOX1/CACNA2D1/COL4A3/PROKR1/COL1A2/ADRA1A/ACSM3/KCNE1/NPY5R/FOXC2/SEMA3A/ADRA1D/CACNG4/TBX20/THRB/CTGF/CALCA/DES/RYR3/ADM2/NPY6R/MYLK3/TRHDE/F5/SCN1A/GCGR/KCNK1/TCAP/OR51E2/DSG2/AZU1/MYH6/KCNJ3/CRH/MME/UTS2/CYP11B1/HSPB7/EGFR/HTR2A/PDE3A/NPR3/NOS1/INS/SLIT2/CXCL12/ADRA2A/SGCD/MYOF/F2R/DRD1/ITGA1/AR/NPPC/ADRB3/S100A1/NPFF/ACE/ITPR3/POSTN/TEK/PRKG1/AVPR1A/CTNNA3/NPPB/CYSLTR1/PCSK5/UCN/KCND3/EHD3/IRX5/SGK1/HTR1B/FLNA/PTAFR/LNPEP/P2RY1/HTR1D/ATP2A1/HRH2/PIK3CG/SPX/ATP1A2	83
GO:0010469	regulation of signaling receptor activity	76/1155	406/14586	9.5789261269632e-13	1.18874473235613e-09	1.00175401127768e-09	IL10/TNFSF8/THBS4/GPRC5A/CXCL5/TNFSF18/AGRP/WNT8B/BTC/SCT/C1QTNF12/CACNG4/CMTM5/WNT7B/INHBE/IL20/CTGF/CALCA/ADM2/CXCL3/CALCB/CGA/SPP1/BMP2/LHB/EREG/WNT3/CRLF1/VIP/MIA/OGN/CRH/UTS2/LYPD6/GIP/GAL/CNIH2/TNFSF15/GREM1/TNFRSF11B/NOV/FBN1/FGF17/INS/AGER/NETO2/CXCL12/ADRA2A/NPPC/RASGRF1/AMH/MIF/NPFF/CCK/PDGFC/INHBA/CORT/CXCL14/CRHBP/FGF13/NPPB/UCN/VGF/WNT9A/SHISA6/WNT5A/PROK1/PSPN/BMP3/P2RY1/FOXH1/LYPD1/SPX/ANGPTL8/NOG/SCGB3A1	76
GO:0019233	sensory perception of pain	28/1155	87/14586	5.49032941092575e-11	3.89342788511934e-08	3.28098783143142e-08	IL10/LXN/EPHB1/GRIN1/KCNK4/CALCA/TRPA1/OPRD1/SCN1A/MME/CHRNA4/GIP/HTR2A/NOV/ASIC3/CXCL12/GRM1/F2R/ACPP/ITGA2/NPFF/CCK/POMK/PTAFR/P2RY1/P2RX7/P2RX3/SPX	28
GO:0008544	epidermis development	52/1155	268/14586	1.0825666636057e-09	5.3738609181387e-07	4.52854728544111e-07	PKP1/PPL/KAZN/DCT/PRSS8/CYP26B1/IL20/CTGF/HPSE/POU2F3/BNC1/HES5/KRTAP5-7/ST14/MSX2/KRTAP5-8/FERMT1/KRT81/EREG/KLK14/DSG2/KDF1/KRT80/KRT71/RBP2/GAL/EGFR/CRABP2/DNASE1L2/LAMC2/FOXQ1/LATS2/SOSTDC1/KLF4/LAMB3/CD109/LRP4/LATS1/INHBA/APCDD1/POU3F1/SULT2B1/ROCK2/IGFBP5/YAP1/SFRP4/FLG/WNT5A/TGM1/KRTAP5-1/MYSM1/UGCG	52
GO:0001501	skeletal system development	74/1155	452/14586	1.26754146661126e-09	5.72006894568936e-07	4.82029644814656e-07	ZBTB16/TLL1/COL1A2/GLI2/FREM1/MMP14/COL3A1/LUM/FOXC2/CYP26B1/FGFRL1/SOX6/HES7/SFRP1/WNT7B/DLL3/OSR1/OSR2/CTGF/HAS2/HES5/HOXA6/MSX2/COL2A1/MSX1/FMN1/BMP2/SCIN/ADAMTS4/CHAD/SIGLEC15/COL11A1/COL27A1/FBN2/CHRDL2/ACAN/FRZB/GREM1/TNFRSF11B/PAPPA2/NPR3/NOV/FBN1/SMAD9/PDGFRA/NPPC/KIT/VCAN/PDGFC/EVC/SNORC/NOTCH2/BGLAP/COL5A2/POSTN/TEK/HMGA2/SOX5/SFRP4/PCSK5/PAPSS2/RANBP3L/COL12A1/TGFBR2/IRX5/SULF2/WNT9A/WNT5A/BMP3/SNAI2/P2RX7/FAT4/GNA11/NOG	74
GO:0044057	regulation of system process	74/1155	455/14586	1.71223986109398e-09	7.08296555872545e-07	5.96880807718201e-07	FOXL2/IL10/CACNA2D1/ADRA1A/KCNE1/SEMA3A/WASF3/ADRA1D/SCT/CACNG4/THRB/PLCE1/CTGF/CALCA/DES/RYR3/TNR/OPRD1/KCNK1/OR51E2/DSG2/MLIP/MYH6/KCNJ3/CRH/HSPB7/GAL/EGFR/TNNC2/HTR2A/NOV/NOS1/ADRA2A/GRM1/F2R/ACPP/NPPC/ITGA2/S100A1/KIT/KLF4/NPFF/CCK/ACE/ITPR3/INHBA/PRKG1/CRHBP/AVPR1A/FGF13/CTNNA3/NPPB/IGFBP5/UCN/KCND3/EHD3/APOA1/IRX5/FOXO1/SGK1/NPNT/FLNA/PTAFR/MYOCD/ATP2A1/FBXO32/HRH2/PIK3CG/P2RX3/IL6ST/SPX/WNK3/ATP1A2/CALCRL	74
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	44/1155	224/14586	1.41333119533548e-08	5.01126860974665e-06	4.22299110546104e-06	IL10/FAT1/PCDHGB7/PCDHB1/PCDHGB5/CLDN1/CLSTN2/FGFRL1/PCDHGA7/IGSF9/PCDHGA2/CDH7/CD226/PCDHGA10/PCDH8/CBLN1/PCDHGB4/BMP2/AMIGO2/PCDHGA9/PCDH7/DSG2/CDH19/PCDH15/CDH23/GRID2/PCDH18/CLDN9/CDH13/PCDHA1/FAT3/ADGRL3/DAB1/CDH17/KLF4/CD84/APOA1/TGFBR2/CDH8/PCDHGB1/PTPRT/PCDHGA6/UNC5D/FAT4	44
GO:0015837	amine transport	21/1155	74/14586	1.61058024000041e-07	4.56807815619299e-05	3.84951494819775e-05	NPY5R/ADRA1D/OSR1/SNCG/HRH3/CRH/CHRNA4/HTR2A/CXCL12/ADRA2A/DRD1/CCK/SLC6A1/AVPR1A/HTR1B/P2RY1/DRD4/P2RX7/SLC18A2/RAB3B/ATP1A2	21
GO:0051952	regulation of amine transport	20/1155	68/14586	1.65643446437296e-07	4.56807815619299e-05	3.84951494819775e-05	NPY5R/ADRA1D/OSR1/SNCG/HRH3/CRH/CHRNA4/HTR2A/CXCL12/ADRA2A/DRD1/CCK/SLC6A1/AVPR1A/HTR1B/P2RY1/DRD4/P2RX7/RAB3B/ATP1A2	20
