IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	70/1155	306/14586	2.28381183483795e-16	1.13368419481356e-12	9.55354550699581e-13	THBS2/NOX1/COL6A3/TLL1/COL4A3/COL1A2/THBS4/COL14A1/COL5A1/MADCAM1/FLRT2/MMP14/COL3A1/LUM/FOXC2/DPP4/CTGF/HAS2/TNR/COL2A1/SCUBE1/FERMT1/SPP1/MPZL3/ADAMTS4/COL11A1/COL27A1/ELANE/FBN2/ACAN/ITGA9/HSPG2/GREM1/LAMC2/TNFRSF11B/FBN1/TNC/ITGB3/NID2/ADAM19/DDR2/ITGA1/MFAP5/ITGA4/ITGA2/VCAN/ANTXR1/LAMB3/FN1/COL5A2/CARMIL2/POSTN/PHLDB2/SCUBE3/ITGA8/COL12A1/ADAMTS2/THBS1/PXDN/SULF2/ADAM10/COL8A1/KDR/DCN/NPNT/ITGA11/CYP1B1/CCDC80/LAMA2/LOX	70
GO:0043062	extracellular structure organization	74/1155	351/14586	3.32920107906824e-15	8.26307707824736e-12	6.96328688853536e-12	THBS2/NOX1/COL6A3/TLL1/COL4A3/COL1A2/THBS4/COL14A1/COL5A1/MADCAM1/FLRT2/MMP14/COL3A1/LUM/FOXC2/DPP4/CTGF/HAS2/TNR/COL2A1/SCUBE1/FERMT1/SPP1/MPZL3/ADAMTS4/COL11A1/COL27A1/ELANE/FBN2/ACAN/ITGA9/HSPG2/GREM1/LAMC2/TNFRSF11B/FBN1/TNC/ITGB3/NID2/ADAM19/DDR2/ALB/ITGA1/MFAP5/ITGA4/ITGA2/VCAN/ANTXR1/LAMB3/FN1/COL5A2/CARMIL2/POSTN/PHLDB2/SCUBE3/ITGA8/COL12A1/ADAMTS2/APOA1/THBS1/PXDN/SULF2/ADAM10/COL8A1/KDR/DCN/NPNT/APOC2/ITGA11/CYP1B1/CCDC80/LAMA2/LIPG/LOX	74
GO:0003013	circulatory system process	83/1155	461/14586	7.43541276843747e-13	1.18874473235613e-09	1.00175401127768e-09	NOX1/CACNA2D1/COL4A3/PROKR1/COL1A2/ADRA1A/ACSM3/KCNE1/NPY5R/FOXC2/SEMA3A/ADRA1D/CACNG4/TBX20/THRB/CTGF/CALCA/DES/RYR3/ADM2/NPY6R/MYLK3/TRHDE/F5/SCN1A/GCGR/KCNK1/TCAP/OR51E2/DSG2/AZU1/MYH6/KCNJ3/CRH/MME/UTS2/CYP11B1/HSPB7/EGFR/HTR2A/PDE3A/NPR3/NOS1/INS/SLIT2/CXCL12/ADRA2A/SGCD/MYOF/F2R/DRD1/ITGA1/AR/NPPC/ADRB3/S100A1/NPFF/ACE/ITPR3/POSTN/TEK/PRKG1/AVPR1A/CTNNA3/NPPB/CYSLTR1/PCSK5/UCN/KCND3/EHD3/IRX5/SGK1/HTR1B/FLNA/PTAFR/LNPEP/P2RY1/HTR1D/ATP2A1/HRH2/PIK3CG/SPX/ATP1A2	83
GO:0010469	regulation of signaling receptor activity	76/1155	406/14586	9.5789261269632e-13	1.18874473235613e-09	1.00175401127768e-09	IL10/TNFSF8/THBS4/GPRC5A/CXCL5/TNFSF18/AGRP/WNT8B/BTC/SCT/C1QTNF12/CACNG4/CMTM5/WNT7B/INHBE/IL20/CTGF/CALCA/ADM2/CXCL3/CALCB/CGA/SPP1/BMP2/LHB/EREG/WNT3/CRLF1/VIP/MIA/OGN/CRH/UTS2/LYPD6/GIP/GAL/CNIH2/TNFSF15/GREM1/TNFRSF11B/NOV/FBN1/FGF17/INS/AGER/NETO2/CXCL12/ADRA2A/NPPC/RASGRF1/AMH/MIF/NPFF/CCK/PDGFC/INHBA/CORT/CXCL14/CRHBP/FGF13/NPPB/UCN/VGF/WNT9A/SHISA6/WNT5A/PROK1/PSPN/BMP3/P2RY1/FOXH1/LYPD1/SPX/ANGPTL8/NOG/SCGB3A1	76
GO:0008015	blood circulation	82/1155	457/14586	1.2409301758334e-12	1.2319954785674e-09	1.03820137237094e-09	NOX1/CACNA2D1/COL4A3/PROKR1/COL1A2/ADRA1A/ACSM3/KCNE1/NPY5R/FOXC2/SEMA3A/ADRA1D/CACNG4/TBX20/THRB/CTGF/CALCA/DES/RYR3/ADM2/NPY6R/MYLK3/TRHDE/F5/SCN1A/GCGR/KCNK1/TCAP/OR51E2/DSG2/AZU1/MYH6/KCNJ3/CRH/MME/UTS2/CYP11B1/HSPB7/EGFR/HTR2A/PDE3A/NPR3/NOS1/INS/SLIT2/CXCL12/ADRA2A/SGCD/MYOF/F2R/DRD1/ITGA1/AR/NPPC/ADRB3/S100A1/NPFF/ACE/ITPR3/POSTN/TEK/PRKG1/AVPR1A/CTNNA3/NPPB/PCSK5/UCN/KCND3/EHD3/IRX5/SGK1/HTR1B/FLNA/PTAFR/LNPEP/P2RY1/HTR1D/ATP2A1/HRH2/PIK3CG/SPX/ATP1A2	82
GO:0007187	G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	44/1155	182/14586	1.27332432839716e-11	1.05346366102725e-08	8.87752786149178e-09	S1PR3/AKAP12/ADRA1A/GRM6/ADGRD1/ADRA1D/PTGER1/CALCA/RXFP3/ADM2/LHCGR/FPR2/HRH3/OPRD1/GCGR/GPR26/VIP/MARCO/GPR37/HTR2A/NPR3/NOS1/HTR4/GPR176/GRM4/ADRA2A/GRM1/DRD1/ADCY8/ADRB3/RXFP1/CORT/CYSLTR2/CYSLTR1/HTR1B/FLNA/ADCY5/P2RY1/HTR1D/DRD4/HRH2/GRIK3/GNA11/CALCRL	44
GO:0019233	sensory perception of pain	28/1155	87/14586	5.49032941092575e-11	3.89342788511934e-08	3.28098783143142e-08	IL10/LXN/EPHB1/GRIN1/KCNK4/CALCA/TRPA1/OPRD1/SCN1A/MME/CHRNA4/GIP/HTR2A/NOV/ASIC3/CXCL12/GRM1/F2R/ACPP/ITGA2/NPFF/CCK/POMK/PTAFR/P2RY1/P2RX7/P2RX3/SPX	28
GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	40/1155	166/14586	1.21347636923095e-10	7.52962087107803e-08	6.3452040675313e-08	S1PR3/AKAP12/ADRA1A/GRM6/ADGRD1/ADRA1D/PTGER1/CALCA/RXFP3/ADM2/LHCGR/FPR2/OPRD1/GCGR/GPR26/VIP/MARCO/GPR37/NPR3/NOS1/GPR176/GRM4/ADRA2A/GRM1/DRD1/ADCY8/ADRB3/RXFP1/CORT/CYSLTR2/CYSLTR1/HTR1B/FLNA/ADCY5/P2RY1/HTR1D/DRD4/GRIK3/GNA11/CALCRL	40
GO:0007600	sensory perception	74/1155	434/14586	1.91777781056485e-10	1.05776100573821e-07	8.9137415429061e-08	IL10/LXN/COL4A3/KCNQ4/RBP3/SLC24A2/EPHB1/KCNE1/CRYM/GRM6/LUM/SYT10/VAX2/GRIN1/CNGB1/THRB/KCNK4/GJD2/CALCA/TRPA1/MYO3B/COL2A1/TSPEAR/ATP6V0A4/GABRB2/OPRD1/SCN1A/CHRNA7/COL11A1/OR51E2/RCVRN/SIX6/PCDH15/CDH23/MME/CHRNA4/GIP/HTR2A/EYA3/NOV/CHRNA10/SCNN1D/DRGX/TRPM3/ASIC3/CEMIP/CXCL12/GRM1/PIEZO2/F2R/ACPP/ITGA2/KIT/NPFF/CCK/ITPR3/PRCD/ROR1/UCN/IRX5/HMCN1/SCNN1A/DCDC2/POMK/SNAI2/PTAFR/P2RY1/CYP1B1/SEMA5B/NR2E3/P2RX7/P2RX3/RS1/SPX	74
GO:0008544	epidermis development	52/1155	268/14586	1.0825666636057e-09	5.3738609181387e-07	4.52854728544111e-07	PKP1/PPL/KAZN/DCT/PRSS8/CYP26B1/IL20/CTGF/HPSE/POU2F3/BNC1/HES5/KRTAP5-7/ST14/MSX2/KRTAP5-8/FERMT1/KRT81/EREG/KLK14/DSG2/KDF1/KRT80/KRT71/RBP2/GAL/EGFR/CRABP2/DNASE1L2/LAMC2/FOXQ1/LATS2/SOSTDC1/KLF4/LAMB3/CD109/LRP4/LATS1/INHBA/APCDD1/POU3F1/SULT2B1/ROCK2/IGFBP5/YAP1/SFRP4/FLG/WNT5A/TGM1/KRTAP5-1/MYSM1/UGCG	52
