IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005179	hormone activity	29/1385	74/14941	4.24520284121306e-12	3.90134141107481e-09	3.71343532741901e-09	SST/UCN3/NPPA/NMB/CALCA/HAMP/INHA/SCT/ANGPTL8/TTR/EPO/NPFF/PENK/GPHA2/POMC/GHRL/CORT/UCN2/TG/INHBA/VGF/PYY2/UCN/C1QTNF12/CGB7/GNRH1/UTS2/PMCH/INSL3	29
GO:0048018	receptor ligand activity	73/1385	352/14941	3.05391975420879e-11	1.40327612705894e-08	1.33568806091974e-08	SAA4/SST/UCN3/CLEC11A/LTB/NPPA/PSPN/PF4V1/TFF1/NMB/PGF/CXCL5/NENF/CALCA/NTF4/HAMP/INHA/SCT/CMTM5/IFNE/ANGPTL8/C1QTNF4/CCL21/F2/CTF1/TTR/GDF7/CCL14/CCL15/EPO/MIA/CCL7/NPFF/DKK1/PENK/FLT3LG/GPHA2/POMC/CRLF1/TNFSF15/GHRL/BMP8B/CORT/GDF10/UCN2/TG/INHBA/VGF/BTC/SCGB3A1/TIMP1/PYY2/PROK1/UCN/C1QTNF12/CGB7/GNRH1/NRTN/GMFG/CCL23/WISP3/CSF3/APOA1/GDF5/IL17B/FGF17/UTS2/CCL26/IL32/FAM3D/CCL17/PMCH/INSL3	73
GO:0030545	receptor regulator activity	74/1385	376/14941	2.86916213589052e-10	8.7892000096113e-08	8.36587275412289e-08	SAA4/SST/UCN3/CLEC11A/LTB/NPPA/PSPN/PF4V1/TFF1/NMB/PGF/CXCL5/NENF/CALCA/NTF4/HAMP/INHA/SCT/CMTM5/IFNE/ANGPTL8/C1QTNF4/CCL21/F2/CTF1/TTR/GDF7/CCL14/CCL15/EPO/MIA/CCL7/NPFF/DKK1/PENK/FLT3LG/GPHA2/POMC/CRLF1/TNFSF15/GHRL/BMP8B/CORT/GDF10/UCN2/TG/INHBA/VGF/BTC/SCGB3A1/TIMP1/PYY2/LY6G6D/PROK1/UCN/C1QTNF12/CGB7/GNRH1/NRTN/GMFG/CCL23/WISP3/CSF3/APOA1/GDF5/IL17B/FGF17/UTS2/CCL26/IL32/FAM3D/CCL17/PMCH/INSL3	74
GO:0004930	G-protein coupled receptor activity	60/1385	359/14941	4.72155625128223e-06	0.00108477754873209	0.00103252980126724	ADRB3/GPRC6A/PRLHR/GPR157/OR51T1/ADGRF5/HTR4/GIPR/RAMP1/XCR1/CCR10/NPY4R/GPR63/ADRA1D/S1PR5/CCKAR/ADRA2B/ACKR1/SSTR1/AVPR1A/GPR141/ADGRD2/ADGRB1/HCAR1/CXCR1/GPR75/GNRHR/CHRM3/MTNR1A/AVPR1B/ADGRV1/DRD2/PTAFR/ADGRG2/ADRA2C/ADCYAP1R1/MLNR/SFRP5/GPR174/GRM6/PTH1R/GRPR/OR52R1/RORB/MC1R/SUCNR1/DRD4/ADGRF1/GPR176/TACR2/CYSLTR2/IGF2R/OXER1/CCKBR/CCR8/LPAR3/GRM8/HTR1F/SPHK1/P2RY1	60
GO:0005212	structural constituent of eye lens	7/1385	12/14941	3.01956011082164e-05	0.00554995148369018	0.00528264095177429	CRYBA4/CRYBA2/HSPB6/CRYAB/CRYGS/CRYBB2/CRYBB3	7
GO:0008307	structural constituent of muscle	13/1385	40/14941	3.89585780257218e-05	0.00596715553427305	0.00567975058585523	TPM2/MYL5/MYBPC3/TCAP/SMTN/MYOM3/MYL9/MYLPF/MYOT/MYL3/ANKRD2/CAPN3/ACTN2	13
GO:0031432	titin binding	7/1385	14/14941	0.000110719583692433	0.0135804941511404	0.012926396700759	MYBPC3/TCAP/ANKRD1/ANKRD2/CAPN3/ACTN2/TRIM63	7
GO:0019825	oxygen binding	11/1385	33/14941	0.000118219753219938	0.0135804941511404	0.012926396700759	TH/CYP3A5/CYP2A7/CYP2D6/HBA1/HBE1/MB/ALB/CYP4F12/CYP4B1/HBA2	11
GO:0030414	peptidase inhibitor activity	26/1385	131/14941	0.000149920584203666	0.0145920613858365	0.0138892423247582	SERPINB11/CST5/COL7A1/SPINK1/SERPIND1/PCSK1N/WFDC3/SERPINA4/MT3/SERPINB7/WFDC2/BIRC6/CARD16/CST3/PI16/SERPINC1/CST6/ITIH4/TIMP1/CST1/WFDC1/AMBP/CST4/CSTA/SLPI/ITIH3	26
GO:1901338	catecholamine binding	7/1385	15/14941	0.000191002251497742	0.0153369023331527	0.0145982083945363	ADRB3/TH/ADRA1D/ADRA2B/DRD2/ADRA2C/DRD4	7
GO:0008395	steroid hydroxylase activity	9/1385	25/14941	0.00025487650142068	0.0180178080619696	0.0171499896907356	CYP21A2/CYP2W1/CYP3A5/CYP2A7/CYP2D6/CYP2A6/CYP11A1/CYP7B1/CYP2D7	9
