IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031012	extracellular matrix	167/1608	431/15408	5.67390030324682e-56	3.05823226345004e-53	2.63388424603353e-53	SLIT1/LRRN2/MMP8/ADAMTS10/PTPRZ1/SLITRK5/SLITRK2/LAMA2/MMP1/WNT7A/SLITRK4/COL9A1/CPXM2/IMPG2/COL6A5/CHI3L1/WNT6/VIT/LAMA1/TFPI2/APOE/ANOS1/AMELX/COL6A6/COL4A4/SNORC/CILP2/COL19A1/SLITRK3/COMP/COL2A1/FREM1/COL26A1/KRT1/LUM/CTHRC1/TGFB3/IBSP/COL10A1/FBN2/COL11A1/COL1A1/SLIT2/POSTN/FN1/MFAP5/MATN3/LAMA4/COL5A3/OGN/CDH2/CYR61/NID2/WISP2/AEBP1/TIMP3/MGP/CPA3/ANGPTL4/MMP2/LRRC55/ELN/ASPN/COL21A1/VCAN/TIMP2/ADAMTS6/PTN/MMP9/COL1A2/GPC6/CCDC80/HMCN1/COL4A1/ADAMTS12/ABI3BP/ADAMTS1/MMP14/CPZ/KERA/CCBE1/ADAMTS16/CTSG/COL5A2/DCN/TNC/FBLN2/SFRP2/FBLN1/COL8A1/SPARC/EDIL3/COL5A1/SPOCK1/COL22A1/SERPINF1/MMRN1/ADAMTS2/PCOLCE/LTBP1/EMILIN1/FLRT2/COL16A1/CRTAC1/LTBP2/CD248/BGN/COL6A2/PRELP/MAMDC2/COL3A1/TNN/ECM2/FBN1/CRISPLD2/FBLN5/COL24A1/DPT/ADAMTS3/SLIT3/LRRN3/LRFN5/CTGF/SFRP1/EPYC/COL6A1/NID1/COL14A1/MMP16/CHL1/WISP1/MXRA7/MMP11/EFEMP1/MMP13/THBS1/SERPINE1/LRRC15/ADAMTS5/PXDN/TGFB2/MFAP4/FGF10/CILP/WNT2/FBLN7/SSC5D/ADAMTS4/PODN/WNT9A/COL12A1/RELN/FGF1/SPARCL1/COL8A2/PRG4/LOX/COL6A3/SDC2/ADAMTSL3/GPC3/COL15A1/THBS4/TNXB/OMD/THBS2/COL4A2	167
GO:0005578	proteinaceous extracellular matrix	144/1608	340/15408	5.99921542269851e-54	1.61678855641725e-51	1.39244947442634e-51	SLIT1/LRRN2/MMP8/ADAMTS10/PTPRZ1/SLITRK5/SLITRK2/LAMA2/MMP1/WNT7A/SLITRK4/COL9A1/IMPG2/COL6A5/CHI3L1/WNT6/VIT/LAMA1/TFPI2/ANOS1/AMELX/COL6A6/COL4A4/SNORC/CILP2/COL19A1/SLITRK3/COMP/COL2A1/FREM1/COL26A1/LUM/CTHRC1/COL10A1/FBN2/COL11A1/COL1A1/SLIT2/POSTN/FN1/MFAP5/MATN3/LAMA4/COL5A3/OGN/CYR61/NID2/WISP2/TIMP3/MGP/ANGPTL4/MMP2/LRRC55/ELN/ASPN/COL21A1/VCAN/TIMP2/ADAMTS6/PTN/MMP9/COL1A2/GPC6/CCDC80/HMCN1/COL4A1/ADAMTS12/ABI3BP/ADAMTS1/CPZ/KERA/CCBE1/ADAMTS16/COL5A2/DCN/TNC/FBLN2/FBLN1/COL8A1/SPARC/COL5A1/SPOCK1/COL22A1/SERPINF1/ADAMTS2/LTBP1/EMILIN1/FLRT2/COL16A1/CRTAC1/LTBP2/CD248/BGN/COL6A2/PRELP/MAMDC2/COL3A1/TNN/ECM2/FBN1/CRISPLD2/FBLN5/COL24A1/DPT/ADAMTS3/SLIT3/LRRN3/LRFN5/CTGF/SFRP1/EPYC/COL6A1/NID1/COL14A1/MMP16/CHL1/WISP1/MMP11/EFEMP1/MMP13/ADAMTS5/PXDN/MFAP4/CILP/WNT2/FBLN7/ADAMTS4/PODN/WNT9A/COL12A1/RELN/FGF1/SPARCL1/COL8A2/LOX/COL6A3/ADAMTSL3/GPC3/COL15A1/THBS4/TNXB/OMD/THBS2/COL4A2	144
GO:0005581	collagen trimer	42/1608	80/15408	6.70684672597926e-21	1.20499679510094e-18	1.03779628286205e-18	COL9A1/COL6A5/COL6A6/COL4A4/COL19A1/COL2A1/COL26A1/LUM/CTHRC1/COL10A1/COL11A1/COL1A1/MARCO/COL5A3/C1QTNF7/COLEC12/COL21A1/COL1A2/COL4A1/MSR1/CCBE1/COL5A2/DCN/COL8A1/COL5A1/COL22A1/C1QTNF3/EMILIN1/COL16A1/COL6A2/COL3A1/COL24A1/COL6A1/COL14A1/FCN1/COL12A1/COL8A2/LOX/COL6A3/COL15A1/TNXB/COL4A2	42
GO:0009897	external side of plasma membrane	65/1608	221/15408	3.32763111560683e-15	3.58718634262416e-13	3.08944278312129e-13	CD36/CD69/ICOS/CD209/UMODL1/CD274/KLRD1/IL13/LY6G6C/EPHA5/CXCR5/ASTN1/SCNN1G/LY6G6D/TNFRSF9/THY1/ITGAM/CD33/MS4A2/CCR2/GFRA1/CXCL9/PRND/CXCL12/CD4/ABCA1/ITGA5/IL7R/ITGB2/GPIHBP1/TNF/PDCD1LG2/FGB/HEG1/FCGR2B/GFRA2/ANTXR1/CCR1/IL6ST/IL1R1/VCAM1/LRP2/P2RX7/SELL/CD163/CCR4/FCN1/S1PR1/CCR5/CD28/TLR8/IL2RA/SLC22A11/NLGN1/THBS1/P2RY12/CD86/MS4A1/STAB2/PTPRC/CD80/FCGR3A/ITGAV/KCNJ5/FOLR2	65
GO:0005788	endoplasmic reticulum lumen	69/1608	275/15408	2.36096929920183e-12	2.12093742044965e-10	1.82664466832984e-10	PTGS2/CYP2W1/NOTUM/MTTP/BCHE/WNT7A/COL9A1/WNT6/APOE/AMELX/ERP27/F7/COL4A4/COL19A1/COL2A1/ITIH2/COL26A1/CASQ2/APOA2/COL10A1/P4HA3/COL11A1/COL1A1/PDGFC/FN1/MATN3/COL5A3/MXRA8/ARSI/CDH2/CYR61/COL21A1/VCAN/COL1A2/COL4A1/CD4/COL5A2/TNC/COL8A1/COL5A1/COL22A1/LTBP1/COL16A1/COL6A2/COL3A1/FBN1/COL24A1/EDN1/COL6A1/COL14A1/CP/IGFBP5/THBS1/ADAMTS5/CHRDL1/C3/FSTL1/FMO1/COL12A1/CERCAM/SPARCL1/IL6/COL8A2/COL6A3/SDC2/GPC3/COL15A1/COL4A2/SPP1	69
GO:0098644	complex of collagen trimers	14/1608	20/15408	3.6417499886724e-10	2.80414749127775e-08	2.41505525564591e-08	COL4A4/COL2A1/LUM/COL11A1/COL1A1/COL5A3/COL1A2/COL4A1/COL5A2/COL8A1/COL5A1/COL3A1/TNXB/COL4A2	14
GO:0043235	receptor complex	70/1608	328/15408	3.69759395166935e-09	2.49125392493722e-07	2.14557754300814e-07	GRIK2/CD36/CHRNA3/SHANK1/SLITRK5/MTTP/FGFR3/CHRNE/KLRD1/ITGA8/IMPG2/NTRK1/GRIK5/EPHA5/CR2/ALK/NRP2/ITGA10/FGFR1/LOXL4/TIE1/DDR2/TRPC1/ITGAM/PLXNC1/LY96/ITGA11/TEK/GFRA1/GRIA3/CALCRL/TLR7/ROR2/PDGFRB/EPHA3/CD4/CSF1R/MUSK/ITGA5/ITGB2/KDR/ITGA4/OSMR/EMILIN1/ROR1/NOTCH3/DLG2/PLXNA4/GFRA2/OLR1/IL6ST/APBB1IP/TLR1/PDGFRA/LRP2/LIFR/ITGAX/TRIL/CNIH3/NTRK3/GPR84/NLGN1/GRIN2A/AXL/NRP1/CSF2RB/IL6/FLT4/ITGB3/ITGAV	70
GO:0098552	side of membrane	84/1608	431/15408	9.92704580068118e-09	4.53111936221243e-07	3.90239945070927e-07	CD36/CD69/ICOS/HLA-DQA1/MATK/CD209/UMODL1/CD274/KCNIP1/KLRD1/IL13/BMX/AJAP1/LY6G6C/CNR2/EPHA5/CXCR5/ASTN1/SCNN1G/LY6G6D/TNFRSF9/THY1/ITGAM/ITK/RGS2/CD33/MS4A2/CCR2/GFRA1/CXCL9/PRND/CXCL12/FERMT2/TIAM1/CD4/ABCA1/ITGA5/IL7R/ITGB2/GPIHBP1/TNF/GNG2/PDCD1LG2/GEM/FGB/HEG1/LRRK2/FCGR2B/GFRA2/ANTXR1/CCR1/IL6ST/IL1R1/BTK/GNAO1/VCAM1/LRP2/PKD2/P2RX7/SELL/CD163/CCR4/FCN1/S1PR1/CCR5/RPS26/CD28/TLR8/IL2RA/SLC22A11/NLGN1/THBS1/P2RY12/RGS1/CD86/MS4A1/STAB2/PTPRC/SLA/CD80/FCGR3A/ITGAV/KCNJ5/FOLR2	84
GO:0042383	sarcolemma	35/1608	120/15408	1.00878353147587e-08	4.53111936221243e-07	3.90239945070927e-07	POPDC2/LAMA2/SCN5A/AHNAK2/KCND3/NOS1/SYNM/MYOT/ADRA1A/SGCA/SCN2A/TGFB3/RDX/SLC8A1/STAC/CDH2/ATP2B4/SCN1B/SLC8A3/ANK2/SGCD/BGN/COL6A2/AHNAK/ATP1A2/VCAM1/CACNA2D1/COL6A1/BVES/SGCG/SSPN/SLC27A6/CAV1/COL6A3/KCNJ5	35
GO:0045121	membrane raft	58/1608	286/15408	4.94997017922766e-07	1.90573851900265e-05	1.64130590153338e-05	CD36/PTGS2/CHRNA3/ADD2/KCNE1/SCN5A/KCNA3/NOS1/ADRA1A/CNR1/SGCA/STOML3/RFTN2/THY1/UNC5B/RFTN1/ADCY2/ITGAM/HTR2A/CDH2/TEK/DLC1/ATP2B4/SELE/CD4/ABCA1/PDPN/PTGIS/ITGB2/KDR/ANGPT1/CAVIN2/ANK2/LCP2/TNF/KCND2/TRPC4/CNTN1/KIRREL1/LRRK2/AHNAK/KCNMA1/OLR1/ATP1A2/BTK/TLR1/S1PR1/BVES/PRKAR2B/P2RY12/CLIP3/PTPRC/STOM/BAALC/F2R/CAV1/SULF1/GJA1	58
