IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	40/1484	65/14758	4.07882628156976e-24	2.18473077409294e-21	1.7805932173313e-21	COL9A1/IMPG2/CHI3L1/LAMA1/TFPI2/ANOS1/AMELX/COL4A4/COL19A1/COMP/COL2A1/LUM/FBN2/COL11A1/COL1A1/MFAP5/MATN3/LAMA4/COL5A3/MGP/ELN/VCAN/COL1A2/COL4A1/CD4/COL5A2/FBLN2/FBLN1/COL5A1/EMILIN1/BGN/PRELP/COL3A1/FBN1/COL24A1/COL14A1/PXDN/COL12A1/COL8A2/COL4A2	40
GO:0005539	glycosaminoglycan binding	72/1484	195/14758	4.93167217628202e-24	2.18473077409294e-21	1.7805932173313e-21	TREM2/CXCL13/PLA2G2D/PF4V1/IMPG2/VIT/APOE/ANOS1/CCL7/REG3A/PLA2G5/PF4/COMP/CXCL6/RSPO4/NRP2/FGFR1/SLIT2/POSTN/FN1/GPNMB/COL5A3/CYR61/WISP2/VCAN/PTN/CFH/CCDC80/RSPO2/ABI3BP/ADAMTS1/CTSG/TENM1/DCN/DPYSL3/COL5A1/NLRP3/PCOLCE/LTBP2/BGN/LYVE1/PRELP/ADA2/ECM2/FBN1/CRISPLD2/ADAMTS3/FGF7/CTGF/TNFAIP6/SFRP1/EPYC/SELL/WISP1/SUSD5/CCL8/CHRD/THBS1/ADAMTS5/FGF10/FBLN7/FSTL1/GREM2/FGF1/RSPO1/STAB2/NRP1/LAYN/RSPO3/THBS4/TNXB/THBS2	72
GO:0008201	heparin binding	58/1484	145/14758	1.30757185115982e-21	3.86169553375867e-19	3.14734838559873e-19	CXCL13/PLA2G2D/PF4V1/IMPG2/APOE/ANOS1/CCL7/PLA2G5/PF4/COMP/CXCL6/RSPO4/NRP2/FGFR1/SLIT2/POSTN/FN1/GPNMB/COL5A3/CYR61/WISP2/PTN/CFH/CCDC80/RSPO2/ABI3BP/ADAMTS1/CTSG/TENM1/COL5A1/PCOLCE/LTBP2/PRELP/ADA2/ECM2/FBN1/CRISPLD2/ADAMTS3/FGF7/CTGF/SFRP1/SELL/WISP1/CCL8/CHRD/THBS1/ADAMTS5/FGF10/FBLN7/FSTL1/GREM2/FGF1/RSPO1/NRP1/RSPO3/THBS4/TNXB/THBS2	58
GO:0019838	growth factor binding	50/1484	131/14758	8.67290511518554e-18	1.9210484830136e-15	1.56568760763613e-15	CD36/CD109/CXCL13/FGFR3/SCN5A/NGFR/NTRK1/IL1R2/IL36RN/COL2A1/IGFALS/NRP2/TGFB3/FGFR1/COL1A1/HTRA4/CYR61/WISP2/TEK/IL10RA/PTN/COL1A2/PDGFRB/COL4A1/A2M/CSF1R/KDR/DUSP1/COL5A1/OSMR/LTBP1/LTBP2/COL3A1/IL6ST/IL1R1/CTGF/PDGFRA/LIFR/COL6A1/WISP1/HTRA3/NTRK3/IL2RA/IGFBP5/THBS1/PXDN/NRP1/FLT4/ITGB3/ITGAV	50
GO:0030545	receptor regulator activity	95/1484	382/14758	2.41870342309056e-17	4.28594246571648e-15	3.49311694366342e-15	IL17C/LEP/IL10/CCL14/KCNK3/PYY2/LYNX1/IGF2/HAMP/CXCL13/DKK4/WNT7A/GRP/IL11/CCL13/SEMA3D/PF4V1/IL13/AMELX/TDGF1P3/THPO/CCL7/IL36RN/ADCYAP1/INS-IGF2/IL24/CCL26/PF4/NPY/FGF5/BMP3/FGF19/CXCL6/LY6G6D/SAA2/CCL25/EPO/NRG3/PSPN/SAA4/VIP/TNFSF18/TGFB3/PDGFC/CCL18/GPNMB/UCN/FGF14/OGN/CRLF1/CCL19/CXCL9/CCL21/PTN/CXCL12/IGF1/TNFSF4/TNFSF8/HGF/CORT/SFRP2/TNF/FLRT2/CCL2/ADA2/FBN1/CXCL5/CMTM3/SCT/FGF7/CTGF/PTHLH/EDN1/TNFSF9/GREM1/SEMA3G/EFEMP1/DKK2/CCL8/PXDN/TGFB2/DKK3/VEGFC/FGF10/GDF6/WNT2/GREM2/STC1/WNT9A/FGF1/TNFSF13B/IL6/THBS4/INHBA/SPP1	95
GO:1901681	sulfur compound binding	65/1484	219/14758	3.19872739795785e-16	4.72345412431776e-14	3.84969648245454e-14	CXCL13/PLA2G2D/PF4V1/IMPG2/APOE/ANOS1/CCL7/PLA2G5/PF4/COMP/CXCL6/SOAT2/OGDHL/RSPO4/NRP2/FGFR1/SLIT2/POSTN/FN1/GPNMB/COL5A3/CYR61/WISP2/PTN/CFH/GPC6/CCDC80/RSPO2/ABI3BP/ADAMTS1/CTSG/TENM1/DPYSL3/COL5A1/PCOLCE/LTBP2/PRELP/ADA2/ECM2/FBN1/CRISPLD2/ADAMTS3/SULT1A3/HS3ST5/FGF7/CTGF/SFRP1/SELL/WISP1/CCL8/CHRD/THBS1/ADAMTS5/FGF10/FBLN7/FSTL1/GREM2/FGF1/RSPO1/NRP1/RSPO3/GPC3/THBS4/TNXB/THBS2	65
GO:0048018	receptor ligand activity	89/1484	360/14758	3.78145129094525e-16	4.78623691968213e-14	3.90086554223826e-14	IL17C/LEP/IL10/CCL14/KCNK3/PYY2/IGF2/HAMP/CXCL13/WNT7A/GRP/IL11/CCL13/SEMA3D/PF4V1/IL13/AMELX/TDGF1P3/THPO/CCL7/IL36RN/ADCYAP1/INS-IGF2/IL24/CCL26/PF4/NPY/FGF5/BMP3/FGF19/CXCL6/SAA2/CCL25/EPO/NRG3/PSPN/SAA4/VIP/TNFSF18/TGFB3/PDGFC/CCL18/GPNMB/UCN/FGF14/OGN/CRLF1/CCL19/CXCL9/CCL21/PTN/CXCL12/IGF1/TNFSF4/TNFSF8/HGF/CORT/SFRP2/TNF/FLRT2/CCL2/ADA2/FBN1/CXCL5/CMTM3/SCT/FGF7/CTGF/PTHLH/EDN1/TNFSF9/GREM1/SEMA3G/EFEMP1/CCL8/TGFB2/VEGFC/FGF10/GDF6/WNT2/GREM2/STC1/WNT9A/FGF1/TNFSF13B/IL6/THBS4/INHBA/SPP1	89
GO:0004930	G-protein coupled receptor activity	80/1484	322/14758	9.15543312019012e-15	1.01396421806106e-12	8.26398305322424e-13	TACR1/MRGPRF/RXFP1/AVPR1A/P2RY10/FPR1/SUCNR1/HTR7/GPR174/GALR2/HTR2B/NPY/ADRA1A/FFAR2/CNR1/NLRP6/GCGR/CNR2/ADGRB3/GPR27/MCHR1/CXCR5/GPR25/NPFFR2/HTR4/AGTR1/TAS1R1/CHRM2/FZD10/ADGRF5/SORCS1/ADGRA2/LPAR1/GPR34/HTR2A/SPHK1/CCR2/ADGRD1/RORB/FPR3/GPR141/PTGFR/P2RY14/CALCRL/PDGFRL/GPR88/LPAR4/PDGFRB/C5AR1/SFRP2/CMKLR1/NPR3/SFRP4/ELOVL4/GPR176/C3AR1/CCR1/CCR8/CYSLTR1/SFRP1/GPR183/CX3CR1/GPR85/CCR4/S1PR1/CCR5/ADORA3/GPR84/RGR/GPR1/S1PR3/P2RY12/SORCS2/HRH2/GPR21/FRZB/ADGRL2/F2R/PTGER3/GPR68	80
GO:0005518	collagen binding	26/1484	61/14758	3.48537578030307e-11	3.43115882372057e-09	2.79645355004433e-09	COMP/LUM/ITGA10/DDR2/FN1/COL5A3/NID2/ITGA11/ASPN/MMP9/ABI3BP/CCBE1/DCN/SPARC/PCOLCE/ANTXR1/ECM2/MRC2/NID1/COL14A1/MMP13/THBS1/LRRC15/CTSK/PODN/SPARCL1	26
GO:0005178	integrin binding	37/1484	114/14758	4.5208812450398e-11	4.00550078310526e-09	3.26455214115506e-09	IBSP/THY1/FN1/GPNMB/CYR61/WISP2/FAP/TIMP2/CXCL12/IGF1/ITGA5/MMP14/KDR/LCP1/SFRP2/EDIL3/COL5A1/EMILIN1/COL16A1/COL3A1/TNN/JAM3/ECM2/FBN1/FBLN5/VCAM1/CTGF/WISP1/ADAM23/THBS1/ADAMTS5/S1PR3/FGF1/ITGB3/THBS4/TNXB/ITGAV	37
