IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044449	contractile fiber part	87/2897	201/15425	8.18054456304699e-16	5.26009015403921e-13	4.44332736266552e-13	TNNC1/SCN3B/SYNPO2L/DUSP27/KRT8/ACTN2/MYBPC3/SCN8A/KLHL40/SLC4A1/SCN1A/MYL2/MYH1/ANKRD1/SMPX/JPH1/ITGB1BP2/MYL9/TPM1/CASQ1/NPNT/SLC8A1/JPH2/KLHL41/NEBL/PALLD/SYNE1/ACTA1/FBXL22/FKBP1B/KCNA5/TNNI2/NOS1AP/DMD/ABRA/LDB3/FERMT2/ENO1/LMOD1/SYNE2/KCNN2/KRT19/PPP1R12A/FLNA/PARVB/IGFN1/IDO1/ANK2/FBXO32/TMOD1/NEXN/PDLIM3/MYOM1/MYH3/PPP1R12B/TPM2/DES/TNNT2/FHL5/RYR3/ABCC9/ANK3/TRIM63/ACTN1/MYH11/ADRA1A/VCL/SYNPO2/CACNA1C/LMOD3/CRYAB/ATP2B4/MYO18B/SYNM/ACTC1/RYR2/PGM5/CASQ2/FHOD3/MYBPHL/MYOZ3/DST/CFL2/TCAP/SVIL/KY/TNNI3	87
GO:0031012	extracellular matrix	148/2897	433/15425	9.24433628972499e-15	1.5559756561761e-12	1.31437085796328e-12	WISP3/HAPLN1/COL4A5/PODNL1/NTN3/COL19A1/APOA1/WNT2/AZGP1/SPON2/SNORC/TFF3/LAD1/ANGPTL4/ADAMTS14/FBN3/COMP/MMP16/EPYC/RTBDN/DCN/HMCN1/PODN/COL14A1/S100A7/VWC2/BCAN/ORM1/WNT6/COL6A6/ZPLD1/WNT2B/MMP23B/ACAN/VTN/COL9A1/WNT11/COL22A1/ADAMTS5/DMBT1/COL6A5/SFRP1/LINGO2/NCAN/CPZ/MMP7/CILP2/LRFN5/GPC5/MMP12/PRTN3/SPOCK3/ENAM/CLU/SLPI/NAV2/MAMDC2/MATN2/TGFBI/MMP13/SOD3/IBSP/MMP24/EMILIN3/NPNT/LAMA3/ALPL/OTOA/IMPG2/TIMP1/MMP9/MMP3/CST3/SPARCL1/PHOSPHO1/CLEC3B/FGF9/TINAGL1/NTN4/OGN/ECM1/MMP1/ZP1/S100A9/IL1RL1/WNT5B/CTSD/HPSE2/MFGE8/MMP19/COL21A1/COL4A2/EGFL7/ANXA2/APOE/COL11A1/THSD4/PCOLCE/WISP2/EMILIN1/COL9A3/PI3/SBSPON/TGM4/CD248/NCAM1/MMP15/COL11A2/EDIL3/ACHE/LRRC15/PRG4/FREM2/COL4A6/LRRC55/TFPI2/MYOC/TGFB1I1/LEFTY2/COL10A1/ZP3/ICAM1/MATN1/TGFB1/ADAMTS8/SERPINA1/LOXL1/EFEMP1/LOX/COL28A1/KERA/MMP17/ADAMTS19/SLITRK3/HAPLN2/SLITRK2/COL8A1/SERPINE1/DST/SLITRK1/ANXA2P2/PRELP/MMRN1/WNT4/WNT7B/PRSS36/CFP/SPON1	148
GO:0034703	cation channel complex	82/2897	191/15425	9.67947531058229e-15	1.5559756561761e-12	1.31437085796328e-12	SCN3B/KCNA1/CACNA1A/CACNA2D1/CPT1C/KCNJ4/SCNN1B/SHISA6/KCNT2/KCNG2/VWC2/KCNS2/OLFM2/SCN8A/CACNA1E/ABCC8/SCN1A/KCNF1/SHANK1/GRIN1/SCN2B/KCNA2/LRRC26/KCNB2/KCNS1/KCNAB1/TRDN/GRIK3/PDE4D/CATSPERZ/CACNA2D4/CNTNAP2/SHISA7/CACNB2/FKBP1B/KCNH2/KCNA5/KCNB1/KCNA4/NOS1AP/KCND3/STAC3/KCNN4/CACNB4/GRIN2A/GRIA2/HCN4/KCNIP1/KCNC1/NLGN1/KCND1/KCNC3/RYR3/ABCC9/HSPA2/CATSPER1/LRRC55/CACNA1C/SCN3A/KCNJ3/AKAP6/KCNK6/SNAP25/GRIA3/GRIK5/TRPC4/STX1A/CACNG7/RYR2/KCNQ4/KCNMB1/CASQ2/DLG3/KCNK2/CNIH3/KCNMA1/DPP6/GRIN3B/PKD2L1/ATP2A1/CACNA1H/KCNQ1	82
GO:1990351	transporter complex	105/2897	278/15425	6.07548824973192e-14	4.88317368072203e-12	4.12493675902851e-12	GABRQ/SCN3B/KCNA1/CACNA1A/FXYD2/CACNA2D1/CPT1C/KCNJ4/SCNN1B/SHISA6/ANO1/KCNT2/KCNG2/VWC2/KCNS2/GABRR1/OLFM2/SCN8A/CHRNB2/CACNA1E/ABCC8/SCN1A/CLCNKB/CNGA3/FXYD1/KCNF1/SHANK1/GRIN1/SCN2B/KCNA2/LRRC26/KCNB2/GABRA3/KCNS1/GLRA4/PLN/KCNAB1/TRDN/ATP1B1/ATP1A2/GRIK3/CHRNA9/CLIC1/CHRNA3/PDE4D/CHRNA7/CATSPERZ/CACNA2D4/CNTNAP2/TIMM10/SHISA7/CACNB2/FKBP1B/KCNH2/KCNA5/KCNB1/KCNA4/NOS1AP/KCND3/CLIC3/STAC3/KCNN4/CACNB4/GRIN2A/GRIA2/HCN4/KCNIP1/KCNC1/NLGN1/KCND1/KCNC3/RYR3/ABCC9/HSPA2/CATSPER1/LRRC55/CACNA1C/GABRR2/CHRFAM7A/SCN3A/KCNJ3/AKAP6/KCNK6/SNAP25/GRIA3/GRIK5/TRPC4/TIMM13/STX1A/CACNG7/RYR2/KCNQ4/KCNMB1/CASQ2/DLG3/KCNK2/CNIH3/KCNMA1/DPP6/LRRC8B/GRIN3B/PKD2L1/ATP2A1/CACNA1H/KCNQ1	105
GO:0005578	proteinaceous extracellular matrix	118/2897	342/15425	2.45201421599664e-12	1.43331376444167e-10	1.21075534493231e-10	WISP3/HAPLN1/COL4A5/PODNL1/NTN3/COL19A1/WNT2/SPON2/SNORC/TFF3/LAD1/ANGPTL4/ADAMTS14/FBN3/COMP/MMP16/EPYC/RTBDN/DCN/HMCN1/PODN/COL14A1/VWC2/BCAN/WNT6/COL6A6/ZPLD1/WNT2B/MMP23B/ACAN/VTN/COL9A1/WNT11/COL22A1/ADAMTS5/COL6A5/SFRP1/LINGO2/NCAN/CPZ/MMP7/CILP2/LRFN5/GPC5/MMP12/SPOCK3/ENAM/NAV2/MAMDC2/MATN2/TGFBI/MMP13/MMP24/EMILIN3/NPNT/LAMA3/ALPL/OTOA/IMPG2/TIMP1/MMP9/MMP3/CST3/SPARCL1/PHOSPHO1/FGF9/NTN4/OGN/ECM1/MMP1/ZP1/IL1RL1/WNT5B/HPSE2/MMP19/COL21A1/COL4A2/ANXA2/COL11A1/THSD4/WISP2/EMILIN1/COL9A3/PI3/SBSPON/CD248/COL11A2/ACHE/FREM2/COL4A6/LRRC55/TFPI2/MYOC/COL10A1/ZP3/MATN1/TGFB1/ADAMTS8/SERPINA1/LOXL1/EFEMP1/LOX/COL28A1/KERA/MMP17/ADAMTS19/SLITRK3/HAPLN2/SLITRK2/COL8A1/DST/SLITRK1/ANXA2P2/PRELP/WNT4/WNT7B/PRSS36/SPON1	118
GO:0097060	synaptic membrane	95/2897	286/15425	3.23058339991542e-09	1.59789625088124e-07	1.34978221405373e-07	GABRQ/SH2D5/CHRM3/RAPSN/KCTD8/CLSTN2/DDN/KCNA1/FAIM2/CNKSR2/LRRTM1/DRP2/PCDH8/KCNJ4/SHISA6/GRM8/MUSK/GABRR1/OLFM2/COL13A1/GSG1L/SNCAIP/CHRNB2/GABBR2/DLGAP2/NTRK2/CPZ/SHANK1/LRRTM3/GRIN1/KCNA2/GABRA3/CAMK2A/GLRA4/ADGRB1/CBLN1/SRPX2/KCTD16/GRIK3/TMEM108/SLC8A1/CHRNA9/CHRNA3/CHRNA7/ITGA8/GRIP1/CNR1/SYNE1/SHISA7/PDLIM5/GRM4/KCNB1/DMD/ATP2B2/IGSF9B/PRRT2/TANC1/LRRC4/ANK2/GRM2/GRIN2A/SYT7/GRIA2/FOSL1/NLGN1/P2RY1/KCNC3/ARC/RIMS3/ANK3/NRXN1/GRM1/CAMK2N1/RIMS2/GABRR2/CPEB4/CRYAB/SNAP25/GRIA3/GRIK5/PRR7/ANKS1B/STX1A/CACNG7/SYT11/UNC13C/DLG3/CNIH3/MPP2/KCNMA1/CPE/LRRC7/HOMER3/GRIN3B/P2RX1	95
GO:0031225	anchored component of membrane	49/2897	125/15425	7.6880712692586e-08	3.0896436413333e-06	2.60989787824831e-06	VNN2/LYPD6B/RTBDN/GFRA2/BCAN/GFRA1/XPNPEP2/PKHD1/FOLR3/FOLR1/GPC5/HJV/CNTN6/RAB27B/LY6H/THY1/ALPL/PSCA/OTOA/LYPD1/NTNG2/PRSS21/MSLN/CD55/ART4/CD177/TFPI/PLAUR/ULBP2/VNN1/CPO/FOLR2/NCAM1/ACHE/LY6K/PRSS27/DPEP1/EFNA1/RTN4RL2/SMPDL3B/MMP17/VNN3/CNTN4/RTN4RL1/PRSS8/CD14/SEMA7A/LYNX1/DPEP2	49
GO:0072562	blood microparticle	39/2897	97/15425	7.43636560784443e-07	2.81269593284939e-05	2.37595334591191e-05	TMPRSS13/APOA1/ANGPTL4/CFHR1/ORM1/ITIH1/VTN/JCHAIN/SLC4A1/HBA1/HP/HBE1/C9/ALB/CLU/CLIC1/BCHE/F13A1/ACTG2/ACTA1/ACSM1/ITIH2/C1QB/HSPA7/APOE/A2M/CIB2/FCN3/HSPA2/HSPA6/CPN2/C1QC/TGFB1/ITIH4/ACTC1/ENG/HPR/AGT/CFB	39
GO:0043235	receptor complex	100/2897	340/15425	1.07556791363988e-06	3.84216760261356e-05	3.24557335343963e-05	CD74/SKAP1/GABRQ/APBB1IP/KCTD8/CD3D/CPT1C/IL6ST/SHISA6/ACVR1C/MUSK/GFRA2/FGFR3/FGFR4/VWC2/ITGAD/GABRR1/OLFM2/GFRA1/CHRNB2/ROS1/ADGRV1/RET/GABBR2/EPHA6/NTRK2/SHANK1/FCRL5/GRIN1/HJV/GABRA3/EPHA8/ADRB2/NR3C2/NTRK1/CD4/ADRB3/LMTK2/KCTD16/LY96/VLDLR/NPNT/GRIK3/CHRNA9/IMPG2/CHRNA3/CHRNA7/PLXNB3/ITGA8/CD79A/CR2/RAMP1/PTPN6/SORBS1/SHISA7/EPHB1/PLXNB1/EGF/GPR20/IL6/KLRC2/DAB2/TRAF5/EMILIN1/SYK/NT5DC3/GRIN2A/MTTP/ITGA1/GRIA2/GPR62/IFNLR1/NLGN1/ABCG2/GPR63/CSF1R/ROR1/GRM1/GABRR2/CHRFAM7A/GRIA3/GRIK5/PLXNA4/IL6R/CACNG7/VDR/ITGB2/DLG3/ALK/ENG/ITGAM/CNIH3/GPR84/ITGA7/CD14/MET/GRIN3B/PKD2L1/DDR1/IGF1R	100
GO:0070820	tertiary granule	53/2897	151/15425	1.44009715880493e-06	4.8735919637451e-05	4.11684284733154e-05	FLG2/TBC1D10C/SIGLEC14/TNFAIP6/ORM1/CHIT1/TCN1/HP/FOLR3/OSCAR/DOK3/CD33/PLAU/MMP9/CST3/MCEMP1/ADAM8/CDA/LILRA3/PPBP/CYBB/PTPN6/STBD1/CD55/CTSD/CD177/OLFM4/NFASC/LILRB2/CR1/FPR2/SIRPA/PTX3/SLC11A1/ATAD3B/CYBA/FPR1/FCER1G/CSTB/SNAP25/LAIR1/CXCL1/SLC2A3/TRPM2/ITGB2/CD300A/VAMP8/ITGAM/GPR84/CFP/LRG1/ATP8B4/CLEC5A	53
