IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	53/813	348/14691	1.52486958563837e-11	1.15737601549952e-08	9.72706283049319e-09	CD40LG/TG/CRLF1/CXCL5/ADCYAP1/EDN2/SEMA3A/INS-IGF2/CD70/SEMA3D/CHGB/LEFTY2/LEP/PTN/BTC/NDP/TSLP/TTR/CCL24/CSF3/CXCL6/IL36RN/EPHA7/LHB/UCN2/FLRT2/WNT9A/GDF10/GREM2/FGF14/PXDN/TGFB3/THBS4/CXCL14/IL17B/TNFSF18/CCL20/OGN/FBN1/FNDC5/IGF1/DKK2/KL/SEMA3G/EFEMP1/TNFSF15/PCSK9/INHA/PENK/SFRP2/WNT9B/WNT2/ADM	53
GO:0048018	receptor ligand activity	50/813	327/14691	5.04369807075825e-11	1.4961002195845e-08	1.25738399981722e-08	CD40LG/TG/CRLF1/CXCL5/ADCYAP1/EDN2/SEMA3A/INS-IGF2/CD70/SEMA3D/CHGB/LEFTY2/LEP/PTN/BTC/NDP/TSLP/TTR/CCL24/CSF3/CXCL6/IL36RN/EPHA7/LHB/UCN2/FLRT2/WNT9A/GDF10/GREM2/FGF14/TGFB3/THBS4/CXCL14/IL17B/TNFSF18/CCL20/OGN/FBN1/FNDC5/IGF1/KL/SEMA3G/EFEMP1/TNFSF15/INHA/PENK/SFRP2/WNT9B/WNT2/ADM	50
GO:0015267	channel activity	54/813	375/14691	8.68323598060235e-11	1.4961002195845e-08	1.25738399981722e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/AQP7P3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/AQP7/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/AQP3/GABRA2/AQP5/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GJA1/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	54
GO:0022803	passive transmembrane transporter activity	54/813	375/14691	8.68323598060235e-11	1.4961002195845e-08	1.25738399981722e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/AQP7P3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/AQP7/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/AQP3/GABRA2/AQP5/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GJA1/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	54
GO:0022838	substrate-specific channel activity	52/813	356/14691	1.15523905179792e-10	1.4961002195845e-08	1.25738399981722e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/AQP7/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/AQP3/GABRA2/AQP5/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	52
GO:0005261	cation channel activity	43/813	262/14691	1.18268792062016e-10	1.4961002195845e-08	1.25738399981722e-08	GRIA3/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/SCN2B/KCND3	43
GO:0005539	glycosaminoglycan binding	34/813	177/14691	1.47492069592053e-10	1.59923544029098e-08	1.34406307026743e-08	TMEM184A/MMP7/PTN/REG3G/EPYC/RNASE7/CXCL6/TNXB/GREM2/VCAN/FGFR2/SLIT2/ADAMTS8/ABI3BP/LTBP2/LTF/WISP1/THBS4/DCN/VIT/COL5A1/NDNF/CCDC80/SMOC2/STAB2/FBN1/CHRD/COMP/POSTN/ADAMTS15/SELP/RSPO1/LYVE1/ECM2	34
GO:0005216	ion channel activity	49/813	348/14691	1.43855730937063e-09	1.36483124726538e-07	1.14706017036658e-07	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/GABRA2/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	49
GO:0046873	metal ion transmembrane transporter activity	52/813	390/14691	3.12801542003107e-09	2.63795967089287e-07	2.21704952577641e-07	SLC39A2/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/SLC9A3/SLC13A5/KCNK10/KCNIP1/CACNG4/GRIK3/SLC24A2/KCNJ4/CACNA1B/SLC5A1/ATP12A/TRPC3/CACNA1G/KCND2/KCNA1/HCN2/SLC1A2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/SLC9A2/ATP1A2/SLC1A7/SLC10A6/SLC30A8/TRPV6/SLC13A3/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/SLC34A2/SCN2B/KCND3	52
GO:0005244	voltage-gated ion channel activity	30/813	162/14691	4.40930361246001e-09	3.04241949259741e-07	2.55697415229739e-07	CLCNKA/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/KCNJ4/CACNA1B/CACNA1G/KCND2/KCNA1/HCN2/KCNA2/SCN4A/KCNJ5/LRRC55/ANO1/CACNA1I/HCN1/SCN7A/CACNA2D1/SCN5A/GRIN2D/KCNB1/CLIC6/SCN2B/KCND3	30
GO:0022832	voltage-gated channel activity	30/813	162/14691	4.40930361246001e-09	3.04241949259741e-07	2.55697415229739e-07	CLCNKA/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/KCNJ4/CACNA1B/CACNA1G/KCND2/KCNA1/HCN2/KCNA2/SCN4A/KCNJ5/LRRC55/ANO1/CACNA1I/HCN1/SCN7A/CACNA2D1/SCN5A/GRIN2D/KCNB1/CLIC6/SCN2B/KCND3	30
GO:0004714	transmembrane receptor protein tyrosine kinase activity	18/813	64/14691	6.35484703241787e-09	4.0194407480043e-07	3.37810289618003e-07	ERBB4/EPHA7/KDR/FGFR2/TEK/EPHB6/PDGFRB/EPHA8/EPHA3/NTRK3/INSRR/PDGFRL/EPHA6/NTRK2/PDGFRA/EFEMP1/ROR2/FGFR3	18
GO:0008201	heparin binding	26/813	131/14691	1.05828947214966e-08	6.17878237970454e-07	5.19290218722828e-07	TMEM184A/MMP7/PTN/CXCL6/TNXB/GREM2/FGFR2/SLIT2/ADAMTS8/ABI3BP/LTBP2/LTF/WISP1/THBS4/COL5A1/NDNF/CCDC80/SMOC2/FBN1/CHRD/COMP/POSTN/ADAMTS15/SELP/RSPO1/ECM2	26
GO:0022839	ion gated channel activity	40/813	271/14691	1.2437150309816e-08	6.74271220367884e-07	5.66685194567558e-07	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/KCNJ4/CACNA1B/CACNA1G/KCND2/KCNA1/HCN2/KCNA2/SCN4A/KCNJ5/LRRC55/GABRA2/ANO1/CACNA1I/HCN1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/KCND3	40
GO:0022836	gated channel activity	40/813	274/14691	1.70590776100606e-08	8.63189327069066e-07	7.25459721522577e-07	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/KCNJ4/CACNA1B/CACNA1G/KCND2/KCNA1/HCN2/KCNA2/SCN4A/KCNJ5/LRRC55/GABRA2/ANO1/CACNA1I/HCN1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/KCND3	40
