IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04974	Protein digestion and absorption	20/369	76/6159	1.0454570679305e-08	2.65546095254347e-06	2.41005366186084e-06	1288/6550/1308/2006/1281/1293/7512/7373/477/1277/256076/81578/1289/6564/1300/1358/1278/1359/131873/1303	20
hsa04512	ECM-receptor interaction	19/369	79/6159	1.19137229803473e-07	1.49777782070533e-05	1.35935906645034e-05	1288/3694/948/7148/7060/22801/63923/1293/1277/3672/256076/3908/8516/5649/1311/1278/7450/131873/9899	19
hsa04080	Neuroactive ligand-receptor interaction	31/369	188/6159	1.76902892209291e-07	1.49777782070533e-05	1.35935906645034e-05	2892/1269/2903/3952/2904/3356/2899/2890/3972/2918/6751/2846/117/5733/2555/2740/552/6869/3362/5737/7068/187/150/2900/4886/2151/185/2906/5618/148/2894	31
hsa04060	Cytokine-cytokine receptor interaction	29/369	234/6159	0.000130934669248652	0.00831435149728943	0.00754597172775128	959/6374/1237/970/3952/8808/85480/6369/1440/6372/26525/3572/2662/2829/7043/1235/9547/8792/27190/8995/6364/51554/1233/10913/9966/3623/5618/3568/53832	29
hsa05414	Dilated cardiomyopathy (DCM)	14/369	78/6159	0.000181971293422465	0.00924414170586124	0.00838983437042524	3694/27092/111/7043/22801/3672/3908/8516/1674/3479/781/70/5350/7134	14
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	12/369	63/6159	0.000294801387693574	0.0124799254123613	0.0113265796324373	3694/27092/1832/22801/3672/3908/8516/1674/781/2697/5318/1824	12
hsa04151	PI3K-Akt signaling pathway	33/369	310/6159	0.000796361955055794	0.0288965623691674	0.0262260553619878	2066/5105/1288/3694/1440/3791/7148/2263/7060/22801/2846/63923/1293/7010/1277/3672/256076/5294/5159/3908/8516/5649/1311/3479/4915/5156/1278/9586/7450/131873/5618/2261/5522	33
hsa05410	Hypertrophic cardiomyopathy (HCM)	12/369	72/6159	0.00104152896511324	0.0298060558592946	0.027051497029364	3694/27092/7043/22801/3672/3908/8516/1674/3479/781/70/7134	12
hsa00830	Retinol metabolism	8/369	36/6159	0.00105612008950257	0.0298060558592946	0.027051497029364	125/126/195814/53630/8854/10170/6121/316	8
hsa05033	Nicotine addiction	7/369	29/6159	0.00129348147143326	0.0328544293744047	0.0298181518151456	2892/2903/2904/2890/774/2555/2906	7
hsa04713	Circadian entrainment	13/369	86/6159	0.00166034979475609	0.0383389861698225	0.0347958473733573	2892/2903/2904/810/2890/8913/2982/111/3762/2977/117/8911/2906	13
hsa04970	Salivary secretion	12/369	78/6159	0.00212823399592862	0.0450476195804892	0.0408844951849446	1755/810/2982/111/2977/477/362/55503/1470/276/5555/148	12
