IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0004930	G-protein coupled receptor activity	158/2750	372/15201	1.7168096380494e-28	1.75457945008649e-25	1.4457344320416e-25	ADGRE3/LPAR3/ADGRG7/OR7D2/SORCS3/GPR87/NPSR1/CCKBR/OPRD1/GPR173/GPR34/ADCYAP1R1/OR2A1/GRPR/CYSLTR1/GPR142/NMUR1/APLNR/PDGFRL/OPRL1/MC2R/ADRA1A/SORCS2/CNR1/GPR182/RAMP3/OR56B1/SUCNR1/ADGRD1/CNR2/HCRTR1/ADGRL2/AGTR1/CALCRL/GALR1/CHRM4/FZD4/ADRB3/PTGER3/EDNRA/FRZB/GPR88/SFRP4/CCR7/GPR52/SFRP2/SCTR/ACKR1/GABBR1/GPR146/ADGRB3/GPER1/GPR26/FPR1/ADRB2/ADORA3/HTR2B/GPR21/F2RL2/LPAR4/RORB/CCKAR/MTNR1A/PTGDR/NPY/HRH2/XCR1/DRD5/AVPR1A/GABBR2/ACKR3/HTR7/GRM6/PTH1R/CYSLTR2/P2RY8/TACR2/PTGIR/S1PR1/GRM5/FFAR3/GRM7/GPR20/GPR176/OR2C1/CRHR2/PTGFR/NPR1/OXTR/CX3CR1/CXCR2/FZD1/GPR1/NPY1R/HTR1F/MC5R/MRGPRE/CCR2/GLP1R/TBXA2R/NPY5R/AVPR2/CHRM2/ADRA1D/ADGRA2/SFRP1/CXCR4/GPR31/ADGRB1/GPR17/F2RL3/PTGER1/ADGRL4/MRGPRF/GPR62/P2RY10/ELOVL4/P2RY14/LHCGR/VIPR2/SSTR3/P2RY1/BDKRB1/TACR1/P2RY12/OR52N4/GPR15/GP1BA/PDGFRB/GPR135/SMO/GPR162/GRIK3/ADGRB2/OPN1SW/CCR4/ADGRL3/SSTR2/PRLHR/NPR3/CXCR5/ADGRE1/OR13A1/GPBAR1/GLP2R/MLNR/HTR2A/SORCS1/FZD7/F2R/RAMP2/GPR68/GPR183/ADGRG4/S1PR3/OR51E2/TAAR1/LPAR1	158
GO:0030545	receptor regulator activity	150/2750	406/15201	6.34705746125826e-20	3.24334636270297e-17	2.67244524684558e-17	ANGPT4/SAA1/IL24/WNT3A/IL13/ADH7/REG1A/IFNE/C10orf99/IL36RN/GDF6/CRLF1/PENK/UTS2B/CLEC12B/GREM2/SEMA3G/TIMP1/GDF7/TNFSF12/TNFSF9/GPNMB/SCG2/PDGFD/FGF1/UCN3/TSLP/GDF1/FBN1/SEMA3A/PCSK9/PDGFC/CXCL10/GDF10/LEP/FGF5/FNDC5/DKK3/WNT9A/IL34/CXCL11/SEMA3E/ADIPOQ/FGF8/GDF5/AGT/NGF/CCL20/SEMA3D/IL17B/SFRP2/IL17F/DAND5/FGF7/RETN/CCL19/WNT7A/NRG2/CMTM8/IFNG/TDGF1/PXDN/PROK1/WNT9B/AMH/CXCL12/IL17A/NPY/VIP/CCL14/CCL28/PTN/SEMA3C/CCL16/FLRT2/GREM1/IL23A/C1QTNF4/CXCL2/TGFB3/KL/FGF13/PNOC/NOV/LEFTY2/BMP3/CMTM5/NRG3/CTF1/THPO/FGF14/SCT/FGF2/THBS4/PPBP/NTF4/HGF/NPPC/CTGF/CXCL5/VEGFC/POMC/DKK2/OGN/PRL/IGF1/IL12B/LYNX1/WFIKKN2/PTHLH/INHBA/EFEMP1/IL16/IL33/CARTPT/ENDOU/CXCL1/VEGFD/GDNF/IL6/GHRL/PYY/GRP/HAMP/TFF1/TDGF1P3/SAA4/CCL2/TNFSF18/CXCL3/GDF3/SAA2/KCNK3/MAPT/CCL21/CCL11/CLEC11A/SST/CMTM3/FGF10/DKK4/CXCL13/EPHA7/TNFSF8/TNFSF4/IGF2/IL17C/ADCYAP1/VSTM1/HDGFL3	150
GO:0005261	cation channel activity	116/2750	285/15201	1.98848544807766e-19	6.77410709311789e-17	5.5817135384636e-17	CHRNA4/NOX5/TRPC3/KCNA5/ITPR1/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/KCNB1/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/KCNN3/CHRNB2/TRPC4/GRIA1/LRRC55/GPM6A/KCNAB1/KCNA6/KCNA4/KCNJ12/IL1RAPL1/DENND5A/KCNQ4/JPH4/KCNC1/NALCN/TRPC1/GRIK5/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/SLC24A2/CACNG4/CACNA1H/GRIK2/KCNQ5/PKD2/P2RX7/KCNQ1/P2RX2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/P2RX1/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B	116
GO:0005539	glycosaminoglycan binding	91/2750	204/15201	1.34846049263066e-18	3.09358262823768e-16	2.54904326149979e-16	REG3A/SAA1/AZU1/REG1A/APOB/EPYC/LPA/HMMR/LTBP2/ADAMTS8/CCDC80/GREM2/NDNF/GPNMB/LYVE1/FGF1/POSTN/RSPO1/APOH/FBN1/BGN/CXCL10/PLA2G5/VIT/CHRD/CXCL11/DCN/CEL/SELL/FGF7/PRNP/FGFR1/COL25A1/SLIT2/FBLN7/ADAMTS1/ADAMTS3/PTN/STAB2/NLRP3/VCAN/SMOC2/WISP1/RSPO2/NOV/SELP/FGF2/THBS4/NRP1/STAB1/CTGF/ECM2/RSPO3/CRISPLD2/NRP2/CFH/WISP2/ENG/TNXB/ADAMTS15/SFRP1/ADAMTS5/COMP/PCOLCE2/ELANE/LTBP4/LPL/THBS2/PTPRS/DPYSL3/CTSG/IMPG2/PRELP/THBS3/FSTL1/LAYN/CLEC3B/CYR61/THBS1/SERPINE2/FGF10/TGFBR3/CXCL13/SUSD5/SOD3/SPOCK3/COL5A1/ABI3BP/PCOLCE/ANOS1/FN1	91
GO:0048018	receptor ligand activity	140/2750	380/15201	1.5134944365155e-18	3.09358262823768e-16	2.54904326149979e-16	SAA1/IL24/WNT3A/IL13/REG1A/IFNE/C10orf99/IL36RN/GDF6/CRLF1/PENK/UTS2B/GREM2/SEMA3G/TIMP1/GDF7/TNFSF12/TNFSF9/GPNMB/SCG2/PDGFD/FGF1/UCN3/TSLP/GDF1/FBN1/SEMA3A/PDGFC/CXCL10/GDF10/LEP/FGF5/FNDC5/WNT9A/IL34/CXCL11/SEMA3E/ADIPOQ/FGF8/GDF5/AGT/NGF/CCL20/SEMA3D/IL17B/SFRP2/IL17F/DAND5/FGF7/RETN/CCL19/WNT7A/NRG2/CMTM8/IFNG/TDGF1/PROK1/WNT9B/AMH/CXCL12/IL17A/NPY/VIP/CCL14/CCL28/PTN/SEMA3C/CCL16/FLRT2/GREM1/IL23A/C1QTNF4/CXCL2/TGFB3/KL/FGF13/PNOC/NOV/LEFTY2/BMP3/CMTM5/NRG3/CTF1/THPO/FGF14/SCT/FGF2/THBS4/PPBP/NTF4/HGF/NPPC/CTGF/CXCL5/VEGFC/POMC/OGN/PRL/IGF1/IL12B/PTHLH/INHBA/EFEMP1/IL16/IL33/CARTPT/ENDOU/CXCL1/VEGFD/GDNF/IL6/GHRL/PYY/GRP/HAMP/TFF1/TDGF1P3/SAA4/CCL2/TNFSF18/CXCL3/GDF3/SAA2/KCNK3/MAPT/CCL21/CCL11/CLEC11A/SST/CMTM3/FGF10/CXCL13/EPHA7/TNFSF8/TNFSF4/IGF2/IL17C/ADCYAP1/VSTM1/HDGFL3	140
GO:0022803	passive transmembrane transporter activity	146/2750	413/15201	1.95165258307371e-17	2.2162099332237e-15	1.82610768006896e-15	CHRNA4/NOX5/BEST2/GABRA2/CLCA2/TRPC3/KCNA5/BCL2/ITPR1/CLIC4/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/AQP4/KCNB1/SLC26A10/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/TRPC4/GRID1/GJA5/FXYD7/GRIA1/LRRC55/GJC1/GPM6A/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/DENND5A/FXYD6/KCNQ4/GLRA2/JPH4/KCNC1/NALCN/TRPC1/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/FXYD1/SLC24A2/CACNG4/GJA3/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/SLC14A1/GABRG2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/GJA1/KCNK3/KCNMA1/AQP12B/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/SLC26A7/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B/DLG4	146
GO:0008201	heparin binding	72/2750	150/15201	4.11435204885869e-17	4.20486779393358e-15	3.46471751482837e-15	SAA1/AZU1/APOB/LPA/LTBP2/ADAMTS8/CCDC80/GREM2/NDNF/GPNMB/FGF1/POSTN/RSPO1/APOH/FBN1/CXCL10/PLA2G5/CHRD/CXCL11/CEL/SELL/FGF7/FGFR1/COL25A1/SLIT2/FBLN7/ADAMTS1/ADAMTS3/PTN/SMOC2/WISP1/RSPO2/NOV/SELP/FGF2/THBS4/NRP1/CTGF/ECM2/RSPO3/CRISPLD2/NRP2/CFH/WISP2/TNXB/ADAMTS15/SFRP1/ADAMTS5/COMP/PCOLCE2/ELANE/LPL/THBS2/PTPRS/CTSG/IMPG2/PRELP/THBS3/FSTL1/CLEC3B/CYR61/THBS1/SERPINE2/FGF10/TGFBR3/CXCL13/SOD3/COL5A1/ABI3BP/PCOLCE/ANOS1/FN1	72
GO:0005201	extracellular matrix structural constituent	42/2750	68/15201	1.51037414522295e-15	1.40327488765259e-13	1.15626728820896e-13	COL9A1/COL2A1/ENAM/LUM/EFEMP2/COL24A1/FBN1/COL4A4/BGN/COL8A2/MATN3/COL3A1/EMILIN1/PXDN/TFPI2/VCAN/COL5A2/COL1A2/ELN/COL9A2/COL19A1/MGP/COL1A1/LAMA1/COL4A2/COL4A3/FBLN2/MFAP5/COMP/IMPG2/PRELP/LAMC1/COL14A1/LAMA4/FBLN1/COL12A1/COL4A6/COL4A5/COL5A1/FBN3/ANOS1/TECTA	42
GO:0005178	integrin binding	54/2750	117/15201	2.52721476056437e-12	1.61425842831049e-10	1.33011303187598e-10	ADAMTS8/GPNMB/FGF1/JAM3/ACTN1/TIMP2/EDIL3/TNN/FBN1/TLN1/FCER2/VCAM1/MFGE8/UTRN/SFRP2/COL3A1/EMILIN1/CXCL12/ADAM23/WISP1/NOV/FGF2/THBS4/VWF/CTGF/ECM2/IGF1/MADCAM1/FAP/THY1/WISP2/LAMB2/GFAP/TNXB/ADAMTS5/COL4A3/ACTN2/TSPAN4/LTBP4/COL16A1/TGFBI/ITGA5/ILK/ITGB1BP2/ITGB3/FBLN5/CYR61/THBS1/COL5A1/ACTN3/ADAM22/S1PR3/FN1/DST	54
GO:0046873	metal ion transmembrane transporter activity	133/2750	419/15201	5.47809209136789e-12	3.29330006904587e-10	2.71360598953208e-10	ATP4B/SLC39A2/SLC6A15/SLC9A3/TF/SLC10A2/TRPC3/KCNA5/ITPR1/KCNIP3/KCNA3/ATP1B2/GRIN2A/KCNT2/TRPC5/SLC5A7/KCNIP2/SLC4A11/KCNA2/PKD1L1/SLC8A2/CACNB2/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/ATP2B3/KCNB1/KCNS3/RYR2/KCNJ8/CACNG1/CACNA1B/KCNJ5/SLC9A2/JPH3/SCN3B/JPH2/SLC24A5/KCND1/SLC6A17/KCNH6/SLC12A3/CACNA1G/CACNA2D2/SLC8A3/SCN11A/CNGA3/KCNIP1/SLC9A9/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/KCNN3/TRPC4/ATP2B2/SLC6A2/LRRC55/SLC6A14/GPM6A/SLC4A3/KCNAB1/KCNA6/KCNA4/KCNJ12/IL1RAPL1/DENND5A/ATP1A2/KCNQ4/SLC8A1/JPH4/KCNC1/SLC10A4/NALCN/TRPC1/GRIK5/SCNN1B/SCN4A/RYR3/ATP2A1/PDE2A/KCNK4/SLC10A6/SLC1A2/RYR1/KCNG1/SCN3A/SLC24A2/CACNG4/NIPAL4/ATP1A4/ATP2B4/CACNA1H/GRIK2/KCNQ5/PKD2/KCNQ1/SLC6A16/KCNK2/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/KCNK3/TUSC3/SLC6A1/KCNMA1/ATP4A/SLC28A2/ABCC9/KCNA1/SLC30A8/KCND2/SLC5A4/KCNMB2/SLC24A3/CACNA2D1/SCN1B	133
