IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	108/1153	225/6411	7.18027587175712e-26	2.21870524437295e-23	1.82152261588786e-23	1137/23566/2555/887/4985/117/5646/5644/2925/10800/10316/2903/1143/187/4987/4158/148/1268/9127/2897/1269/3061/3952/185/10203/2587/1132/155/5733/1909/8973/6344/2891/2550/1136/2357/154/140/3357/2151/2846/886/4543/5729/3274/1816/552/9568/3363/2916/5745/57105/286530/1141/6865/5739/1901/2894/2915/2890/2917/1395/5737/5021/4886/5617/3355/4161/2742/2690/2740/6915/4889/554/1129/2901/146/2892/9002/5731/27334/9934/3973/2908/7434/6753/5028/623/6869/1511/2898/5027/22953/2558/3953/2743/2566/2899/6752/2834/9340/2862/3356/2149/5023/1903/134864/1902	108
hsa04512	ECM-receptor interaction	48/1153	80/6411	4.24307752157115e-17	6.55555477082742e-15	5.38200885630866e-15	1297/1280/3161/9899/3371/3339/131873/8515/63923/1286/1291/948/1293/22798/7143/3679/1292/8516/9900/22987/1278/5649/7060/7450/1298/1277/284217/22801/3913/7148/1284/1285/3672/1311/7058/3678/256076/7059/2811/3915/3910/3908/3690/7057/1288/1287/3680/2335	48
hsa04020	Calcium signaling pathway	75/1153	171/6411	1.70662157415901e-15	1.75782022138378e-13	1.44314315569236e-13	810/887/51806/3708/2925/10800/2903/91807/148/196883/6543/9127/2066/185/3706/492/3707/155/5733/1909/84812/6262/774/8913/6547/154/3357/886/108/3274/1816/775/552/3363/57105/6865/491/2915/5260/814/5737/5021/6546/5567/6915/1129/4638/146/5350/4842/6263/5156/487/5579/7852/5731/6261/3973/2064/5153/493/623/6869/8912/5027/22953/815/5159/5136/2774/3356/2149/5023/5137/4843	75
hsa04974	Protein digestion and absorption	43/1153	84/6411	3.67265875785859e-12	2.83712889044576e-10	2.32923884379979e-10	1297/6550/1280/5646/5644/482/1360/131873/6543/255631/1286/1291/1293/1281/1300/6547/5222/643847/1292/1290/1278/2006/1359/1298/477/6546/1277/1294/1284/1285/1358/480/256076/3784/7373/1303/1288/1287/1289/643834/6510/81578/1306	43
hsa04510	Focal adhesion	69/1153	194/6411	2.38233495129626e-09	1.47228299990109e-07	1.20872152265768e-07	1297/1280/596/857/4660/3371/91807/80310/5063/131873/87/8515/63923/1286/7094/56034/1291/7414/1293/10398/22798/7143/3679/2316/1292/8516/1278/5602/5649/7060/7450/1298/3082/7424/3479/1277/284217/22801/3913/7148/4638/1284/5156/5579/1285/3672/2277/1311/10000/55742/2064/7058/3678/256076/7059/3611/5159/3915/5293/3910/3908/3690/7057/399694/1288/1287/3680/2318/2335	69
hsa04060	Cytokine-cytokine receptor interaction	84/1153	256/6411	3.88080477818147e-09	1.99861446076346e-07	1.64083149393287e-07	11009/3596/338376/26525/392255/1438/60401/3575/3587/151449/8742/8744/658/85480/64109/2657/3627/2662/3952/146433/6373/3554/8200/8771/4803/1236/6364/133396/27190/112744/6363/115650/1439/3458/3563/268/1436/6387/3605/2829/6358/10913/56477/6360/3572/57007/51561/2920/7043/651/1489/7066/4804/3977/5473/6374/1524/3579/5617/3593/729230/2690/3624/3603/90865/2919/7852/3569/23495/3590/3568/3953/6347/8995/2921/9573/1233/6366/6356/643/10563/944/7292/27189	84
hsa04151	PI3K-Akt signaling pathway	99/1153	323/6411	9.07763170685684e-09	4.00712599631252e-07	3.2897883328609e-07	1297/51378/23566/2998/1280/2788/596/3575/8115/3371/5521/9863/80310/2246/131873/8515/63923/1286/2066/56034/1291/2250/2791/2253/1293/4803/284/2252/22798/7143/5294/5563/3679/2260/3563/2846/1436/1292/2322/8516/4914/1278/1978/5649/4804/2247/7060/7450/1298/4909/930/3082/7424/54331/5617/3479/1277/2690/284217/22801/3913/7148/1129/1284/5156/1285/3672/2277/5523/1311/10000/3569/23533/59345/2064/7058/1944/3678/4602/7010/256076/7059/5159/3915/5293/3910/3908/3690/7057/1288/2255/1287/9134/2149/3680/3815/3481/2335/1902	99
hsa05414	Dilated cardiomyopathy (DCM)	35/1153	79/6411	4.7864484125166e-08	1.84876569933454e-06	1.51780798344276e-06	196883/783/8515/4634/6262/786/6442/3679/9254/108/775/8516/7043/7137/3479/6444/6546/5567/111/7168/22801/5350/3672/27092/3678/7169/3908/55799/3690/1756/6445/70/3680/1674/781	35
hsa05410	Hypertrophic cardiomyopathy (HCM)	32/1153	74/6411	3.56206966545613e-07	1.2229772518066e-05	1.00404536768997e-05	783/8515/4634/6262/786/6442/5563/3679/9254/775/8516/7043/7137/3479/6444/6546/7168/22801/3672/3569/27092/3678/7169/3908/55799/3690/1756/6445/70/3680/1674/781	32
hsa04270	Vascular smooth muscle contraction	42/1153	112/6411	6.6784039731432e-07	2.06362682770125e-05	1.69420563950264e-05	810/51806/3708/4660/8605/94274/91807/148/2983/10268/196883/3779/5322/185/800/10203/1909/10398/2982/10335/108/775/552/5739/72/4881/5567/111/4638/146/5579/5592/4629/2977/5319/5320/59/50487/3778/10266/10242/4882	42
hsa04610	Complement and coagulation cascades	31/1153	73/6411	8.80143174897982e-07	2.47240219130433e-05	2.02980387703745e-05	722/1675/2161/5627/720/710/2151/2162/716/3684/2/733/7450/11326/3075/715/718/9002/7056/730/1380/2243/623/5054/1191/5648/1378/731/2149/629/2157	31
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	29/1153	67/6411	1.23014172173932e-06	3.06920870761687e-05	2.51977277647987e-05	83439/783/8515/6262/786/6442/3679/9254/775/3728/8516/6444/6546/22801/29119/3672/88/27092/3678/3908/55799/3690/1756/6445/2697/89/3680/1674/781	29
hsa04713	Circadian entrainment	36/1153	92/6411	1.29125285433719e-06	3.06920870761687e-05	2.51977277647987e-05	810/51806/117/2788/3708/2903/2983/196883/2770/2791/6262/2891/3762/2982/5187/51655/8913/4543/108/775/2890/54331/2775/5567/111/4842/6263/5579/2892/5592/6261/59345/2977/8912/815/3763	36
hsa04514	Cell adhesion molecules (CAMs)	47/1153	135/6411	1.77506526170315e-06	3.91782261333052e-05	3.21647163962751e-05	51208/22829/57502/83700/4359/6614/7412/4099/5010/6402/5797/23114/7122/9379/8506/1003/64101/8516/5175/1462/6383/57555/3684/6403/9378/4684/58494/57689/257194/8174/84628/22854/57863/1272/940/94030/54413/22871/9369/6900/947/9672/933/3680/1002/6401/4685	47
hsa04740	Olfactory transduction	25/1153	56/6411	3.37061215209222e-06	6.82030531922357e-05	5.59936495293095e-05	810/162998/51806/2788/346528/387748/6543/6547/1261/4993/5997/6546/5567/5592/5138/5153/83988/390072/815/123041/5136/2774/79290/5137/81285	25
hsa04022	cGMP-PKG signaling pathway	51/1153	154/6411	3.53154967985687e-06	6.82030531922357e-05	5.59936495293095e-05	810/4985/51806/3708/482/91807/148/2983/196883/8471/6543/3779/2770/185/492/4776/155/1909/10398/3764/2982/5294/5139/6547/154/140/10335/108/775/491/4881/5997/477/6546/111/4638/146/5350/487/5592/5138/10000/23533/480/493/2977/8654/4208/3778/10242/4882	51
hsa04261	Adrenergic signaling in cardiomyocytes	45/1153	132/6411	5.58657353016648e-06	0.000101544189460085	8.33662056204409e-05	810/51806/596/5502/482/5521/148/196883/783/4634/2770/185/492/6262/786/5294/9254/154/108/775/491/7137/477/6546/5567/4635/111/7168/146/5350/5523/10000/23533/27092/480/493/3784/7169/815/55799/6332/6330/70/781/6324	45
hsa05146	Amoebiasis	34/1153	90/6411	6.37420603740407e-06	0.00010942387030877	8.98353014628293e-05	87/1286/7414/3554/383/22798/1281/3458/7043/3684/1278/733/5567/3593/1277/284217/3913/1284/2919/5579/1285/3569/912/1511/3915/5293/3910/3908/1288/2774/1287/731/4843/2335	34
hsa05144	Malaria	21/1153	46/6411	1.33913633513365e-05	0.000217785856608578	0.000178798812613413	948/7412/2532/3458/5175/6383/7043/4035/6403/7060/54106/3082/1311/3569/7058/2995/7059/6347/1378/7057/6401	21
hsa04024	cAMP signaling pathway	57/1153	187/6411	1.69350812201147e-05	0.000261647004850772	0.000214808135476192	810/51806/117/482/2903/2735/4158/196883/56670/2770/492/5733/1909/10398/6262/2891/2550/5139/154/1261/268/4852/108/1816/775/9568/491/2890/5602/814/4881/7137/5021/5142/2737/4886/477/3355/5567/2740/111/1129/64399/5350/2892/7074/84152/10000/5348/51738/7434/480/493/815/5293/6752/2149	57
hsa04972	Pancreatic secretion	30/1153	84/6411	7.61798445244964e-05	0.0011209319980033	0.000920267796010207	5408/9635/5646/5644/3708/482/196883/1360/5322/492/1056/6262/6344/886/108/491/1359/477/111/7220/487/5579/1358/480/493/3784/5319/5320/50487/3778	30
hsa04924	Renin secretion	24/1153	62/6411	9.22728025062576e-05	0.00129601345338335	0.00106400695712957	810/9635/51806/117/3708/2983/2770/185/155/1909/183/2982/5139/154/775/4881/5567/111/5153/2977/5136/3778/5137/116	24
hsa04970	Salivary secretion	28/1153	78/6411	0.000118337126087191	0.00158983356351922	0.00130522871336444	1755/810/54831/51806/3708/482/148/2983/196883/492/155/2982/154/108/491/477/5567/111/146/4842/6263/5579/5592/480/493/2977/1470/3778	28
hsa04725	Cholinergic synapse	35/1153	107/6411	0.000156040440445251	0.0020090206707326	0.00164937483102217	1137/2788/596/3708/1143/60482/196883/2770/1132/2791/8973/774/1136/5294/108/775/1141/814/3768/54331/2775/9132/5567/111/1129/5579/10000/23533/59345/56479/6572/3784/815/5293/3763	35
hsa04921	Oxytocin signaling pathway	43/1153	142/6411	0.000212781344375612	0.00262997741648256	0.00215917069450621	810/51806/3708/4660/8605/91807/2983/196883/783/2770/4776/10398/6262/786/3762/2982/5294/5563/9254/108/775/814/3768/4881/5021/5997/2775/5567/111/4638/6263/5579/57118/6261/23533/27092/2977/815/4208/55799/3763/781/4882	43
hsa05032	Morphine addiction	28/1153	81/6411	0.000247903583288683	0.00288842956902989	0.00237135590576121	2555/2788/196883/2770/2791/10846/774/3762/2550/5139/108/9568/5142/54331/2775/5567/111/5579/5138/59345/5153/2558/2566/5136/3763/8622/5137/27115	28
