IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006936	muscle contraction	71/1398	331/15473	3.40719295579605e-12	1.73834984604714e-08	1.493785122199e-08	GPD1L/MYBPC1/NOS1/MYH2/CHRM2/CASQ2/CACNA2D1/ACTA2/GAMT/P2RX3/NKX2-5/CACNA1C/HTR2A/STAC/MYBPC3/TRDN/DES/NOS1AP/SPX/DCANP1/HSPB6/SCN2B/TACR1/CACNA1D/CHRNB4/KCNMA1/ATP1A2/EDNRA/RYR2/CAV1/ACTG2/MYH7/ACTA1/MYLPF/CACNA1G/PTGER3/MYL7/TBX20/ADRA1A/CACNA1S/NPY2R/KCNA5/FXYD1/SORBS1/MYH8/GNAO1/SYNM/PDE5A/PRKG1/MYH6/ADRA2A/CNN1/JSRP1/PLN/ACTC1/SLC8A1/SCN7A/CHRNB2/GSTO1/MYOCD/PPP1R12B/LMOD1/MYLK/UCN/KCND3/MYOM1/ATP8A2/MYH11/TNNI3/KCNA1/DRD1	71
GO:0044057	regulation of system process	87/1398	477/15473	1.28323417124899e-10	2.18235358057079e-07	1.87532292043932e-07	GPR35/ABCG8/GPD1L/GRIN2A/CCL3/C1QTNF3/NOS1/NLGN1/CHRM2/ADM/OPRK1/NOV/CASQ2/CACNA2D1/FGA/IGFBP5/CAMK2B/P2RX3/RYR3/NKX2-5/CACNA1C/HTR2A/KCNK3/ATP1B2/HSPB7/MYBPC3/TRDN/DES/NOS1AP/SPX/DCANP1/HSPB6/SCN2B/TACR1/TMEM100/CACNA1D/CHRNB4/CACNG8/ATP1A2/RYR2/CAV1/MYH7/ABCC9/FGG/CACNA1G/NPPB/TGFB2/CACNG7/PTGER3/KISS1/ADRA1A/CACNA1S/AGTR2/NPY2R/KCNA5/MSTN/FXYD1/LEP/ADIPOQ/EGFR/GNAO1/PDE5A/FAM19A4/AVPR1A/ADRB1/PRKG1/MYH6/APOA2/AKAP6/NR1H3/ADRA2A/CNN1/CACNB4/PLN/CORIN/SLC8A1/IL6ST/GRM1/GSTO1/CACNG5/MYOCD/PPP1R12B/UCN/APOA1/KCND3/TNNI3/KCNA1	87
GO:0008015	blood circulation	87/1398	484/15473	2.76979662136291e-10	3.53287559054839e-07	3.03584287578329e-07	GPD1L/EPO/NOS1/SOD2/CHRM2/ADM/SGCD/CASQ2/CACNA2D1/FGA/HTR1B/RYR3/PDE3A/NKX2-5/MEOX2/CACNA1C/NPR3/HTR2A/KCNK3/NPY6R/ATP1B2/HSPB7/ELN/MYBPC3/TRDN/DES/ADAMTS16/NOS1AP/SPX/SERPINF2/SCN2B/TACR1/CACNA1D/SLIT2/COL1A2/CACNG8/ATP1A2/EDNRA/RYR2/CAV1/MYH7/ABCC9/PTGS1/FGG/KCNMB1/CACNA1G/NPPB/TGFB2/PROKR1/CACNG7/F5/AVP/PROKR2/CYP4F12/TBX20/ADRA1A/ADRB3/CACNA1S/AGTR2/POSTN/KCNA5/FXYD1/LEP/ADIPOQ/EGFR/GNAO1/PDE5A/LNPEP/APOE/AVPR1A/ADRB1/KEL/PRKG1/MYH6/ADRA2A/CACNB4/PLN/CORIN/ACTC1/SLC8A1/GSTO1/CACNG5/AR/UCN/KCND3/TNNI3/DRD1	87
GO:0010469	regulation of signaling receptor activity	83/1398	462/15473	7.40527017070222e-10	6.29694806848712e-07	5.41104390543416e-07	GDF5/LEFTY1/CCL3/CCL27/GUCA2A/EPO/IL18/LYPD6B/NLGN1/LHB/FGF8/ADM/CCL3L1/NOV/LTB/IL37/CXCL2/KL/CALCB/FBN1/SHANK1/KCNK3/GDF7/GDF10/PRL/INS-IGF2/FGF2/SPX/CCL19/CSF2/CER1/CCL18/OGN/CACNG8/CCL17/WNT7A/WNT7B/CXCL6/TNFSF11/GREM2/NPPB/IL36G/FGF17/GRP/CCL24/CGB1/CGA/TGFB2/CACNG7/CXCL8/IFNL1/AVP/C1QTNF12/GNRH2/IAPP/SCGB3A1/CXCL3/MSTN/LEP/ADIPOQ/CCL15/CGB2/CGB3/IL32/CMTM7/CCL1/F2/CMTM1/LEFTY2/BMP3/ADRA2A/NETO1/THPO/BMP2/NCF1/CACNG5/PENK/PSCA/SHISA7/GMFG/UCN/IL11/BTC	83
GO:0001501	skeletal system development	82/1398	475/15473	6.45205892790297e-09	4.70262923573728e-06	4.04102638116028e-06	GDF5/PRRX1/SMAD9/FGF8/RARG/NOV/DMRT2/PHEX/OSR2/LHX1/CHI3L1/ACP5/NFIB/TP63/NCAN/MMP9/FBN1/COL11A1/NPR3/CHRDL2/GDF10/TBX1/CLDN18/IFITM5/SOX5/SCIN/FGF2/DLX1/ITGB8/MYOC/DCANP1/CER1/COMP/RBP4/COL1A2/HOXA5/WNT7A/TBX4/WFIKKN1/HOXD12/WNT7B/TNFSF11/COL1A1/CDH11/SP5/TGFB2/SFRP4/ALX4/COL10A1/HOXA6/COL19A1/WNT11/SIX1/PITX1/POSTN/TBX15/COL3A1/LEP/RSPO2/COL12A1/TCF15/IHH/CHAD/MATN1/PAPPA2/BARX2/TYROBP/BMP3/TRPS1/SIGLEC15/COL11A2/FAT4/MUSTN1/NOTCH2/MMP16/SRD5A2/BMP2/CYP26B1/RANBP3L/GSC/FMN1/ACAN	82
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	49/1398	235/15473	2.05656010144287e-08	1.31157120469519e-05	1.12704905559336e-05	NRXN1/PCDHAC1/CDH4/NLGN1/PCDHGA6/PCDHGB6/DSG3/CDHR4/JAML/PCDHGB4/PCDHGA7/GRID2/PTPRT/DSCAM/UNC5D/CLDN18/CDH19/IL1RAPL1/CDH11/PCDHB1/CDH7/TGFB2/TENM2/PCDH19/PLXNB3/PCDHA13/DSG1/ADIPOQ/PCDHAC2/ADGRL3/DSC3/PCDHB18P/PCDHGA9/PCDHGB5/DCHS2/FAT1/PCDHGA2/IGSF9B/DSC1/PCDHGA5/FAT4/FAT2/PCDH11X/BMP2/CD177/PCDHGB7/APOA1/PCDH9/PCDHGA11	49
GO:0070268	cornification	22/1398	66/15473	3.38246388487032e-08	1.69170041287283e-05	1.45369869805759e-05	KRT17/DSG3/KRT10/CDSN/KRT6A/KRT14/KRT16/PRSS8/SPRR2F/KRT9/DSG1/KRT4/LOR/KRT1/KRT5/DSC3/DSC1/KRT72/CYP26B1/KRT15/PKP1/KRT13	22
GO:0002526	acute inflammatory response	34/1398	137/15473	3.70274950120168e-08	1.69170041287283e-05	1.45369869805759e-05	ORM1/CREB3L3/EPO/CFP/C8G/C8B/FFAR2/ORM2/SUSD4/HP/TNFRSF11A/C1QA/KLKB1/SERPINF2/TACR1/C7/C4BPB/TNFSF11/CPN2/PTGER3/C6/CEBPB/F2/SERPINC1/APOA2/C5/IL6ST/VTN/FCER1G/VNN1/OSMR/CPN1/NUPR1/GATA3	34
GO:0042391	regulation of membrane potential	71/1398	406/15473	3.97891120236651e-08	1.69170041287283e-05	1.45369869805759e-05	GPR35/GPD1L/GRIN2A/PIEZO2/GRIK2/NRXN1/FHL1/GABRQ/NLGN1/GLRA2/CASQ2/CACNA2D1/CATSPER1/BEST2/GRID1/P2RX3/GRID2/GABRG1/GRIN3A/CACNA1C/SHANK1/KCNK3/ATP1B2/TRDN/NOS1AP/MYOC/SCN2B/TACR1/CACNA1D/CHRNB4/KCNMA1/ATP1A2/WNT7A/RYR2/CAV1/KCNT2/GRIA1/KCNK12/CHRNB3/GABRP/CACNA1G/SEZ6/ADRA1A/CACNA1S/DCN/NPY2R/GABRA3/GABRG3/KCNA5/GABRA2/FXYD1/ADIPOQ/SLC26A7/FAM19A4/AKAP6/KCNN4/GRIK1/CACNB4/NETO1/IGSF9B/PLN/SLC8A1/RIMS2/SCN7A/CHRNB2/KCND3/RIMS1/KCNQ3/KCNA1/DRD1/KCNB1	71
GO:0043062	extracellular structure organization	67/1398	380/15473	6.96366144206482e-08	2.36857337849432e-05	2.03534385306667e-05	ITGAX/OPTC/CTSV/COL14A1/ITGA10/APOC4/PLA2G7/SMOC2/FGA/LIPC/NCAN/COL8A1/MMP9/FBN1/COL11A1/SCUBE3/ELN/ABI3BP/MFAP5/FGF2/KLKB1/ITGB8/SERPINF2/COMP/APOC3/COL1A2/CTSS/MMP12/FGG/ITGA8/COL1A1/TGFB2/COL9A1/COL10A1/DPT/ALB/COL19A1/DCN/GPM6B/POSTN/EGFL6/COL3A1/FOXF2/COL12A1/TCF15/MATN4/LAMA2/IHH/APOE/MATN1/APOA2/CAPNS2/GFAP/COL11A2/ADAMTS2/HPSE2/MMP16/VTN/APOA1/APOC1/APOC2/MYH11/SOAT2/APOM/DDR2/ITGB3/ACAN	67
GO:0043270	positive regulation of ion transport	46/1398	225/15473	1.02910766964419e-07	3.28156708157791e-05	2.81989042372898e-05	GPD1L/CCL3/NOS1/FHL1/OPRK1/CACNA2D1/PDZK1/P2RX3/NKX2-5/LRRC55/ATP1B2/TNFRSF11A/STAC/TRDN/NOS1AP/CACNA1D/CTSS/RYR2/CAV1/TNFSF11/SYT4/KCNMB1/PRSS8/KCNC1/NPY2R/CALCR/FXYD1/LEP/COX17/APOE/LPAR3/AVPR1A/F2/AKAP6/ADRA2A/CHRNB2/GSTO1/MYLK/TCAF1/CNTN1/UCN/ABCB1/ATP8A2/KCNA1/DRD1/ADCYAP1R1	46
GO:0072507	divalent inorganic cation homeostasis	74/1398	444/15473	1.55411104881423e-07	4.66416151238246e-05	4.00797059957353e-05	GPR35/GRIN2A/CCL3/GRIK2/EPO/NOS1/ADM/CASQ2/CACNA2D1/XCR1/SLC24A3/P2RX3/MT2A/SLC11A1/CD52/KL/RYR3/CALCB/ATP13A4/CACNA1C/HTR2A/KCNK3/TRDN/FGF2/SLC39A5/CCL19/TACR1/TRPM8/ATP1A2/EDNRA/RYR2/CAV1/GRIA1/TNFSF11/HCRTR2/ADCY5/PVALB/PTGER3/GPR20/TRPM1/KISS1/TFAP2B/ADRA1A/NPY2R/S100A14/IAPP/KCNA5/CALCR/CCL15/EGFR/TRPA1/APOE/LPAR3/AVPR1A/CCL1/F2/KEL/CCKBR/AKAP6/JSRP1/PLN/SLC30A4/SLC8A1/GRM1/GSTO1/CYP27B1/GPR17/TMTC2/CAPS2/TNNI3/KCNA1/JPH4/DRD1/ADCYAP1R1	74
GO:0015850	organic hydroxy compound transport	42/1398	203/15473	2.5998179764886e-07	6.63213565802242e-05	5.69907466951317e-05	ABCG8/SLC51A/NOS1/OPRK1/HTR1B/LIPC/HTR2A/AQP2/RBP4/APOC3/AQP9/CAV1/SYT4/HRH3/CYP19A1/SLC18A1/ALB/AGTR2/NPY2R/GPM6B/PON1/LEP/ADIPOQ/SLC10A1/APOE/SLC18A2/APOA2/ABCA12/NR1H3/ADRA2A/CHRNB2/FCER1G/NCOA2/APOA1/APOC1/APOC2/SLC22A1/SOAT2/APOM/SLC6A2/DRD1/KCNB1	42
GO:0050727	regulation of inflammatory response	57/1398	316/15473	3.03322619331854e-07	6.72848697317878e-05	5.78187052410605e-05	CCL3/C1QTNF3/CREB3L3/IL18/CFP/CCL3L1/NOV/C8G/PLA2G7/IL1R2/ACP5/C8B/NLRP14/DUOXA1/FFAR2/SUSD4/TNFRSF11A/C1QA/KLKB1/CCL18/SIGLEC10/C7/C4BPB/TNFSF11/CPN2/PTGIS/PROC/CCL24/PTGER3/CYP19A1/C1QTNF12/PGLYRP2/NLRP10/C6/LEP/ADIPOQ/NLRP8/CCL15/EGFR/KRT1/APOE/MGST2/F2/NR1H3/TNFAIP8L2/C5/IL6ST/VTN/FCER1G/TLR3/GPR17/APOA1/OSMR/CPN1/GATA3/CXCL17/PYCARD	57
GO:0072376	protein activation cascade	22/1398	74/15473	3.34072576028706e-07	7.10182617874358e-05	6.10268543491036e-05	CFP/C8G/FGA/C8B/SUSD4/GP1BA/C1QA/KLKB1/C7/MASP1/C4BPB/CPN2/FGG/F10/C6/KRT1/F2/SERPINC1/F7/C5/VTN/CPN1	22
GO:0032409	regulation of transporter activity	45/1398	228/15473	4.06965301621784e-07	7.38669957798e-05	6.34748060456925e-05	GPR35/GPD1L/EPO/NOS1/FHL1/NLGN1/CASQ2/CACNA2D1/PDZK1/HECW1/MMP9/SHANK1/LRRC55/ATP1B2/STAC/TRDN/NOS1AP/KCNS2/SCN2B/CACNA1D/CACNG8/ATP1A2/CTSS/RYR2/CAV1/CACNG7/KCNC1/PON1/FXYD1/COX17/APOA2/AKAP6/ANO9/ADRA2A/CACNB4/NETO1/JSRP1/PLN/GSTO1/CACNG5/SHISA7/TCAF1/ABCB1/KCNA1/JPH4	45
GO:0035296	regulation of tube diameter	30/1398	124/15473	4.19863362919287e-07	7.38669957798e-05	6.34748060456925e-05	NOS1/SOD2/ADM/FGA/HTR1B/HTR2A/SERPINF2/TACR1/ATP1A2/EDNRA/CAV1/FGG/KCNMB1/NPPB/AVP/ADRA1A/ADRB3/AGTR2/KCNA5/LEP/EGFR/APOE/AVPR1A/ADRB1/KEL/PRKG1/ADRA2A/SLC8A1/UCN/DRD1	30
GO:0097746	regulation of blood vessel diameter	30/1398	124/15473	4.19863362919287e-07	7.38669957798e-05	6.34748060456925e-05	NOS1/SOD2/ADM/FGA/HTR1B/HTR2A/SERPINF2/TACR1/ATP1A2/EDNRA/CAV1/FGG/KCNMB1/NPPB/AVP/ADRA1A/ADRB3/AGTR2/KCNA5/LEP/EGFR/APOE/AVPR1A/ADRB1/KEL/PRKG1/ADRA2A/SLC8A1/UCN/DRD1	30
GO:0007586	digestion	27/1398	110/15473	1.15907768438629e-06	0.000184800448304339	0.000158801268272003	ALPI/ABCG8/FABP1/GUCA2A/OPRK1/CYP39A1/NPR3/DCANP1/TACR1/RBP4/PGC/FABP2/AKR1D1/CHIT1/PTGER3/VIL1/LEP/SLC26A7/CCKBR/APOA2/NR1H3/KCNN4/ADRA2A/UCN/APOA1/AQP5/SOAT2	27
GO:0050880	regulation of blood vessel size	30/1398	132/15473	1.73023763464364e-06	0.000259637423880936	0.000223109589730364	NOS1/SOD2/ADM/FGA/HTR1B/HTR2A/SERPINF2/TACR1/ATP1A2/EDNRA/CAV1/FGG/KCNMB1/NPPB/AVP/ADRA1A/ADRB3/AGTR2/KCNA5/LEP/EGFR/APOE/AVPR1A/ADRB1/KEL/PRKG1/ADRA2A/SLC8A1/UCN/DRD1	30
GO:0007588	excretion	18/1398	59/15473	2.56035843608043e-06	0.000327689056218818	0.000281587183385541	ABCG8/AQP2/SCNN1G/SPX/TACR1/CHRNB4/KCNMA1/AQP9/NPPB/ADRA1A/AGTR2/AVPR1A/AMN/CORIN/CHRNB2/KIRREL1/AQP5/SCNN1B	18
GO:0099177	regulation of trans-synaptic signaling	55/1398	321/15473	2.56910275357756e-06	0.000327689056218818	0.000281587183385541	GRIN2A/LRRTM2/GRIK2/NRXN1/PRRT2/NLGN1/PLCL1/ITPKA/CAMK2B/GRID1/HTR1B/P2RX3/NTRK2/GRID2/SYT11/SHANK1/HTR2A/CNTN2/CNTNAP4/TACR1/CHRNB4/CACNG8/ATP1A2/SNAP25/WNT7A/CPLX2/GRIA1/SYP/SYT4/CACNG7/KISS1/ADRA1A/NPY2R/ADIPOQ/EGFR/LAMA2/APOE/NRGN/SYBU/GFAP/GRIK1/NETO1/IGSF9B/RIMS2/CHRNB2/GRM1/BCHE/CACNG5/SHISA7/UCN/RIMS1/GRM7/JPH4/DRD1/KCNB1	55
GO:0051480	regulation of cytosolic calcium ion concentration	52/1398	299/15473	3.0625552340845e-06	0.000372027542959502	0.000319687783207066	GPR35/GRIN2A/CCL3/EPO/NOS1/ADM/CASQ2/CACNA2D1/XCR1/P2RX3/CD52/RYR3/CACNA1C/HTR2A/KCNK3/TRDN/FGF2/CCL19/TACR1/ATP1A2/EDNRA/RYR2/CAV1/GRIA1/HCRTR2/ADCY5/PVALB/PTGER3/GPR20/TRPM1/KISS1/ADRA1A/NPY2R/IAPP/KCNA5/CALCR/TRPA1/LPAR3/AVPR1A/CCL1/F2/CCKBR/AKAP6/JSRP1/PLN/SLC8A1/GRM1/GSTO1/GPR17/JPH4/DRD1/ADCYAP1R1	52
GO:0070613	regulation of protein processing	24/1398	98/15473	4.68456198920896e-06	0.000508524154658386	0.000436980978388697	GAS1/BIRC7/CFP/C8G/IL1R2/MAGEA3/C8B/SUSD4/CNTN2/C1QA/KLKB1/SERPINF2/C7/CCBE1/C4BPB/CPN2/USP17L2/C6/F2/RFX4/C5/VTN/CARD16/CPN1	24
GO:0034375	high-density lipoprotein particle remodeling	9/1398	17/15473	4.86438196092154e-06	0.000517043265929619	0.000444301554106102	LIPC/APOC3/ALB/APOE/APOA2/APOA1/APOC1/APOC2/APOM	9
