IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031012	extracellular matrix	93/1494	445/16250	2.25838557723243e-14	1.19920274151042e-11	9.818034141021e-12	P3H2/ORM1/KERA/OPTC/AMBP/LAMB4/CFP/ADAMTS17/HMCN1/NTN3/NOV/COL14A1/CHI3L1/SMOC2/VWA2/SPARCL1/NCAN/COL8A1/ORM2/MMP9/FBN1/SLITRK1/NCAM1/COL11A1/SLITRK5/LRRC55/GDF10/OMD/ZP2/ELN/ABI3BP/MFAP5/ADAMTS16/MYOC/PRG4/SLIT2/COMP/OGN/LRFN5/APOC3/COL1A2/TNN/WNT7A/CCBE1/EDIL3/MATN2/WNT7B/MMP12/ADAMTSL1/LINGO4/COL6A6/COL21A1/COL1A1/TGFB1I1/TGFB2/COL9A1/COL10A1/DPT/COL19A1/SLITRK6/WNT11/DCN/EPYC/POSTN/EGFL6/COL3A1/LRRN3/SLPI/COL12A1/ADAMTSL3/KRT1/LAMA2/IHH/APOE/CHAD/MATN1/LEFTY2/ADAMTS15/SSC5D/LTBP2/MAMDC2/COL11A2/ADAMTS2/HPSE2/MMP16/VTN/SBSPON/CPA6/APOA1/VWC2/LRFN2/IMPG2/ACAN	93
GO:1902495	transmembrane transporter complex	69/1494	298/16250	3.56973313601868e-13	9.4776414761296e-11	7.7594725535564e-11	ABCG8/GRIN2A/GRIK2/NOS1/GABRQ/NLGN1/GLRA2/ANO1/CASQ2/CACNA2D1/CATSPER1/BEST2/GRID2/RYR3/GABRG1/GRIN3A/CACNA1C/SHANK1/CNTN2/LRRC55/ATP1B2/SCNN1G/TRDN/NOS1AP/KCNS2/SCN2B/CACNA1D/BEST3/CHRNB4/KCNMA1/CACNG8/ATP1A2/SNAP25/RYR2/KCNT2/GRIA1/ABCC9/CHRNB3/KCNMB1/GABRP/CACNA1G/CACNG7/KCNJ16/OLFM3/KCNC1/CACNA1S/GABRA3/GABRG3/CATSPERD/KCNA5/GABRA2/FXYD1/CLIC6/AKAP6/KCNN4/GRIK1/CACNB4/KCNQ4/PLN/SCN7A/CHRNB2/CACNG5/SHISA7/KCND3/KCNQ3/SCNN1B/VWC2/KCNA1/KCNB1	69
GO:0005578	proteinaceous extracellular matrix	76/1494	351/16250	8.80559713361192e-13	1.55859069264931e-10	1.27603916357253e-10	P3H2/KERA/OPTC/LAMB4/ADAMTS17/HMCN1/NTN3/NOV/COL14A1/CHI3L1/SMOC2/VWA2/SPARCL1/NCAN/COL8A1/MMP9/FBN1/SLITRK1/COL11A1/SLITRK5/LRRC55/OMD/ZP2/ELN/ABI3BP/MFAP5/ADAMTS16/MYOC/SLIT2/COMP/OGN/LRFN5/COL1A2/TNN/WNT7A/CCBE1/MATN2/WNT7B/MMP12/ADAMTSL1/LINGO4/COL6A6/COL21A1/COL1A1/COL9A1/COL10A1/DPT/COL19A1/SLITRK6/WNT11/DCN/EPYC/POSTN/EGFL6/COL3A1/LRRN3/COL12A1/ADAMTSL3/LAMA2/IHH/CHAD/MATN1/ADAMTS15/LTBP2/MAMDC2/COL11A2/ADAMTS2/HPSE2/MMP16/VTN/SBSPON/CPA6/VWC2/LRFN2/IMPG2/ACAN	76
GO:1990351	transporter complex	69/1494	306/16250	1.36205671268436e-12	1.80813028608848e-10	1.48034058510168e-10	ABCG8/GRIN2A/GRIK2/NOS1/GABRQ/NLGN1/GLRA2/ANO1/CASQ2/CACNA2D1/CATSPER1/BEST2/GRID2/RYR3/GABRG1/GRIN3A/CACNA1C/SHANK1/CNTN2/LRRC55/ATP1B2/SCNN1G/TRDN/NOS1AP/KCNS2/SCN2B/CACNA1D/BEST3/CHRNB4/KCNMA1/CACNG8/ATP1A2/SNAP25/RYR2/KCNT2/GRIA1/ABCC9/CHRNB3/KCNMB1/GABRP/CACNA1G/CACNG7/KCNJ16/OLFM3/KCNC1/CACNA1S/GABRA3/GABRG3/CATSPERD/KCNA5/GABRA2/FXYD1/CLIC6/AKAP6/KCNN4/GRIK1/CACNB4/KCNQ4/PLN/SCN7A/CHRNB2/CACNG5/SHISA7/KCND3/KCNQ3/SCNN1B/VWC2/KCNA1/KCNB1	69
GO:0034702	ion channel complex	64/1494	275/16250	2.02405826431504e-12	2.14954987670257e-10	1.75986539613076e-10	GRIN2A/GRIK2/NOS1/GABRQ/NLGN1/GLRA2/ANO1/CASQ2/CACNA2D1/CATSPER1/BEST2/GRID2/RYR3/GABRG1/GRIN3A/CACNA1C/SHANK1/CNTN2/LRRC55/SCNN1G/TRDN/NOS1AP/KCNS2/SCN2B/CACNA1D/BEST3/CHRNB4/KCNMA1/CACNG8/SNAP25/RYR2/KCNT2/GRIA1/ABCC9/CHRNB3/KCNMB1/GABRP/CACNA1G/CACNG7/KCNJ16/OLFM3/KCNC1/CACNA1S/GABRA3/GABRG3/CATSPERD/KCNA5/GABRA2/CLIC6/AKAP6/KCNN4/GRIK1/CACNB4/KCNQ4/SCN7A/CHRNB2/CACNG5/SHISA7/KCND3/KCNQ3/SCNN1B/VWC2/KCNA1/KCNB1	64
GO:0034703	cation channel complex	49/1494	205/16250	2.95704142233244e-10	2.61698165876421e-08	2.14255808319877e-08	GRIN2A/GRIK2/NOS1/NLGN1/CASQ2/CACNA2D1/CATSPER1/RYR3/GRIN3A/CACNA1C/SHANK1/CNTN2/LRRC55/SCNN1G/TRDN/NOS1AP/KCNS2/SCN2B/CACNA1D/KCNMA1/CACNG8/SNAP25/RYR2/KCNT2/GRIA1/ABCC9/KCNMB1/CACNA1G/CACNG7/KCNJ16/OLFM3/KCNC1/CACNA1S/CATSPERD/KCNA5/AKAP6/KCNN4/GRIK1/CACNB4/KCNQ4/SCN7A/CACNG5/SHISA7/KCND3/KCNQ3/SCNN1B/VWC2/KCNA1/KCNB1	49
GO:0043235	receptor complex	68/1494	358/16250	5.25255130776369e-09	3.98443534917503e-07	3.26211081219008e-07	ITGAX/ITLN1/ABCG8/PLXNA4/GRIN2A/GRIK2/GABRQ/PLXNC1/NLGN1/ITGA10/LRP1B/P2RX3/ZAP70/NTRK2/EPHA7/KCTD8/GRID2/GABRG1/GRIN3A/SHANK1/SLITRK5/GPR84/ITGB8/EPHA5/CHRNB4/GPR62/CACNG8/CD3D/PEX5L/GRIA1/CHRNB3/GABRP/ITGA8/TF/KCTD16/CACNG7/OLFM3/IFNL1/GPR20/ADRB3/PLXNB3/GABRA3/GABRG3/CALCR/GABRA2/SORBS1/EGFR/ERBB4/NR1H3/GRIK1/CD74/GPR63/ADRA2A/IL6ST/LY96/CHRNB2/GRM1/NOTCH2/BMP2/CACNG5/SHISA7/OSMR/GRM7/VWC2/DDR2/ITGB3/IMPG2/ADCYAP1R1	68
GO:0097060	synaptic membrane	59/1494	304/16250	2.42409092513191e-08	1.60899035155631e-06	1.31730204220984e-06	GRIN2A/LRRTM2/GRIK2/NRXN1/GABRQ/IQSEC3/PRRT2/NLGN1/GLRA2/CHRM2/GRID1/NTRK2/EPHA7/KCTD8/GRID2/SYT11/GABRG1/GRIN3A/SHANK1/DLGAP2/ANKS1B/DRP2/CNTNAP4/CHRNB4/KCNMA1/CACNG8/SNAP25/GRIA1/SYP/IL1RAPL1/CHRNB3/GABRP/ITGA8/KCTD16/CACNG7/TENM2/LRRC4C/GABRA3/GABRG3/GABRA2/DNM3/GRIK1/NETO1/IGSF9B/SLC8A1/RIMS2/CHRNB2/GRM1/CACNG5/LRRTM3/SHISA7/CPN1/RIMS1/GRM7/PSD3/KCNA1/LRFN2/CNKSR2/KCNB1	59
GO:0045211	postsynaptic membrane	48/1494	231/16250	5.57712626931751e-08	3.29050449889733e-06	2.69398029149489e-06	GRIN2A/LRRTM2/GRIK2/GABRQ/IQSEC3/NLGN1/GLRA2/CHRM2/GRID1/NTRK2/EPHA7/KCTD8/GRID2/GABRG1/GRIN3A/SHANK1/DLGAP2/ANKS1B/DRP2/CHRNB4/KCNMA1/CACNG8/GRIA1/IL1RAPL1/CHRNB3/GABRP/KCTD16/CACNG7/TENM2/LRRC4C/GABRA3/GABRG3/GABRA2/DNM3/GRIK1/NETO1/IGSF9B/SLC8A1/CHRNB2/GRM1/CACNG5/LRRTM3/SHISA7/GRM7/PSD3/LRFN2/CNKSR2/KCNB1	48
GO:0044449	contractile fiber part	44/1494	206/16250	8.60545710610933e-08	4.33421758382134e-06	3.54848223236835e-06	SVIL/MYBPC1/NOS1/MYH2/CASQ2/FBXL22/RYR3/PALLD/CACNA1C/NEXN/MYBPC3/DES/NOS1AP/SYNPO2L/CACNA1D/MYPN/RYR2/FBP2/MYH7/ABCC9/ACTA1/MYLPF/ANKRD1/FLNC/FHL5/MYL7/ADRA1A/CACNA1S/KCNA5/MYH8/SYNM/SYNC/MYH6/ACTC1/SLC8A1/LDB3/KY/PPP1R12B/LMOD1/SYNPO2/PGM5/MYOM1/MYH11/TNNI3	44
