IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	58/593	236/6478	7.65665503249881e-13	2.18980333929466e-10	1.91013393968655e-10	2859/2903/2898/3362/55879/2742/3972/1129/4986/2925/2492/2894/3351/5024/2895/2565/116443/3356/5617/3001/6869/1143/1909/2890/6751/3973/3062/1142/2568/11255/1081/3355/5733/148/155/186/2834/4887/2556/2567/799/2555/3952/9340/165829/23566/552/153/2147/887/2897/150/1141/2911/2831/2917/1812/117	58
hsa05414	Dilated cardiomyopathy (DCM)	27/593	87/6478	6.14224749828312e-09	8.78341392254486e-07	7.66164556364789e-07	6444/8515/781/775/108/4607/1674/3696/776/59283/6262/4625/111/8516/7042/59284/779/3908/153/4624/785/5350/70/6546/27091/7137/3690	27
hsa04610	Complement and coagulation cascades	23/593	72/6478	4.53708965065416e-08	4.3253588002903e-06	3.77294823580715e-06	3687/733/2243/732/712/3818/5345/730/5648/725/3053/2266/5055/5624/2153/2159/729/2147/462/2155/727/7448/5329	23
hsa05410	Hypertrophic cardiomyopathy (HCM)	23/593	80/6478	3.93097630110181e-07	2.81064805528779e-05	2.45168785095034e-05	6444/8515/781/775/4607/1674/3696/776/59283/6262/4625/8516/7042/59284/779/3908/4624/785/70/6546/27091/7137/3690	23
hsa04060	Cytokine-cytokine receptor interaction	48/593	253/6478	5.87167514498342e-07	3.35859818293052e-05	2.92965686181278e-05	8200/6348/10850/2056/3606/6349/4050/8784/269/2829/3561/7850/27178/2920/53832/151449/8792/2662/5617/3575/6363/1437/6362/6361/8807/6372/23495/8600/56300/6369/7042/3576/282618/2921/2660/3952/6359/9235/6346/651/3572/7066/650/9180/3563/3589/8764/284340	48
hsa04020	Calcium signaling pathway	37/593	177/6478	1.09208766158103e-06	5.20561785353624e-05	4.54078554025796e-05	2903/3362/4842/1129/2774/2925/51806/3706/5260/816/5024/6263/775/3356/108/6869/776/1909/6262/3973/8913/5733/148/155/779/5535/1956/2066/552/153/887/5137/5350/6546/2911/4638/1812	37
hsa04970	Salivary secretion	20/593	79/6478	1.87309985515866e-05	0.000765295083679108	0.000667555888229476	4842/820/51806/54831/6263/482/108/3778/1469/477/111/727897/1470/148/155/1472/153/5592/3783/362	20
hsa04974	Protein digestion and absorption	20/593	80/6478	2.28799076948851e-05	0.000817956700092142	0.00071349185837997	7373/11136/1301/482/2006/1278/477/131873/81578/1277/1297/340024/1300/6519/1281/1303/9056/3783/6546/1302	20
hsa05033	Nicotine addiction	12/593	35/6478	3.59802975123931e-05	0.00114337389872716	0.000997348597711949	2903/55879/246213/140679/2565/116443/2890/2568/2556/2567/2555/1141	12
hsa04950	Maturity onset diabetes of the young	9/593	22/6478	7.09805139175999e-05	0.00203004269804336	0.00177077703141802	3172/6927/3175/3651/6928/3375/4825/3170/3171	9
