IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010469	regulation of signaling receptor activity	82/1392	410/14682	4.02452574146259e-11	2.02353154280739e-07	1.87754716696444e-07	CXCL14/WNT7A/CALCA/CCL21/PMCH/SST/SPX/RELN/GDF6/VEGFD/VGF/GAL/IL27/SHISA6/CSF2/LEFTY2/EBI3/GDF10/IGF1/LHB/TNFRSF11B/NLGN1/PYY/INHBC/TNFSF9/AGRP/TIMP1/DKK1/PHLDA2/CKLF/KITLG/BMP8B/IL36RN/LTB/RETN/TG/CD70/BMP5/IL23A/MACC1/CCL17/CCL20/NBL1/INSL3/NRG2/EDN3/CCL7/CARTPT/NPPC/UCN/C1QTNF12/PDGFD/CACNG4/TDGF1/CXCL5/CRLF1/KCNK3/IL1RN/IL32/EGF/FGF12/PPARGC1A/GDF15/BMP8A/MAPT/TDGF1P3/NDP/IL18/IL17C/WNT10A/SCGB3A1/OGN/NPY/P2RY1/CD320/SHANK2/FOXH1/SHANK1/EREG/CLEC12B/WNT3A/FBN1	82
GO:0042391	regulation of membrane potential	71/1392	373/14682	7.59538652989797e-09	1.90948017361635e-05	1.77172384739515e-05	TRPC5/KCNK16/WNT7A/NRXN1/MYOC/KCNK2/RELN/KCNK10/CACNA2D1/NLGN1/CACNB4/GABRA5/RYR2/KCNN4/BVES/CFTR/KCNA1/GABRB3/SLC26A7/SLC26A4/POPDC3/CHRNA4/DGKI/FHL1/HCN2/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/TSPO/HCN4/CACNA1B/CHRFAM7A/ATP1A2/CACNB2/IGSF9B/KCNK9/CELF4/GABRQ/PID1/KCNB1/BID/CACNG4/KCNK3/GABRG1/ACTN2/RIMS4/KCND3/FGF12/SCN3A/KDR/CUX2/CHRNA7/BCL2/DRD1/GRIN2C/KCNK7/MAPT/GABRR2/CATSPER1/GABRG3/PIEZO2/ANK2/ATP1A3/SHANK2/GRIK2/SHANK1/GABRA6/LRRK2/CBLN1	71
GO:0006813	potassium ion transport	45/1392	198/14682	2.09055649201346e-08	3.50377268061456e-05	3.25099872722935e-05	KCNIP1/DPP10/KCNK16/KCNG3/SLC9A4/KCNK2/KCNK10/DPP6/GAL/KCNIP4/GCK/TMEM38A/KCNN4/KCNA1/ABCC8/PKD2L1/FXYD2/FHL1/HCN2/KCNAB1/KCNA2/KCNK17/KCNMB2/HCN4/ATP1A2/KCNK9/KCNB1/KCNC1/KCNK3/KCNJ13/ACTN2/REST/KCND3/SLC24A3/FXYD3/NOS1/DRD1/KCNK7/KCNJ1/ANK2/ATP1A3/GALR2/SLC9C2/ABCC9/ATP12A	45
GO:0007631	feeding behavior	25/1392	81/14682	6.00312689476044e-08	5.51229735801261e-05	5.1146216745618e-05	CALCA/PMCH/GAL/PYY/HTR1B/AGRP/NMU/RETN/CNTFR/DMBX1/NPY5R/CARTPT/UCN/NEGR1/DACH1/STRA6/DRD1/TH/NPY/NR4A3/P2RY1/NPW/GALR2/MRAP2/SGIP1	25
GO:0006959	humoral immune response	38/1392	159/14682	6.39773149403023e-08	5.51229735801261e-05	5.1146216745618e-05	KLK3/PI3/C8A/C6/AZU1/PSMB10/EBI3/TREM2/RPL39/SLC11A1/CR2/PRTN3/PROS1/ROMO1/SLPI/IL36RN/RPS19/ELANE/KLK7/PAX5/GNLY/MASP1/CD55/LTF/HIST1H2BC/ITLN1/RARRES2/COLEC10/FOXJ1/CFB/HLA-DQB1/LCN2/ST6GAL1/BCL2/EPPIN/MASP2/SPINK5/C1QA	38
GO:0006836	neurotransmitter transport	46/1392	218/14682	1.56644334391081e-07	9.84509641647946e-05	9.13483802659569e-05	WNT7A/NRXN1/SLC6A12/CSF2/SYT1/NLGN1/HTR1B/SLC18A3/SLC6A20/SYT9/SLC6A14/SNCG/DOC2B/SLC6A17/SLC5A7/SYN3/SYN1/DGKI/SLC6A4/SYT15/MAOB/SYT13/CACNA1B/ATP1A2/SYT2/NRXN2/SV2B/SYT16/GABRQ/C2CD4B/LIN7A/PCLO/GPM6B/RIMS4/C2CD4A/SYT3/SYT8/CADPS/SLC1A2/NOS1/DRD1/SYT12/SLC6A15/TH/PPFIA2/LRRK2	46
GO:0031424	keratinization	23/1392	75/14682	2.29722035065585e-07	0.000128338043589974	0.000119079305194231	DSC3/PI3/KRT6B/KRT15/KRT19/PERP/KRT80/KRT85/KRT17/KRT13/SFN/CYP26B1/KRT79/IVL/SPRR1B/ABCA12/SPINK6/KRT16/TGM1/SPINK5/CNFN/CDSN/PCSK6	23
GO:0034762	regulation of transmembrane transport	76/1392	450/14682	4.11639026853176e-07	0.000206972102701777	0.000192040438632976	KCNIP1/DPP10/KCNK16/KCNG3/MZB1/RELN/KCNK10/DPP6/GAL/SHISA6/KCNIP4/PRKCB/IGF1/WNK2/CACNA2D1/NLGN1/GPC3/CACNB4/NOX5/TCAF1/RYR2/CLCNKB/CFTR/KCNA1/ABCC8/FXYD2/FHL1/HCN2/KCNAB1/KCNA2/KCNK17/HECW1/HCN4/CACNA1B/ATP1A2/CACNB2/ABCB1/JSRP1/S100A1/WNK3/TRPC6/PID1/KCNB1/MMP9/C1QTNF12/CACNG4/JPH2/KCNC1/ITLN1/RARRES2/KCNJ13/ACTN2/CACNA2D2/CACNA2D3/KCND3/FGF12/SCN3A/FXYD3/PPARGC1A/IRS1/SLC1A2/NOS1/BCL2/DRD1/KCNK7/HECW2/CATSPER1/KCNJ1/ANK2/NR4A3/SHANK2/HAP1/GALR2/SHANK1/STAC/CLCNKA	76
GO:0019730	antimicrobial humoral response	20/1392	62/14682	5.64164437126528e-07	0.000236384899156015	0.000219331296960068	KLK3/PI3/AZU1/RPL39/SLC11A1/PRTN3/ROMO1/SLPI/IL36RN/RPS19/ELANE/KLK7/GNLY/LTF/HIST1H2BC/ITLN1/RARRES2/LCN2/EPPIN/SPINK5	20
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	44/1392	220/14682	1.3678931234249e-06	0.000529058971121568	0.000490890876357826	DSC3/CLDN10/NRXN1/PCDHGB6/CDHR3/CLSTN2/PCDHGC4/LGALS7B/CLDN20/NLGN1/CD177/CDH16/FAT4/PCDHGA10/PCDH19/PTPRT/NECTIN3/PCDHGA5/SDK2/PCDHGA1/CLDN14/PCDHGB3/SELE/CLDN9/IGSF9B/CDH8/PCDHGA2/IL1RN/UNC5D/PCDH11X/TENM2/PCDHGA4/PCDHB15/NECTIN4/FAT1/CEACAM1/PCDHGB2/PCDHGA11/PCDHGA3/ROBO2/PCDHGA7/PCDHGA9/CBLN1/CLDN3	44
