IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	76/1481	342/15386	2.13139214469274e-12	6.81054613583611e-10	5.96977050993374e-10	CHI3L1/WNT7A/DPT/PI3/MYOC/EPYC/COMP/SMOC1/RELN/SNORC/ABI3BP/WNT11/AMTN/SMOC2/IHH/TNFRSF11B/MMP10/COL27A1/GPC3/TIMP1/GPLD1/LINGO2/BCAN/CHL1/SLITRK3/LRFN5/SFRP1/SLITRK5/COL9A3/CNMD/TECTA/NCAN/SFTPA2/MATN2/LOX/GP5/MMP23B/ECM1/ENAM/COL9A1/MMP7/GPC6/ADAMTS14/LGALS1/MMP9/CCBE1/SPOCK2/SLIT1/LAD1/ANGPTL4/SERPINA1/SLITRK2/FLRT2/LAMA2/DGCR6/VIT/LAMC3/LAMB4/LRRN2/NTN3/TNN/MMP12/COL4A6/SPARCL1/CILP/COL6A6/WNT10A/NDNF/OGN/FREM1/FN1/ANXA2/FLRT1/ADAMTS5/WNT3A/FBN1	76
GO:0031012	extracellular matrix	89/1481	432/15386	2.5038772558221e-12	6.81054613583611e-10	5.96977050993374e-10	CHI3L1/WNT7A/DPT/PI3/MYOC/EPYC/COMP/SMOC1/RELN/SNORC/ABI3BP/WNT11/AMTN/LEFTY2/GDF10/SMOC2/IHH/CDON/TNFRSF11B/MMP10/COL27A1/GPC3/TIMP1/GPLD1/PRTN3/LINGO2/BCAN/CHL1/SLITRK3/AMBP/SLPI/LRFN5/SFRP1/SLITRK5/NCAM1/COL9A3/CNMD/TECTA/NCAN/SFTPA2/MATN2/LOX/GP5/MMP23B/ECM1/ENAM/MMRN1/COL9A1/MMP7/GPC6/ADAMTS14/LGALS1/MMP9/CCBE1/SPOCK2/SLIT1/EDIL3/LAD1/ANGPTL4/RARRES2/SERPINA1/SLITRK2/FLRT2/LGALS3/LAMA2/DGCR6/VIT/LAMC3/LAMB4/LRRN2/NTN3/NDP/TNN/MMP12/COL4A6/SPARCL1/CILP/COL6A6/WNT10A/NDNF/OGN/FREM1/FN1/ANXA2/FLRT1/PCSK6/ADAMTS5/WNT3A/FBN1	89
GO:1902495	transmembrane transporter complex	62/1481	264/15386	2.03821445069487e-11	3.6959622039267e-09	3.23968823215711e-09	TRPC5/KCNIP1/DPP10/KCNG3/KCNK2/DPP6/SHISA6/KCNIP4/CACNA2D1/NLGN1/TTYH2/CACNB4/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/ABCC8/CHRNA4/PKD2L1/FXYD2/CNTNAP2/HCN2/KCNAB1/KCNA2/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/ATP1A2/CACNB2/GABRQ/KCNB1/CACNG4/KCNC1/GABRG1/CACNA2D2/KCND3/SCN3A/CHRNA7/NOS1/GRIN2C/CNTN2/GABRR2/DLG2/CATSPER1/GABRG3/KCNJ1/ATP1A3/SHANK2/MCUB/GRIK2/RYR3/SHANK1/GABRA6/OLFM3/ABCC9/ATP12A/CLCNKA	62
GO:0034702	ion channel complex	58/1481	242/15386	3.82778724440399e-11	5.20579065238942e-09	4.56312532030265e-09	TRPC5/KCNIP1/DPP10/KCNG3/KCNK2/DPP6/SHISA6/KCNIP4/CACNA2D1/NLGN1/TTYH2/CACNB4/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/ABCC8/CHRNA4/PKD2L1/CNTNAP2/HCN2/KCNAB1/KCNA2/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/GABRQ/KCNB1/CACNG4/KCNC1/GABRG1/CACNA2D2/KCND3/SCN3A/CHRNA7/NOS1/GRIN2C/CNTN2/GABRR2/DLG2/CATSPER1/GABRG3/KCNJ1/SHANK2/MCUB/GRIK2/RYR3/SHANK1/GABRA6/OLFM3/ABCC9/CLCNKA	58
GO:1990351	transporter complex	62/1481	272/15386	7.72005153189644e-11	8.39941606670332e-09	7.36249125041913e-09	TRPC5/KCNIP1/DPP10/KCNG3/KCNK2/DPP6/SHISA6/KCNIP4/CACNA2D1/NLGN1/TTYH2/CACNB4/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/ABCC8/CHRNA4/PKD2L1/FXYD2/CNTNAP2/HCN2/KCNAB1/KCNA2/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/ATP1A2/CACNB2/GABRQ/KCNB1/CACNG4/KCNC1/GABRG1/CACNA2D2/KCND3/SCN3A/CHRNA7/NOS1/GRIN2C/CNTN2/GABRR2/DLG2/CATSPER1/GABRG3/KCNJ1/ATP1A3/SHANK2/MCUB/GRIK2/RYR3/SHANK1/GABRA6/OLFM3/ABCC9/ATP12A/CLCNKA	62
GO:0034703	cation channel complex	43/1481	182/15386	2.01429802258353e-08	1.82629687380907e-06	1.60083684952691e-06	TRPC5/KCNIP1/DPP10/KCNG3/KCNK2/DPP6/SHISA6/KCNIP4/CACNA2D1/NLGN1/CACNB4/RYR2/KCNN4/KCNA1/ABCC8/PKD2L1/CNTNAP2/HCN2/KCNAB1/KCNA2/GRIK4/KCNMB2/HCN4/CACNA1B/CACNB2/KCNB1/CACNG4/KCNC1/CACNA2D2/KCND3/SCN3A/NOS1/GRIN2C/CNTN2/DLG2/CATSPER1/KCNJ1/MCUB/GRIK2/RYR3/SHANK1/OLFM3/ABCC9	43
GO:0043235	receptor complex	63/1481	338/15386	2.08422230845777e-07	1.61973847971576e-05	1.41977850485921e-05	ADGRV1/FLT1/GPR63/SHISA6/GPR61/GPR37L1/CALCRL/GFRA1/ERBB4/NLGN1/GABRA5/KIT/CR2/GABRB3/SLITRK5/GPR20/EPHA8/ITGA8/ITGA1/CNTFR/KCTD16/CHRNA4/PKD2L1/RAMP1/EPHB3/LMTK2/GRIK4/CHRFAM7A/LRP1B/EPHA3/GABRQ/NTRK3/KCTD8/CACNG4/ITLN1/EPHA5/LRP2/PLA2R1/GABRG1/VLDLR/GHR/EGF/IL6ST/ADCYAP1R1/PEX5L/KDR/IRS1/CHRNA7/LIFR/GRIN2C/GABRR2/DLG2/GABRG3/EPHA10/CEACAM1/CD3D/ABCG2/SHANK2/DDR2/GRIK2/SHANK1/GABRA6/OLFM3	63
GO:0045211	postsynaptic membrane	44/1481	210/15386	5.49325551486433e-07	3.12672297065555e-05	2.74072272776115e-05	SHISA6/CLSTN2/NLGN1/GABRA5/SYNE1/DNM1P46/GABRB3/PDLIM4/KCTD16/CHRNA4/LRRTM1/NECTIN3/LRRC7/GRIK4/DLGAP1/LRRTM2/IGSF9B/GRM3/GABRQ/KCNB1/CHRM3/SH2D5/LIN7A/KCTD8/CACNG4/ANKS1B/SYNDIG1/GABRG1/DLGAP2/CHRNA7/TENM2/GRIN2C/GABRR2/DLG2/GABRG3/CHRM1/ANK2/P2RY1/SHANK2/LRRC4C/GRIK2/SHANK1/GABRA6/CBLN1	44
GO:0034705	potassium channel complex	24/1481	83/15386	5.66512306133087e-07	3.12672297065555e-05	2.74072272776115e-05	KCNIP1/DPP10/KCNG3/KCNK2/DPP6/KCNIP4/KCNN4/KCNA1/ABCC8/CNTNAP2/HCN2/KCNAB1/KCNA2/GRIK4/KCNMB2/HCN4/KCNB1/KCNC1/KCND3/CNTN2/DLG2/KCNJ1/GRIK2/ABCC9	24
GO:0031225	anchored component of membrane	32/1481	131/15386	5.74765251958741e-07	3.12672297065555e-05	2.74072272776115e-05	PRSS21/GFRA1/GPC3/LY6G6C/CD52/LY6D/CD177/BCAN/NCAM1/TECTA/CEACAM6/SYN1/CNTFR/CNTN5/OPCML/RAB27B/PLAUR/FCGR3B/LSAMP/GPC6/CD55/LY6E/NEGR1/ITLN1/TDGF1/MSLN/ART1/CNTN2/ART4/CNTN3/CNTN1/PRSS22	32
