IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022803	passive transmembrane transporter activity	85/1344	371/14734	6.7750754314404e-16	6.06369251113915e-13	5.19184727798801e-13	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/NOX5/GABRA5/RYR2/KCNN4/CLCNKB/GJB1/CFTR/KCNA1/GABRB3/SLC26A7/AQP4/SLC26A4/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/FXYD2/GJB3/HCN2/SLC5A8/KCNAB1/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/TMEM150C/KCNJ13/AQP9/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/FXYD3/CHRNA7/BCL2/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/BCL2A1/KCNJ1/PIEZO2/ANO3/GJA3/LOXHD1/MCUB/GRIK2/RYR3/GABRA6/ABCC9/CLCNKA	85
GO:0048018	receptor ligand activity	77/1344	342/14734	4.41039220411158e-14	1.31576700755995e-11	1.12658439459412e-11	CXCL14/WNT7A/CALCA/CCL21/PMCH/SST/SPX/GDF6/VEGFD/VGF/GAL/IL27/CSF2/LEFTY2/EBI3/GDF10/IGF1/LHB/TNFRSF11B/PYY/INHBC/TNFSF9/AGRP/TIMP1/DKK1/CKLF/KITLG/BMP8B/SAA1/IL36RN/LTB/RETN/SEMA3D/SAA2/TG/CD70/BMP5/IL23A/MACC1/CCL17/CCL20/NBL1/INSL3/NRG2/EDN3/CCL7/CARTPT/NPPC/UCN/C1QTNF12/PDGFD/TDGF1/CXCL5/CRLF1/KCNK3/IL1RN/IL32/FLRT2/EGF/COLEC10/LGALS3/FGF12/GDF15/BMP8A/MAPT/TDGF1P3/NDP/IL18/IL17C/WNT10A/SCGB3A1/OGN/NPY/CD320/EREG/WNT3A/FBN1	77
GO:0046873	metal ion transmembrane transporter activity	83/1344	387/14734	7.87233809175339e-14	1.40914851842386e-11	1.20653939595715e-11	TRPC5/KCNIP1/KCNK16/KCNG3/SLC9A4/KCNK2/SLC5A1/GPM6A/KCNK10/SLC6A12/KCNIP4/SLC34A2/CACNA2D1/TMEM38A/SLC6A20/CACNB4/SLC6A14/SLC11A1/RYR2/KCNN4/SLC30A2/KCNA1/SLC6A17/ABCC8/SLC5A7/NIPAL1/FAM155B/FAM155A/SLC10A4/SLC10A6/NIPAL4/SLC4A1/PKD2L1/FXYD2/ATP2C2/HCN2/KCNAB1/SLC6A4/KCNA2/KCNK17/SLC34A3/SLC30A8/SLC30A4/GRIK4/KCNMB2/HCN4/CACNA1B/ATP1A2/CACNB2/TRPM3/KCNK9/ITPR1/SLC5A4/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/KCNJ13/SLC4A4/SLC5A5/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/SLC1A2/CHRNA7/GRIN2C/KCNK7/CATSPER1/KCNJ1/SLC6A15/ATP1A3/LOXHD1/MCUB/GRIK2/RYR3/SLC9C2/ABCC9/ATP12A	83
GO:0030545	receptor regulator activity	79/1344	366/14734	2.23750823707069e-13	2.86081410311181e-11	2.44948270163528e-11	CXCL14/WNT7A/CALCA/CCL21/PMCH/SST/SPX/GDF6/VEGFD/VGF/GAL/IL27/CSF2/LEFTY2/EBI3/GDF10/IGF1/LHB/TNFRSF11B/PYY/INHBC/TNFSF9/AGRP/TIMP1/DKK1/CKLF/KITLG/BMP8B/SAA1/IL36RN/LTB/RETN/SEMA3D/SAA2/TG/CD70/BMP5/IL23A/MACC1/CCL17/CCL20/NBL1/INSL3/NRG2/EDN3/CCL7/CARTPT/LY6E/NPPC/UCN/C1QTNF12/PDGFD/TDGF1/CXCL5/CRLF1/KCNK3/IL1RN/IL32/FLRT2/EGF/COLEC10/LGALS3/FGF12/GDF15/BMP8A/MAPT/TDGF1P3/NDP/IL18/IL17C/WNT10A/SCGB3A1/OGN/NPY/CD320/EREG/CLEC12B/WNT3A/FBN1	79
GO:0004930	G-protein coupled receptor activity	60/1344	352/14734	1.46080588441235e-06	8.17138291593159e-05	6.99649134113284e-05	OR4D10/OR3A2/OR2L13/ADGRV1/GPR63/GAL/GPR61/GPR37L1/NPR3/CALCRL/SPHK1/HRH2/GPR83/HTR1B/GPR12/RORB/KISS1R/ADGRL2/OR2W3/SFRP1/GPR141/GPR20/AVPR1A/RAMP1/QRFPR/NPY4R/EDNRB/HTR1E/NPY5R/GRM3/UTS2R/GPR176/CHRM3/SCTR/ADGRF2/MLNR/OR2T8/GPR142/RXFP1/ADCYAP1R1/OR13A1/GPR158/DRD1/NMBR/CCR9/CHRM1/NPFFR1/P2RY6/GPR182/NPY/P2RY1/AGTR1/SUCNR1/ADGRF4/GPR45/GALR2/OR2A1/PTGER1/GPR17/S1PR4	60
GO:0005179	hormone activity	21/1344	75/14734	2.12461776132104e-06	0.000111854876257784	9.57722433586202e-05	CALCA/PMCH/SST/SPX/VGF/GAL/IGF1/LHB/PYY/INHBC/AGRP/RETN/TG/INSL3/EDN3/CARTPT/NPPC/UCN/C1QTNF12/NPY/FBN1	21
GO:0005544	calcium-dependent phospholipid binding	16/1344	49/14734	3.84610211000599e-06	0.000183127524046189	0.000156797221412086	ANXA8/SYT1/SYT9/DOC2B/SYT15/SYT13/SYT2/SYT16/ANXA3/C2CD4B/PCLO/C2CD4A/SYT3/SYT8/SYT12/ANXA2	16
GO:0016247	channel regulator activity	26/1344	117/14734	1.50550074154462e-05	0.000585836158122799	0.000501603908395645	KCNIP1/DPP10/NRXN1/DPP6/KCNIP4/PRKCB/GPLD1/AMBP/CFTR/FXYD2/KCNAB1/KCNMB2/GRM3/NRXN2/ITPR1/WNK3/CACNG4/PRKG1/FGF12/FXYD3/CHRNA7/NOS1/BCL2/NPY/MCUB/ABCC9	26
GO:0042562	hormone binding	20/1344	78/14734	1.57729940781238e-05	0.000588201237496698	0.000503628933722548	AR/NPR3/CALCRL/SLC18A3/AVPR1A/CRYM/CHRNA4/RAMP1/NPY4R/EDNRB/TSPO/CHRFAM7A/ATP1A2/CHRM3/SCTR/GHR/SULT2B1/CHRNA7/ATP1A3/GALR2	20
GO:0004252	serine-type endopeptidase activity	30/1344	148/14734	2.33945992498391e-05	0.00080531408956177	0.000689525030521575	KLK3/KLK10/PRSS21/KLK6/AZU1/TMPRSS4/MMP10/PROC/KLK2/PRTN3/ELANE/KLK7/TMPRSS6/GZMB/KLK15/MASP1/MMP7/LTF/MMP9/GZMM/COLEC10/CFB/GZMH/MMP12/TMPRSS5/MASP2/TMPRSS13/PCSK6/C1QA/PRSS22	30
