IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022803	passive transmembrane transporter activity	85/1344	371/14734	6.7750754314404e-16	6.06369251113915e-13	5.19184727798801e-13	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/NOX5/GABRA5/RYR2/KCNN4/CLCNKB/GJB1/CFTR/KCNA1/GABRB3/SLC26A7/AQP4/SLC26A4/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/FXYD2/GJB3/HCN2/SLC5A8/KCNAB1/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/TMEM150C/KCNJ13/AQP9/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/FXYD3/CHRNA7/BCL2/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/BCL2A1/KCNJ1/PIEZO2/ANO3/GJA3/LOXHD1/MCUB/GRIK2/RYR3/GABRA6/ABCC9/CLCNKA	85
GO:0015267	channel activity	84/1344	370/14734	1.77978743196778e-15	7.96454875805582e-13	6.81939605511865e-13	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/NOX5/GABRA5/RYR2/KCNN4/CLCNKB/GJB1/CFTR/KCNA1/GABRB3/SLC26A7/AQP4/SLC26A4/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/FXYD2/GJB3/HCN2/KCNAB1/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/TMEM150C/KCNJ13/AQP9/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/FXYD3/CHRNA7/BCL2/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/BCL2A1/KCNJ1/PIEZO2/ANO3/GJA3/LOXHD1/MCUB/GRIK2/RYR3/GABRA6/ABCC9/CLCNKA	84
GO:0048018	receptor ligand activity	77/1344	342/14734	4.41039220411158e-14	1.31576700755995e-11	1.12658439459412e-11	CXCL14/WNT7A/CALCA/CCL21/PMCH/SST/SPX/GDF6/VEGFD/VGF/GAL/IL27/CSF2/LEFTY2/EBI3/GDF10/IGF1/LHB/TNFRSF11B/PYY/INHBC/TNFSF9/AGRP/TIMP1/DKK1/CKLF/KITLG/BMP8B/SAA1/IL36RN/LTB/RETN/SEMA3D/SAA2/TG/CD70/BMP5/IL23A/MACC1/CCL17/CCL20/NBL1/INSL3/NRG2/EDN3/CCL7/CARTPT/NPPC/UCN/C1QTNF12/PDGFD/TDGF1/CXCL5/CRLF1/KCNK3/IL1RN/IL32/FLRT2/EGF/COLEC10/LGALS3/FGF12/GDF15/BMP8A/MAPT/TDGF1P3/NDP/IL18/IL17C/WNT10A/SCGB3A1/OGN/NPY/CD320/EREG/WNT3A/FBN1	77
GO:0022838	substrate-specific channel activity	78/1344	351/14734	6.29631483571497e-14	1.40880044449123e-11	1.20624136852645e-11	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/NOX5/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/SLC26A7/AQP4/SLC26A4/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/FXYD2/HCN2/KCNAB1/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/KCNJ13/AQP9/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/FXYD3/CHRNA7/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/KCNJ1/PIEZO2/ANO3/LOXHD1/MCUB/GRIK2/RYR3/GABRA6/ABCC9/CLCNKA	78
GO:0046873	metal ion transmembrane transporter activity	83/1344	387/14734	7.87233809175339e-14	1.40914851842386e-11	1.20653939595715e-11	TRPC5/KCNIP1/KCNK16/KCNG3/SLC9A4/KCNK2/SLC5A1/GPM6A/KCNK10/SLC6A12/KCNIP4/SLC34A2/CACNA2D1/TMEM38A/SLC6A20/CACNB4/SLC6A14/SLC11A1/RYR2/KCNN4/SLC30A2/KCNA1/SLC6A17/ABCC8/SLC5A7/NIPAL1/FAM155B/FAM155A/SLC10A4/SLC10A6/NIPAL4/SLC4A1/PKD2L1/FXYD2/ATP2C2/HCN2/KCNAB1/SLC6A4/KCNA2/KCNK17/SLC34A3/SLC30A8/SLC30A4/GRIK4/KCNMB2/HCN4/CACNA1B/ATP1A2/CACNB2/TRPM3/KCNK9/ITPR1/SLC5A4/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/KCNJ13/SLC4A4/SLC5A5/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/SLC1A2/CHRNA7/GRIN2C/KCNK7/CATSPER1/KCNJ1/SLC6A15/ATP1A3/LOXHD1/MCUB/GRIK2/RYR3/SLC9C2/ABCC9/ATP12A	83
GO:0005216	ion channel activity	76/1344	342/14734	1.33268176494167e-13	1.98791696603799e-11	1.70209179803077e-11	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/NOX5/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/SLC26A7/SLC26A4/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/FXYD2/HCN2/KCNAB1/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/KCNJ13/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/FXYD3/CHRNA7/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/KCNJ1/PIEZO2/ANO3/LOXHD1/MCUB/GRIK2/RYR3/GABRA6/ABCC9/CLCNKA	76
GO:0030545	receptor regulator activity	79/1344	366/14734	2.23750823707069e-13	2.86081410311181e-11	2.44948270163528e-11	CXCL14/WNT7A/CALCA/CCL21/PMCH/SST/SPX/GDF6/VEGFD/VGF/GAL/IL27/CSF2/LEFTY2/EBI3/GDF10/IGF1/LHB/TNFRSF11B/PYY/INHBC/TNFSF9/AGRP/TIMP1/DKK1/CKLF/KITLG/BMP8B/SAA1/IL36RN/LTB/RETN/SEMA3D/SAA2/TG/CD70/BMP5/IL23A/MACC1/CCL17/CCL20/NBL1/INSL3/NRG2/EDN3/CCL7/CARTPT/LY6E/NPPC/UCN/C1QTNF12/PDGFD/TDGF1/CXCL5/CRLF1/KCNK3/IL1RN/IL32/FLRT2/EGF/COLEC10/LGALS3/FGF12/GDF15/BMP8A/MAPT/TDGF1P3/NDP/IL18/IL17C/WNT10A/SCGB3A1/OGN/NPY/CD320/EREG/CLEC12B/WNT3A/FBN1	79
GO:0022836	gated channel activity	64/1344	269/14734	4.6369941569763e-13	5.18763721311724e-11	4.4417522977352e-11	KCNIP1/KCNK16/KCNG3/KCNK2/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/HCN2/KCNAB1/KCNA2/KCNK17/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/TMEM150C/KCNJ13/REST/CACNA2D2/CACNA2D3/KCND3/SCN3A/CHRNA7/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/KCNJ1/PIEZO2/ANO3/GRIK2/RYR3/GABRA6/CLCNKA	64
GO:0022839	ion gated channel activity	62/1344	266/14734	2.8181434949704e-12	2.80248714222056e-10	2.39954206355374e-10	KCNIP1/KCNK16/KCNG3/KCNK2/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/HCN2/KCNAB1/KCNA2/KCNK17/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/KCNJ13/REST/CACNA2D2/CACNA2D3/KCND3/SCN3A/CHRNA7/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/KCNJ1/ANO3/GRIK2/RYR3/GABRA6/CLCNKA	62
GO:0005261	cation channel activity	57/1344	254/14734	1.05748499131959e-10	9.46449067231033e-09	8.10367445979644e-09	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/CACNB4/NOX5/RYR2/KCNN4/KCNA1/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/HCN2/KCNAB1/KCNA2/KCNK17/GRIK4/KCNMB2/HCN4/CACNA1B/CACNB2/TRPM3/KCNK9/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/KCNJ13/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/CHRNA7/GRIN2C/KCNK7/CATSPER1/KCNJ1/PIEZO2/LOXHD1/MCUB/GRIK2/RYR3/ABCC9	57
