ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010469	regulation of signaling receptor activity	59/900	416/14834	8.0551026001209e-10	3.15632529392912e-06	2.79377968978596e-06	TNFSF8/LHB/CDC42EP2/CXCL10/NPFF/FGF10/WNT10B/VGF/FBN1/C1QTNF4/P2RY1/GAS6/PYY2/SPX/ADORA1/CRHBP/NETO1/FGF7/TNFSF15/IFNE/NRTN/CRLF1/IFNG/NOV/WNT9A/CXCL12/CXCL11/NTF4/ADRA2C/BMP6/IL17B/CCL4/C1QTNF12/IL27/AMH/CD70/MIA/CBLC/CXCL13/PENK/IL12A/WNT5A/GDF1/CCL18/PTN/SHANK1/CXCL9/EGF/FAM3D/ANGPTL8/CGB2/PPARGC1A/WNT9B/FAM3B/TNFSF9/NEURL1/C1QTNF9/CHGB/XCL1	59
GO:0007600	sensory perception	61/900	443/14834	1.34828077485225e-09	3.15632529392912e-06	2.79377968978596e-06	EYA3/GABRR2/OR7D2/SCN3B/NPFF/ATP2B2/WNT10B/TRPM3/VAX2/CST4/CNR1/TRPM5/CST1/P2RY1/SLC17A8/MYO9A/SPX/DRD2/OR2T8/CD36/ADORA1/CHRNA9/CHRNB2/PAX3/LRAT/OCLM/OR10R2/P2RX7/KCNA1/KIT/POMK/NOV/CXCL12/CRYBB3/ANO1/ADRA2C/RORB/RCVRN/GRIN2A/NTRK1/RGS9/MYO3A/LRP2/COCH/PENK/GRIN2D/KCND2/KCNQ4/SHANK1/TAS2R31/OR10G2/OPN4/RBP4/SCNN1B/VSX1/CST2/PHF24/CLDN19/HMCN1/MYO3B/SLITRK6	61
GO:0051480	regulation of cytosolic calcium ion concentration	42/900	279/14834	4.20088470817695e-08	4.91713555092112e-05	4.35233765686649e-05	CXCL10/NPFF/PIK3CG/RYR2/ATP2B2/GPER1/XCR1/P2RY1/DRD2/F2RL3/GTF2I/BOK/CD36/PTPRC/ESR1/CHRNA9/GLP1R/P2RX7/CCR5/OXTR/P2RY10/CXCL11/FAM155A/GRIN2A/ATP2B3/MCHR1/CXCL13/FAM155B/TRPC4/GRIN2D/CXCL9/SLC8A3/PTGFR/PTH1R/TRDN/CD38/AVPR1A/LPAR4/CCR4/XCL1/JPH1/CCR8	42
GO:0044057	regulation of system process	55/900	440/14834	2.46668774827659e-07	0.00023098064074862	0.000204449466630841	SCN3B/NPFF/FGF10/PIK3CG/RYR2/MYLK2/ATP2B2/GPER1/SNTA1/TNNI2/TNNC2/TNFRSF21/NPR1/HRH2/GAS6/SPX/DOCK5/DRD2/GTF2I/KCNG2/WNK3/ADORA1/ABCG5/CRHBP/GLP1R/MAG/S100A1/IL6ST/MYL9/OXTR/KCNA1/KIT/TNNT3/KCND3/NOV/SCN2B/ADRA2C/BMP6/ATP1B2/GRIN2A/MYH7/ATP2B3/GRIN2D/KCND2/KCNMB2/NOS1AP/SLC8A3/PPARGC1A/HCAR2/WNK4/TRDN/CD38/HSPB7/KCNE5/AVPR1A	55
GO:0030073	insulin secretion	30/900	181/14834	4.51769309417855e-07	0.000337948275534412	0.000299130457244763	NPFF/SFRP1/GPER1/VGF/CNR1/KCNC2/DRD2/NNAT/KCNG2/REST/GLP1R/RAPGEF3/IFNG/NOV/ANO1/ADRA2C/C1QTNF12/CACNA1E/SYBU/STXBP5L/SYT9/RIMS2/SLC30A8/FAM3D/GPLD1/RBP4/FAM3B/CD38/ILDR2/KCNB1	30
GO:0034765	regulation of ion transmembrane transport	49/900	388/14834	8.30003277038404e-07	0.000485759417886726	0.000429963539697395	SCN3B/CXCL10/PIK3CG/RYR2/GPER1/SNTA1/KCNA3/TCAF1/TRPM5/KCNC2/DRD2/F2RL3/KCNG2/WNK3/CRHBP/NETO1/SCN4A/S100A1/P2RX7/THBS1/KCNA1/KCND3/SCN2B/CXCL11/ATP1B2/KCNJ16/CACNA1E/KCNH1/HPCA/KCNG3/CLCNKA/KCND2/HSPA2/KCNJ15/KCNQ4/SHANK1/CXCL9/NOS1AP/PPARGC1A/WNK4/TRDN/CLCNKB/KCNE5/KCNF1/KCNK13/DRD4/XCL1/JPH1/KCNB1	49
GO:0042391	regulation of membrane potential	48/900	383/14834	1.33992456127935e-06	0.000602680262771955	0.000533454482909505	KCNT1/GABRR2/SCN3B/NPFF/RYR2/GPER1/SNTA1/TSPO/CNR1/DRD2/BOK/ADORA1/CHRNA9/CHRNB2/NETO1/SCN4A/P2RX7/S1PR2/KCNA1/MYOC/KCND3/SCN2B/NLGN4X/ATP1B2/GABRR1/GRIN2A/GRIA4/CACNA1E/KCNH1/GRIK4/RIMS2/PYCR1/GABRA1/GRIN2D/KCND2/KCNMB2/PTN/SHANK1/NOS1AP/SLC8A3/ZACN/CBLN1/TRDN/KCNE5/KCNK13/CLDN19/DRD4/KCNB1	48
GO:0007610	behavior	58/900	500/14834	1.41046240611e-06	0.000602680262771955	0.000533454482909505	HOXD9/NPW/BRINP1/ADAM22/TSPO/HRH2/CNR1/UNC79/P2RY1/PYY2/DRD2/GRPR/ETV1/EGR2/ADORA1/CRHBP/CHRNB2/SSTR3/NETO1/GLP1R/THBS1/OXTR/PTGDS/KIT/POMK/SNCG/CXCL12/ADRB3/NTF4/HOXD10/ADRA2C/SERPINF1/NLGN4X/FOS/GRIN2A/NTRK1/RAG1/BCHE/GPR37/MCHR1/PENK/CAMK4/GRIN2D/C1QL1/KCND2/PTN/SHANK1/SLC8A3/TTBK1/NCOA2/AVPR1A/STRN/GCNT4/SEZ6L/DRD4/TCF15/SLITRK6/TMOD1	58
GO:0015837	amine transport	16/900	67/14834	1.77531563012164e-06	0.000692668981685794	0.000613106810156922	CNR1/P2RY1/DRD2/ADORA1/CHRNB2/P2RX7/OXTR/RHCG/SNCG/CXCL12/ADRA2C/HRH3/ARG1/AVPR1A/DRD4/KCNB1	16
GO:0043588	skin development	37/900	269/14834	2.51630271071975e-06	0.000785421952772657	0.000695205878744115	KRT6C/GJB3/FGF10/MYSM1/ASCL4/KRTAP5-9/WNT10B/TCHH/POU3F1/HRNR/KRT9/SOX9/LATS1/FGF7/FLG/KRTAP5-10/HOXC13/SPINK5/FOSL2/CLDN1/KRT33A/KRTAP5-8/KRT1/KRT6B/WNT16/DSG1/KRT2/INTU/ACER1/WNT5A/KRT40/KRTAP5-1/KRT6A/TCF15/KRT36/KRT33B/ALOX12B	37
