ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022839	ion gated channel activity	49/899	282/14892	1.57865066301513e-11	9.66353318838703e-09	8.62045779517131e-09	KCNT1/GABRR2/SCN3B/RYR2/TRPM3/KCNA3/TRPM5/KCNC2/GAS6/KCNG2/REST/CHRNA9/CHRNB2/SCN4A/P2RX7/TMEM63C/KCNA1/TMEM38A/CLCN4/KCND3/CLCA2/SCN2B/FAM155A/ANO1/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/FAM155B/CLCNKA/GRIN2D/KCND2/KCNJ15/KCNMB2/KCNQ4/ZACN/SCNN1B/CLCNKB/KCNE5/KCNF1/KCNK13/KCNN1/JPH1/KCNB1	49
GO:0022836	gated channel activity	49/899	285/14892	2.33983854440364e-11	9.66353318838703e-09	8.62045779517131e-09	KCNT1/GABRR2/SCN3B/RYR2/TRPM3/KCNA3/TRPM5/KCNC2/GAS6/KCNG2/REST/CHRNA9/CHRNB2/SCN4A/P2RX7/TMEM63C/KCNA1/TMEM38A/CLCN4/KCND3/CLCA2/SCN2B/FAM155A/ANO1/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/FAM155B/CLCNKA/GRIN2D/KCND2/KCNJ15/KCNMB2/KCNQ4/ZACN/SCNN1B/CLCNKB/KCNE5/KCNF1/KCNK13/KCNN1/JPH1/KCNB1	49
GO:0004930	G-protein coupled receptor activity	54/899	355/14892	2.71557559358501e-10	7.47688480100407e-08	6.66983479126144e-08	OR7D2/GPR26/SFRP1/GPER1/FZD8/NPR1/HRH2/CNR1/XCR1/P2RY1/DRD2/F2RL3/GRPR/NPFFR2/OR2T8/ADORA1/CYSLTR2/SSTR3/ADGRG2/OR10R2/GLP1R/CCR5/OXTR/S1PR2/GNRHR/PDGFRL/P2RY10/ADRB3/ADRA2C/GRM4/RORB/ADGRG3/RAMP1/CXCR6/OXGR1/GPR37/MCHR1/GPR15/TAS2R31/HRH3/OR10G2/HCAR2/PTGFR/OPN4/HTR7/PTH1R/GPR21/AVPR1A/LPAR4/CCR4/DRD4/GPR174/RAMP2/CCR8	54
GO:0005216	ion channel activity	52/899	359/14892	3.3788953729617e-09	4.02767545543881e-07	3.59293082554756e-07	KCNT1/GABRR2/SCN3B/RYR2/TRPM3/KCNA3/TRPM5/KCNC2/GAS6/KCNG2/REST/CHRNA9/CHRNB2/GJD3/SCN4A/P2RX7/TMEM63C/KCNA1/TMEM38A/CLCN4/KCND3/CLCA2/SCN2B/FAM155A/ANO1/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/FAM155B/CLCNKA/TRPC4/GRIN2D/KCND2/KCNJ15/KCNMB2/KCNQ4/BEST3/ZACN/SCNN1B/CLCNKB/KCNE5/KCNF1/KCNK13/KCNN1/JPH1/KCNB1	52
GO:0015267	channel activity	55/899	391/14892	3.47103995490599e-09	4.02767545543881e-07	3.59293082554756e-07	KCNT1/GABRR2/SCN3B/GJB3/RYR2/TRPM3/KCNA3/TRPM5/AQP7P3/KCNC2/GAS6/KCNG2/REST/CHRNA9/CHRNB2/GJD3/SCN4A/P2RX7/TMEM63C/KCNA1/TMEM38A/CLCN4/KCND3/CLCA2/SCN2B/FAM155A/ANO1/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/FAM155B/CLCNKA/TRPC4/GRIN2D/KCND2/KCNJ15/KCNMB2/KCNQ4/BEST3/ZACN/GJB7/SCNN1B/CLCNKB/KCNE5/KCNF1/KCNK13/KCNN1/JPH1/KCNB1	55
GO:0005261	cation channel activity	43/899	268/14892	3.59056320764231e-09	4.02767545543881e-07	3.59293082554756e-07	KCNT1/SCN3B/RYR2/TRPM3/KCNA3/TRPM5/KCNC2/GAS6/KCNG2/REST/CHRNA9/CHRNB2/SCN4A/P2RX7/TMEM63C/KCNA1/TMEM38A/KCND3/SCN2B/FAM155A/ANO1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/FAM155B/TRPC4/GRIN2D/KCND2/KCNJ15/KCNMB2/KCNQ4/ZACN/SCNN1B/KCNE5/KCNF1/KCNK13/KCNN1/JPH1/KCNB1	43
GO:0022803	passive transmembrane transporter activity	55/899	392/14892	3.8091364465399e-09	4.02767545543881e-07	3.59293082554756e-07	KCNT1/GABRR2/SCN3B/GJB3/RYR2/TRPM3/KCNA3/TRPM5/AQP7P3/KCNC2/GAS6/KCNG2/REST/CHRNA9/CHRNB2/GJD3/SCN4A/P2RX7/TMEM63C/KCNA1/TMEM38A/CLCN4/KCND3/CLCA2/SCN2B/FAM155A/ANO1/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/FAM155B/CLCNKA/TRPC4/GRIN2D/KCND2/KCNJ15/KCNMB2/KCNQ4/BEST3/ZACN/GJB7/SCNN1B/CLCNKB/KCNE5/KCNF1/KCNK13/KCNN1/JPH1/KCNB1	55
GO:0048018	receptor ligand activity	51/899	350/14892	3.90089632488021e-09	4.02767545543881e-07	3.59293082554756e-07	TNFSF8/LHB/CDC42EP2/CXCL10/NPFF/FGF10/WNT10B/LGALS3/VGF/FBN1/C1QTNF4/GAS6/PYY2/SPX/FGF7/TNFSF15/IFNE/NRTN/CRLF1/IFNG/NOV/WNT9A/CXCL12/CXCL11/NTF4/BMP6/IL17B/CCL4/C1QTNF12/IL27/AMH/CD70/MIA/CXCL13/PENK/IL12A/WNT5A/GDF1/CCL18/PTN/CXCL9/EGF/FAM3D/ANGPTL8/CGB2/WNT9B/FAM3B/TNFSF9/C1QTNF9/CHGB/XCL1	51
GO:0030545	receptor regulator activity	53/899	374/14892	5.18469782630191e-09	4.75840044947264e-07	4.24478184609513e-07	TNFSF8/LHB/CDC42EP2/CXCL10/NPFF/FGF10/WNT10B/LGALS3/VGF/FBN1/C1QTNF4/GAS6/PYY2/SPX/FGF7/TNFSF15/IFNE/NRTN/CRLF1/IFNG/NOV/WNT9A/CXCL12/CXCL11/ANGPT4/NTF4/BMP6/IL17B/CCL4/C1QTNF12/IL27/AMH/CD70/MIA/CXCL13/PENK/DKKL1/IL12A/WNT5A/GDF1/CCL18/PTN/CXCL9/EGF/FAM3D/ANGPTL8/CGB2/WNT9B/FAM3B/TNFSF9/C1QTNF9/CHGB/XCL1	53
GO:0022838	substrate-specific channel activity	52/899	371/14892	1.05937880101418e-08	8.75046889637715e-07	7.8059490601045e-07	KCNT1/GABRR2/SCN3B/RYR2/TRPM3/KCNA3/TRPM5/KCNC2/GAS6/KCNG2/REST/CHRNA9/CHRNB2/GJD3/SCN4A/P2RX7/TMEM63C/KCNA1/TMEM38A/CLCN4/KCND3/CLCA2/SCN2B/FAM155A/ANO1/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/FAM155B/CLCNKA/TRPC4/GRIN2D/KCND2/KCNJ15/KCNMB2/KCNQ4/BEST3/ZACN/SCNN1B/CLCNKB/KCNE5/KCNF1/KCNK13/KCNN1/JPH1/KCNB1	52
