IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048018	receptor ligand activity	75/1199	360/14973	7.82819939110742e-15	6.99058205625893e-12	6.32848119196895e-12	PF4/IL24/WNT9B/CCL26/C10orf99/UTS2/CALCA/TRH/EBI3/PGF/CSF2/IL18/CXCL13/CD70/LIF/SEMA3E/NPFF/GREM2/GDF7/INHA/FGF14/IL6/IFNE/C1QTNF12/LTB/TNFRSF11B/CCL18/FGF17/CCL11/IL17C/CCL7/ENDOU/SCG2/SEMA3D/PF4V1/SAA4/VGF/CCL25/PPBP/CCL5/SAA2/GMFG/NTS/POMC/THPO/DKK1/IL10/TNFSF9/F2/CXCL14/WNT9A/FGF8/WNT10A/OGN/BTC/IL11/SAA1/APOA1/TNFSF15/CCL4/FGF3/CCL8/BMP7/SLURP1/TNFSF8/SFRP2/GPHA2/PRL/GRP/TIMP1/NDP/IL27/IFNG/FGF19/CCL3	75
GO:0030545	receptor regulator activity	77/1199	385/14973	3.3845081701274e-14	1.51118289796188e-11	1.36805382876729e-11	PF4/IL24/WNT9B/CCL26/C10orf99/UTS2/CALCA/TRH/EBI3/PGF/CSF2/IL18/CXCL13/CD70/LIF/SEMA3E/NPFF/GREM2/GDF7/AGTR2/INHA/FGF14/IL6/IFNE/C1QTNF12/LTB/TNFRSF11B/CCL18/FGF17/CCL11/IL17C/CCL7/ENDOU/SCG2/SEMA3D/PF4V1/SAA4/VGF/CCL25/PPBP/CCL5/SAA2/GMFG/NTS/POMC/THPO/DKK1/IL10/TNFSF9/F2/CXCL14/WNT9A/FGF8/WNT10A/OGN/BTC/IL11/SAA1/APOA1/TNFSF15/CCL4/FGF3/LY6G6D/CCL8/BMP7/SLURP1/TNFSF8/SFRP2/GPHA2/PRL/GRP/TIMP1/NDP/IL27/IFNG/FGF19/CCL3	77
GO:0005125	cytokine activity	42/1199	170/14973	2.54103923032593e-11	7.5638267756035e-09	6.84743203119407e-09	PF4/IL24/CCL26/C10orf99/EBI3/CSF2/IL18/CXCL13/CD70/LIF/GREM2/GDF7/INHA/IL6/IFNE/LTB/TNFRSF11B/CCL18/CCL11/IL17C/CCL7/SCG2/PF4V1/CCL25/PPBP/CCL5/THPO/IL10/TNFSF9/CXCL14/IL11/TNFSF15/CCL4/CCL8/BMP7/SLURP1/TNFSF8/TIMP1/NDP/IL27/IFNG/CCL3	42
GO:0004930	G-protein coupled receptor activity	53/1199	330/14973	7.70048645107094e-07	0.000116118962524248	0.000105120956231063	GRM7/PTGFR/DRD1/SORCS3/MC4R/GCGR/ADRA2B/NPR3/GPBAR1/GPR63/GIPR/C5AR2/GPR27/CX3CR1/CHRM4/AGTR2/GPR156/GABBR2/GPR157/PTGER3/GRIK3/ADORA1/PTH1R/RXFP4/GPR22/MLNR/GPR55/P2RY12/ADGRF4/AVPR1A/OR1F1/TACR1/GPR135/AVPR1B/NTSR1/GRM5/LPAR3/GPR141/GRM1/AVPR2/HRH3/ADGRD1/ADRA2A/SPHK1/RORB/S1PR5/SFRP2/NPY1R/SFRP4/CYSLTR2/ADCYAP1R1/OR2B6/P2RY1	53
GO:0045503	dynein light chain binding	11/1199	24/14973	7.80194597027422e-07	0.000116118962524248	0.000105120956231063	DNAI2/DYNC2H1/DNAH9/DNAH6/WDR63/DNAH7/DNAH3/DNAH10/DNAH5/DNAI1/DNAH11	11
GO:0005539	glycosaminoglycan binding	34/1199	189/14973	6.21988435147731e-06	0.000617150747318804	0.000558698383851997	PF4/EPYC/JCHAIN/VIT/AOC1/SPOCK3/NCAN/AZU1/PGF/CXCL13/FGFR4/PRG2/GREM2/LTF/LIPH/ABI3BP/CCL7/FGFR2/PF4V1/SLIT2/TNXB/ADAMTS8/VTN/TNFAIP6/F2/PLA2G5/TENM1/PGLYRP4/SAA1/FGFRL1/CCL8/BMP7/APOE/LIPC	34
GO:0008201	heparin binding	27/1199	139/14973	1.31124890426905e-05	0.000975787726260219	0.000883367682875992	PF4/AOC1/AZU1/PGF/CXCL13/FGFR4/PRG2/GREM2/LTF/LIPH/ABI3BP/CCL7/FGFR2/PF4V1/SLIT2/TNXB/ADAMTS8/VTN/F2/PLA2G5/TENM1/SAA1/FGFRL1/CCL8/BMP7/APOE/LIPC	27
GO:0042562	hormone binding	18/1199	77/14973	2.78578713268223e-05	0.00191362146883479	0.00173237612785421	AR/ATP1A2/CHRND/SLC18A3/MC4R/GCGR/NPR3/GIPR/AGTR2/ATP1A3/CHRNA6/PTH1R/PIK3R1/AVPR1A/SLC40A1/CHRNA7/PRLR/EGFR	18
GO:0008569	ATP-dependent microtubule motor activity, minus-end-directed	8/1199	18/14973	3.48757013109304e-05	0.0019646309599233	0.0017785543433973	DYNC2H1/DNAH9/DNAH6/DNAH7/DNAH3/DNAH10/DNAH5/DNAH11	8
GO:0008236	serine-type peptidase activity	30/1199	171/14973	3.52005547130715e-05	0.0019646309599233	0.0017785543433973	DPP10/PCSK2/MMP13/PLG/AZU1/RELN/MASP1/LTF/PRSS12/MMP3/C1QB/KLK14/C1QA/ENDOU/GZMA/KLK11/MMP1/F2/GZMM/GZMH/KLK6/CTSV/CPVL/DPP6/TMPRSS6/KLK5/GZMB/KLKB1/KLK4/PCSK1	30
