IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031012	extracellular matrix	61/594	387/14672	2.91750614630697e-20	1.21076505071739e-17	1.07487068548152e-17	COL9A3/COL12A1/RELN/FBN1/VWC2/A1BG/COL15A1/COL10A1/COL4A4/THBS4/COL14A1/ABI3BP/COL3A1/ECM2/COL8A1/SNORC/SDC2/PTN/OGN/NDNF/P3H2/LRRN3/ANG/TGFB2/TPSB2/ANOS1/KAZALD1/THSD4/MAMDC2/VTN/SPON1/VCAN/GPC3/SMOC2/TGFB1I1/L1CAM/PODN/TFF3/FREM1/NTN1/COL4A3/SPOCK2/OMG/WNT6/ADAMTSL3/LUM/APOA1/HTRA1/COL5A3/SLITRK2/FBN2/PODNL1/HMCN1/LMCD1/SBSPON/SLIT1/LAMA2/SPARCL1/SLIT2/ADAMTSL1/COL20A1	61
GO:0005578	proteinaceous extracellular matrix	51/594	308/14672	5.02907981586362e-18	1.0435340617917e-15	9.26409439764352e-16	COL9A3/COL12A1/RELN/FBN1/VWC2/COL15A1/COL10A1/COL4A4/THBS4/COL14A1/ABI3BP/COL3A1/ECM2/COL8A1/SNORC/PTN/OGN/NDNF/P3H2/LRRN3/ANG/ANOS1/KAZALD1/THSD4/MAMDC2/VTN/SPON1/VCAN/GPC3/SMOC2/PODN/TFF3/FREM1/NTN1/COL4A3/SPOCK2/OMG/WNT6/ADAMTSL3/LUM/COL5A3/SLITRK2/FBN2/PODNL1/HMCN1/SBSPON/SLIT1/LAMA2/SPARCL1/SLIT2/ADAMTSL1	51
GO:0044420	extracellular matrix component	23/594	112/14672	9.60107054321768e-11	1.32814809181178e-08	1.17907883864077e-08	COL12A1/FBN1/VWC2/COL15A1/COL4A4/THBS4/COL14A1/COL3A1/COL8A1/PTN/P3H2/ANG/THSD4/VTN/SMOC2/FREM1/NTN1/COL4A3/LUM/COL5A3/FBN2/HMCN1/LAMA2	23
GO:0005788	endoplasmic reticulum lumen	32/594	259/14672	1.84915070847164e-08	1.91849386003933e-06	1.70316512622388e-06	COL9A3/COL12A1/FBN1/COL15A1/COL10A1/SLC27A2/COL4A4/COL14A1/COL3A1/COL8A1/SDC2/RCN3/P3H2/CHRDL1/IGFBP5/MXRA8/VTN/SPON1/VCAN/GPC3/CP/COL4A3/WNT6/PDGFD/APOA1/C4A/COL5A3/MSLN/SPARCL1/F5/ADAMTSL1/COL20A1	32
GO:0005581	collagen trimer	16/594	75/14672	3.95271213878893e-08	3.28075107519481e-06	2.91252473384447e-06	COL9A3/COL12A1/COL15A1/COL10A1/COL4A4/COL14A1/COL3A1/COL8A1/C1QTNF7/COLEC12/COL4A3/C1QL3/LUM/COL5A3/C1QL4/COL20A1	16
GO:0005604	basement membrane	16/594	86/14672	2.95499412823489e-07	2.0438709386958e-05	1.81447007874072e-05	FBN1/VWC2/COL15A1/COL4A4/THBS4/COL8A1/PTN/P3H2/ANG/VTN/SMOC2/FREM1/NTN1/COL4A3/HMCN1/LAMA2	16
GO:0043235	receptor complex	32/594	324/14672	3.04517500233153e-06	0.000180535375138226	0.000160272368543765	TEK/VWC2/PLXNA4/PLXDC1/CHRNA3/PTPRB/ITGA10/GFRA1/ITGA2/LEPR/ITGA8/GRIN2A/ITGA1/EPHA4/KDR/KIT/CD40/EPHB3/NTRK3/BMPR1B/ITGA4/CSF2RB/GABRD/GABRB3/GFRA2/TLR7/ROR2/SKAP1/PDGFRA/LRP2/EGF/GRIK2	32
GO:0045177	apical part of cell	30/594	297/14672	3.93970260135985e-06	0.000204372072445542	0.000181433672431046	ABCB1/TEK/EPCAM/PODXL/RHCG/NHS/CDHR5/UPK2/HOMER2/ITGA8/ABCC2/CA2/PROM1/ANK2/MYO5B/MTCL1/UPK1A/ATP6V0A4/FAT4/ATP1B2/F2RL2/PTPRO/ATP1B1/SCNN1A/CLDN1/SLC26A4/SLC9A3/SLC6A20/KCNMA1/LRP2	30
GO:0016324	apical plasma membrane	25/594	243/14672	1.8275572755708e-05	0.000842706965957646	0.000748122861344771	ABCB1/TEK/EPCAM/PODXL/RHCG/NHS/CDHR5/UPK2/ABCC2/PROM1/ANK2/MTCL1/UPK1A/ATP6V0A4/ATP1B2/F2RL2/PTPRO/ATP1B1/SCNN1A/CLDN1/SLC26A4/SLC9A3/SLC6A20/KCNMA1/LRP2	25
GO:0022625	cytosolic large ribosomal subunit	11/594	64/14672	4.60493940574879e-05	0.00191104985338575	0.00169655662317061	RPL24/RPL29/RPL15/RPL14/RPL13AP3/RPL32/RPL35A/RPL18/RPL39L/RPL9/RPL39	11
