IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04974	Protein digestion and absorption	15/262	69/5904	2.24293283935717e-07	5.65219075518008e-05	4.91084242722413e-05	1299/1303/1306/1300/1286/7373/1281/477/482/481/1285/6550/50509/6546/6519	15
hsa04512	ECM-receptor interaction	12/262	73/5904	7.40345611465653e-05	0.00818724451992644	0.00711339540578404	1299/5649/1286/7060/8515/3673/8516/3672/7448/3676/1285/3908	12
hsa04972	Pancreatic secretion	11/262	64/5904	9.74671966657909e-05	0.00818724451992644	0.00711339540578404	5578/1131/23236/760/477/482/952/5319/481/3778/108	11
hsa04970	Salivary secretion	11/262	66/5904	0.000130108023561303	0.00819680548436208	0.0071217023423029	5578/2983/1131/23236/2982/477/482/952/481/3778/108	11
hsa04976	Bile secretion	9/262	49/5904	0.000250634412145981	0.0106499179636094	0.00925306155568406	5243/10998/1244/760/477/482/481/6550/108	9
hsa04918	Thyroid hormone synthesis	10/262	60/5904	0.000263357327273249	0.0106499179636094	0.00925306155568406	5578/23236/477/482/481/7276/5172/4036/108/6528	10
hsa04151	PI3K-Akt signaling pathway	27/262	299/5904	0.000295831054544707	0.0106499179636094	0.00925306155568406	1299/7010/5649/1286/7060/3481/5578/7039/8515/3673/2323/8516/3672/5294/2149/118788/3791/3815/284/7448/3676/1285/3082/80310/5156/1950/3908	27
hsa04540	Gap junction	11/262	78/5904	0.000587500794848586	0.0185062750377305	0.0160789691221718	5578/2983/23236/2982/51807/10381/80310/5156/347733/1950/108	11
hsa04971	Gastric acid secretion	9/262	61/5904	0.00132799117161063	0.0346047950204101	0.0300659873193204	5578/1131/23236/760/495/477/482/481/108	9
hsa04510	Focal adhesion	18/262	187/5904	0.00150185290602525	0.0346047950204101	0.0300659873193204	1299/5649/1286/7060/5578/8515/3673/8516/3672/3791/7448/3676/1285/3082/80310/5156/1950/3908	18
hsa05414	Dilated cardiomyopathy (DCM)	10/262	75/5904	0.00161153020376475	0.0346047950204101	0.0300659873193204	8515/3673/8516/3672/7042/3676/108/6546/3908/7137	10
hsa04514	Cell adhesion molecules (CAMs)	14/262	131/5904	0.00187563649552207	0.0346047950204101	0.0300659873193204	6383/8516/25945/958/23562/3676/57502/1462/3897/6401/5788/3112/9076/9379	14
hsa04964	Proximal tubule bicarbonate reclamation	5/262	21/5904	0.00187639187922601	0.0346047950204101	0.0300659873193204	760/477/482/481/6550	5
hsa04961	Endocrine and other factor-regulated calcium reabsorption	7/262	41/5904	0.00192248861224501	0.0346047950204101	0.0300659873193204	2099/5578/23236/477/482/481/6546	7
hsa04911	Insulin secretion	9/262	67/5904	0.00259646946267407	0.0422574217768771	0.0367148860885148	3780/5578/1131/23236/477/482/481/3778/108	9
hsa04080	Neuroactive ligand-receptor interaction	16/262	166/5904	0.00268301090646839	0.0422574217768771	0.0367148860885148	1136/1131/1909/552/3953/2903/2149/2918/2563/2562/2151/6869/10888/5734/2898/2894	16
hsa04020	Calcium signaling pathway	15/262	153/5904	0.00306985392735157	0.0455060699819174	0.0395374375782741	5578/51196/1131/1909/552/23236/2903/773/2149/5137/952/6869/5156/108/6546	15
hsa04015	Rap1 signaling pathway	17/262	186/5904	0.0034938796130216	0.046654122961281	0.0405349105093837	7010/9732/5578/57568/51196/23236/2903/2149/3791/3815/284/3082/80310/8631/5156/1950/108	17
hsa05410	Hypertrophic cardiomyopathy (HCM)	9/262	70/5904	0.00351757276295373	0.046654122961281	0.0405349105093837	8515/3673/8516/3672/7042/3676/6546/3908/7137	9
hsa04610	Complement and coagulation cascades	8/262	58/5904	0.00376505581514622	0.0474397032708424	0.0412174531342324	3426/2149/7448/2151/720/629/2153/7056	8
