Cluster	Name	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
NA	NA	NA	19	39	26	63	27	105	0	110	27	79	23	25	37	99	82	48	36	63	48	14	50	30	20	65	77	57	107	81	43	31	37	12	NA
1	proteinaceous extracellular matrix	31	1.02036213163105e-05	1.46177923518492e-07	5.62240189700369e-06	1.83403462494108e-36	0.000580557650572876	9.98514490251814e-54	NA	1.33367539764762e-36	4.97472588604055e-06	3.69480966708418e-32	3.4637604347723e-08	0.000349374049689464	1.10628871345968e-07	7.53620862327064e-16	1.81478774487613e-05	0.0013294539462051	6.66643519379596e-07	2.32692306921706e-47	5.38852967302508e-22	6.11431095671536e-06	2.40920754469633e-25	1.7634514993152e-18	NA	1.39244947442634e-51	1.21075534493231e-10	1.77240535655069e-33	9.87670900332848e-54	1.27603916357253e-10	5.96977050993374e-10	6.27225168839787e-05	0.000456977974540108	0.0364264044265018	9.26409439764352e-16
1	extracellular matrix	31	1.02036213163105e-05	1.3626728649267e-09	1.56325139146886e-07	4.81741654766011e-39	5.37570215897555e-08	1.05565935505314e-58	NA	1.73035552826489e-43	4.94243114467641e-07	1.71966500749246e-37	4.05158314220838e-11	0.000100413879262832	2.47498973602612e-11	1.42794849560761e-26	3.6703713850638e-06	0.00674885731288338	3.24425290394362e-10	3.28348865021487e-53	1.3401174420763e-21	7.26776746978723e-09	1.26586291998753e-25	9.67685289631611e-18	NA	2.63388424603353e-53	1.31437085796328e-12	1.13262771762857e-37	2.11287204712374e-63	9.818034141021e-12	5.96977050993374e-10	2.7091524117027e-06	9.91426317510235e-05	0.0451260675090212	1.07487068548152e-17
1	synaptic membrane	28	0.00656371955181722	0.0103617642189987	0.000155690151980097	3.47681933059382e-06	NA	1.27147646956325e-13	NA	3.73455588713382e-09	0.0213427096375416	6.51115506564091e-10	0.000542718271328247	0.00591205204547782	NA	4.61292306754087e-10	4.16900349272411e-11	0.00199815965622347	NA	0.000151731458598777	1.42757084688933e-08	0.00416706067384046	0.00201869762107781	0.0161102856170679	NA	0.0008545581089166	1.34978221405373e-07	5.14362788086364e-05	2.6363570542937e-16	1.31730204220984e-06	5.06323325413752e-05	0.000516288022164109	0.00227158141620252	0.0364264044265018	0.0385293992865104
1	postsynaptic membrane	28	0.0204254428376203	0.0245552123335239	0.000309608065918689	3.27202937083782e-05	NA	7.41095043369646e-12	NA	4.89932133915672e-08	0.0366844758198031	7.69443253387972e-10	0.0127250262749784	0.0206708331565876	NA	1.21941316342083e-07	1.1632361521124e-06	0.0013294539462051	NA	0.000334622734121831	3.26092186332858e-07	0.00131652408406605	0.00201869762107781	0.023550228538071	NA	0.00104833636110687	9.03084836028014e-05	0.00101687346699978	1.6985624876839e-12	2.69398029149489e-06	2.74072272776115e-05	0.00073793860366776	0.00227158141620252	0.00819079987103917	0.0385293992865104
1	transmembrane transporter complex	28	0.0245196465841135	0.0242884882800163	0.000209195474099675	2.04020154096746e-09	NA	3.07662458048152e-14	NA	3.35077650529475e-10	0.0157179513103342	4.28267630009755e-13	NA	0.00256695308595448	0.00120009076387124	0.000484664435187957	1.2574589819113e-12	3.11168074727615e-05	6.66643519379596e-07	7.35132444237381e-06	6.73489816926442e-07	0.0158945052348347	6.11181339366055e-06	3.80769615059639e-05	NA	5.47029275227569e-05	3.88351831687987e-12	9.43562520214646e-10	1.04748184860261e-14	7.7594725535564e-11	3.23968823215711e-09	1.41298761337133e-06	0.00126820132365388	0.00819079987103917	NA
1	transporter complex	28	0.0245196465841135	0.0339268831860281	0.00038080775182753	6.42732956530895e-09	NA	1.4153780099075e-13	NA	1.00544290923995e-09	0.0213427096375416	8.69482672030974e-13	NA	0.00384641054494134	0.00154744374258161	0.0010339205586154	2.72124742450153e-12	5.18170103306363e-05	1.03354956565478e-06	1.37787899519412e-05	1.51731040570661e-06	0.0216155563357586	8.1186519643602e-06	7.97185763723687e-05	NA	0.000130059155758774	4.12493675902851e-12	1.84696535032378e-09	8.41020467005879e-14	1.48034058510168e-10	7.36249125041913e-09	1.73613991095068e-06	0.0021282315211014	0.00819079987103917	NA
1	ion channel complex	27	0.0204254428376203	0.0417636294992596	0.000242066334066243	6.42732956530895e-09	NA	5.27461311213721e-14	NA	1.67329068096904e-09	0.0125150005024442	8.22830985833737e-13	NA	0.00259114093125642	0.00202474377087709	9.899187755085e-05	1.68132939145728e-12	1.80651421641873e-05	2.20536401560192e-06	7.15892743719262e-05	4.64604359826824e-07	NA	2.86865500623371e-06	1.4984071227802e-05	NA	0.000223230173971887	4.90851023098835e-12	1.84696535032378e-09	1.59531252733747e-14	1.75986539613076e-10	4.56312532030265e-09	2.7091524117027e-06	0.00227158141620252	0.00819079987103917	NA
1	receptor complex	27	0.0426019365741745	0.0175295809190101	0.00104105345574662	2.59555937259375e-08	9.37787438401685e-07	3.07662458048152e-14	NA	8.81549047823557e-11	0.00646591879898667	4.95022205108248e-12	NA	NA	0.0210598598097873	5.51623596326782e-11	1.77632833617112e-14	0.000238118376612749	3.75930217386958e-05	2.79427007253551e-10	8.81583714027132e-15	NA	4.62590960280556e-05	7.21257640620208e-10	NA	2.14557754300814e-07	3.24557335343963e-05	1.17200861046458e-06	3.00092945628617e-11	3.26211081219008e-07	1.41977850485921e-05	0.0299483745782538	0.00126820132365388	NA	0.000160272368543765
1	collagen trimer	23	0.01699226566034	0.000223922721102116	0.00234950582467731	3.0569554758259e-07	0.0151755592195164	5.966725448267e-19	NA	7.18800354427592e-11	4.97472588604055e-06	1.15028232978853e-08	0.017810118662399	NA	0.000683895766977968	4.0023969758103e-07	0.0147549655341727	NA	NA	1.58432386851352e-21	7.32368735248213e-13	NA	5.67645007681824e-09	3.6543051612486e-10	NA	1.03779628286205e-18	9.03084836028014e-05	2.44099059086717e-09	2.0692124869737e-16	1.79799400756945e-05	NA	NA	NA	NA	2.91252473384447e-06
1	cation channel complex	23	NA	NA	0.0013253929503602	1.21808352905835e-09	NA	2.77091989519391e-15	NA	2.0313685042097e-12	NA	3.03015517616601e-12	NA	0.00386590820647081	0.00499113664853869	0.000125623628258162	3.35156966633832e-09	3.11168074727615e-05	1.49824437795332e-05	1.97181523786649e-05	4.64604359826824e-07	NA	2.41245044778969e-05	0.000157912179650865	NA	5.09014579783341e-05	1.31437085796328e-12	1.39778569961195e-09	2.98990492664251e-17	2.14255808319877e-08	1.60083684952691e-06	2.61562626241544e-05	0.00593162523070899	NA	NA
1	neuronal cell body	22	NA	0.00753741647308093	NA	0.000901908299979329	NA	1.35137114759326e-10	NA	8.66117862452271e-06	NA	0.00142990836817728	0.0271740769215686	NA	0.0335240138939071	7.25503537869868e-07	5.55540326405661e-07	0.00138538423254545	NA	0.000950681474420666	0.00117653993073641	0.00698944688869054	0.00196177601241821	0.0427521666172786	NA	0.00216234722021241	0.000808753705108932	0.009480777242353	7.55803792935135e-08	0.0164155204347486	0.00226018663650135	0.020912455074447	NA	NA	NA
1	postsynapse	22	NA	0.0300121029893937	0.00821490095556748	8.10925484058688e-06	NA	1.27147646956325e-13	NA	2.98228156317996e-07	0.00646591879898667	2.11309534243405e-08	NA	NA	NA	1.03217540806217e-05	1.25286888487286e-07	0.000238118376612749	NA	0.00352652365968176	3.89020346518868e-06	0.000325841849449528	0.00429655924113146	NA	NA	5.09014579783341e-05	0.000588300980879783	NA	1.15748135543349e-14	0.000194497420200997	0.000806423953520279	0.00538967567927999	0.0340711616705525	0.011955107351158	NA
1	apical plasma membrane	21	0.0295914175032956	NA	0.00394545298423026	0.0003119883943256	0.0194159593195376	0.0339668619820125	NA	0.00617459029137031	NA	NA	0.0154793565304346	0.0165741310818789	0.0147200052672219	9.37983188511065e-05	0.0354611255262034	5.03533585800432e-08	0.00312585445216498	0.000846748571865905	8.24645700395514e-05	NA	NA	NA	NA	NA	0.000192221853146511	0.000258217028843616	NA	0.0118441549752616	0.018607769173058	7.45117112375963e-05	NA	NA	0.000748122861344771
1	endoplasmic reticulum lumen	21	0.0426019365741745	NA	NA	0.000342880842097179	9.37787438401685e-07	6.95471495874173e-12	NA	7.91600499239254e-07	0.00105736311677765	0.000292152964731325	0.00504858433136865	NA	0.0149327294480793	4.85259959913355e-07	NA	NA	NA	4.76832589720716e-09	3.88353718434295e-05	NA	0.000154134812357702	4.83536275305424e-07	NA	1.82664466832984e-10	0.00267368818050992	0.0139070730056069	5.93133692194579e-10	0.000763460702841228	NA	0.0306447915496745	NA	NA	1.70316512622388e-06
1	potassium channel complex	21	NA	NA	0.00394545298423026	1.15253621169543e-05	NA	2.22636062644759e-09	NA	1.67329068096904e-09	NA	3.40143580459697e-06	NA	NA	0.0158340169797285	NA	7.49369053511736e-07	0.00517887782950501	0.00123714586652707	2.48843222244603e-05	0.0215849983350305	NA	0.00196177601241821	0.00427175945569271	NA	0.00216234722021241	1.19572980549303e-06	1.12287838453937e-05	5.52383289826824e-12	0.00199618529684176	2.74072272776115e-05	0.000242749763555582	0.0338971055415816	NA	NA
1	cell body	20	NA	0.0103284165110508	NA	0.000126994495338955	NA	5.66498765789196e-11	NA	3.80979796847685e-06	NA	0.00206667010498085	0.0271740769215686	NA	0.0210598598097873	5.66006940611961e-06	8.46626124810549e-07	0.0013294539462051	NA	0.00392644540604381	0.00103734790429253	0.00473852206958909	0.0177321535162963	NA	NA	0.00130772914794519	0.000192221853146511	0.0129384780347665	7.55803792935135e-08	0.00205471287540088	0.00552977801448534	NA	NA	NA	NA
1	anchored component of membrane	19	NA	4.45427922211411e-05	8.81669588815342e-05	0.000339788174695745	NA	4.46895029666693e-05	NA	0.000144481523471167	NA	4.49422720429421e-07	NA	0.0357071123316283	0.000567317368478828	1.22401383654284e-09	NA	0.0013294539462051	1.93668773484261e-05	NA	5.36484051143317e-05	NA	0.000149010688513611	NA	NA	0.00986674663086348	2.60989787824831e-06	0.00353536489522441	9.22294532591157e-05	0.00999095567085578	2.74072272776115e-05	NA	NA	NA	NA
1	external side of plasma membrane	18	NA	5.94921834326026e-08	0.00272843894366415	2.31120331907811e-07	0.00876065906535224	2.77091989519391e-15	NA	4.55275012087478e-14	NA	5.25940119794534e-11	NA	NA	0.00047998156255485	2.23297261314561e-08	2.72124742450153e-12	NA	0.000690716660554983	6.11409362565078e-10	5.77437066829441e-06	NA	0.000447242967193972	NA	NA	3.08944278312129e-13	8.58993352528739e-05	0.00679792537379372	1.70584783442391e-08	NA	NA	NA	NA	NA	NA
1	voltage-gated potassium channel complex	18	NA	NA	0.0112638022632208	8.68019687310416e-05	NA	9.21131608545468e-08	NA	8.85169052219327e-09	NA	4.49716042133768e-06	NA	NA	NA	NA	4.28900979386686e-07	0.0120809725834465	0.00123714586652707	0.000246790403251161	NA	NA	0.00288536286126631	0.0136324284365571	NA	0.00445529589513037	1.07376353606196e-06	4.94105012523397e-05	2.68405330613533e-10	0.00466560346308688	7.60947220000507e-05	0.000273566481437611	NA	NA	NA
1	extracellular matrix component	17	0.00457653971752242	NA	NA	7.0097680079744e-07	0.0299272965140107	4.47303040179077e-18	NA	4.04502986329989e-08	NA	8.68692013214232e-11	0.00504858433136865	NA	NA	4.4086703723113e-06	NA	NA	NA	3.57846172662575e-13	7.33100202775015e-06	NA	3.00390002606159e-09	1.48992690708005e-11	NA	6.89290411660272e-15	NA	7.29698628690306e-09	8.94386919776938e-18	0.0116797186852399	NA	NA	NA	NA	1.17907883864077e-08
1	contractile fiber part	17	NA	0.000663072941919838	NA	0.000342880842097179	NA	3.33573616201567e-06	NA	2.62767623336234e-10	0.0445000568797948	3.52342627089238e-29	0.0405554583934476	NA	NA	NA	0.0121043022363768	NA	NA	0.00392644540604381	0.000207189230390933	NA	0.0090060754318361	NA	6.69087833111662e-09	0.00325686303412525	4.44332736266552e-13	NA	1.03760203386842e-15	3.54848223236835e-06	0.00178851097645325	NA	NA	NA	NA
