ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048018	receptor ligand activity	82/1414	341/14787	1.75263623913735e-15	1.03932981470133e-12	8.64258682743723e-13	IL20/GDF3/SAA1/IL6/MSTN/CSF2/NRG1/CCL7/CCL26/FGF8/IL24/DKK1/CCK/C1QTNF12/EGF/GDF5/TNFSF18/TDGF1/FGF18/CGB3/IFNL1/CSF3/FGF9/SST/LEP/BMP3/IL1B/IL1A/KCNK3/GREM2/AGT/NRG2/PENK/LEFTY2/AREG/CTGF/TRH/FNDC5/CCL19/FBN1/BMP8A/MIA/WNT2/NDP/CCL14/LHB/EDN3/GDF7/BDNF/GAL/PROK1/CGB2/CD70/IL34/CD40LG/FGF7/GDF10/HGF/TNFSF9/GAST/CXCL12/IGF1/INHA/CCL8/IL37/KL/EPHA7/OGN/ARTN/CCL25/ADM/EFEMP1/IL11/THBS4/PDGFD/TNFSF8/WNT9B/TGFB3/GREM1/FGF14/SFRP2/SAA2	82
GO:0022836	gated channel activity	70/1414	268/14787	2.48050075107715e-15	1.03932981470133e-12	8.64258682743723e-13	ANO3/KCNMA1/TMEM150C/SCN2B/CACNA1D/KCNQ4/KCNQ3/KCNK12/TMC1/CLIC6/KCNA6/CFTR/GABRQ/ANO5/GABRB2/KCNB2/CHRNG/TRPM5/CHRNA9/HPN/KCNJ1/RYR3/SCN11A/KCNS2/CACNA2D1/KCND2/P2RX2/KCNK3/GRIK4/GRIA1/ANO4/GRIK3/GRIA4/CACNA2D2/CNGB1/ANXA6/KCNE1/KCNJ8/KCNK2/CATSPER1/GRIA2/KCNA5/GRID1/CHRNA6/SCN5A/KCNA3/CACNA1H/KCNT1/KCNMB1/GRIK2/CHRNA1/SCNN1G/GRIA3/NMUR2/GRIN2A/KCNE4/CACNA1F/KCNT2/PIEZO2/KCNMB2/KCNH3/ASIC2/CACNA1G/KCNJ5/LRRC55/CNGA3/FAM155A/KCNIP1/KCNC1/SCN7A	70
GO:0004930	G-protein coupled receptor activity	78/1414	331/14787	2.80480141721388e-14	7.30643816592658e-12	6.07569660324507e-12	GRPR/HTR2A/P2RY1/CNR1/GPR15/OR13A1/HRH3/HCAR3/XCR1/TACR1/GRM6/CASR/SFRP5/ADGRG7/DRD2/SSTR3/CXCR4/P2RY10/GPR21/GPR88/PTGER2/RXFP1/HTR1F/EDNRA/GRIK3/NPY1R/FRZB/GRM7/OR51E2/ADGRD1/HTR1D/S1PR1/PTGFR/SORCS1/AGTR1/LPAR4/FZD9/GPR22/ACKR1/MRGPRF/GRM4/SUCNR1/GAL/EDNRB/CCR2/OR51E1/GPR174/PDGFRL/VIPR2/P2RY12/ADGRA2/SSTR2/P2RY14/SFRP4/ADRA2A/PDGFRB/ADGRL4/NMUR2/CCR8/CCR4/HPGD/ADGRB1/CXCR2/ADRA1D/GPR173/GPR162/CNR2/ADGRB3/HTR2B/AVPR1A/CHRM4/PTH1R/ADGRF5/SFRP2/F2R/F2RL2/ADGRG2/PTGER3	78
GO:0030545	receptor regulator activity	83/1414	365/14787	3.48755998373584e-14	7.30643816592658e-12	6.07569660324507e-12	IL20/GDF3/SAA1/IL6/MSTN/CSF2/NRG1/CCL7/CCL26/FGF8/IL24/DKK1/CCK/C1QTNF12/EGF/GDF5/TNFSF18/TDGF1/FGF18/CGB3/IFNL1/CSF3/FGF9/SST/LEP/BMP3/IL1B/IL1A/KCNK3/GREM2/AGT/NRG2/PENK/LEFTY2/AREG/CTGF/TRH/FNDC5/CCL19/FBN1/BMP8A/MIA/WNT2/NDP/CCL14/LHB/EDN3/GDF7/BDNF/GAL/PROK1/CGB2/CD70/IL34/CD40LG/FGF7/GDF10/HGF/TNFSF9/GAST/CXCL12/IGF1/INHA/CCL8/IL37/KL/EPHA7/OGN/WFIKKN2/ARTN/CCL25/ADM/EFEMP1/IL11/THBS4/PDGFD/TNFSF8/WNT9B/TGFB3/GREM1/FGF14/SFRP2/SAA2	83
GO:0022838	substrate-specific channel activity	81/1414	359/14787	1.12445168847749e-13	1.88458102988827e-11	1.56713056373073e-11	ANO3/KCNMA1/TMEM150C/SCN2B/CACNA1D/FXYD1/KCNQ4/KCNQ3/KCNK12/TMC1/CLIC6/KCNA6/CFTR/GABRQ/ANO5/GPM6A/GABRB2/KCNB2/CHRNG/TRPM5/AQP4/BEST3/LRRIQ4/CHRNA9/AQP2/HPN/KCNJ1/RYR3/SCN11A/KCNS2/CACNA2D1/KCND2/P2RX2/KCNK3/GRIK4/GRIA1/ANO4/GRIK3/GRIA4/ABCC9/SLC26A4/CACNA2D2/CNGB1/ANXA6/KCNE1/KCNJ8/KCNK2/CATSPER1/GRIA2/KCNA5/SLC26A7/GRID1/CHRNA6/SCN5A/KCNA3/CACNA1H/KCNT1/TRPC4/KCNMB1/GRIK2/CHRNA1/SCNN1G/GRIA3/NMUR2/GRIN2A/KCNE4/CACNA1F/KCNT2/PIEZO2/KCNMB2/KCNH3/ASIC2/CACNA1G/KCNJ5/LRRC55/CNGA3/TRPC6/FAM155A/KCNIP1/KCNC1/SCN7A	81
GO:0005216	ion channel activity	79/1414	349/14787	1.90066680097569e-13	2.65459796536272e-11	2.20744109165949e-11	ANO3/KCNMA1/TMEM150C/SCN2B/CACNA1D/FXYD1/KCNQ4/KCNQ3/KCNK12/TMC1/CLIC6/KCNA6/CFTR/GABRQ/ANO5/GPM6A/GABRB2/KCNB2/CHRNG/TRPM5/BEST3/LRRIQ4/CHRNA9/HPN/KCNJ1/RYR3/SCN11A/KCNS2/CACNA2D1/KCND2/P2RX2/KCNK3/GRIK4/GRIA1/ANO4/GRIK3/GRIA4/ABCC9/SLC26A4/CACNA2D2/CNGB1/ANXA6/KCNE1/KCNJ8/KCNK2/CATSPER1/GRIA2/KCNA5/SLC26A7/GRID1/CHRNA6/SCN5A/KCNA3/CACNA1H/KCNT1/TRPC4/KCNMB1/GRIK2/CHRNA1/SCNN1G/GRIA3/NMUR2/GRIN2A/KCNE4/CACNA1F/KCNT2/PIEZO2/KCNMB2/KCNH3/ASIC2/CACNA1G/KCNJ5/LRRC55/CNGA3/TRPC6/FAM155A/KCNIP1/KCNC1/SCN7A	79
GO:0005201	extracellular matrix structural constituent	29/1414	66/14787	2.79830894308562e-13	3.34997556329393e-11	2.78568499296644e-11	COL9A1/COL2A1/ELN/FBN3/LAMA1/EMILIN1/COL1A1/HAPLN4/VCAN/COL4A1/FBN1/TFPI2/COL11A2/LUM/BGN/COL3A1/COL1A2/MUC6/FBLN1/COL19A1/PRELP/COL14A1/IMPG1/COL11A1/COL27A1/MGP/COL5A2/COMP/COL15A1	29
GO:0008083	growth factor activity	42/1414	134/14787	1.55435408105764e-12	1.62818589990788e-10	1.35392421271073e-10	GDF3/IL6/MSTN/CSF2/NRG1/FGF8/DKK1/EGF/GDF5/TDGF1/FGF18/CSF3/FGF9/LEP/BMP3/KCNK3/AGT/NRG2/LEFTY2/AREG/CTGF/BMP8A/MIA/NDP/GDF7/BDNF/PROK1/IL34/FGF7/GDF10/HGF/CXCL12/IGF1/INHA/OGN/ARTN/EFEMP1/IL11/THBS4/PDGFD/TGFB3/FGF14	42
GO:0005261	cation channel activity	63/1414	259/14787	2.00301814936134e-12	1.86503245462756e-10	1.55087487120141e-10	KCNMA1/SCN2B/CACNA1D/KCNQ4/KCNQ3/KCNK12/TMC1/KCNA6/GPM6A/KCNB2/CHRNG/TRPM5/CHRNA9/HPN/KCNJ1/RYR3/SCN11A/KCNS2/CACNA2D1/KCND2/P2RX2/KCNK3/GRIK4/GRIA1/GRIK3/GRIA4/ABCC9/CACNA2D2/CNGB1/KCNE1/KCNJ8/KCNK2/CATSPER1/GRIA2/KCNA5/CHRNA6/SCN5A/KCNA3/CACNA1H/KCNT1/TRPC4/KCNMB1/GRIK2/CHRNA1/SCNN1G/GRIA3/GRIN2A/KCNE4/CACNA1F/KCNT2/PIEZO2/KCNMB2/KCNH3/ASIC2/CACNA1G/KCNJ5/LRRC55/CNGA3/TRPC6/FAM155A/KCNIP1/KCNC1/SCN7A	63
GO:0015267	channel activity	81/1414	383/14787	4.21223668774315e-12	3.20895849484433e-10	2.6684217103215e-10	ANO3/KCNMA1/TMEM150C/SCN2B/CACNA1D/FXYD1/KCNQ4/KCNQ3/KCNK12/TMC1/CLIC6/KCNA6/CFTR/GABRQ/ANO5/GPM6A/GABRB2/KCNB2/CHRNG/TRPM5/AQP4/BEST3/LRRIQ4/CHRNA9/AQP2/HPN/KCNJ1/RYR3/SCN11A/KCNS2/CACNA2D1/KCND2/P2RX2/KCNK3/GRIK4/GRIA1/ANO4/GRIK3/GRIA4/ABCC9/SLC26A4/CACNA2D2/CNGB1/ANXA6/KCNE1/KCNJ8/KCNK2/CATSPER1/GRIA2/KCNA5/SLC26A7/GRID1/CHRNA6/SCN5A/KCNA3/CACNA1H/KCNT1/TRPC4/KCNMB1/GRIK2/CHRNA1/SCNN1G/GRIA3/NMUR2/GRIN2A/KCNE4/CACNA1F/KCNT2/PIEZO2/KCNMB2/KCNH3/ASIC2/CACNA1G/KCNJ5/LRRC55/CNGA3/TRPC6/FAM155A/KCNIP1/KCNC1/SCN7A	81
