ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa00983	Drug metabolism - other enzymes	19/322	48/5039	2.52670081280337e-11	3.93498702919534e-09	3.32846647206373e-09	54658/8824/54600/7365/1549/1551/151531/7364/1807/1577/64816/54659/221223/978/1548/1806/51733/1576/3704	19
hsa00830	Retinol metabolism	20/322	55/5039	4.6845083680897e-11	3.93498702919534e-09	3.32846647206373e-09	284541/54658/54600/7365/1549/126/1551/216/7364/1544/56603/127/1577/64816/1592/54659/1559/1548/1576/8608	20
hsa00982	Drug metabolism - cytochrome P450	21/322	66/5039	2.75690882652701e-10	1.54386894285513e-08	1.30590418098648e-08	316/54658/2939/54600/7365/4128/1549/126/1551/1571/2938/7364/1544/127/1577/64816/54659/1559/1548/1576/2328	21
hsa03320	PPAR signaling pathway	18/322	64/5039	4.77053337262006e-08	2.00362401650043e-06	1.69479475079923e-06	8309/284541/5105/116519/2180/5465/23305/10998/5106/1582/1375/1962/345/2168/335/1593/1581/3158	18
hsa00980	Metabolism of xenobiotics by cytochrome P450	17/322	64/5039	2.84010751515599e-07	9.54276125092412e-06	8.07188451675913e-06	54658/2939/54600/7365/126/1551/1571/2938/7364/2052/1544/127/1577/64816/54659/1559/1576	17
hsa00140	Steroid hormone biosynthesis	14/322	50/5039	1.6347896091347e-06	4.57741090557716e-05	3.87187012689798e-05	54658/54600/7365/6716/1551/7364/6715/1577/64816/54659/6820/1581/1576/8630	14
hsa04610	Complement and coagulation cascades	16/322	68/5039	3.71141398664246e-06	8.90739356794191e-05	7.53444944656741e-05	2/717/731/3053/2165/735/2244/2243/10747/2158/2147/4153/2152/729/462/5340	16
hsa04975	Fat digestion and absorption	11/322	35/5039	6.37179834061965e-06	0.000133807765153013	0.000113183259997849	80168/19/64240/64241/26279/2168/335/337/346606/8613/4547	11
hsa00591	Linoleic acid metabolism	9/322	25/5039	1.30283651136731e-05	0.000243196148788565	0.000205711028110628	1551/1571/26279/1544/1577/64816/1559/151056/1576	9
hsa04976	Bile secretion	15/322	68/5039	1.73831737199884e-05	0.000292037318495804	0.000247024047599835	6580/6554/8647/200931/10998/5244/64240/64241/6822/2052/108/9429/1581/1576/366	15
hsa04060	Cytokine-cytokine receptor interaction	28/322	221/5039	0.000324513311582254	0.00495620330416533	0.00419227723096691	1271/6358/3626/608/10563/959/1235/1236/6360/939/3552/2833/944/1956/3791/1237/3082/3561/3594/6361/83729/4050/4804/6374/9180/3554/6363/3953	28
hsa00500	Starch and sucrose metabolism	10/322	47/5039	0.000610235911960323	0.00854330276744452	0.0072264779047933	54658/54600/7365/7358/57733/5167/7364/54659/2632/2998	10
hsa00650	Butanoate metabolism	7/322	27/5039	0.0011881421544869	0.0153544524579846	0.0129877887332577	3157/123876/18/1962/348158/54988/3158	7
hsa02010	ABC transporters	9/322	43/5039	0.00129109797888441	0.0154931757466129	0.0131051298608568	19/8647/23460/10350/5244/64240/10351/64241/9429	9
hsa00040	Pentose and glucuronate interconversions	7/322	29/5039	0.00186950969876523	0.0209385086261706	0.017711144514618	54658/54600/7365/7358/7364/54659/51084	7
hsa00120	Primary bile acid biosynthesis	5/322	16/5039	0.00250949846608221	0.0255968468643079	0.0216514682122905	8309/10998/1582/1593/1581	5
hsa00053	Ascorbate and aldarate metabolism	6/322	23/5039	0.00259015712317402	0.0255968468643079	0.0216514682122905	54658/54600/7365/7358/7364/54659	6
hsa04080	Neuroactive ligand-receptor interaction	22/322	183/5039	0.0027907114527442	0.0260466402256126	0.0220319325216648	10203/2906/57105/116443/134/148/1910/4886/1511/23566/2147/116444/2550/5031/27334/5028/5023/1137/9568/5340/3953/154	22
