ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010469	regulation of receptor activity	68/772	449/14672	1.90040171379795e-15	8.6069193617909e-12	7.43157091237829e-12	CCL18/GDF15/FAM3D/TNFSF11/XCL2/XCL1/VIP/WNT10B/TRDN/WNT2/CCL28/SFRP2/IL11/CXCL13/CCK/LYPD6B/CACNG3/HAMP/NPY/STC1/CCL7/NRTN/EREG/NPPB/TAC4/PENK/INSL3/BMP3/NTF3/MSTN/CCL8/INHBA/CXCL14/IL6/AREG/FGF5/GREM1/CXCL6/EDN2/CACNG2/SST/TRH/PF4V1/TNFSF4/GSTO1/NPPC/OGN/TNFSF9/CCL2/PMCH/CCL14/WNT4/NPPA/CMTM8/CCL26/VSTM1/UCN2/CARTPT/INHBC/VEGFC/P2RY1/BMP5/TSLP/PHLDA2/TIMP1/IGF2/CD70/NGF	68
GO:0008015	blood circulation	60/772	459/14672	5.4472263658692e-11	1.17493186929435e-07	1.01448487395347e-07	FXYD7/MYH6/ADRA1B/MYL4/TH/GJA5/MYH7/XCL2/BDKRB1/TRDN/NPR1/COL1A2/ANPEP/ADRA1A/COL4A3/CACNG3/NPY/STC1/RYR2/RNF207/KCNK1/CHRM1/CPA3/NPY1R/TRHDE/TNNT2/NPPB/TAC4/ATP2B3/CACNA1B/CHGA/CTNNA3/BDKRB2/KCNK15/NPY4R/KCNJ12/ASIC2/NPY5R/POSTN/EDN2/CACNG2/KCNE5/GSTO1/NPPC/MDM2/AR/DRD5/CD38/NPPA/EGFR/CYP4F12/S100A1/CARTPT/NOS2/VEGFC/P2RY1/PDE3A/RYR1/FOXC2/CPS1	60
GO:0003013	circulatory system process	60/772	463/14672	7.78272379748964e-11	1.17493186929435e-07	1.01448487395347e-07	FXYD7/MYH6/ADRA1B/MYL4/TH/GJA5/MYH7/XCL2/BDKRB1/TRDN/NPR1/COL1A2/ANPEP/ADRA1A/COL4A3/CACNG3/NPY/STC1/RYR2/RNF207/KCNK1/CHRM1/CPA3/NPY1R/TRHDE/TNNT2/NPPB/TAC4/ATP2B3/CACNA1B/CHGA/CTNNA3/BDKRB2/KCNK15/NPY4R/KCNJ12/ASIC2/NPY5R/POSTN/EDN2/CACNG2/KCNE5/GSTO1/NPPC/MDM2/AR/DRD5/CD38/NPPA/EGFR/CYP4F12/S100A1/CARTPT/NOS2/VEGFC/P2RY1/PDE3A/RYR1/FOXC2/CPS1	60
GO:0044057	regulation of system process	58/772	459/14672	4.39812921053168e-10	4.9797817986245e-07	4.29975000450663e-07	FXYD7/MYH6/ADRA1B/MYL4/TH/GJA5/MYH7/TNR/TRDN/NPR1/CCK/ADRA1A/CACNG3/HAMP/STC1/RYR2/RNF207/CHRNA3/NPY2R/KCNK1/CHRM1/TNNT2/NPPB/TAC4/ATP2B3/CACNA1B/CHGA/CTNNA3/BDKRB2/TNNT1/CRHR1/MSTN/MYBPH/INHBA/KCNK15/FAM19A4/KCNJ12/IL6/ASIC2/EDN2/CACNG2/KCNE5/OPRK1/GSTO1/NPPC/MDM2/WNK3/CD38/NPPA/EGFR/S100A1/MYL9/CARTPT/APOA1/WNK4/IL6ST/RYR1/GSX2	58
GO:0030198	extracellular matrix organization	43/772	309/14672	4.77884044665134e-09	3.98264036866473e-06	3.4387767648463e-06	COL4A4/LAMB1/DDR2/COL13A1/COL1A1/TCF15/COL3A1/TNR/FERMT1/SFRP2/COL1A2/KLK7/COL4A3/TLL2/COL6A2/KAZALD1/COL5A1/DPT/HAPLN2/ADAMTS20/GREM1/POSTN/EGFL6/VIT/MMP10/TPSAB1/CYP1B1/COL10A1/MMP13/ADAMTS14/FAP/LUM/COL6A3/MFAP2/HAS1/LOXL2/MMP7/FOXC2/DCN/SMOC2/TIMP1/CARMIL2/NDNF	43
GO:0043062	extracellular structure organization	43/772	310/14672	5.27618507661479e-09	3.98264036866473e-06	3.4387767648463e-06	COL4A4/LAMB1/DDR2/COL13A1/COL1A1/TCF15/COL3A1/TNR/FERMT1/SFRP2/COL1A2/KLK7/COL4A3/TLL2/COL6A2/KAZALD1/COL5A1/DPT/HAPLN2/ADAMTS20/GREM1/POSTN/EGFL6/VIT/MMP10/TPSAB1/CYP1B1/COL10A1/MMP13/ADAMTS14/FAP/LUM/COL6A3/MFAP2/HAS1/LOXL2/MMP7/FOXC2/DCN/SMOC2/TIMP1/CARMIL2/NDNF	43
GO:0030574	collagen catabolic process	17/772	63/14672	1.57660027664863e-08	1.02006037899167e-05	8.80762410187921e-06	COL4A4/COL13A1/COL1A1/COL3A1/COL1A2/COL4A3/COL6A2/COL5A1/COL6A6/MMP10/COL10A1/MMP13/COL26A1/ADAMTS14/FAP/COL6A3/MMP7	17
GO:0007631	feeding behavior	20/772	89/14672	2.63200977152399e-08	1.49004653190402e-05	1.28656793436995e-05	TH/TCF15/MC4R/CCK/MRAP2/GRIN1/NPY/NPY2R/NPY1R/NPY4R/NPY5R/TBR1/TRH/OPRK1/PMCH/STRA6/CARTPT/NPW/P2RY1/NTRK2	20
GO:0044243	multicellular organismal catabolic process	17/772	69/14672	6.89419694946453e-08	3.30969514813546e-05	2.8577279695351e-05	COL4A4/COL13A1/COL1A1/COL3A1/COL1A2/COL4A3/COL6A2/COL5A1/COL6A6/MMP10/COL10A1/MMP13/COL26A1/ADAMTS14/FAP/COL6A3/MMP7	17
GO:1903522	regulation of blood circulation	36/772	257/14672	7.30778350217589e-08	3.30969514813546e-05	2.8577279695351e-05	FXYD7/MYH6/ADRA1B/MYL4/TH/GJA5/MYH7/TRDN/NPR1/ADRA1A/CACNG3/STC1/RYR2/RNF207/KCNK1/CHRM1/TNNT2/ATP2B3/CACNA1B/CHGA/CTNNA3/BDKRB2/KCNK15/KCNJ12/ASIC2/EDN2/CACNG2/KCNE5/GSTO1/NPPC/MDM2/CD38/NPPA/EGFR/S100A1/RYR1	36
