ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	55/815	336/15437	4.76713984543429e-14	2.1833500492089e-11	1.9219100640014e-11	OMD/ASPN/COL4A4/COCH/LAMB1/COL1A1/COL3A1/TNR/WNT10B/WNT2/COL1A2/SPON2/COL4A3/VWA2/ADAMTS15/COL6A2/COL28A1/KAZALD1/SFRP1/COL5A1/COL6A6/DPT/HAPLN2/CHAD/ADAMTS20/POSTN/EGFL6/VIT/MMP10/CHI3L1/OGN/ANOS1/COL10A1/MMP13/COL26A1/WNT4/ADAMTS14/CCBE1/FREM1/LUM/SPON1/COL6A3/ZP1/PODNL1/MFAP2/CTHRC1/LGALS1/LOXL2/MMP7/DCN/SMOC2/TIMP1/MGP/NDNF/LINGO2	55
GO:0005581	collagen trimer	22/815	81/15437	1.14448363486732e-10	2.62086752384616e-08	2.30703806396938e-08	COL4A4/COL13A1/COL1A1/COL3A1/COL1A2/COL4A3/COL23A1/COL6A2/C1QL2/COL28A1/COL5A1/COL6A6/COL20A1/C1QL3/COL10A1/COL26A1/CCBE1/LUM/COL6A3/FCN3/CTHRC1/DCN	22
GO:0005788	endoplasmic reticulum lumen	39/815	273/15437	1.3453287711501e-08	2.05386859062248e-06	1.80793305035259e-06	COL4A4/APOB/LAMB1/COL13A1/COL1A1/COL3A1/IGFBP3/PDIA2/TRDN/FLT3/COL1A2/ITIH2/COL4A3/COL23A1/SLC27A2/COL6A2/COL28A1/PENK/COL5A1/MZB1/MTTP/IL6/COL20A1/AFP/RCN3/P4HA3/COL10A1/COL26A1/WNT4/IGFBP4/ARSI/SERPIND1/EVA1A/SPON1/COL6A3/APOA1/LGALS1/TIMP1/FMO1	39
GO:0043679	axon terminus	19/815	108/15437	3.35354703062274e-06	0.000383981135006303	0.000338002240191713	SYN1/RAB3A/TH/PRSS12/CCK/CNGB1/GRIN1/PACSIN1/CPLX2/CHRM1/PENK/SYT1/PVALB/UNC13C/SLC17A8/OPRK1/CCL2/SNCA/NTRK2	19
GO:0098793	presynapse	38/815	334/15437	6.82220192032013e-06	0.000593881026976499	0.000522768175895195	CPLX3/SYN1/RAB3A/TH/KCNK9/SNAP25/HRH3/SYNPR/SV2B/MT3/SYN2/PRSS12/SYNGR3/IL31RA/CCK/CNGB1/CDH9/GRIN1/PACSIN1/CPLX2/CHRM1/SLC17A7/PENK/CACNA1B/DOC2A/SYT13/SLC17A6/SVOP/SYT1/PVALB/UNC13C/SLC18A1/SLC17A8/OPRK1/CAMK2A/CCL2/SNCA/NTRK2	38
GO:0043195	terminal bouton	13/815	58/15437	7.78010079008514e-06	0.000593881026976499	0.000522768175895195	SYN1/RAB3A/TH/PRSS12/CCK/CNGB1/GRIN1/CPLX2/SYT1/PVALB/UNC13C/SNCA/NTRK2	13
GO:0005882	intermediate filament	14/815	68/15437	1.00388322943105e-05	0.000656826455827747	0.000578176356198637	KRT7/INA/LMNTD1/KRT5/KRT19/KRT23/DLGAP2/KRT81/NEFL/NEFM/KRT8/KRT17/BFSP1/KRT18	14
GO:0044306	neuron projection terminus	19/815	123/15437	2.33602705071845e-05	0.00133737548653631	0.00117723468476995	SYN1/RAB3A/TH/PRSS12/CCK/CNGB1/GRIN1/PACSIN1/CPLX2/CHRM1/PENK/SYT1/PVALB/UNC13C/SLC17A8/OPRK1/CCL2/SNCA/NTRK2	19
GO:0000786	nucleosome	14/815	75/15437	3.23929380345818e-05	0.00164844062442649	0.00145105207804033	HIST1H1E/HIST1H3C/HIST1H2AB/HIST1H2AL/HIST1H3B/HIST1H4B/HIST1H3I/HIST1H2BL/HIST1H4D/HIST1H2AH/HIST1H3F/HIST1H4C/HIST2H2AC/HIST1H1B	14
GO:0098644	complex of collagen trimers	7/815	20/15437	4.71333519744585e-05	0.0021587075204302	0.00190021829539133	COL4A4/COL1A1/COL3A1/COL1A2/COL4A3/COL5A1/LUM	7
GO:0000788	nuclear nucleosome	8/815	28/15437	7.04526854010598e-05	0.00293339362851685	0.00258214148407712	HIST1H1E/HIST1H3C/HIST1H3B/HIST1H4B/HIST1H3I/HIST1H4D/HIST1H3F/HIST1H4C	8
GO:0044815	DNA packaging complex	14/815	82/15437	9.01574435623412e-05	0.00344100909596269	0.00302897376178743	HIST1H1E/HIST1H3C/HIST1H2AB/HIST1H2AL/HIST1H3B/HIST1H4B/HIST1H3I/HIST1H2BL/HIST1H4D/HIST1H2AH/HIST1H3F/HIST1H4C/HIST2H2AC/HIST1H1B	14
GO:0044420	extracellular matrix component	17/815	115/15437	0.00010878644868578	0.00383263026908365	0.00337370120215821	COL4A4/LAMB1/COL1A1/COL3A1/TNR/COL1A2/COL4A3/VWA2/COL28A1/COL5A1/EGFL6/FREM1/LUM/MFAP2/LOXL2/SMOC2/TIMP1	17
GO:0005833	hemoglobin complex	5/815	11/15437	0.000143347882627418	0.00468952358881125	0.00412798789821813	HBQ1/HBA1/HBD/AHSP/HBG1	5
