ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	51/966	330/15335	2.14539508056192e-09	9.804455518168e-07	8.96549312613773e-07	VWC2/MAMDC2/VWA2/ADAMTSL4/COL7A1/GPC6/LAMB4/WNT10B/ADAMTSL5/EGFLAM/LAD1/SPARCL1/CHAD/WISP2/CPZ/CRISPLD2/LAMA4/ANGPTL4/MFAP4/ACHE/MUC4/CPA6/TINAG/WNT5B/ZP2/WNT5A/COL2A1/WNT10A/OMD/THBS2/DCN/WNT7B/COL8A2/RELL2/COL6A6/COL9A2/SPON1/FLRT3/COCH/COL11A1/MMP23B/MMP7/ECM1/ADAMTS3/IL1RL1/TIMP4/CYR61/ADAMTS17/FRAS1/ADAMTS19/COL6A1	51
GO:0031012	extracellular matrix	66/966	496/15335	5.5257594459293e-09	1.26263603339484e-06	1.1545928947547e-06	VWC2/MAMDC2/VWA2/ADAMTSL4/COL7A1/GPC6/LAMB4/WNT10B/PCOLCE/ADAMTSL5/A1BG/EGFLAM/LAD1/SPARCL1/CHAD/CRIP2/WISP2/CPZ/CRISPLD2/LAMA4/ANGPTL4/MFAP4/ACHE/MUC4/GDF10/CLEC3B/CPA6/TINAG/WNT5B/ZP2/WNT5A/COL2A1/WNT10A/OMD/L1CAM/ICAM1/THBS2/DCN/WNT7B/BMP7/COL8A2/RELL2/COL6A6/COL9A2/APOE/NDP/SPON1/FLRT3/COCH/COL11A1/AZGP1/MMP23B/MMP7/ECM1/ADAMTS3/IL1RL1/SOD3/TIMP4/CYR61/S100A9/CFP/IBSP/ADAMTS17/FRAS1/ADAMTS19/COL6A1	66
GO:0097060	synaptic membrane	37/966	260/15335	2.68814347546039e-06	0.000409493856095133	0.000374453670090448	FOSL1/DGKI/DAGLA/CLSTN2/DLG2/HTR3B/GRID2/KCTD8/HOMER3/UNC13A/SYT7/ANK2/GRM5/GLRA3/NCS1/PRR7/SH2D5/GSG1L/DLGAP3/BAIAP2/NECTIN3/NTRK2/ERC2/TENM2/GRIN3B/FAIM2/ADORA1/KCNB1/FLRT3/CNKSR2/DRP2/CHRM3/LRRTM2/CRYAB/P2RY1/GRIK1/RIMS4	37
GO:0044306	neuron projection terminus	19/966	114/15335	8.67293265656887e-05	0.00938964024501762	0.00858617339000805	DGKI/MICAL1/PTPRN/CCL2/FSTL3/CDH8/UNC13A/SYT7/CPLX1/MME/BAIAP2/NTRK2/KCNC4/CALB2/KCNAB2/ROR1/ADORA1/FLRT3/CHRM3	19
GO:0045211	postsynaptic membrane	27/966	196/15335	0.000102731293709164	0.00938964024501762	0.00858617339000805	DAGLA/CLSTN2/DLG2/HTR3B/GRID2/KCTD8/HOMER3/ANK2/GLRA3/NCS1/PRR7/SH2D5/GSG1L/DLGAP3/NECTIN3/NTRK2/TENM2/GRIN3B/FAIM2/ADORA1/KCNB1/CNKSR2/DRP2/CHRM3/LRRTM2/P2RY1/GRIK1	27
GO:0016324	apical plasma membrane	33/966	267/15335	0.000159165726186201	0.0121231228111823	0.0110857532098109	LRP2/AMN/SLC26A9/AMOTL1/MTCL1/PKHD1/SLC7A5/SLC12A2/P2RY6/PTPRH/ATP6V1A/CFTR/ANK2/SLC26A4/TRPM6/DDR2/SLC14A2/KISS1/SLC22A18/P2RX2/SLC19A1/TNIK/PLB1/CD9/DLL1/NOX4/PROM1/ABCB4/PTH1R/P2RY1/ABCG8/CYP4A11/DPP4	33
GO:0005796	Golgi lumen	14/966	77/15335	0.000284930877585715	0.0186019158652388	0.0170101591581246	GPC6/MUC15/MUC4/MUCL1/WNT5B/WNT5A/OMD/CSPG5/DCN/WNT7B/PODXL2/LHB/CGA/SOD3	14
GO:0043679	axon terminus	16/966	99/15335	0.000438009285707522	0.0250212804460422	0.0228802218981429	DGKI/MICAL1/PTPRN/CCL2/CDH8/UNC13A/SYT7/CPLX1/NTRK2/KCNC4/CALB2/KCNAB2/ROR1/ADORA1/FLRT3/CHRM3	16
GO:0098793	presynapse	36/966	320/15335	0.000521123126882873	0.0264614743317192	0.0241971791078948	FOSL1/DGKI/MICAL1/SLC18A2/PTPRN/SYTL1/CCL2/DOC2A/PLD2/KCTD8/CDH8/UNC13A/SYT7/DDC/GRM5/CPLX1/MME/KCNJ10/BAIAP2/RAB26/NTRK2/ERC2/SYTL5/KCNC4/SLC30A3/CALB2/KCNAB2/ROR1/ADORA1/FLRT3/SLC22A2/CHRM3/SLC5A7/CADPS/DNM1/RIMS4	36
GO:0044420	extracellular matrix component	17/966	115/15335	0.000846551309353981	0.0386873948374769	0.0353769336645821	VWC2/VWA2/COL7A1/LAMB4/ADAMTSL5/EGFLAM/LAD1/LAMA4/MFAP4/ACHE/TINAG/COL2A1/THBS2/COL8A2/RELL2/COL11A1/FRAS1	17
