ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048018	receptor ligand activity	46/905	332/14642	2.10858643261063e-07	0.000175856108479726	0.000160696481811589	VGF/IL6/CCL20/CCL2/WNT10B/CSF1/IL32/CCL11/BMP3/CXCL2/NRTN/IL23A/CCL17/HAMP/GDF10/TNF/CMTM8/C1QTNF9/MDK/CRLF1/WNT5A/WNT10A/CSPG5/TNFSF12/WNT7B/SST/TGFA/EBI3/UTS2B/BMP7/CXCL10/LHB/NDP/CHGB/CORT/FLRT3/OSM/BMP5/UCN2/CGA/GREM1/KCNK3/IL1A/TYMP/IGF1/LIF	46
GO:0030545	receptor regulator activity	46/905	354/14642	1.34117632816715e-06	0.000559270528845702	0.000511058769259483	VGF/IL6/CCL20/CCL2/WNT10B/CSF1/IL32/CCL11/BMP3/CXCL2/NRTN/IL23A/CCL17/HAMP/GDF10/TNF/CMTM8/C1QTNF9/MDK/CRLF1/WNT5A/WNT10A/CSPG5/TNFSF12/WNT7B/SST/TGFA/EBI3/UTS2B/BMP7/CXCL10/LHB/NDP/CHGB/CORT/FLRT3/OSM/BMP5/UCN2/CGA/GREM1/KCNK3/IL1A/TYMP/IGF1/LIF	46
GO:0005539	glycosaminoglycan binding	28/905	185/14642	9.50812178936277e-06	0.00264325785744285	0.00241539655280654	APOB/RTN4RL1/CCL2/PCOLCE/ADAMTSL5/EGFLAM/HABP2/WISP2/CRISPLD2/SEMA5A/STAB2/FGFR4/CLEC3B/MDK/THBS2/DCN/PODXL2/BMP7/CXCL10/APOE/LIPG/MMP7/ADAMTS3/SOD3/RSPO4/TREM2/CYR61/F11	28
GO:0005125	cytokine activity	25/905	166/14642	3.06686904889452e-05	0.00401836996088608	0.00367196750180679	IL6/CCL20/CCL2/CSF1/IL32/CCL11/BMP3/CXCL2/IL23A/CCL17/GDF10/TNF/CMTM8/CRLF1/WNT5A/TNFSF12/EBI3/BMP7/CXCL10/NDP/OSM/BMP5/GREM1/IL1A/LIF	25
GO:0022838	substrate-specific channel activity	43/905	364/14642	3.24195165780899e-05	0.00401836996088608	0.00367196750180679	HTR3B/SCNN1D/ITPR2/KCNK15/SLC26A9/GRID2/LRRC8E/P2RX6/KCNJ16/TMEM37/CFTR/RYR3/KCNK13/GLRA3/NCS1/KCNJ6/SLC26A4/TRPM6/CLIC3/CLIC6/ITPR3/CACNA2D2/PIEZO1/CACNA2D3/KCNJ10/P2RX2/ITPR1/KCND3/KCNC4/FXYD5/GRIN3B/KCNH4/KCNAB2/SLC24A2/ASIC3/SCN1B/KCNB1/RASA3/KCNK3/AQP3/GRIK1/NCALD/TRPC6	43
GO:0015276	ligand-gated ion channel activity	19/905	109/14642	3.5498237701445e-05	0.00401836996088608	0.00367196750180679	HTR3B/SCNN1D/ITPR2/GRID2/P2RX6/KCNJ16/CFTR/RYR3/GLRA3/KCNJ6/ITPR3/KCNJ10/P2RX2/ITPR1/GRIN3B/ASIC3/RASA3/GRIK1/NCALD	19
GO:0022834	ligand-gated channel activity	19/905	109/14642	3.5498237701445e-05	0.00401836996088608	0.00367196750180679	HTR3B/SCNN1D/ITPR2/GRID2/P2RX6/KCNJ16/CFTR/RYR3/GLRA3/KCNJ6/ITPR3/KCNJ10/P2RX2/ITPR1/GRIN3B/ASIC3/RASA3/GRIK1/NCALD	19
GO:0005216	ion channel activity	42/905	355/14642	3.85455152123365e-05	0.00401836996088608	0.00367196750180679	HTR3B/SCNN1D/ITPR2/KCNK15/SLC26A9/GRID2/LRRC8E/P2RX6/KCNJ16/TMEM37/CFTR/RYR3/KCNK13/GLRA3/NCS1/KCNJ6/SLC26A4/TRPM6/CLIC3/CLIC6/ITPR3/CACNA2D2/PIEZO1/CACNA2D3/KCNJ10/P2RX2/ITPR1/KCND3/KCNC4/FXYD5/GRIN3B/KCNH4/KCNAB2/SLC24A2/ASIC3/SCN1B/KCNB1/RASA3/KCNK3/GRIK1/NCALD/TRPC6	42
GO:0022836	gated channel activity	34/905	271/14642	6.49692538958926e-05	0.00565535268410131	0.00516783458701167	HTR3B/SCNN1D/ITPR2/GRID2/P2RX6/KCNJ16/TMEM37/CFTR/RYR3/KCNK13/GLRA3/NCS1/KCNJ6/CLIC3/CLIC6/ITPR3/CACNA2D2/PIEZO1/CACNA2D3/KCNJ10/P2RX2/ITPR1/KCND3/KCNC4/GRIN3B/KCNH4/KCNAB2/ASIC3/SCN1B/KCNB1/RASA3/KCNK3/GRIK1/NCALD	34
GO:0015267	channel activity	44/905	389/14642	7.4590982644022e-05	0.00565535268410131	0.00516783458701167	HTR3B/SCNN1D/ITPR2/KCNK15/SLC26A9/GRID2/LRRC8E/P2RX6/GJB1/KCNJ16/TMEM37/CFTR/RYR3/KCNK13/GLRA3/NCS1/KCNJ6/SLC26A4/TRPM6/CLIC3/CLIC6/ITPR3/CACNA2D2/PIEZO1/CACNA2D3/KCNJ10/P2RX2/ITPR1/KCND3/KCNC4/FXYD5/GRIN3B/KCNH4/KCNAB2/SLC24A2/ASIC3/SCN1B/KCNB1/RASA3/KCNK3/AQP3/GRIK1/NCALD/TRPC6	44
GO:0022803	passive transmembrane transporter activity	44/905	389/14642	7.4590982644022e-05	0.00565535268410131	0.00516783458701167	HTR3B/SCNN1D/ITPR2/KCNK15/SLC26A9/GRID2/LRRC8E/P2RX6/GJB1/KCNJ16/TMEM37/CFTR/RYR3/KCNK13/GLRA3/NCS1/KCNJ6/SLC26A4/TRPM6/CLIC3/CLIC6/ITPR3/CACNA2D2/PIEZO1/CACNA2D3/KCNJ10/P2RX2/ITPR1/KCND3/KCNC4/FXYD5/GRIN3B/KCNH4/KCNAB2/SLC24A2/ASIC3/SCN1B/KCNB1/RASA3/KCNK3/AQP3/GRIK1/NCALD/TRPC6	44
GO:0046873	metal ion transmembrane transporter activity	43/905	390/14642	0.000159832131541362	0.0104012948084163	0.0095046540973033	SLC39A2/SCNN1D/ITPR2/KCNK15/SLC12A5/KCNJ16/TMEM37/RYR3/KCNK13/NCS1/KCNJ6/TRPM6/ITPR3/CACNA2D2/CACNA2D3/KCNJ10/SLC1A7/ATP2C2/ITPR1/KCND3/SLC9A5/KCNC4/SLC39A14/SLC30A3/GRIN3B/KCNH4/KCNAB2/SLC24A2/ASIC3/SCN1B/KCNB1/RASA3/SLC9A7/SLC5A7/KCNK3/SLC1A3/SLC6A19/ATP2A1/SLC20A1/GRIK1/ATP1A3/ATP13A5/TRPC6	43
GO:0008201	heparin binding	21/905	142/14642	0.000167930912910917	0.0104012948084163	0.0095046540973033	APOB/RTN4RL1/CCL2/PCOLCE/ADAMTSL5/WISP2/CRISPLD2/FGFR4/CLEC3B/MDK/THBS2/BMP7/CXCL10/APOE/LIPG/MMP7/ADAMTS3/SOD3/RSPO4/CYR61/F11	21
GO:0005261	cation channel activity	32/905	262/14642	0.000174602071124494	0.0104012948084163	0.0095046540973033	HTR3B/SCNN1D/ITPR2/KCNK15/P2RX6/KCNJ16/TMEM37/RYR3/KCNK13/NCS1/KCNJ6/TRPM6/ITPR3/CACNA2D2/PIEZO1/CACNA2D3/KCNJ10/P2RX2/ITPR1/KCND3/KCNC4/GRIN3B/KCNH4/KCNAB2/SLC24A2/ASIC3/SCN1B/KCNB1/RASA3/KCNK3/GRIK1/TRPC6	32
GO:0004629	phospholipase C activity	8/905	28/14642	0.000211320866431016	0.0117494401735645	0.0107365829681443	PLCH1/PLCL2/PLCB4/ADORA1/PLCD3/CHRM3/PLCG2/NOTUM	8
GO:0008081	phosphoric diester hydrolase activity	15/905	86/14642	0.000228692629233008	0.0119206032987705	0.0108929910239933	PDE1C/PLCXD3/PLCH1/PLD2/PLCL2/GDPD5/PLCXD1/PLCB4/ADORA1/PLCD3/CHRM3/PDE6G/GDPD3/PLCG2/NOTUM	15
